,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
0,sram_asap7_64x64_1rw,0,140448000,2.499999956129175e-14,0.0001288999919779,2.179999930573828e-10,2.179999930573828e-10,0,1,0,0,1,sram_asap7_64x64_1rw
1,A2O1A1Ixp33_ASAP7_75t_R,1,87480,6.317369714573994e-16,0.0,2.0650410201272784e-11,2.265735515871725e-11,1,2,0,0,1,A2O1A1Ixp33_ASAP7_75t_R
2,A2O1A1O1Ixp25_ASAP7_75t_R,2,131220,6.760200127585317e-16,0.0,2.697289266939684e-11,3.071793167053194e-11,2,3,0,0,1,A2O1A1O1Ixp25_ASAP7_75t_R
3,AND2x2_ASAP7_75t_R,3,87480,5.65708000361848e-16,1.74628991822523e-10,1.6822805301575094e-11,1.8116945443846788e-11,3,4,0,0,3,AND2x2_ASAP7_75t_R
4,AND2x4_ASAP7_75t_R,3,145800,1.1021600121211244e-15,3.49257983645046e-10,1.663371350379972e-11,1.495740337142948e-11,4,4,2,49,3,AND2x2_ASAP7_75t_R
5,AND2x6_ASAP7_75t_R,3,174960,1.1028200625452724e-15,4.841260170529438e-10,1.8647196634025143e-11,1.752046251135564e-11,5,4,1,9,3,AND2x2_ASAP7_75t_R
6,AND3x1_ASAP7_75t_R,4,87480,6.378089800793509e-16,9.956199753524686e-11,2.5714251908337534e-11,2.6382954848580556e-11,6,5,0,0,3,AND3x1_ASAP7_75t_R
7,AND3x2_ASAP7_75t_R,4,102060,6.378479965344838e-16,1.6699600036140794e-10,2.5930164265774988e-11,2.6370289632482447e-11,7,5,1,0,3,AND3x1_ASAP7_75t_R
8,AND3x4_ASAP7_75t_R,4,204120,1.0673700396367854e-15,3.3280098121757357e-10,2.4512345278560052e-11,2.269529529586034e-11,8,5,2,49,3,AND3x1_ASAP7_75t_R
9,AND4x1_ASAP7_75t_R,5,102060,6.422529913766798e-16,9.64031007799626e-11,3.202501805410485e-11,3.268818549173602e-11,9,6,1,49,2,AND4x2_ASAP7_75t_R
10,AND4x2_ASAP7_75t_R,5,116640,6.415209960915745e-16,1.638369995227151e-10,3.2787147996593546e-11,3.324791483794165e-11,10,6,0,0,2,AND4x2_ASAP7_75t_R
11,AND5x1_ASAP7_75t_R,6,116640,5.550959480821725e-16,9.416300378317644e-11,3.8164527094153293e-11,3.982173965577651e-11,11,7,0,0,2,AND5x1_ASAP7_75t_R
12,AND5x2_ASAP7_75t_R,6,291600,1.0676399255096045e-15,1.8766399545455667e-10,3.803742737451543e-11,3.528181219403237e-11,12,7,1,49,2,AND5x1_ASAP7_75t_R
13,AO211x2_ASAP7_75t_R,7,233280,9.990399976608994e-16,1.3387299602207747e-10,2.3747899480230927e-11,2.179999583629133e-11,13,8,0,0,1,AO211x2_ASAP7_75t_R
14,AO21x1_ASAP7_75t_R,8,87480,6.344629881794596e-16,9.787790022919296e-11,1.8710661492393754e-11,1.9472638779216567e-11,14,9,0,0,2,AO21x1_ASAP7_75t_R
15,AO21x2_ASAP7_75t_R,8,102060,6.358109881754556e-16,1.1732199933778276e-10,1.8790163869297768e-11,1.9276956766955955e-11,15,9,1,49,2,AO21x1_ASAP7_75t_R
16,AO221x1_ASAP7_75t_R,9,145800,5.70434973603119e-16,9.396179667664484e-11,2.454205588753311e-11,2.6430595559401304e-11,16,10,1,49,2,AO221x2_ASAP7_75t_R
17,AO221x2_ASAP7_75t_R,9,160380,5.706289970875994e-16,1.1340599986864319e-10,2.5973338063645105e-11,2.727800797741597e-11,17,10,0,0,2,AO221x2_ASAP7_75t_R
18,AO222x2_ASAP7_75t_R,10,174960,6.523630178164295e-16,1.3682499577782892e-10,3.237467585681664e-11,3.299832629366506e-11,18,11,0,0,1,AO222x2_ASAP7_75t_R
19,AO22x1_ASAP7_75t_R,11,131220,4.661290071376195e-16,6.297549981493232e-11,1.9960384040063065e-11,2.2949461775390034e-11,19,12,0,0,2,AO22x1_ASAP7_75t_R
20,AO22x2_ASAP7_75t_R,11,145800,6.487659865267957e-16,1.0417899876102864e-10,1.9492111050234406e-11,2.0272837228385576e-11,20,12,1,49,2,AO22x1_ASAP7_75t_R
21,AO31x2_ASAP7_75t_R,12,233280,1.2366100812343916e-15,1.3079300142937456e-10,2.2109222438948528e-11,1.853791946337946e-11,21,13,0,0,1,AO31x2_ASAP7_75t_R
