,pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap,is_macro,is_seq,is_buf,is_inv,new_cellname,new_netname,id,org_id,netname_prefix,to_top,to_left,to_right,to_bottom,libcell_name,rise_cap,fall_cap
0,A,6033,3645,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_297_,_029_,1.4475693213555908e-11,1.4797224556772903e-10,8.445320831551584e-11,8.514933202974362e-11,1.3331600846392389e-15,0,0,1,0,cell989,net83,0,0,_029_,12555.0,6033.0,10167.0,3645.0,BUFx6f_ASAP7_75t_R,1.33316,1.32962
1,Y,6406,3645,0,False,0,0,False,1.843200071738327e-13,3.1999999872134305e-10,0,_297_,_085_,1.553049008840013e-11,1.4797224556772903e-10,1.0179899284645799e-10,1.0337719569264435e-10,-1.0,0,0,1,0,cell989,net139,1,1,_085_,12555.0,6406.0,9794.0,3645.0,BUFx6f_ASAP7_75t_R,,
2,A,5761,5805,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_298_,_085_,1.5652751664263498e-11,1.5761991711826795e-10,1.0262578981068415e-10,1.0419217572055216e-10,6.837159952986068e-16,0,0,0,1,cell990,net139,2,2,_085_,10395.0,5761.0,10439.0,5805.0,INVx1_ASAP7_75t_R,0.683678,0.683716
3,Y,5848,5805,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_298_,_086_,2.074584427858017e-11,1.5761991711826795e-10,1.1840292635234562e-10,1.1581451075937109e-10,-1.0,0,0,0,1,cell990,net140,3,3,_086_,10395.0,5848.0,10352.0,5805.0,INVx1_ASAP7_75t_R,,
4,A,5493,5535,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_299_,_086_,2.0745911932795732e-11,1.5761991711826795e-10,1.1842565816877482e-10,1.1583722175911859e-10,1.0899499263073353e-15,0,0,1,0,cell991,net140,4,4,_086_,10665.0,5493.0,10707.0,5535.0,BUFx4f_ASAP7_75t_R,1.08995,1.08939
5,Y,5793,5535,0,False,0,0,False,1.843200071738327e-13,3.1999999872134305e-10,0,_299_,net36,1.7332836554917463e-11,1.5761990324048014e-10,1.394096088569441e-10,1.367198299018213e-10,-1.0,0,0,1,0,cell991,net402,5,5,net36,10665.0,5793.0,10407.0,5535.0,BUFx4f_ASAP7_75t_R,,
6,A,4735,7695,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_300_,_294_,2.397692287769981e-11,5.320215795689976e-11,8.929897793441555e-11,9.032539993736322e-11,1.3204499317492145e-15,0,0,0,1,cell992,net348,6,6,_294_,8505.0,4735.0,11465.0,7695.0,INVx2_ASAP7_75t_R,1.31949,1.32045
7,Y,4822,7695,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_300_,dpath.a_lt_b$in1\[1\],1.646986887149371e-11,5.320215101800585e-11,1.0351864504487551e-10,1.0073553102785128e-10,-1.0,0,0,0,1,cell992,net372,7,7,dpath.a_lt_b$in1,8505.0,4822.0,11378.0,7695.0,INVx2_ASAP7_75t_R,,
8,A,4681,5265,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_301_,_031_,1.5669004288509925e-11,2.3653592973182924e-11,8.555908065366323e-11,8.628135705901485e-11,6.837159952986068e-16,0,0,0,1,cell993,net85,8,8,_031_,10935.0,4681.0,11519.0,5265.0,INVx1_ASAP7_75t_R,0.683678,0.683716
9,Y,4768,5265,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_301_,dpath.a_lt_b$in1\[0\],2.272160237737353e-11,2.3653592973182924e-11,1.0200378736113791e-10,9.930285760351154e-11,-1.0,0,0,0,1,cell993,net371,9,9,dpath.a_lt_b$in1,10935.0,4768.0,11432.0,5265.0,INVx1_ASAP7_75t_R,,
10,A,5211,3105,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_302_,net33,7.936078010029046e-12,3.024096528747577e-10,8.958640079770319e-11,9.002113637857079e-11,5.225650124681606e-16,0,0,0,0,cell994,net399,10,10,net33,13095.0,5211.0,10989.0,3105.0,AND2x2_ASAP7_75t_R,0.522565,0.509703
11,B,5115,3105,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_302_,net36,1.7357403708784247e-11,2.4927687691800315e-10,1.3977070889570342e-10,1.3707918133931682e-10,5.65708000361848e-16,0,0,0,0,cell994,net402,11,11,net36,13095.0,5115.0,11085.0,3105.0,AND2x2_ASAP7_75t_R,0.565282,0.565708
12,Y,5324,3105,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_302_,_087_,7.075954405744156e-12,2.4927687691800315e-10,1.5847327616835827e-10,1.5523322904886783e-10,-1.0,0,0,0,0,cell994,net141,12,12,_087_,13095.0,5324.0,10876.0,3105.0,AND2x2_ASAP7_75t_R,,
13,A,9416,3915,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_303_,_005_,8.868043799292734e-11,3.1050537141474877e-11,1.813010713780372e-10,1.8897083897684294e-10,5.467029633056256e-16,0,0,0,0,cell995,net59,13,13,_005_,12285.0,9416.0,6784.0,3915.0,OR2x2_ASAP7_75t_R,0.534126,0.546703
14,B,9325,3874,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_303_,_048_,5.2743417272571585e-11,7.057583684133562e-11,1.5184904722520542e-10,1.5394889529840583e-10,5.601419880467625e-16,0,0,0,0,cell995,net102,14,14,_048_,12326.0,9325.0,6875.0,3874.0,OR2x2_ASAP7_75t_R,0.560142,0.55956
15,Y,9536,3915,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_303_,_088_,1.16350861237291e-11,3.1050537141474877e-11,2.1604543154474243e-10,2.2709382985208748e-10,-1.0,0,0,0,0,cell995,net142,15,15,_088_,12285.0,9536.0,6664.0,3915.0,OR2x2_ASAP7_75t_R,,
16,A,11052,4725,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_304_,_007_,1.9983891277886023e-11,1.0493425572910551e-11,1.4323482677713884e-10,1.4038870066457318e-10,6.935129901247867e-16,0,0,1,0,cell996,net61,16,16,_007_,11475.0,11052.0,5148.0,4725.0,BUFx3_ASAP7_75t_R,0.693366,0.693513
17,Y,11265,4725,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_304_,_089_,1.9789772251477267e-11,1.0493425572910551e-11,1.6550340264931407e-10,1.6247218848075562e-10,-1.0,0,0,1,0,cell996,net143,17,17,_089_,11475.0,11265.0,4935.0,4725.0,BUFx3_ASAP7_75t_R,,
