src,tar,is_net
_16482_/A1,_16482_/ZN,0
_16482_/A2,_16482_/ZN,0
_16496_/A,_16496_/ZN,0
_16497_/A1,_16497_/ZN,0
_16497_/A2,_16497_/ZN,0
_16500_/A,_16500_/ZN,0
_16505_/A1,_16505_/ZN,0
_16505_/A2,_16505_/ZN,0
_16508_/A1,_16508_/ZN,0
_16508_/A2,_16508_/ZN,0
_16509_/A1,_16509_/ZN,0
_16509_/A2,_16509_/ZN,0
_16511_/A1,_16511_/ZN,0
_16511_/A2,_16511_/ZN,0
_16514_/A,_16514_/ZN,0
_16515_/A1,_16515_/ZN,0
_16515_/A2,_16515_/ZN,0
_16517_/A1,_16517_/ZN,0
_16517_/A2,_16517_/ZN,0
_16517_/A3,_16517_/ZN,0
_16518_/A1,_16518_/ZN,0
_16518_/A2,_16518_/ZN,0
_16519_/A,_16519_/ZN,0
_16519_/B1,_16519_/ZN,0
_16519_/B2,_16519_/ZN,0
_16520_/A1,_16520_/ZN,0
_16520_/A2,_16520_/ZN,0
_16526_/A1,_16526_/ZN,0
_16526_/A2,_16526_/ZN,0
_16528_/A1,_16528_/ZN,0
_16528_/A2,_16528_/ZN,0
_16529_/A1,_16529_/ZN,0
_16529_/A2,_16529_/ZN,0
_16530_/A,_16530_/ZN,0
_16530_/B1,_16530_/ZN,0
_16530_/B2,_16530_/ZN,0
_16532_/A1,_16532_/ZN,0
_16532_/A2,_16532_/ZN,0
_16532_/A3,_16532_/ZN,0
_16535_/A1,_16535_/ZN,0
_16535_/A2,_16535_/ZN,0
_16536_/A,_16536_/ZN,0
_16536_/B1,_16536_/ZN,0
_16536_/B2,_16536_/ZN,0
_16537_/A,_16537_/ZN,0
_16537_/B1,_16537_/ZN,0
_16537_/B2,_16537_/ZN,0
_16538_/A,_16538_/ZN,0
_16538_/B1,_16538_/ZN,0
_16538_/B2,_16538_/ZN,0
_16539_/A,_16539_/ZN,0
_16540_/A1,_16540_/ZN,0
_16540_/A2,_16540_/ZN,0
_16542_/A1,_16542_/ZN,0
_16542_/A2,_16542_/ZN,0
_16544_/A,_16544_/ZN,0
_16544_/B1,_16544_/ZN,0
_16544_/B2,_16544_/ZN,0
_16545_/A,_16545_/ZN,0
_16546_/A1,_16546_/ZN,0
_16546_/A2,_16546_/ZN,0
_16546_/A3,_16546_/ZN,0
_16547_/A1,_16547_/ZN,0
_16547_/A2,_16547_/ZN,0
_16548_/A,_16548_/ZN,0
_16549_/A1,_16549_/ZN,0
_16549_/A2,_16549_/ZN,0
_16550_/A1,_16550_/ZN,0
_16550_/A2,_16550_/ZN,0
_16551_/A1,_16551_/ZN,0
_16551_/A2,_16551_/ZN,0
_16552_/A1,_16552_/ZN,0
_16552_/A2,_16552_/ZN,0
_16554_/A1,_16554_/ZN,0
_16554_/A2,_16554_/ZN,0
_16555_/A1,_16555_/ZN,0
_16555_/A2,_16555_/ZN,0
_16556_/A1,_16556_/ZN,0
_16556_/A2,_16556_/ZN,0
_16557_/A1,_16557_/ZN,0
_16557_/A2,_16557_/ZN,0
_16558_/A1,_16558_/ZN,0
_16558_/A2,_16558_/ZN,0
_16558_/B1,_16558_/ZN,0
_16558_/B2,_16558_/ZN,0
_16558_/C1,_16558_/ZN,0
_16558_/C2,_16558_/ZN,0
_16561_/A1,_16561_/ZN,0
_16561_/A2,_16561_/ZN,0
_16562_/A1,_16562_/ZN,0
_16562_/A2,_16562_/ZN,0
_16562_/A3,_16562_/ZN,0
_16564_/A1,_16564_/ZN,0
_16564_/A2,_16564_/ZN,0
_16566_/A1,_16566_/ZN,0
_16566_/A2,_16566_/ZN,0
_16567_/A1,_16567_/ZN,0
_16567_/A2,_16567_/ZN,0
_16568_/A1,_16568_/ZN,0
_16568_/A2,_16568_/ZN,0
_16569_/A,_16569_/ZN,0
_16569_/B1,_16569_/ZN,0
_16569_/B2,_16569_/ZN,0
_16571_/A1,_16571_/ZN,0
_16571_/A2,_16571_/ZN,0
_16571_/B1,_16571_/ZN,0
_16571_/B2,_16571_/ZN,0
_16574_/A1,_16574_/ZN,0
_16574_/A2,_16574_/ZN,0
_16577_/A1,_16577_/ZN,0
_16577_/A2,_16577_/ZN,0
_16577_/A3,_16577_/ZN,0
_16578_/A,_16578_/ZN,0
_16581_/A,_16581_/ZN,0
_16581_/B1,_16581_/ZN,0
_16581_/B2,_16581_/ZN,0
_16582_/A,_16582_/ZN,0
_16582_/B1,_16582_/ZN,0
_16582_/B2,_16582_/ZN,0
_16582_/C1,_16582_/ZN,0
_16582_/C2,_16582_/ZN,0
_16585_/A,_16585_/ZN,0
_16586_/A1,_16586_/ZN,0
_16586_/A2,_16586_/ZN,0
_16586_/A3,_16586_/ZN,0
_16586_/A4,_16586_/ZN,0
_16587_/A1,_16587_/ZN,0
_16587_/A2,_16587_/ZN,0
_16590_/A,_16590_/ZN,0
_16590_/B1,_16590_/ZN,0
_16590_/B2,_16590_/ZN,0
_16591_/A1,_16591_/ZN,0
_16591_/A2,_16591_/ZN,0
_16593_/A1,_16593_/ZN,0
_16593_/A2,_16593_/ZN,0
_16593_/B1,_16593_/ZN,0
_16593_/B2,_16593_/ZN,0
_16593_/C1,_16593_/ZN,0
_16593_/C2,_16593_/ZN,0
_16594_/A1,_16594_/ZN,0
_16594_/A2,_16594_/ZN,0
_16595_/A1,_16595_/ZN,0
_16595_/A2,_16595_/ZN,0
_16595_/A3,_16595_/ZN,0
_16600_/A1,_16600_/ZN,0
_16600_/A2,_16600_/ZN,0
_16600_/A3,_16600_/ZN,0
_16602_/A1,_16602_/ZN,0
_16602_/A2,_16602_/ZN,0
_16602_/A3,_16602_/ZN,0
_16602_/A4,_16602_/ZN,0
_16604_/A1,_16604_/ZN,0
_16604_/A2,_16604_/ZN,0
_16605_/A1,_16605_/ZN,0
_16605_/A2,_16605_/ZN,0
_16607_/A1,_16607_/ZN,0
_16607_/A2,_16607_/ZN,0
_16608_/A1,_16608_/ZN,0
_16608_/A2,_16608_/ZN,0
_16608_/A3,_16608_/ZN,0
_16608_/A4,_16608_/ZN,0
_16610_/A,_16610_/ZN,0
_16610_/B1,_16610_/ZN,0
_16610_/B2,_16610_/ZN,0
_16610_/C1,_16610_/ZN,0
_16610_/C2,_16610_/ZN,0
_16611_/A1,_16611_/ZN,0
_16611_/A2,_16611_/ZN,0
_16613_/A1,_16613_/ZN,0
_16613_/A2,_16613_/ZN,0
_16614_/A1,_16614_/ZN,0
_16614_/A2,_16614_/ZN,0
_16615_/A1,_16615_/ZN,0
_16615_/A2,_16615_/ZN,0
_16616_/A1,_16616_/ZN,0
_16616_/A2,_16616_/ZN,0
_16616_/A3,_16616_/ZN,0
_16618_/A1,_16618_/ZN,0
_16618_/A2,_16618_/ZN,0
_16618_/A3,_16618_/ZN,0
_16618_/B1,_16618_/ZN,0
_16618_/B2,_16618_/ZN,0
_16618_/B3,_16618_/ZN,0
_16622_/A1,_16622_/ZN,0
_16622_/A2,_16622_/ZN,0
_16623_/A1,_16623_/ZN,0
_16623_/A2,_16623_/ZN,0
_16625_/A1,_16625_/ZN,0
_16625_/A2,_16625_/ZN,0
_16625_/A3,_16625_/ZN,0
_16626_/A1,_16626_/ZN,0
_16626_/A2,_16626_/ZN,0
_16627_/A1,_16627_/ZN,0
_16627_/A2,_16627_/ZN,0
_16627_/A3,_16627_/ZN,0
_16628_/A,_16628_/ZN,0
_16628_/B1,_16628_/ZN,0
_16628_/B2,_16628_/ZN,0
_16629_/A1,_16629_/ZN,0
_16629_/A2,_16629_/ZN,0
_16630_/A,_16630_/Z,0
_16630_/B,_16630_/Z,0
_16630_/S,_16630_/Z,0
_16631_/A,_16631_/ZN,0
_16631_/B1,_16631_/ZN,0
_16631_/B2,_16631_/ZN,0
_16632_/A1,_16632_/ZN,0
_16632_/A2,_16632_/ZN,0
_16634_/A1,_16634_/ZN,0
_16634_/A2,_16634_/ZN,0
_16634_/A3,_16634_/ZN,0
_16636_/A1,_16636_/ZN,0
_16636_/A2,_16636_/ZN,0
