src,tar,src_type,tar_type
_0_,_3681_,cell,cell
_0_,_27124_,cell,cell
_0_,_27119_,cell,cell
_0_,_27083_,cell,cell
_1_,_18366_,cell,cell
_1_,_17047_,cell,cell
_1_,_17046_,cell,cell
_1_,_17045_,cell,cell
_1_,_17044_,cell,cell
_1_,_17043_,cell,cell
_1_,_17042_,cell,cell
_1_,_17041_,cell,cell
_1_,_17040_,cell,cell
_1_,_10966_,cell,cell
_1_,_10965_,cell,cell
_1_,_10964_,cell,cell
_1_,_10963_,cell,cell
_1_,_10883_,cell,cell
_1_,_10882_,cell,cell
_1_,_10881_,cell,cell
_1_,_10874_,cell,cell
_10_,_4425_,cell,cell
_10_,_26351_,cell,cell
_10_,_26346_,cell,cell
_100_,_36515_,cell,cell
_100_,_36505_,cell,cell
_100_,_36503_,cell,cell
_100_,_36502_,cell,cell
_100_,_36501_,cell,cell
_100_,_36500_,cell,cell
_100_,_36499_,cell,cell
_100_,_36497_,cell,cell
_100_,_36493_,cell,cell
_100_,_36491_,cell,cell
_100_,_36481_,cell,cell
_100_,_36479_,cell,cell
_100_,_36470_,cell,cell
_100_,_36293_,cell,cell
_100_,_36292_,cell,cell
_100_,_36291_,cell,cell
_100_,_36289_,cell,cell
_100_,_36288_,cell,cell
_100_,_36287_,cell,cell
_100_,_36284_,cell,cell
_100_,_36282_,cell,cell
_100_,_36280_,cell,cell
_100_,_36278_,cell,cell
_100_,_36277_,cell,cell
_100_,_36276_,cell,cell
_100_,_36275_,cell,cell
_100_,_36273_,cell,cell
_100_,_36272_,cell,cell
_100_,_36270_,cell,cell
_100_,_36269_,cell,cell
_100_,_36267_,cell,cell
_100_,_36266_,cell,cell
_100_,_36264_,cell,cell
_100_,_32034_,cell,cell
_100_,_32033_,cell,cell
_100_,_32032_,cell,cell
_100_,_32031_,cell,cell
_100_,_32030_,cell,cell
_100_,_32029_,cell,cell
_100_,_32028_,cell,cell
_100_,_32027_,cell,cell
_100_,_29373_,cell,cell
_100_,_26331_,cell,cell
_100_,_26330_,cell,cell
_100_,_26329_,cell,cell
_3654_,_2270_,cell,cell
_3653_,_1519_,cell,cell
_3652_,_2604_,cell,cell
_3651_,_2783_,cell,cell
_3650_,_2782_,cell,cell
_3649_,_2784_,cell,cell
_3648_,_2603_,cell,cell
_3647_,_2785_,cell,cell
_3646_,_2272_,cell,cell
_3645_,_2605_,cell,cell
_3644_,_2787_,cell,cell
_3643_,_2580_,cell,cell
_3642_,_2786_,cell,cell
_3641_,_2788_,cell,cell
_3640_,_2606_,cell,cell
_3639_,_2790_,cell,cell
_4377_,_38088_,cell,cell
_4377_,_38087_,cell,cell
_3638_,_2429_,cell,cell
_3637_,_1744_,cell,cell
_3636_,_1744_,cell,cell
_3635_,_2789_,cell,cell
_3949_,_2682_,cell,cell
_3949_,_2196_,cell,cell
_3949_,_1674_,cell,cell
_3949_,_1673_,cell,cell
_3949_,_1672_,cell,cell
_3949_,_1671_,cell,cell
_3949_,_1670_,cell,cell
_3949_,_1669_,cell,cell
_3949_,_1668_,cell,cell
_3949_,_1618_,cell,cell
