src,tar,src_type,tar_type
net28351,_0_,net,cell
_0_,net0,cell,net
net16525,_10000_,net,cell
net14785,_10000_,net,cell
_10000_,net18685,cell,net
net813,_10001_,net,cell
net23784,_10001_,net,cell
net483,_10001_,net,cell
net24056,_10001_,net,cell
net14786,_10001_,net,cell
_10001_,net18684,cell,net
net812,_10002_,net,cell
net23053,_10002_,net,cell
net205,_10002_,net,cell
net24957,_10002_,net,cell
net14829,_10002_,net,cell
_10002_,net18683,cell,net
net823,_10003_,net,cell
net23869,_10003_,net,cell
net439,_10003_,net,cell
net24141,_10003_,net,cell
net14832,_10003_,net,cell
_10003_,net18682,cell,net
net813,_10004_,net,cell
net22967,_10004_,net,cell
net207,_10004_,net,cell
net24871,_10004_,net,cell
net14808,_10004_,net,cell
_10004_,net18681,cell,net
net822,_10005_,net,cell
net22917,_10005_,net,cell
net209,_10005_,net,cell
net24821,_10005_,net,cell
net15005,_10005_,net,cell
_10005_,net18680,cell,net
net813,_10006_,net,cell
net23783,_10006_,net,cell
net483,_10006_,net,cell
net24055,_10006_,net,cell
net14831,_10006_,net,cell
_10006_,net18679,cell,net
net16539,_10007_,net,cell
net14833,_10007_,net,cell
_10007_,net18678,cell,net
net813,_10008_,net,cell
net22966,_10008_,net,cell
net207,_10008_,net,cell
net24870,_10008_,net,cell
net13810,_10008_,net,cell
_10008_,net18677,cell,net
net16543,_10009_,net,cell
net14847,_10009_,net,cell
_10009_,net18676,cell,net
net748,_1000_,net,cell
net3214,_1000_,net,cell
net537,_1000_,net,cell
net30483,_1000_,net,cell
_1000_,net3018,cell,net
net16544,_10010_,net,cell
net14869,_10010_,net,cell
_10010_,net18674,cell,net
net824,_10011_,net,cell
net23080,_10011_,net,cell
net205,_10011_,net,cell
net24984,_10011_,net,cell
net13804,_10011_,net,cell
_10011_,net18673,cell,net
net826,_10012_,net,cell
net23720,_10012_,net,cell
net517,_10012_,net,cell
net23992,_10012_,net,cell
net14567,_10012_,net,cell
_10012_,net18672,cell,net
net813,_10013_,net,cell
net22965,_10013_,net,cell
net207,_10013_,net,cell
net24869,_10013_,net,cell
net14878,_10013_,net,cell
_10013_,net18671,cell,net
net813,_10014_,net,cell
net23781,_10014_,net,cell
net483,_10014_,net,cell
net24053,_10014_,net,cell
net14880,_10014_,net,cell
_10014_,net18670,cell,net
net818,_10015_,net,cell
net23052,_10015_,net,cell
net205,_10015_,net,cell
net24956,_10015_,net,cell
net14877,_10015_,net,cell
_10015_,net18669,cell,net
net16546,_10016_,net,cell
net14881,_10016_,net,cell
_10016_,net18668,cell,net
net826,_10017_,net,cell
net22902,_10017_,net,cell
net209,_10017_,net,cell
net24806,_10017_,net,cell
net13805,_10017_,net,cell
_10017_,net18667,cell,net
net818,_10018_,net,cell
net23868,_10018_,net,cell
net450,_10018_,net,cell
net24140,_10018_,net,cell
net14899,_10018_,net,cell
_10018_,net18665,cell,net
net813,_10019_,net,cell
net22963,_10019_,net,cell
net207,_10019_,net,cell
net24867,_10019_,net,cell
net14910,_10019_,net,cell
_10019_,net18664,cell,net
net29433,_1001_,net,cell
net58,_1001_,net,cell
_1001_,net3038,cell,net
net17116,_10020_,net,cell
net13815,_10020_,net,cell
_10020_,net18663,cell,net
net17114,_10021_,net,cell
net14921,_10021_,net,cell
_10021_,net18662,cell,net
net813,_10022_,net,cell
net23779,_10022_,net,cell
net483,_10022_,net,cell
net24051,_10022_,net,cell
net14932,_10022_,net,cell
_10022_,net18661,cell,net
net826,_10023_,net,cell
net22896,_10023_,net,cell
net209,_10023_,net,cell
net24800,_10023_,net,cell
net13774,_10023_,net,cell
_10023_,net18660,cell,net
net812,_10024_,net,cell
net23051,_10024_,net,cell
net205,_10024_,net,cell
net24955,_10024_,net,cell
net14971,_10024_,net,cell
_10024_,net18659,cell,net
net817,_10025_,net,cell
net22860,_10025_,net,cell
net210,_10025_,net,cell
net24764,_10025_,net,cell
net15002,_10025_,net,cell
_10025_,net18658,cell,net
net813,_10026_,net,cell
net23778,_10026_,net,cell
net483,_10026_,net,cell
net24050,_10026_,net,cell
net14960,_10026_,net,cell
_10026_,net18657,cell,net
net16561,_10027_,net,cell
net15194,_10027_,net,cell
_10027_,net18655,cell,net
net16557,_10028_,net,cell
net14982,_10028_,net,cell
_10028_,net18654,cell,net
net812,_10029_,net,cell
net23867,_10029_,net,cell
net439,_10029_,net,cell
net24139,_10029_,net,cell
net14991,_10029_,net,cell
_10029_,net18653,cell,net
net13728,_1002_,net,cell
net12529,_1002_,net,cell
_1002_,net3144,cell,net
net824,_10030_,net,cell
net22853,_10030_,net,cell
net205,_10030_,net,cell
net24757,_10030_,net,cell
net13213,_10030_,net,cell
_10030_,net18652,cell,net
net826,_10031_,net,cell
net22899,_10031_,net,cell
net209,_10031_,net,cell
net24803,_10031_,net,cell
net14460,_10031_,net,cell
_10031_,net18651,cell,net
net813,_10032_,net,cell
net22961,_10032_,net,cell
net207,_10032_,net,cell
net24865,_10032_,net,cell
net15007,_10032_,net,cell
_10032_,net18650,cell,net
net6512,_10033_,net,cell
net15012,_10033_,net,cell
_10033_,net18649,cell,net
net16591,_10034_,net,cell
net15125,_10034_,net,cell
_10034_,net18648,cell,net
net813,_10035_,net,cell
net22960,_10035_,net,cell
net207,_10035_,net,cell
net24864,_10035_,net,cell
net15044,_10035_,net,cell
_10035_,net18647,cell,net
net812,_10036_,net,cell
net23050,_10036_,net,cell
net210,_10036_,net,cell
net24954,_10036_,net,cell
net15052,_10036_,net,cell
_10036_,net18645,cell,net
net812,_10037_,net,cell
net23866,_10037_,net,cell
net439,_10037_,net,cell
net24138,_10037_,net,cell
net15055,_10037_,net,cell
_10037_,net18644,cell,net
net16573,_10038_,net,cell
net13800,_10038_,net,cell
_10038_,net18643,cell,net
net822,_10039_,net,cell
net23734,_10039_,net,cell
net505,_10039_,net,cell
net24006,_10039_,net,cell
net15064,_10039_,net,cell
_10039_,net18642,cell,net
net30771,_1003_,net,cell
net30770,_1003_,net,cell
_1003_,net3146,cell,net
net822,_10040_,net,cell
net22911,_10040_,net,cell
net209,_10040_,net,cell
net24815,_10040_,net,cell
net15054,_10040_,net,cell
_10040_,net18641,cell,net
net813,_10041_,net,cell
net22959,_10041_,net,cell
net208,_10041_,net,cell
net24863,_10041_,net,cell
net13789,_10041_,net,cell
_10041_,net18640,cell,net
net16574,_10042_,net,cell
net15075,_10042_,net,cell
_10042_,net18639,cell,net
net6506,_10043_,net,cell
net13908,_10043_,net,cell
_10043_,net18638,cell,net
net813,_10044_,net,cell
net23775,_10044_,net,cell
net483,_10044_,net,cell
net24047,_10044_,net,cell
net15086,_10044_,net,cell
_10044_,net18637,cell,net
net16575,_10045_,net,cell
net15095,_10045_,net,cell
_10045_,net18636,cell,net
net16579,_10046_,net,cell
net15101,_10046_,net,cell
_10046_,net18634,cell,net
net821,_10047_,net,cell
net22958,_10047_,net,cell
net208,_10047_,net,cell
net24862,_10047_,net,cell
net15099,_10047_,net,cell
_10047_,net18633,cell,net
net818,_10048_,net,cell
net23049,_10048_,net,cell
net205,_10048_,net,cell
net24953,_10048_,net,cell
net15102,_10048_,net,cell
_10048_,net18632,cell,net
net821,_10049_,net,cell
net23774,_10049_,net,cell
net483,_10049_,net,cell
net24046,_10049_,net,cell
net15104,_10049_,net,cell
_10049_,net18631,cell,net
net530,_1004_,net,cell
net13684,_1004_,net,cell
net744,_1004_,net,cell
net13347,_1004_,net,cell
_1004_,net13097,cell,net
net21562,_10050_,net,cell
net15136,_10050_,net,cell
_10050_,net18630,cell,net
net822,_10051_,net,cell
net22918,_10051_,net,cell
net208,_10051_,net,cell
net24822,_10051_,net,cell
net15114,_10051_,net,cell
_10051_,net18629,cell,net
net818,_10052_,net,cell
