src,tar,src_type,tar_type
_0_/A,_0_,pin,cell
_0_,_0_/Y,cell,pin
_10000_/A,_10000_,pin,cell
_10000_/B,_10000_,pin,cell
_10000_,_10000_/Y,cell,pin
_10001_/A1,_10001_,pin,cell
_10001_/A2,_10001_,pin,cell
_10001_/B1,_10001_,pin,cell
_10001_/B2,_10001_,pin,cell
_10001_/C,_10001_,pin,cell
_10001_,_10001_/Y,cell,pin
_10002_/A1,_10002_,pin,cell
_10002_/A2,_10002_,pin,cell
_10002_/B1,_10002_,pin,cell
_10002_/B2,_10002_,pin,cell
_10002_/C,_10002_,pin,cell
_10002_,_10002_/Y,cell,pin
_10003_/A1,_10003_,pin,cell
_10003_/A2,_10003_,pin,cell
_10003_/B1,_10003_,pin,cell
_10003_/B2,_10003_,pin,cell
_10003_/C,_10003_,pin,cell
_10003_,_10003_/Y,cell,pin
_10004_/A1,_10004_,pin,cell
_10004_/A2,_10004_,pin,cell
_10004_/B1,_10004_,pin,cell
_10004_/B2,_10004_,pin,cell
_10004_/C,_10004_,pin,cell
_10004_,_10004_/Y,cell,pin
_10005_/A1,_10005_,pin,cell
_10005_/A2,_10005_,pin,cell
_10005_/B1,_10005_,pin,cell
_10005_/B2,_10005_,pin,cell
_10005_/C,_10005_,pin,cell
_10005_,_10005_/Y,cell,pin
_10006_/A1,_10006_,pin,cell
_10006_/A2,_10006_,pin,cell
_10006_/B1,_10006_,pin,cell
_10006_/B2,_10006_,pin,cell
_10006_/C,_10006_,pin,cell
_10006_,_10006_/Y,cell,pin
_10007_/A,_10007_,pin,cell
_10007_/B,_10007_,pin,cell
_10007_,_10007_/Y,cell,pin
_10008_/A1,_10008_,pin,cell
_10008_/A2,_10008_,pin,cell
_10008_/B1,_10008_,pin,cell
_10008_/B2,_10008_,pin,cell
_10008_/C,_10008_,pin,cell
_10008_,_10008_/Y,cell,pin
_10009_/A,_10009_,pin,cell
_10009_/B,_10009_,pin,cell
_10009_,_10009_/Y,cell,pin
_1000_/A1,_1000_,pin,cell
_1000_/A2,_1000_,pin,cell
_1000_/B1,_1000_,pin,cell
_1000_/B2,_1000_,pin,cell
_1000_,_1000_/Y,cell,pin
_10010_/A,_10010_,pin,cell
_10010_/B,_10010_,pin,cell
_10010_,_10010_/Y,cell,pin
_10011_/A1,_10011_,pin,cell
_10011_/A2,_10011_,pin,cell
_10011_/B1,_10011_,pin,cell
_10011_/B2,_10011_,pin,cell
_10011_/C,_10011_,pin,cell
_10011_,_10011_/Y,cell,pin
_10012_/A1,_10012_,pin,cell
_10012_/A2,_10012_,pin,cell
_10012_/B1,_10012_,pin,cell
_10012_/B2,_10012_,pin,cell
_10012_/C,_10012_,pin,cell
_10012_,_10012_/Y,cell,pin
_10013_/A1,_10013_,pin,cell
_10013_/A2,_10013_,pin,cell
_10013_/B1,_10013_,pin,cell
_10013_/B2,_10013_,pin,cell
_10013_/C,_10013_,pin,cell
_10013_,_10013_/Y,cell,pin
_10014_/A1,_10014_,pin,cell
_10014_/A2,_10014_,pin,cell
_10014_/B1,_10014_,pin,cell
_10014_/B2,_10014_,pin,cell
_10014_/C,_10014_,pin,cell
_10014_,_10014_/Y,cell,pin
_10015_/A1,_10015_,pin,cell
_10015_/A2,_10015_,pin,cell
_10015_/B1,_10015_,pin,cell
_10015_/B2,_10015_,pin,cell
_10015_/C,_10015_,pin,cell
_10015_,_10015_/Y,cell,pin
_10016_/A,_10016_,pin,cell
_10016_/B,_10016_,pin,cell
_10016_,_10016_/Y,cell,pin
_10017_/A1,_10017_,pin,cell
_10017_/A2,_10017_,pin,cell
_10017_/B1,_10017_,pin,cell
_10017_/B2,_10017_,pin,cell
_10017_/C,_10017_,pin,cell
_10017_,_10017_/Y,cell,pin
_10018_/A1,_10018_,pin,cell
_10018_/A2,_10018_,pin,cell
_10018_/B1,_10018_,pin,cell
_10018_/B2,_10018_,pin,cell
_10018_/C,_10018_,pin,cell
_10018_,_10018_/Y,cell,pin
_10019_/A1,_10019_,pin,cell
_10019_/A2,_10019_,pin,cell
_10019_/B1,_10019_,pin,cell
_10019_/B2,_10019_,pin,cell
_10019_/C,_10019_,pin,cell
_10019_,_10019_/Y,cell,pin
_1001_/A,_1001_,pin,cell
_1001_/B,_1001_,pin,cell
_1001_,_1001_/Y,cell,pin
_10020_/A,_10020_,pin,cell
_10020_/B,_10020_,pin,cell
_10020_,_10020_/Y,cell,pin
