src,tar,src_type,tar_type
net0,_3681_/B,net,pin
net0,_27124_/B,net,pin
net0,_27119_/A,net,pin
net0,_27083_/A,net,pin
_0_/Y,net0,pin,net
_1_/Y,net1,pin,net
net1,_18366_/C,net,pin
net1,_17047_/C,net,pin
net1,_17046_/C,net,pin
net1,_17045_/C,net,pin
net1,_17044_/C,net,pin
net1,_17043_/C,net,pin
net1,_17042_/C,net,pin
net1,_17041_/C,net,pin
net1,_17040_/C,net,pin
net1,_10966_/C,net,pin
net1,_10965_/C,net,pin
net1,_10964_/C,net,pin
net1,_10963_/C,net,pin
net1,_10883_/C,net,pin
net1,_10882_/C,net,pin
net1,_10881_/C,net,pin
net1,_10874_/C,net,pin
net10,_4425_/B,net,pin
net10,_26351_/B,net,pin
net10,_26346_/A1,net,pin
_10_/Y,net10,pin,net
net100,_36515_/RESET,net,pin
net100,_36505_/RESET,net,pin
net100,_36503_/RESET,net,pin
net100,_36502_/RESET,net,pin
net100,_36501_/RESET,net,pin
net100,_36500_/RESET,net,pin
net100,_36499_/RESET,net,pin
net100,_36497_/RESET,net,pin
net100,_36493_/RESET,net,pin
net100,_36491_/RESET,net,pin
net100,_36481_/RESET,net,pin
net100,_36479_/RESET,net,pin
net100,_36470_/RESET,net,pin
net100,_36293_/RESET,net,pin
net100,_36292_/RESET,net,pin
net100,_36291_/RESET,net,pin
net100,_36289_/RESET,net,pin
net100,_36288_/RESET,net,pin
net100,_36287_/RESET,net,pin
net100,_36284_/RESET,net,pin
net100,_36282_/RESET,net,pin
net100,_36280_/RESET,net,pin
net100,_36278_/RESET,net,pin
net100,_36277_/RESET,net,pin
net100,_36276_/RESET,net,pin
net100,_36275_/RESET,net,pin
net100,_36273_/RESET,net,pin
net100,_36272_/RESET,net,pin
net100,_36270_/RESET,net,pin
net100,_36269_/RESET,net,pin
net100,_36267_/RESET,net,pin
net100,_36266_/RESET,net,pin
net100,_36264_/RESET,net,pin
net100,_32034_/RESET,net,pin
net100,_32033_/RESET,net,pin
net100,_32032_/RESET,net,pin
net100,_32031_/RESET,net,pin
net100,_32030_/RESET,net,pin
net100,_32029_/RESET,net,pin
net100,_32028_/RESET,net,pin
net100,_32027_/SET,net,pin
net100,_29373_/RESET,net,pin
net100,_26331_/RESET,net,pin
net100,_26330_/RESET,net,pin
net100,_26329_/RESET,net,pin
_100_/Y,net100,pin,net
net1000,_28060_/A,net,pin
net1000,_28044_/A,net,pin
net1000,_17009_/A1,net,pin
_3654_/Y,net10000,pin,net
net10000,_2270_/A1,net,pin
_3653_/Y,net10001,pin,net
net10001,_1519_/A1,net,pin
_3652_/Y,net10002,pin,net
net10002,_2604_/C,net,pin
_3651_/Y,net10003,pin,net
net10003,_2783_/C,net,pin
_3650_/Y,net10004,pin,net
net10004,_2782_/C,net,pin
_3649_/Y,net10005,pin,net
net10005,_2784_/C,net,pin
_3648_/Y,net10006,pin,net
net10006,_2603_/C,net,pin
_3647_/Y,net10007,pin,net
net10007,_2785_/C,net,pin
_3646_/Y,net10008,pin,net
net10008,_2272_/A1,net,pin
_3645_/Y,net10009,pin,net
net10009,_2605_/C,net,pin
net1001,_28040_/A,net,pin
net1001,_28030_/A,net,pin
net1001,_17008_/A1,net,pin
_3644_/Y,net10010,pin,net
net10010,_2787_/C,net,pin
_3643_/Y,net10011,pin,net
net10011,_2580_/C,net,pin
_3642_/Y,net10012,pin,net
net10012,_2786_/C,net,pin
_3641_/Y,net10013,pin,net
net10013,_2788_/C,net,pin
_3640_/Y,net10014,pin,net
net10014,_2606_/C,net,pin
_3639_/Y,net10015,pin,net
net10015,_2790_/C,net,pin
_4377_/Y,net10016,pin,net
net10016,_38088_/RESET,net,pin
net10016,_38087_/RESET,net,pin
_3638_/Y,net10017,pin,net
net10017,_2429_/C,net,pin
_3637_/Y,net10018,pin,net
net10018,_1744_/E,net,pin
_3636_/Y,net10019,pin,net
net10019,_1744_/D,net,pin
net1002,_28053_/A,net,pin
net1002,_28005_/A,net,pin
net1002,_17007_/A1,net,pin
_3635_/Y,net10020,pin,net
net10020,_2789_/C,net,pin
_3949_/Y,net10021,pin,net
net10021,_2682_/B2,net,pin
net10021,_2196_/A2,net,pin
net10021,_1674_/B2,net,pin
net10021,_1673_/B2,net,pin
net10021,_1672_/B2,net,pin
net10021,_1671_/B2,net,pin
net10021,_1670_/B2,net,pin
net10021,_1669_/B2,net,pin
net10021,_1668_/B2,net,pin
net10021,_1618_/B1,net,pin
net10021,_1609_/B1,net,pin
net10021,_1608_/B1,net,pin
net10021,_1607_/B1,net,pin
_3948_/Y,net10022,pin,net
net10022,_2729_/A,net,pin
net10022,_2681_/B2,net,pin
net10022,_2680_/B2,net,pin
net10022,_2678_/B2,net,pin
net10022,_1665_/B2,net,pin
net10022,_1663_/B2,net,pin
net10022,_1662_/B2,net,pin
net10022,_1661_/B2,net,pin
net10022,_1660_/B2,net,pin
net10022,_1558_/B1,net,pin
net10022,_1549_/B1,net,pin
net10022,_1548_/B1,net,pin
net10022,_1547_/B1,net,pin
_3947_/Y,net10023,pin,net
net10023,_2681_/A2,net,pin
net10023,_2680_/A2,net,pin
net10023,_2679_/A2,net,pin
net10023,_2678_/A2,net,pin
net10023,_2677_/A2,net,pin
net10023,_2676_/A2,net,pin
net10023,_2675_/A2,net,pin
net10023,_1659_/B2,net,pin
net10023,_1658_/B2,net,pin
net10023,_1558_/A1,net,pin
net10023,_1548_/A1,net,pin
net10023,_1547_/A1,net,pin
net10023,_1546_/A1,net,pin
_3946_/Y,net10024,pin,net
net10024,_2736_/A,net,pin
net10024,_2735_/A,net,pin
net10024,_2725_/A,net,pin
net10024,_2682_/A2,net,pin
net10024,_2679_/B2,net,pin
net10024,_2677_/B2,net,pin
net10024,_2676_/B2,net,pin
net10024,_2675_/B2,net,pin
net10024,_1697_/B2,net,pin
net10024,_1666_/B2,net,pin
net10024,_1664_/B2,net,pin
net10024,_1549_/A1,net,pin
net10024,_1546_/B1,net,pin
_3945_/Y,net10025,pin,net
net10025,_2728_/A,net,pin
net10025,_2727_/A,net,pin
net10025,_2692_/A2,net,pin
net10025,_2687_/B2,net,pin
net10025,_2686_/B2,net,pin
net10025,_2431_/B1,net,pin
net10025,_1681_/B2,net,pin
net10025,_1680_/B2,net,pin
net10025,_1555_/B1,net,pin
net10025,_1551_/B1,net,pin
_3944_/Y,net10026,pin,net
net10026,_2686_/A2,net,pin
net10026,_2684_/A2,net,pin
net10026,_2683_/A2,net,pin
net10026,_1678_/B2,net,pin
net10026,_1677_/B2,net,pin
net10026,_1676_/B2,net,pin
net10026,_1555_/A1,net,pin
net10026,_1554_/A1,net,pin
net10026,_1553_/A1,net,pin
net10026,_1551_/A1,net,pin
_3943_/Y,net10027,pin,net
net10027,_2731_/A,net,pin
net10027,_2724_/A,net,pin
net10027,_2687_/A2,net,pin
net10027,_2684_/B2,net,pin
net10027,_2683_/B2,net,pin
net10027,_1688_/B2,net,pin
net10027,_1683_/B2,net,pin
net10027,_1559_/A1,net,pin
net10027,_1554_/B1,net,pin
net10027,_1553_/B1,net,pin
_3942_/Y,net10028,pin,net
net10028,_2732_/A,net,pin
net10028,_2723_/A,net,pin
net10028,_2689_/A2,net,pin
net10028,_2688_/B2,net,pin
net10028,_1690_/B2,net,pin
net10028,_1687_/B2,net,pin
net10028,_1685_/B2,net,pin
net10028,_1682_/B2,net,pin
net10028,_1557_/B1,net,pin
net10028,_1552_/B1,net,pin
_3941_/Y,net10029,pin,net
net10029,_2691_/A2,net,pin
net10029,_2690_/A2,net,pin
net10029,_2688_/A2,net,pin
net10029,_2685_/A2,net,pin
net10029,_1679_/B2,net,pin
net10029,_1675_/B2,net,pin
net10029,_1557_/A1,net,pin
net10029,_1556_/A1,net,pin
net10029,_1552_/A1,net,pin
net10029,_1550_/A1,net,pin
net1003,_28034_/A,net,pin
net1003,_28000_/A,net,pin
net1003,_17006_/A1,net,pin
_3940_/Y,net10030,pin,net
net10030,_2693_/B2,net,pin
net10030,_2691_/B2,net,pin
net10030,_2690_/B2,net,pin
net10030,_2689_/B2,net,pin
net10030,_1694_/B2,net,pin
net10030,_1667_/B2,net,pin
net10030,_1623_/B1,net,pin
net10030,_1621_/B1,net,pin
net10030,_1616_/B1,net,pin
net10030,_1614_/B1,net,pin
_3939_/Y,net10031,pin,net
net10031,_2692_/B2,net,pin
net10031,_2431_/A1,net,pin
net10031,_1696_/B2,net,pin
net10031,_1695_/B2,net,pin
net10031,_1693_/B2,net,pin
net10031,_1692_/B2,net,pin
net10031,_1620_/B1,net,pin
net10031,_1619_/B1,net,pin
net10031,_1617_/B1,net,pin
net10031,_1615_/B1,net,pin
_3938_/Y,net10032,pin,net
net10032,_2737_/A,net,pin
net10032,_2726_/A,net,pin
net10032,_2693_/A2,net,pin
net10032,_2685_/B2,net,pin
net10032,_1691_/B2,net,pin
net10032,_1689_/B2,net,pin
net10032,_1686_/B2,net,pin
net10032,_1684_/B2,net,pin
net10032,_1556_/B1,net,pin
net10032,_1550_/B1,net,pin
_3937_/Y,net10033,pin,net
net10033,_2739_/A,net,pin
net10033,_2696_/B2,net,pin
net10033,_2695_/B2,net,pin
net10033,_2432_/B1,net,pin
net10033,_1706_/B2,net,pin
net10033,_1705_/B2,net,pin
net10033,_1572_/B1,net,pin
net10033,_1566_/B1,net,pin
_3936_/Y,net10034,pin,net
net10034,_2699_/A2,net,pin
net10034,_1703_/B2,net,pin
net10034,_1702_/B2,net,pin
net10034,_1701_/B2,net,pin
net10034,_1699_/B2,net,pin
net10034,_1578_/B1,net,pin
net10034,_1572_/A1,net,pin
net10034,_1563_/A1,net,pin
_3935_/Y,net10035,pin,net
net10035,_2738_/A,net,pin
net10035,_2730_/A,net,pin
net10035,_2697_/B2,net,pin
net10035,_2694_/A2,net,pin
net10035,_1704_/B2,net,pin
net10035,_1565_/A1,net,pin
net10035,_1560_/B1,net,pin
net10035,_1545_/B1,net,pin
_3934_/Y,net10036,pin,net
net10036,_2721_/A,net,pin
net10036,_2720_/A,net,pin
net10036,_2698_/A2,net,pin
net10036,_2694_/B2,net,pin
