net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
accu2sc_credit_size[0],0,-1,0,0.0,0.0,0.0,0.0
accu2sc_credit_size[1],0,-1,0,0.0,0.0,0.0,0.0
accu2sc_credit_size[2],0,-1,0,0.0,0.0,0.0,0.0
accu2sc_credit_vld,0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[0],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[10],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[11],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[12],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[13],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[14],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[15],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[16],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[17],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[18],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[19],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[1],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[20],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[21],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[22],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[23],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[24],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[25],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[26],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[27],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[28],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[29],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[2],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[30],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[31],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[32],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[33],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[3],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[4],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[5],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[6],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[7],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[8],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_pd[9],0,-1,0,0.0,0.0,0.0,0.0
cacc2csb_resp_valid,0,-1,0,0.0,0.0,0.0,0.0
cacc2glb_done_intr_pd[0],0,-1,0,0.0,0.0,0.0,0.0
cacc2glb_done_intr_pd[1],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[0],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[10],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[11],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[12],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[13],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[14],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[15],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[16],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[17],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[18],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[19],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[1],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[20],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[21],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[22],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[23],0,-1,0,0.0,0.0,0.0,0.0
cacc2sdp_pd[24],0,-1,0,0.0,0.0,0.0,0.0
