src,tar,src_type,tar_type
clkbuf_0_nvdla_core_clk,clkbuf_2_3_0_nvdla_core_clk,cell,cell
clkbuf_0_nvdla_core_clk,clkbuf_2_2_0_nvdla_core_clk,cell,cell
clkbuf_0_nvdla_core_clk,clkbuf_2_1_0_nvdla_core_clk,cell,cell
clkbuf_0_nvdla_core_clk,clkbuf_2_0_0_nvdla_core_clk,cell,cell
clkbuf_2_0_0_nvdla_core_clk,clkbuf_3_1__f_nvdla_core_clk,cell,cell
clkbuf_2_0_0_nvdla_core_clk,clkbuf_3_0__f_nvdla_core_clk,cell,cell
clkbuf_2_1_0_nvdla_core_clk,clkbuf_3_3__f_nvdla_core_clk,cell,cell
clkbuf_2_1_0_nvdla_core_clk,clkbuf_3_2__f_nvdla_core_clk,cell,cell
clkbuf_2_2_0_nvdla_core_clk,clkbuf_3_5__f_nvdla_core_clk,cell,cell
clkbuf_2_2_0_nvdla_core_clk,clkbuf_3_4__f_nvdla_core_clk,cell,cell
clkbuf_2_3_0_nvdla_core_clk,clkbuf_3_7__f_nvdla_core_clk,cell,cell
clkbuf_2_3_0_nvdla_core_clk,clkbuf_3_6__f_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_77_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_70_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_69_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_68_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_8_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_7_nvdla_core_clk,cell,cell
clkbuf_3_0__f_nvdla_core_clk,clkbuf_leaf_6_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_76_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_75_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_74_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_73_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_72_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_71_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_67_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_66_nvdla_core_clk,cell,cell
clkbuf_3_1__f_nvdla_core_clk,clkbuf_leaf_65_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_17_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_16_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_15_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_14_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_13_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_12_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_11_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_4_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_3_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_2_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_1_nvdla_core_clk,cell,cell
clkbuf_3_2__f_nvdla_core_clk,clkbuf_leaf_0_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_28_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_27_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_26_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_22_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_21_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_20_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_19_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_18_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_10_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_9_nvdla_core_clk,cell,cell
clkbuf_3_3__f_nvdla_core_clk,clkbuf_leaf_5_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_64_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_63_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_62_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_61_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_60_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_59_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_58_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_57_nvdla_core_clk,cell,cell
clkbuf_3_4__f_nvdla_core_clk,clkbuf_leaf_49_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_56_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_55_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_54_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_53_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_52_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_51_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_50_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_46_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_45_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_44_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_43_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_42_nvdla_core_clk,cell,cell
clkbuf_3_5__f_nvdla_core_clk,clkbuf_leaf_41_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_39_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_38_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_37_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_36_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_35_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_31_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_30_nvdla_core_clk,cell,cell
clkbuf_3_6__f_nvdla_core_clk,clkbuf_leaf_29_nvdla_core_clk,cell,cell
