src,tar,src_type,tar_type
net24983,_0_,net,cell
_0_,net0,cell,net
net5918,_10000_,net,cell
net3515,_10000_,net,cell
net5917,_10000_,net,cell
_10000_,net941,cell,net
net4261,_10001_,net,cell
_10001_,net5918,cell,net
net19381,_10002_,net,cell
net5916,_10002_,net,cell
_10002_,net5917,cell,net
net5914,_10003_,net,cell
net5915,_10003_,net,cell
_10003_,net5916,cell,net
net19205,_10004_,net,cell
_10004_,net5915,cell,net
net1433,_10005_,net,cell
_10005_,net5914,cell,net
net5913,_10006_,net,cell
net3515,_10006_,net,cell
net5917,_10006_,net,cell
_10006_,net160,cell,net
net4261,_10007_,net,cell
_10007_,net5913,cell,net
net23347,_10008_,net,cell
net2921,_10008_,net,cell
net5923,_10008_,net,cell
_10008_,net7519,cell,net
net5919,_10009_,net,cell
net5920,_10009_,net,cell
_10009_,net5923,cell,net
net27370,_1000_,net,cell
_1000_,net781,cell,net
net16497,_10010_,net,cell
_10010_,net5920,cell,net
net16629,_10011_,net,cell
net12792,_10011_,net,cell
net2692,_10011_,net,cell
_10011_,net12794,cell,net
net3374,_10012_,net,cell
_10012_,net5919,cell,net
net25412,_10013_,net,cell
net3373,_10013_,net,cell
net27357,_10013_,net,cell
net3370,_10013_,net,cell
_10013_,net12121,cell,net
net3265,_10014_,net,cell
net27139,_10014_,net,cell
net3263,_10014_,net,cell
net19482,_10014_,net,cell
_10014_,net17509,cell,net
net25418,_10015_,net,cell
net12062,_10015_,net,cell
net5925,_10015_,net,cell
net5924,_10015_,net,cell
_10015_,net25536,cell,net
net11704,_10016_,net,cell
_10016_,net5925,cell,net
net28,_10017_,net,cell
_10017_,net5924,cell,net
net5927,_10018_,net,cell
net5926,_10018_,net,cell
net19040,_10018_,net,cell
net16742,_10018_,net,cell
_10018_,net19089,cell,net
net19027,_10019_,net,cell
_10019_,net5927,cell,net
net27180,_1001_,net,cell
_1001_,net882,cell,net
net19019,_10020_,net,cell
_10020_,net5926,cell,net
net4026,_10021_,net,cell
net141,_10021_,net,cell
net6749,_10021_,net,cell
net14577,_10021_,net,cell
_10021_,net14578,cell,net
net14880,_10022_,net,cell
net5929,_10022_,net,cell
net20101,_10022_,net,cell
net5928,_10022_,net,cell
_10022_,net20028,cell,net
net2531,_10023_,net,cell
_10023_,net5929,cell,net
net14880,_10024_,net,cell
net5845,_10024_,net,cell
_10024_,net5928,cell,net
net7676,_10025_,net,cell
_10025_,net5931,cell,net
net19991,_10026_,net,cell
_10026_,net5930,cell,net
net19991,_10027_,net,cell
net7676,_10027_,net,cell
_10027_,net7057,cell,net
net12855,_10028_,net,cell
_10028_,net5937,cell,net
net16636,_10029_,net,cell
_10029_,net5936,cell,net
net27830,_1002_,net,cell
_1002_,net779,cell,net
net12854,_10030_,net,cell
_10030_,net5935,cell,net
net5932,_10031_,net,cell
net16636,_10031_,net,cell
net12855,_10031_,net,cell
net12854,_10031_,net,cell
_10031_,net12856,cell,net
net12855,_10032_,net,cell
_10032_,net5932,cell,net
net14885,_10033_,net,cell
net5939,_10033_,net,cell
_10033_,net13187,cell,net
net14883,_10034_,net,cell
net20124,_10034_,net,cell
net5938,_10034_,net,cell
_10034_,net5939,cell,net
net20283,_10035_,net,cell
_10035_,net5938,cell,net
net9409,_10036_,net,cell
net16327,_10036_,net,cell
net2410,_10036_,net,cell
net9408,_10036_,net,cell
_10036_,net9410,cell,net
net19655,_10037_,net,cell
net45,_10037_,net,cell
net13112,_10037_,net,cell
net19654,_10037_,net,cell
_10037_,net19689,cell,net
net15627,_10038_,net,cell
_10038_,net5941,cell,net
net21750,_10039_,net,cell
_10039_,net5940,cell,net
net12321,_1003_,net,cell
_1003_,net883,cell,net
net18242,_10040_,net,cell
_10040_,net2378,cell,net
net12052,_10041_,net,cell
_10041_,net5945,cell,net
net24786,_10042_,net,cell
_10042_,net5944,cell,net
net7738,_10043_,net,cell
net24806,_10043_,net,cell
net11070,_10043_,net,cell
_10043_,net5943,cell,net
net273,_10044_,net,cell
net7264,_10044_,net,cell
net18025,_10044_,net,cell
net24,_10044_,net,cell
_10044_,net18026,cell,net
net24786,_10045_,net,cell
net11070,_10045_,net,cell
_10045_,net24787,cell,net
net14666,_10046_,net,cell
net5949,_10046_,net,cell
net12133,_10046_,net,cell
net5948,_10046_,net,cell
net5947,_10046_,net,cell
_10046_,net16304,cell,net
net12133,_10047_,net,cell
_10047_,net5949,cell,net
net14666,_10048_,net,cell
_10048_,net5948,cell,net
net4184,_10049_,net,cell
_10049_,net5947,cell,net
net27830,_1004_,net,cell
_1004_,net3163,cell,net
net12577,_10050_,net,cell
_10050_,net5951,cell,net
net12577,_10051_,net,cell
_10051_,net5950,cell,net
net14420,_10052_,net,cell
net5961,_10052_,net,cell
net5956,_10052_,net,cell
_10052_,net23030,cell,net
net17092,_10053_,net,cell
net10642,_10053_,net,cell
net23033,_10053_,net,cell
net23027,_10053_,net,cell
_10053_,net23046,cell,net
net5960,_10054_,net,cell
net2580,_10054_,net,cell
net5954,_10054_,net,cell
_10054_,net5961,cell,net
net5958,_10055_,net,cell
net5959,_10055_,net,cell
_10055_,net5960,cell,net
net9589,_10056_,net,cell
_10056_,net5959,cell,net
net7709,_10057_,net,cell
net9589,_10057_,net,cell
_10057_,net5957,cell,net
net2580,_10058_,net,cell
net5954,_10058_,net,cell
_10058_,net5955,cell,net
net5957,_10059_,net,cell
_10059_,net5954,cell,net
net6738,_1005_,net,cell
_1005_,net884,cell,net
net21897,_10060_,net,cell
net5965,_10060_,net,cell
net5964,_10060_,net,cell
_10060_,net6978,cell,net
net1646,_10061_,net,cell
net14752,_10061_,net,cell
net3953,_10061_,net,cell
_10061_,net5965,cell,net
net6726,_10062_,net,cell
net3367,_10062_,net,cell
net21897,_10062_,net,cell
net14943,_10062_,net,cell
_10062_,net5964,cell,net
net16600,_10063_,net,cell
net21810,_10063_,net,cell
net21819,_10063_,net,cell
net21925,_10063_,net,cell
_10063_,net21853,cell,net
net16196,_10064_,net,cell
net23377,_10064_,net,cell
net5968,_10064_,net,cell
_10064_,net5969,cell,net
net5969,_10065_,net,cell
_10065_,net23480,cell,net
net5966,_10066_,net,cell
net5967,_10066_,net,cell
_10066_,net5968,cell,net
net23377,_10067_,net,cell
_10067_,net5967,cell,net
net714,_10068_,net,cell
_10068_,net5966,cell,net
net13163,_10069_,net,cell
net12239,_10069_,net,cell
net13165,_10069_,net,cell
_10069_,net21484,cell,net
net781,_1006_,net,cell
_1006_,net866,cell,net
net12990,_10070_,net,cell
net12991,_10070_,net,cell
net12988,_10070_,net,cell
net14322,_10070_,net,cell
_10070_,net12992,cell,net
net5976,_10071_,net,cell
net5975,_10071_,net,cell
net5970,_10071_,net,cell
_10071_,net11756,cell,net
net6744,_10072_,net,cell
_10072_,net5976,cell,net
net12354,_10073_,net,cell
_10073_,net5975,cell,net
net12354,_10074_,net,cell
net6744,_10074_,net,cell
net21816,_10074_,net,cell
_10074_,net5970,cell,net
net2898,_10075_,net,cell
net21381,_10075_,net,cell
net611,_10075_,net,cell
net27215,_10075_,net,cell
_10075_,net12514,cell,net
net21812,_10076_,net,cell
net5982,_10076_,net,cell
net5978,_10076_,net,cell
_10076_,net21842,cell,net
net12280,_10077_,net,cell
net8597,_10077_,net,cell
net8598,_10077_,net,cell
_10077_,net10363,cell,net
net5981,_10078_,net,cell
_10078_,net5982,cell,net
net5979,_10079_,net,cell
net5980,_10079_,net,cell
_10079_,net5981,cell,net
net8644,_1007_,net,cell
_1007_,net885,cell,net
net21802,_10080_,net,cell
_10080_,net5980,cell,net
net21809,_10081_,net,cell
_10081_,net5979,cell,net
net21809,_10082_,net,cell
net21802,_10082_,net,cell
_10082_,net5978,cell,net
net21812,_10083_,net,cell
net5978,_10083_,net,cell
net5977,_10083_,net,cell
_10083_,net21841,cell,net
net5981,_10084_,net,cell
_10084_,net5977,cell,net
net21812,_10085_,net,cell
_10085_,net21927,cell,net
net22936,_10086_,net,cell
net18098,_10086_,net,cell
net22869,_10086_,net,cell
_10086_,net43,cell,net
net22936,_10087_,net,cell
net18098,_10087_,net,cell
net22869,_10087_,net,cell
_10087_,net7774,cell,net
net21502,_10088_,net,cell
net12577,_10088_,net,cell
net21463,_10088_,net,cell
_10088_,net7578,cell,net
net14666,_10089_,net,cell
net14484,_10089_,net,cell
net14667,_10089_,net,cell
_10089_,net14668,cell,net
net781,_1008_,net,cell
_1008_,net867,cell,net
net14666,_10090_,net,cell
net14484,_10090_,net,cell
net14667,_10090_,net,cell
_10090_,net7896,cell,net
net5987,_10091_,net,cell
net9755,_10091_,net,cell
net14376,_10091_,net,cell
net5986,_10091_,net,cell
_10091_,net14377,cell,net
net14376,_10092_,net,cell
_10092_,net5987,cell,net
net9755,_10093_,net,cell
_10093_,net5986,cell,net
net5984,_10094_,net,cell
net5983,_10094_,net,cell
net14376,_10094_,net,cell
net9755,_10094_,net,cell
_10094_,net16692,cell,net
net14376,_10095_,net,cell
_10095_,net5984,cell,net
net9755,_10096_,net,cell
_10096_,net5983,cell,net
net15183,_10097_,net,cell
_10097_,net5990,cell,net
net16354,_10098_,net,cell
_10098_,net5989,cell,net
net16355,_10099_,net,cell
_10099_,net5988,cell,net
net13997,_1009_,net,cell
