src,tar,src_type,tar_type
_0_/A,_0_,pin,cell
_0_,_0_/Y,cell,pin
_10000_/A1,_10000_,pin,cell
_10000_/A2,_10000_,pin,cell
_10000_/B,_10000_,pin,cell
_10000_,_10000_/Y,cell,pin
_10001_/A,_10001_,pin,cell
_10001_,_10001_/Y,cell,pin
_10002_/A,_10002_,pin,cell
_10002_/B,_10002_,pin,cell
_10002_,_10002_/Y,cell,pin
_10003_/A,_10003_,pin,cell
_10003_/B,_10003_,pin,cell
_10003_,_10003_/Y,cell,pin
_10004_/A,_10004_,pin,cell
_10004_,_10004_/Y,cell,pin
_10005_/A,_10005_,pin,cell
_10005_,_10005_/Y,cell,pin
_10006_/A1,_10006_,pin,cell
_10006_/A2,_10006_,pin,cell
_10006_/B,_10006_,pin,cell
_10006_,_10006_/Y,cell,pin
_10007_/A,_10007_,pin,cell
_10007_,_10007_/Y,cell,pin
_10008_/A1,_10008_,pin,cell
_10008_/A2,_10008_,pin,cell
_10008_/B,_10008_,pin,cell
_10008_,_10008_/Y,cell,pin
_10009_/A,_10009_,pin,cell
_10009_/B,_10009_,pin,cell
_10009_,_10009_/Y,cell,pin
_1000_/A,_1000_,pin,cell
_1000_,_1000_/Y,cell,pin
_10010_/A,_10010_,pin,cell
_10010_,_10010_/Y,cell,pin
_10011_/A1,_10011_,pin,cell
_10011_/A2,_10011_,pin,cell
_10011_/B,_10011_,pin,cell
_10011_,_10011_/Y,cell,pin
_10012_/A,_10012_,pin,cell
_10012_,_10012_/Y,cell,pin
_10013_/A1,_10013_,pin,cell
_10013_/A2,_10013_,pin,cell
_10013_/B1,_10013_,pin,cell
_10013_/B2,_10013_,pin,cell
_10013_,_10013_/Y,cell,pin
_10014_/A1,_10014_,pin,cell
_10014_/A2,_10014_,pin,cell
_10014_/B1,_10014_,pin,cell
_10014_/B2,_10014_,pin,cell
_10014_,_10014_/Y,cell,pin
_10015_/A1,_10015_,pin,cell
_10015_/A2,_10015_,pin,cell
_10015_/B1,_10015_,pin,cell
_10015_/B2,_10015_,pin,cell
_10015_,_10015_/Y,cell,pin
_10016_/A,_10016_,pin,cell
_10016_,_10016_/Y,cell,pin
_10017_/A,_10017_,pin,cell
_10017_,_10017_/Y,cell,pin
_10018_/A1,_10018_,pin,cell
_10018_/A2,_10018_,pin,cell
_10018_/B1,_10018_,pin,cell
_10018_/B2,_10018_,pin,cell
_10018_,_10018_/Y,cell,pin
_10019_/A,_10019_,pin,cell
_10019_,_10019_/Y,cell,pin
_1001_/A,_1001_,pin,cell
_1001_,_1001_/Y,cell,pin
_10020_/A,_10020_,pin,cell
_10020_,_10020_/Y,cell,pin
_10021_/A1,_10021_,pin,cell
_10021_/A2,_10021_,pin,cell
_10021_/B1,_10021_,pin,cell
_10021_/B2,_10021_,pin,cell
_10021_,_10021_/Y,cell,pin
_10022_/A1,_10022_,pin,cell
_10022_/A2,_10022_,pin,cell
_10022_/B,_10022_,pin,cell
_10022_/C,_10022_,pin,cell
_10022_,_10022_/Y,cell,pin
_10023_/A,_10023_,pin,cell
_10023_,_10023_/Y,cell,pin
_10024_/A,_10024_,pin,cell
_10024_/B,_10024_,pin,cell
_10024_,_10024_/Y,cell,pin
_10025_/A,_10025_,pin,cell
_10025_,_10025_/Y,cell,pin
_10026_/A,_10026_,pin,cell
_10026_,_10026_/Y,cell,pin
_10027_/A,_10027_,pin,cell
_10027_/B,_10027_,pin,cell
_10027_,_10027_/Y,cell,pin
_10028_/A,_10028_,pin,cell
_10028_,_10028_/Y,cell,pin
_10029_/A,_10029_,pin,cell
_10029_,_10029_/Y,cell,pin
_1002_/A,_1002_,pin,cell
_1002_,_1002_/Y,cell,pin
_10030_/A,_10030_,pin,cell
_10030_,_10030_/Y,cell,pin
_10031_/A1,_10031_,pin,cell
_10031_/A2,_10031_,pin,cell
_10031_/B1,_10031_,pin,cell
_10031_/B2,_10031_,pin,cell
_10031_,_10031_/Y,cell,pin
_10032_/A,_10032_,pin,cell
_10032_,_10032_/Y,cell,pin
_10033_/A,_10033_,pin,cell
_10033_/B,_10033_,pin,cell
_10033_,_10033_/Y,cell,pin
_10034_/A1,_10034_,pin,cell
_10034_/A2,_10034_,pin,cell
_10034_/B,_10034_,pin,cell
_10034_,_10034_/Y,cell,pin
_10035_/A,_10035_,pin,cell
_10035_,_10035_/Y,cell,pin
_10036_/A1,_10036_,pin,cell
_10036_/A2,_10036_,pin,cell
