src,tar,src_type,tar_type
output179/Y,cmac_a2csb_resp_pd[0],pin,net
output180/Y,cmac_a2csb_resp_pd[12],pin,net
output181/Y,cmac_a2csb_resp_pd[13],pin,net
output182/Y,cmac_a2csb_resp_pd[16],pin,net
output183/Y,cmac_a2csb_resp_pd[17],pin,net
output184/Y,cmac_a2csb_resp_pd[1],pin,net
output185/Y,cmac_a2csb_resp_pd[33],pin,net
output186/Y,cmac_a2csb_resp_valid,pin,net
csb2cmac_a_req_pd[0],input1/A,net,pin
csb2cmac_a_req_pd[1],input2/A,net,pin
csb2cmac_a_req_pd[22],input3/A,net,pin
csb2cmac_a_req_pd[2],input4/A,net,pin
csb2cmac_a_req_pd[34],input5/A,net,pin
csb2cmac_a_req_pd[35],input6/A,net,pin
csb2cmac_a_req_pd[3],input7/A,net,pin
csb2cmac_a_req_pd[4],input8/A,net,pin
csb2cmac_a_req_pd[54],input9/A,net,pin
csb2cmac_a_req_pd[55],input10/A,net,pin
csb2cmac_a_req_pd[5],input11/A,net,pin
csb2cmac_a_req_pd[6],input12/A,net,pin
csb2cmac_a_req_pd[7],input13/A,net,pin
csb2cmac_a_req_pd[8],input14/A,net,pin
csb2cmac_a_req_pd[9],input15/A,net,pin
csb2cmac_a_req_pvld,input16/A,net,pin
direct_reset_,input17/A,net,pin
dla_reset_rstn,input18/A,net,pin
output187/Y,mac2accu_data0[0],pin,net
output188/Y,mac2accu_data0[10],pin,net
output189/Y,mac2accu_data0[11],pin,net
output190/Y,mac2accu_data0[12],pin,net
output191/Y,mac2accu_data0[13],pin,net
output192/Y,mac2accu_data0[14],pin,net
output193/Y,mac2accu_data0[15],pin,net
output194/Y,mac2accu_data0[16],pin,net
output195/Y,mac2accu_data0[17],pin,net
output196/Y,mac2accu_data0[18],pin,net
output197/Y,mac2accu_data0[1],pin,net
output198/Y,mac2accu_data0[2],pin,net
output199/Y,mac2accu_data0[3],pin,net
output200/Y,mac2accu_data0[4],pin,net
output201/Y,mac2accu_data0[5],pin,net
output202/Y,mac2accu_data0[6],pin,net
output203/Y,mac2accu_data0[7],pin,net
output204/Y,mac2accu_data0[8],pin,net
output205/Y,mac2accu_data0[9],pin,net
output206/Y,mac2accu_data1[0],pin,net
output207/Y,mac2accu_data1[10],pin,net
output208/Y,mac2accu_data1[11],pin,net
output209/Y,mac2accu_data1[12],pin,net
output210/Y,mac2accu_data1[13],pin,net
output211/Y,mac2accu_data1[14],pin,net
output212/Y,mac2accu_data1[15],pin,net
output213/Y,mac2accu_data1[16],pin,net
output214/Y,mac2accu_data1[17],pin,net
output215/Y,mac2accu_data1[18],pin,net
output216/Y,mac2accu_data1[1],pin,net
output217/Y,mac2accu_data1[2],pin,net
output218/Y,mac2accu_data1[3],pin,net
output219/Y,mac2accu_data1[4],pin,net
output220/Y,mac2accu_data1[5],pin,net
output221/Y,mac2accu_data1[6],pin,net
output222/Y,mac2accu_data1[7],pin,net
output223/Y,mac2accu_data1[8],pin,net
output224/Y,mac2accu_data1[9],pin,net
output225/Y,mac2accu_data2[0],pin,net
output226/Y,mac2accu_data2[10],pin,net
output227/Y,mac2accu_data2[11],pin,net
output228/Y,mac2accu_data2[12],pin,net
output229/Y,mac2accu_data2[13],pin,net
output230/Y,mac2accu_data2[14],pin,net
output231/Y,mac2accu_data2[15],pin,net
output232/Y,mac2accu_data2[16],pin,net
output233/Y,mac2accu_data2[17],pin,net
output234/Y,mac2accu_data2[18],pin,net
output235/Y,mac2accu_data2[1],pin,net
output236/Y,mac2accu_data2[2],pin,net
output237/Y,mac2accu_data2[3],pin,net
output238/Y,mac2accu_data2[4],pin,net
output239/Y,mac2accu_data2[5],pin,net
output240/Y,mac2accu_data2[6],pin,net
output241/Y,mac2accu_data2[7],pin,net
output242/Y,mac2accu_data2[8],pin,net
output243/Y,mac2accu_data2[9],pin,net
output244/Y,mac2accu_data3[0],pin,net
output245/Y,mac2accu_data3[10],pin,net
output246/Y,mac2accu_data3[11],pin,net
output247/Y,mac2accu_data3[12],pin,net
output248/Y,mac2accu_data3[13],pin,net
output249/Y,mac2accu_data3[14],pin,net
output250/Y,mac2accu_data3[15],pin,net
output251/Y,mac2accu_data3[16],pin,net
output252/Y,mac2accu_data3[17],pin,net
output253/Y,mac2accu_data3[18],pin,net
output254/Y,mac2accu_data3[1],pin,net
output255/Y,mac2accu_data3[2],pin,net
output256/Y,mac2accu_data3[3],pin,net
output257/Y,mac2accu_data3[4],pin,net
output258/Y,mac2accu_data3[5],pin,net
output259/Y,mac2accu_data3[6],pin,net
output260/Y,mac2accu_data3[7],pin,net
output261/Y,mac2accu_data3[8],pin,net
output262/Y,mac2accu_data3[9],pin,net
output263/Y,mac2accu_mask[0],pin,net
output264/Y,mac2accu_mask[1],pin,net
output265/Y,mac2accu_mask[2],pin,net
output266/Y,mac2accu_mask[3],pin,net
output267/Y,mac2accu_pd[0],pin,net
output268/Y,mac2accu_pd[1],pin,net
output269/Y,mac2accu_pd[2],pin,net
output270/Y,mac2accu_pd[3],pin,net
output271/Y,mac2accu_pd[4],pin,net
output272/Y,mac2accu_pd[5],pin,net
output273/Y,mac2accu_pd[6],pin,net
output274/Y,mac2accu_pd[7],pin,net
output275/Y,mac2accu_pd[8],pin,net
output276/Y,mac2accu_pvld,pin,net
nvdla_core_clk,clkbuf_0_nvdla_core_clk/A,net,pin
sc2mac_dat_data0[0],input19/A,net,pin
sc2mac_dat_data0[1],input20/A,net,pin
sc2mac_dat_data0[2],input21/A,net,pin
sc2mac_dat_data0[3],input22/A,net,pin
sc2mac_dat_data0[4],input23/A,net,pin
sc2mac_dat_data0[5],input24/A,net,pin
sc2mac_dat_data0[6],input25/A,net,pin
sc2mac_dat_data0[7],input26/A,net,pin
sc2mac_dat_data1[0],input27/A,net,pin
sc2mac_dat_data1[1],input28/A,net,pin
sc2mac_dat_data1[2],input29/A,net,pin
sc2mac_dat_data1[3],input30/A,net,pin
sc2mac_dat_data1[4],input31/A,net,pin
sc2mac_dat_data1[5],input32/A,net,pin
sc2mac_dat_data1[6],input33/A,net,pin
sc2mac_dat_data1[7],input34/A,net,pin
sc2mac_dat_data2[0],input35/A,net,pin
sc2mac_dat_data2[1],input36/A,net,pin
sc2mac_dat_data2[2],input37/A,net,pin
sc2mac_dat_data2[3],input38/A,net,pin
sc2mac_dat_data2[4],input39/A,net,pin
sc2mac_dat_data2[5],input40/A,net,pin
sc2mac_dat_data2[6],input41/A,net,pin
sc2mac_dat_data2[7],input42/A,net,pin
sc2mac_dat_data3[0],input43/A,net,pin
sc2mac_dat_data3[1],input44/A,net,pin
sc2mac_dat_data3[2],input45/A,net,pin
sc2mac_dat_data3[3],input46/A,net,pin
sc2mac_dat_data3[4],input47/A,net,pin
sc2mac_dat_data3[5],input48/A,net,pin
sc2mac_dat_data3[6],input49/A,net,pin
sc2mac_dat_data3[7],input50/A,net,pin
sc2mac_dat_data4[0],input51/A,net,pin
sc2mac_dat_data4[1],input52/A,net,pin
sc2mac_dat_data4[2],input53/A,net,pin
sc2mac_dat_data4[3],input54/A,net,pin
sc2mac_dat_data4[4],input55/A,net,pin
sc2mac_dat_data4[5],input56/A,net,pin
sc2mac_dat_data4[6],input57/A,net,pin
sc2mac_dat_data4[7],input58/A,net,pin
sc2mac_dat_data5[0],input59/A,net,pin
sc2mac_dat_data5[1],input60/A,net,pin
sc2mac_dat_data5[2],input61/A,net,pin
sc2mac_dat_data5[3],input62/A,net,pin
sc2mac_dat_data5[4],input63/A,net,pin
sc2mac_dat_data5[5],input64/A,net,pin
sc2mac_dat_data5[6],input65/A,net,pin
sc2mac_dat_data5[7],input66/A,net,pin
sc2mac_dat_data6[0],input67/A,net,pin
sc2mac_dat_data6[1],input68/A,net,pin
sc2mac_dat_data6[2],input69/A,net,pin
sc2mac_dat_data6[3],input70/A,net,pin
sc2mac_dat_data6[4],input71/A,net,pin
sc2mac_dat_data6[5],input72/A,net,pin
sc2mac_dat_data6[6],input73/A,net,pin
sc2mac_dat_data6[7],input74/A,net,pin
sc2mac_dat_data7[0],input75/A,net,pin
sc2mac_dat_data7[1],input76/A,net,pin
sc2mac_dat_data7[2],input77/A,net,pin
sc2mac_dat_data7[3],input78/A,net,pin
sc2mac_dat_data7[4],input79/A,net,pin
sc2mac_dat_data7[5],input80/A,net,pin
sc2mac_dat_data7[6],input81/A,net,pin
sc2mac_dat_data7[7],input82/A,net,pin
sc2mac_dat_mask[0],input83/A,net,pin
sc2mac_dat_mask[1],input84/A,net,pin
sc2mac_dat_mask[2],input85/A,net,pin
sc2mac_dat_mask[3],input86/A,net,pin
sc2mac_dat_mask[4],input87/A,net,pin
sc2mac_dat_mask[5],input88/A,net,pin
sc2mac_dat_mask[6],input89/A,net,pin
sc2mac_dat_mask[7],input90/A,net,pin
sc2mac_dat_pd[0],input91/A,net,pin
sc2mac_dat_pd[1],input92/A,net,pin
sc2mac_dat_pd[2],input93/A,net,pin
sc2mac_dat_pd[3],input94/A,net,pin
sc2mac_dat_pd[4],input95/A,net,pin
sc2mac_dat_pd[5],input96/A,net,pin
sc2mac_dat_pd[6],input97/A,net,pin
sc2mac_dat_pd[7],input98/A,net,pin
sc2mac_dat_pd[8],input99/A,net,pin
sc2mac_dat_pvld,input100/A,net,pin
sc2mac_wt_data0[0],input101/A,net,pin
sc2mac_wt_data0[1],input102/A,net,pin
sc2mac_wt_data0[2],input103/A,net,pin
sc2mac_wt_data0[3],input104/A,net,pin
sc2mac_wt_data0[4],input105/A,net,pin
sc2mac_wt_data0[5],input106/A,net,pin
sc2mac_wt_data0[6],input107/A,net,pin
sc2mac_wt_data0[7],input108/A,net,pin
sc2mac_wt_data1[0],input109/A,net,pin
sc2mac_wt_data1[1],input110/A,net,pin
sc2mac_wt_data1[2],input111/A,net,pin
sc2mac_wt_data1[3],input112/A,net,pin
sc2mac_wt_data1[4],input113/A,net,pin
sc2mac_wt_data1[5],input114/A,net,pin
sc2mac_wt_data1[6],input115/A,net,pin
sc2mac_wt_data1[7],input116/A,net,pin
sc2mac_wt_data2[0],input117/A,net,pin
sc2mac_wt_data2[1],input118/A,net,pin
sc2mac_wt_data2[2],input119/A,net,pin
sc2mac_wt_data2[3],input120/A,net,pin
sc2mac_wt_data2[4],input121/A,net,pin
sc2mac_wt_data2[5],input122/A,net,pin
sc2mac_wt_data2[6],input123/A,net,pin
sc2mac_wt_data2[7],input124/A,net,pin
sc2mac_wt_data3[0],input125/A,net,pin
sc2mac_wt_data3[1],input126/A,net,pin
sc2mac_wt_data3[2],input127/A,net,pin
sc2mac_wt_data3[3],input128/A,net,pin
sc2mac_wt_data3[4],input129/A,net,pin
sc2mac_wt_data3[5],input130/A,net,pin
sc2mac_wt_data3[6],input131/A,net,pin
sc2mac_wt_data3[7],input132/A,net,pin
sc2mac_wt_data4[0],input133/A,net,pin
sc2mac_wt_data4[1],input134/A,net,pin
sc2mac_wt_data4[2],input135/A,net,pin
sc2mac_wt_data4[3],input136/A,net,pin
sc2mac_wt_data4[4],input137/A,net,pin
sc2mac_wt_data4[5],input138/A,net,pin
sc2mac_wt_data4[6],input139/A,net,pin
sc2mac_wt_data4[7],input140/A,net,pin
sc2mac_wt_data5[0],input141/A,net,pin
sc2mac_wt_data5[1],input142/A,net,pin
sc2mac_wt_data5[2],input143/A,net,pin
sc2mac_wt_data5[3],input144/A,net,pin
sc2mac_wt_data5[4],input145/A,net,pin
sc2mac_wt_data5[5],input146/A,net,pin
sc2mac_wt_data5[6],input147/A,net,pin
sc2mac_wt_data5[7],input148/A,net,pin
sc2mac_wt_data6[0],input149/A,net,pin
sc2mac_wt_data6[1],input150/A,net,pin
sc2mac_wt_data6[2],input151/A,net,pin
sc2mac_wt_data6[3],input152/A,net,pin
sc2mac_wt_data6[4],input153/A,net,pin
sc2mac_wt_data6[5],input154/A,net,pin
sc2mac_wt_data6[6],input155/A,net,pin
