src,tar,src_type,tar_type
_297_/A,_297_,pin,cell
_297_,_297_/Y,cell,pin
_298_/A,_298_,pin,cell
_298_,_298_/Y,cell,pin
_299_/A,_299_,pin,cell
_299_,_299_/Y,cell,pin
_300_/A,_300_,pin,cell
_300_,_300_/Y,cell,pin
_301_/A,_301_,pin,cell
_301_,_301_/Y,cell,pin
_302_/A,_302_,pin,cell
_302_/B,_302_,pin,cell
_302_,_302_/Y,cell,pin
_303_/A,_303_,pin,cell
_303_/B,_303_,pin,cell
_303_,_303_/Y,cell,pin
_304_/A,_304_,pin,cell
_304_,_304_/Y,cell,pin
_305_/A1,_305_,pin,cell
_305_/A2,_305_,pin,cell
_305_/B,_305_,pin,cell
_305_,_305_/Y,cell,pin
_306_/A1,_306_,pin,cell
_306_/A2,_306_,pin,cell
_306_/B,_306_,pin,cell
_306_,_306_/Y,cell,pin
_307_/A1,_307_,pin,cell
_307_/A2,_307_,pin,cell
_307_/B,_307_,pin,cell
_307_,_307_/Y,cell,pin
_308_/A,_308_,pin,cell
_308_,_308_/Y,cell,pin
_309_/A1,_309_,pin,cell
_309_/A2,_309_,pin,cell
_309_/B,_309_,pin,cell
_309_,_309_/Y,cell,pin
_310_/A,_310_,pin,cell
_310_/B,_310_,pin,cell
_310_/C,_310_,pin,cell
_310_,_310_/Y,cell,pin
_311_/A1,_311_,pin,cell
_311_/A2,_311_,pin,cell
_311_/B,_311_,pin,cell
_311_,_311_/Y,cell,pin
_312_/A1,_312_,pin,cell
_312_/A2,_312_,pin,cell
_312_/B,_312_,pin,cell
_312_,_312_/Y,cell,pin
_313_/A1,_313_,pin,cell
_313_/A2,_313_,pin,cell
_313_/B,_313_,pin,cell
_313_,_313_/Y,cell,pin
_314_/A,_314_,pin,cell
_314_,_314_/Y,cell,pin
_315_/A,_315_,pin,cell
_315_,_315_/Y,cell,pin
_316_/A,_316_,pin,cell
_316_/B,_316_,pin,cell
_316_/C,_316_,pin,cell
_316_,_316_/Y,cell,pin
_317_/A,_317_,pin,cell
_317_/B,_317_,pin,cell
_317_/C,_317_,pin,cell
_317_/D,_317_,pin,cell
_317_,_317_/Y,cell,pin
_318_/A,_318_,pin,cell
_318_/B,_318_,pin,cell
_318_,_318_/Y,cell,pin
_319_/A1,_319_,pin,cell
_319_/A2,_319_,pin,cell
_319_/B,_319_,pin,cell
_319_,_319_/Y,cell,pin
_320_/A1,_320_,pin,cell
_320_/A2,_320_,pin,cell
_320_/B,_320_,pin,cell
_320_,_320_/Y,cell,pin
_321_/A1,_321_,pin,cell
_321_/A2,_321_,pin,cell
_321_/B,_321_,pin,cell
_321_/C,_321_,pin,cell
_321_,_321_/Y,cell,pin
_322_/A1,_322_,pin,cell
_322_/A2,_322_,pin,cell
_322_/B,_322_,pin,cell
_322_,_322_/Y,cell,pin
_323_/A,_323_,pin,cell
_323_/B,_323_,pin,cell
_323_,_323_/Y,cell,pin
_324_/A1,_324_,pin,cell
_324_/A2,_324_,pin,cell
_324_/B,_324_,pin,cell
_324_/C,_324_,pin,cell
_324_,_324_/Y,cell,pin
_325_/A1,_325_,pin,cell
_325_/A2,_325_,pin,cell
_325_/B,_325_,pin,cell
_325_,_325_/Y,cell,pin
_326_/A1,_326_,pin,cell
_326_/A2,_326_,pin,cell
_326_/B,_326_,pin,cell
_326_,_326_/Y,cell,pin
_327_/A,_327_,pin,cell
_327_/B,_327_,pin,cell
_327_,_327_/Y,cell,pin
_328_/A1,_328_,pin,cell
_328_/A2,_328_,pin,cell
_328_/B,_328_,pin,cell
_328_,_328_/Y,cell,pin
_329_/A,_329_,pin,cell
_329_/B,_329_,pin,cell
_329_/C,_329_,pin,cell
_329_/D,_329_,pin,cell
_329_,_329_/Y,cell,pin
_330_/A,_330_,pin,cell
_330_/B,_330_,pin,cell
_330_/C,_330_,pin,cell
_330_/D,_330_,pin,cell
_330_/E,_330_,pin,cell
_330_,_330_/Y,cell,pin
_331_/A,_331_,pin,cell
_331_/B,_331_,pin,cell
_331_/C,_331_,pin,cell
_331_/D,_331_,pin,cell
_331_,_331_/Y,cell,pin
_332_/A,_332_,pin,cell
_332_/B,_332_,pin,cell
_332_/C,_332_,pin,cell
_332_/D,_332_,pin,cell
_332_/E,_332_,pin,cell
_332_,_332_/Y,cell,pin
_333_/A,_333_,pin,cell
_333_/B,_333_,pin,cell
_333_,_333_/Y,cell,pin
_334_/A,_334_,pin,cell
_334_,_334_/Y,cell,pin
_335_/A1,_335_,pin,cell
_335_/A2,_335_,pin,cell
_335_/B,_335_,pin,cell
_335_,_335_/Y,cell,pin
_336_/A,_336_,pin,cell
_336_,_336_/Y,cell,pin
_337_/A1,_337_,pin,cell
_337_/A2,_337_,pin,cell
_337_/B,_337_,pin,cell
_337_,_337_/Y,cell,pin
_338_/A,_338_,pin,cell
_338_,_338_/Y,cell,pin
_339_/A,_339_,pin,cell
_339_/B,_339_,pin,cell
_339_,_339_/Y,cell,pin
_340_/A,_340_,pin,cell
_340_/B,_340_,pin,cell
_340_,_340_/Y,cell,pin
_341_/A,_341_,pin,cell
_341_,_341_/Y,cell,pin
_342_/A1,_342_,pin,cell
_342_/A2,_342_,pin,cell
_342_/B1,_342_,pin,cell
_342_/B2,_342_,pin,cell
_342_/C,_342_,pin,cell
_342_,_342_/Y,cell,pin
_343_/A,_343_,pin,cell
_343_/B,_343_,pin,cell
_343_/C,_343_,pin,cell
_343_,_343_/Y,cell,pin
_344_/A,_344_,pin,cell
_344_/B,_344_,pin,cell
_344_,_344_/Y,cell,pin
_345_/A1,_345_,pin,cell
_345_/A2,_345_,pin,cell
_345_/B,_345_,pin,cell
_345_,_345_/Y,cell,pin
_346_/A1,_346_,pin,cell
_346_/A2,_346_,pin,cell
_346_/B,_346_,pin,cell
_346_,_346_/Y,cell,pin
_347_/A,_347_,pin,cell
_347_,_347_/Y,cell,pin
_348_/A,_348_,pin,cell
_348_,_348_/Y,cell,pin
_349_/A,_349_,pin,cell
_349_,_349_/Y,cell,pin
_350_/A,_350_,pin,cell
_350_,_350_/Y,cell,pin
_351_/A,_351_,pin,cell
_351_,_351_/Y,cell,pin
_352_/A,_352_,pin,cell
_352_,_352_/Y,cell,pin
_353_/A,_353_,pin,cell
_353_,_353_/Y,cell,pin
_354_/A,_354_,pin,cell
_354_,_354_/Y,cell,pin
_355_/A,_355_,pin,cell
_355_,_355_/Y,cell,pin
_356_/A,_356_,pin,cell
_356_,_356_/Y,cell,pin
_357_/A,_357_,pin,cell
_357_,_357_/Y,cell,pin
_358_/A,_358_,pin,cell
_358_,_358_/Y,cell,pin
_359_/A,_359_,pin,cell
_359_,_359_/Y,cell,pin
_360_/A,_360_,pin,cell
_360_,_360_/Y,cell,pin
_361_/A,_361_,pin,cell
_361_,_361_/Y,cell,pin
_362_/A,_362_,pin,cell
_362_,_362_/Y,cell,pin
_363_/A,_363_,pin,cell
_363_,_363_/Y,cell,pin
_364_/A1,_364_,pin,cell
_364_/A2,_364_,pin,cell
_364_/B,_364_,pin,cell
_364_,_364_/Y,cell,pin
_365_/A,_365_,pin,cell
_365_,_365_/Y,cell,pin
_366_/A,_366_,pin,cell
_366_/B,_366_,pin,cell
_366_,_366_/Y,cell,pin
_367_/A,_367_,pin,cell
_367_/B,_367_,pin,cell
_367_/C,_367_,pin,cell
_367_,_367_/Y,cell,pin
_368_/A,_368_,pin,cell
_368_,_368_/Y,cell,pin
_369_/A,_369_,pin,cell
_369_/B,_369_,pin,cell
_369_/C,_369_,pin,cell
_369_,_369_/Y,cell,pin
_370_/A,_370_,pin,cell
_370_/B,_370_,pin,cell
_370_/C,_370_,pin,cell
_370_,_370_/Y,cell,pin
_371_/A1,_371_,pin,cell
_371_/A2,_371_,pin,cell
_371_/B,_371_,pin,cell
_371_,_371_/Y,cell,pin
_372_/A,_372_,pin,cell
_372_,_372_/Y,cell,pin
_373_/A1,_373_,pin,cell
_373_/A2,_373_,pin,cell
_373_/B,_373_,pin,cell
