cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_104,0,0,0,6696,1080,6804,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_111,0,0,0,7074,1080,7614,1350,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_136,0,0,0,8424,1080,9612,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_158,0,0,0,9612,1080,9828,1350,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_162,0,0,0,9828,1080,9882,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_168,0,0,0,10152,1080,10908,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_182,0,0,0,10908,1080,11016,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_184,0,0,0,11016,1080,11070,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_190,0,0,0,11340,1080,11448,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_197,0,0,0,11718,1080,12906,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2,0,0,0,1188,1080,2376,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_219,0,0,0,12906,1080,14094,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_24,0,0,0,2376,1080,3564,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_241,0,0,0,14094,1080,14850,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_255,0,0,0,14850,1080,14958,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_257,0,0,0,14958,1080,15012,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_46,0,0,0,3564,1080,4320,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_60,0,0,0,4320,1080,4644,1350,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_86,0,0,0,5724,1080,6264,1350,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_0_96,0,0,0,6264,1080,6372,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_98,0,0,0,6372,1080,6426,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_10_117,0,0,0,7398,3780,7938,4050,0,0,0,DECAPx4_ASAP7_75t_R,0.0,0.0
FILLER_0_10_148,0,0,0,9072,3780,9288,4050,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_10_158,0,0,0,9612,3780,10800,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_180,0,0,0,10800,3780,11988,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_2,0,0,0,1188,3780,2376,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_202,0,0,0,11988,3780,13176,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_224,0,0,0,13176,3780,13500,4050,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_10_235,0,0,0,13770,3780,14958,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_24,0,0,0,2376,3780,3564,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_257,0,0,0,14958,3780,15012,4050,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_10_46,0,0,0,3564,3780,4752,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_10_68,0,0,0,4752,3780,5076,4050,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_10_95,0,0,0,6210,3780,7398,4050,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_11_110,0,0,0,7020,4050,7344,4320,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_11_116,0,0,0,7344,4050,7398,4320,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_11_126,0,0,0,7884,4050,7992,4320,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_11_128,0,0,0,7992,4050,8046,4320,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
