src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
req_msg[0],input1/A,net,pin
req_msg[10],input2/A,net,pin
req_msg[11],input3/A,net,pin
req_msg[12],input4/A,net,pin
req_msg[13],input5/A,net,pin
req_msg[14],input6/A,net,pin
req_msg[15],input7/A,net,pin
req_msg[16],input8/A,net,pin
req_msg[17],input9/A,net,pin
req_msg[18],input10/A,net,pin
req_msg[19],input11/A,net,pin
req_msg[1],input12/A,net,pin
req_msg[20],input13/A,net,pin
req_msg[21],input14/A,net,pin
req_msg[22],input15/A,net,pin
req_msg[23],input16/A,net,pin
req_msg[24],input17/A,net,pin
req_msg[25],input18/A,net,pin
req_msg[26],input19/A,net,pin
req_msg[27],input20/A,net,pin
req_msg[28],input21/A,net,pin
req_msg[29],input22/A,net,pin
req_msg[2],input23/A,net,pin
req_msg[30],input24/A,net,pin
req_msg[31],input25/A,net,pin
req_msg[3],input26/A,net,pin
req_msg[4],input27/A,net,pin
req_msg[5],input28/A,net,pin
req_msg[6],input29/A,net,pin
req_msg[7],input30/A,net,pin
req_msg[8],input31/A,net,pin
req_msg[9],input32/A,net,pin
output36/Y,req_rdy,pin,net
req_val,input33/A,net,pin
reset,input34/A,net,pin
output37/Y,resp_msg[0],pin,net
output38/Y,resp_msg[10],pin,net
output39/Y,resp_msg[11],pin,net
output40/Y,resp_msg[12],pin,net
output41/Y,resp_msg[13],pin,net
output42/Y,resp_msg[14],pin,net
output43/Y,resp_msg[15],pin,net
output44/Y,resp_msg[1],pin,net
output45/Y,resp_msg[2],pin,net
output46/Y,resp_msg[3],pin,net
output47/Y,resp_msg[4],pin,net
output48/Y,resp_msg[5],pin,net
output49/Y,resp_msg[6],pin,net
output50/Y,resp_msg[7],pin,net
output51/Y,resp_msg[8],pin,net
output52/Y,resp_msg[9],pin,net
resp_rdy,input35/A,net,pin
output53/Y,resp_val,pin,net
_000_,ctrl.state.out\[0\]$_DFF_P_/D,net,pin
_342_/Y,_000_,pin,net
_001_,ctrl.state.out\[1\]$_DFF_P_/D,net,pin
_346_/Y,_001_,pin,net
_002_,ctrl.state.out\[2\]$_DFF_P_/D,net,pin
_337_/Y,_002_,pin,net
_561_/CON,_003_,pin,net
_003_,_306_/B,net,pin
_562_/CON,_004_,pin,net
_004_,_459_/C,net,pin
_004_,_306_/A1,net,pin
_562_/SN,_005_,pin,net
_005_,_459_/A1,net,pin
_005_,_458_/B,net,pin
_005_,_450_/A,net,pin
_005_,_449_/A,net,pin
_005_,_447_/A,net,pin
_005_,_441_/A,net,pin
_005_,_303_/A,net,pin
_006_,split25/A,net,pin
_006_,rebuffer23/A,net,pin
_563_/CON,_006_,pin,net
_006_,_445_/A,net,pin
_006_,_305_/B,net,pin
_563_/SN,_007_,pin,net
_007_,_304_/A,net,pin
_564_/CON,_008_,pin,net
_008_,_457_/A1,net,pin
_008_,_426_/A,net,pin
_008_,_421_/B,net,pin
_008_,_325_/A1,net,pin
_008_,_305_/A1,net,pin
_564_/SN,_009_,pin,net
_009_,_425_/B,net,pin
_009_,_421_/A1,net,pin
_009_,_413_/A,net,pin
_009_,_325_/A2,net,pin
_010_,_324_/C,net,pin
_565_/CON,_010_,pin,net
_010_,_442_/B,net,pin
_010_,_425_/A2,net,pin
_010_,_421_/A2,net,pin
_010_,_364_/B,net,pin
_011_,rebuffer13/A,net,pin
_011_,rebuffer12/A,net,pin
_565_/SN,_011_,pin,net
_566_/CON,_012_,pin,net
_012_,_442_/A1,net,pin
_012_,_404_/B,net,pin
_012_,_322_/A1,net,pin
_012_,_321_/C,net,pin
_566_/SN,_013_,pin,net
_013_,_314_/A,net,pin
_567_/CON,_014_,pin,net
_014_,_404_/A2,net,pin
_014_,_320_/B,net,pin
_568_/CON,_015_,pin,net
_015_,_405_/B,net,pin
_015_,_320_/A1,net,pin
_016_,rebuffer1/A,net,pin
