src,tar,src_type,tar_type,is_net,arc_delay
_297_/A,_297_/Y,pin,pin,0,1.822786539762422e-11
_298_/A,_298_/Y,pin,pin,0,1.4210745427623017e-11
_299_/A,_299_/Y,pin,pin,0,2.0983948953445797e-11
_300_/A,_300_/Y,pin,pin,0,1.3193244240150559e-11
_301_/A,_301_/Y,pin,pin,0,1.5722428567399582e-11
_302_/A,_302_/Y,pin,pin,0,1.612340642942467e-11
_302_/B,_302_/Y,pin,pin,0,1.870256206848442e-11
_303_/A,_303_/Y,pin,pin,0,3.812299087524451e-11
_303_/B,_303_/Y,pin,pin,0,3.361963485382091e-11
_304_/A,_304_/Y,pin,pin,0,2.2268579341622186e-11
_305_/A1,_305_/Y,pin,pin,0,2.6871787781046486e-11
_305_/A2,_305_/Y,pin,pin,0,2.0191421451487557e-11
_305_/B,_305_/Y,pin,pin,0,2.1934782115651252e-11
_306_/A1,_306_/Y,pin,pin,0,2.4469084744516145e-11
_306_/A2,_306_/Y,pin,pin,0,3.250857222303338e-11
_306_/B,_306_/Y,pin,pin,0,2.156226065752609e-11
_307_/A1,_307_/Y,pin,pin,0,2.112187334757376e-11
_307_/A2,_307_/Y,pin,pin,0,2.045789405935583e-11
_307_/B,_307_/Y,pin,pin,0,2.0603213579661883e-11
_308_/A,_308_/Y,pin,pin,0,1.1609006290991264e-11
_309_/A1,_309_/Y,pin,pin,0,2.0884240517493602e-11
_309_/A2,_309_/Y,pin,pin,0,2.1811009595640307e-11
_309_/B,_309_/Y,pin,pin,0,2.382191492678043e-11
_310_/A,_310_/Y,pin,pin,0,2.5651538185234024e-11
_310_/B,_310_/Y,pin,pin,0,2.7074023578599338e-11
_310_/C,_310_/Y,pin,pin,0,3.4899166889701405e-11
_311_/A1,_311_/Y,pin,pin,0,2.1014304879551915e-11
_311_/A2,_311_/Y,pin,pin,0,2.5883621634914533e-11
_311_/B,_311_/Y,pin,pin,0,2.251741675063368e-11
_312_/A1,_312_/Y,pin,pin,0,2.583779717957313e-11
_312_/A2,_312_/Y,pin,pin,0,2.0645329196211648e-11
_312_/B,_312_/Y,pin,pin,0,2.2120650797208263e-11
_313_/A1,_313_/Y,pin,pin,0,2.3105200044892804e-11
_313_/A2,_313_/Y,pin,pin,0,2.4951415933394117e-11
_313_/B,_313_/Y,pin,pin,0,2.2166166471770943e-11
_314_/A,_314_/Y,pin,pin,0,2.1003246017392563e-11
_315_/A,_315_/Y,pin,pin,0,1.919107234238382e-11
_316_/A,_316_/Y,pin,pin,0,2.7306623975875688e-11
_316_/B,_316_/Y,pin,pin,0,2.9094532338902468e-11
_316_/C,_316_/Y,pin,pin,0,2.929733192158501e-11
_317_/A,_317_/Y,pin,pin,0,2.968092785438081e-11
_317_/B,_317_/Y,pin,pin,0,3.3425318068935894e-11
_317_/C,_317_/Y,pin,pin,0,3.411743110248722e-11
_317_/D,_317_/Y,pin,pin,0,3.6167947109477794e-11
_318_/A,_318_/Y,pin,pin,0,2.0932758998393197e-11
_318_/B,_318_/Y,pin,pin,0,2.1443315872948787e-11
_319_/A1,_319_/Y,pin,pin,0,2.590182755779491e-11
_319_/A2,_319_/Y,pin,pin,0,1.8226694459277937e-11
_319_/B,_319_/Y,pin,pin,0,2.352104101766006e-11
_320_/A1,_320_/Y,pin,pin,0,2.291229185547028e-11
_320_/A2,_320_/Y,pin,pin,0,1.9262026001998223e-11
_320_/B,_320_/Y,pin,pin,0,2.1094905336416225e-11
_321_/A1,_321_/Y,pin,pin,0,2.20742313317146e-11
_321_/A2,_321_/Y,pin,pin,0,2.2161749865801106e-11
_321_/B,_321_/Y,pin,pin,0,2.560955614239191e-11
_321_/C,_321_/Y,pin,pin,0,3.6591858015855294e-11
_322_/A1,_322_/Y,pin,pin,0,2.1818647583105033e-11
_322_/A2,_322_/Y,pin,pin,0,1.5447492243692018e-11
_322_/B,_322_/Y,pin,pin,0,1.5138635137135203e-11
_323_/A,_323_/Y,pin,pin,0,2.078811775496625e-11
_323_/B,_323_/Y,pin,pin,0,1.9745956605921045e-11
_324_/A1,_324_/Y,pin,pin,0,2.9006068380521555e-11
_324_/A2,_324_/Y,pin,pin,0,2.956505873452642e-11
_324_/B,_324_/Y,pin,pin,0,3.140494461706389e-11
_324_/C,_324_/Y,pin,pin,0,4.477395884605606e-11
_325_/A1,_325_/Y,pin,pin,0,3.464509581996289e-11
_325_/A2,_325_/Y,pin,pin,0,3.634924305995213e-11
_325_/B,_325_/Y,pin,pin,0,2.4718000216084057e-11
_326_/A1,_326_/Y,pin,pin,0,1.9409071572162873e-11
_326_/A2,_326_/Y,pin,pin,0,1.9902539685756615e-11
_326_/B,_326_/Y,pin,pin,0,2.001250554162226e-11
_327_/A,_327_/Y,pin,pin,0,2.481589933545081e-11
_327_/B,_327_/Y,pin,pin,0,2.503595594727237e-11
_328_/A1,_328_/Y,pin,pin,0,2.0553319463045838e-11
_328_/A2,_328_/Y,pin,pin,0,2.121312500658057e-11
_328_/B,_328_/Y,pin,pin,0,2.13445962293779e-11
_329_/A,_329_/Y,pin,pin,0,2.8017928255241742e-11
_329_/B,_329_/Y,pin,pin,0,2.87366554163615e-11
_329_/C,_329_/Y,pin,pin,0,2.908996481199022e-11
_329_/D,_329_/Y,pin,pin,0,2.8991770789632554e-11
_330_/A,_330_/Y,pin,pin,0,3.4299368900647664e-11
_330_/B,_330_/Y,pin,pin,0,3.603064027690728e-11
_330_/C,_330_/Y,pin,pin,0,3.739079879050422e-11
_330_/D,_330_/Y,pin,pin,0,3.7672039099323484e-11
_330_/E,_330_/Y,pin,pin,0,3.77090962622173e-11
_331_/A,_331_/Y,pin,pin,0,2.7556663548256033e-11
_331_/B,_331_/Y,pin,pin,0,2.8427170339906382e-11
_331_/C,_331_/Y,pin,pin,0,2.8978307600735498e-11
_331_/D,_331_/Y,pin,pin,0,2.9336175849659085e-11
_332_/A,_332_/Y,pin,pin,0,3.5452616536924e-11
_332_/B,_332_/Y,pin,pin,0,3.690030919711873e-11
_332_/C,_332_/Y,pin,pin,0,3.82400881793199e-11
_332_/D,_332_/Y,pin,pin,0,3.9128051493309e-11
_332_/E,_332_/Y,pin,pin,0,3.8643390570802794e-11
_333_/A,_333_/Y,pin,pin,0,1.2750086576807096e-11
_333_/B,_333_/Y,pin,pin,0,1.1734174396038632e-11
_334_/A,_334_/Y,pin,pin,0,1.461059918883567e-11
_335_/A1,_335_/Y,pin,pin,0,1.8131543141897133e-11
_335_/A2,_335_/Y,pin,pin,0,1.8294950623887196e-11
_335_/B,_335_/Y,pin,pin,0,1.773914869163118e-11
_336_/A,_336_/Y,pin,pin,0,6.691377920503561e-12
_337_/A1,_337_/Y,pin,pin,0,1.5946183609671927e-11
_337_/A2,_337_/Y,pin,pin,0,1.6114613116124943e-11
_337_/B,_337_/Y,pin,pin,0,1.5398109870501386e-11
_338_/A,_338_/Y,pin,pin,0,2.3432025417213787e-11
_339_/A,_339_/Y,pin,pin,0,2.4585541935628896e-11
_339_/B,_339_/Y,pin,pin,0,2.4395787473485697e-11
_340_/A,_340_/Y,pin,pin,0,1.3207717905472371e-11
_340_/B,_340_/Y,pin,pin,0,1.660483209264818e-11
_341_/A,_341_/Y,pin,pin,0,5.407102716958878e-12
_342_/A1,_342_/Y,pin,pin,0,2.097899284847493e-11
_342_/A2,_342_/Y,pin,pin,0,2.3559293405028825e-11
_342_/B1,_342_/Y,pin,pin,0,2.2728352186418554e-11
_342_/B2,_342_/Y,pin,pin,0,2.0424245628092308e-11
_342_/C,_342_/Y,pin,pin,0,2.2577875333218422e-11
_343_/A,_343_/Y,pin,pin,0,2.8300230214828304e-11
_343_/B,_343_/Y,pin,pin,0,2.8391502690516823e-11
_343_/C,_343_/Y,pin,pin,0,2.8332409335307673e-11
_344_/A,_344_/Y,pin,pin,0,2.3402817878048765e-11
_344_/B,_344_/Y,pin,pin,0,2.561754974816921e-11
_345_/A1,_345_/Y,pin,pin,0,1.626085724404369e-11
_345_/A2,_345_/Y,pin,pin,0,1.820413784991981e-11
_345_/B,_345_/Y,pin,pin,0,1.916461433992822e-11
_346_/A1,_346_/Y,pin,pin,0,8.913126313403463e-12
