pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_297_/A,6033,3645,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_297_,_029_,1.4475693213555907e-11,1.4797224556772903e-10,8.445320831551584e-11,8.514933202974362e-11,1.3331600846392387e-15
_297_/Y,6406,3645,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_297_,_085_,1.553049008840013e-11,1.4797224556772903e-10,1.0179899284645799e-10,1.0337719569264436e-10,-1
_298_/A,5761,5805,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_298_,_085_,1.5652751664263498e-11,1.5761991711826795e-10,1.0262578981068415e-10,1.0419217572055217e-10,6.837159952986067e-16
_298_/Y,5848,5805,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_298_,_086_,2.0745844278580172e-11,1.5761991711826795e-10,1.1840292635234562e-10,1.158145107593711e-10,-1
_299_/A,5493,5535,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_299_,_086_,2.0745911932795735e-11,1.5761991711826795e-10,1.1842565816877482e-10,1.1583722175911859e-10,1.0899499263073353e-15
_299_/Y,5793,5535,0,-1,0,0,1,1.8432000717383268e-13,3.199999987213431e-10,0,_299_,net36,1.7332836554917463e-11,1.5761990324048014e-10,1.394096088569441e-10,1.367198299018213e-10,-1
_300_/A,4735,7695,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_300_,_294_,2.3976922877699813e-11,5.3202157956899754e-11,8.929897793441555e-11,9.032539993736322e-11,1.3204499317492143e-15
_300_/Y,4822,7695,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_300_,dpath.a_lt_b$in1\[1\],1.646986887149371e-11,5.320215101800585e-11,1.0351864504487551e-10,1.0073553102785127e-10,-1
_301_/A,4681,5265,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_301_,_031_,1.5669004288509925e-11,2.3653592973182924e-11,8.555908065366324e-11,8.628135705901485e-11,6.837159952986067e-16
_301_/Y,4768,5265,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_301_,dpath.a_lt_b$in1\[0\],2.272160237737353e-11,2.3653592973182924e-11,1.0200378736113791e-10,9.930285760351154e-11,-1
_302_/A,5211,3105,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_302_,net33,7.936078010029046e-12,3.0240965287475774e-10,8.958640079770319e-11,9.002113637857079e-11,5.225650124681606e-16
_302_/B,5115,3105,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_302_,net36,1.7357403708784247e-11,2.4927687691800315e-10,1.3977070889570342e-10,1.3707918133931685e-10,5.65708000361848e-16
_302_/Y,5324,3105,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_302_,_087_,7.075954405744156e-12,2.4927687691800315e-10,1.5847327616835827e-10,1.5523322904886783e-10,-1
_303_/A,9416,3915,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_303_,_005_,8.868043799292735e-11,3.1050537141474877e-11,1.813010713780372e-10,1.8897083897684297e-10,5.467029633056256e-16
_303_/B,9325,3874,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_303_,_048_,5.274341727257159e-11,7.057583684133562e-11,1.5184904722520542e-10,1.5394889529840583e-10,5.601419880467624e-16
_303_/Y,9536,3915,0,-1,0,0,1,9.216000358691634e-14,3.199999987213431e-10,0,_303_,_088_,1.16350861237291e-11,3.1050537141474877e-11,2.1604543154474243e-10,2.2709382985208748e-10,-1
