src,tar,src_type,tar_type
_24160_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[0\]$_DFF_PN1_,cell,cell
_24167_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[3\]$_DFF_PN0_,cell,cell
_24172_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[1\]$_DFF_PN0_,cell,cell
_24151_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[3\]$_DFF_PN0_,cell,cell
_24148_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[4\]$_DFF_PN0_,cell,cell
_24110_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[6\]$_DFF_PN0_,cell,cell
_24092_,load_store_unit_i.data_type_q\[1\]$_DFF_PN0_,cell,cell
_24087_,load_store_unit_i.data_type_q\[2\]$_DFF_PN0_,cell,cell
_24726_,core_clock_gate_i.en_latch$_DLATCH_N_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[27\]$_DFFE_PN0P_,_32517_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[27\]$_DFFE_PN0P_,_27614_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[27\]$_DFFE_PN0P_,_25837_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[28\]$_DFFE_PN0P_,_32530_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[28\]$_DFFE_PN0P_,_27617_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[28\]$_DFFE_PN0P_,_25867_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[29\]$_DFFE_PN0P_,_32544_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[29\]$_DFFE_PN0P_,_27620_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[29\]$_DFFE_PN0P_,_25885_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[30\]$_DFFE_PN0P_,_32556_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[30\]$_DFFE_PN0P_,_27623_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[30\]$_DFFE_PN0P_,_25904_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[31\]$_DFFE_PN0P_,_32563_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[31\]$_DFFE_PN0P_,_27626_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[31\]$_DFFE_PN0P_,_25926_,cell,cell
if_stage_i.pc_id_o\[2\]$_DFFE_PN_,_27271_,cell,cell
if_stage_i.pc_id_o\[2\]$_DFFE_PN_,_26620_,cell,cell
if_stage_i.pc_id_o\[2\]$_DFFE_PN_,_20738_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[1\]$_DFFE_PN_,_19298_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[1\]$_DFFE_PN_,_19288_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[1\]$_DFFE_PN_,_19279_,cell,cell
if_stage_i.instr_rdata_c_id_o\[1\]$_DFFE_PN_,_34501_,cell,cell
if_stage_i.instr_rdata_c_id_o\[1\]$_DFFE_PN_,_27377_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[2\]$_DFFE_PN_,_19553_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[2\]$_DFFE_PN_,_19466_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[2\]$_DFFE_PN_,_19286_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[2\]$_DFFE_PN_,_19275_,cell,cell
if_stage_i.instr_rdata_c_id_o\[2\]$_DFFE_PN_,_34503_,cell,cell
if_stage_i.instr_rdata_c_id_o\[2\]$_DFFE_PN_,_27464_,cell,cell
_35686_,_27461_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[3\]$_DFFE_PN_,_19287_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[3\]$_DFFE_PN_,_19268_,cell,cell
if_stage_i.instr_rdata_c_id_o\[3\]$_DFFE_PN_,_34505_,cell,cell
if_stage_i.instr_rdata_c_id_o\[3\]$_DFFE_PN_,_27488_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_27485_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_27484_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_27288_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_27271_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_26636_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_20852_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[4\]$_DFFE_PN_,_19451_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[4\]$_DFFE_PN_,_19304_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[4\]$_DFFE_PN_,_19301_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[4\]$_DFFE_PN_,_19289_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[4\]$_DFFE_PN_,_19276_,cell,cell
if_stage_i.instr_rdata_c_id_o\[4\]$_DFFE_PN_,_34507_,cell,cell
if_stage_i.instr_rdata_c_id_o\[4\]$_DFFE_PN_,_27497_,cell,cell
if_stage_i.pc_id_o\[4\]$_DFFE_PN_,_27499_,cell,cell
if_stage_i.pc_id_o\[4\]$_DFFE_PN_,_27288_,cell,cell
if_stage_i.pc_id_o\[4\]$_DFFE_PN_,_27272_,cell,cell
if_stage_i.pc_id_o\[4\]$_DFFE_PN_,_26642_,cell,cell
if_stage_i.pc_id_o\[4\]$_DFFE_PN_,_20911_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[5\]$_DFFE_PN_,_19269_,cell,cell
if_stage_i.instr_rdata_c_id_o\[5\]$_DFFE_PN_,_34509_,cell,cell
if_stage_i.instr_rdata_c_id_o\[5\]$_DFFE_PN_,_27507_,cell,cell
if_stage_i.pc_id_o\[5\]$_DFFE_PN_,_20973_,cell,cell
if_stage_i.instr_rdata_c_id_o\[6\]$_DFFE_PN_,_34511_,cell,cell
if_stage_i.instr_rdata_c_id_o\[6\]$_DFFE_PN_,_27512_,cell,cell
if_stage_i.pc_id_o\[6\]$_DFFE_PN_,_21039_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_20324_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_19536_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_19478_,cell,cell
if_stage_i.instr_rdata_c_id_o\[7\]$_DFFE_PN_,_34513_,cell,cell
if_stage_i.instr_rdata_c_id_o\[7\]$_DFFE_PN_,_27524_,cell,cell
if_stage_i.pc_id_o\[7\]$_DFFE_PN_,_21098_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_27534_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_19647_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_19536_,cell,cell
if_stage_i.instr_rdata_c_id_o\[8\]$_DFFE_PN_,_34515_,cell,cell
if_stage_i.instr_rdata_c_id_o\[8\]$_DFFE_PN_,_27536_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_34580_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27542_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27533_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27274_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_26662_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_21183_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_31281_,cell,cell
