src,tar,src_type,tar_type
_00422_,_19143_,net,cell
_19143_,_13534_,cell,net
_13534_,_19144_,net,cell
_19144_,_13535_,cell,net
_13535_,_19145_,net,cell
_19145_,_13536_,cell,net
_00426_,_19146_,net,cell
_19146_,_13537_,cell,net
_13537_,_19147_,net,cell
_19147_,_13538_,cell,net
_13538_,_19148_,net,cell
_19148_,_13539_,cell,net
_13539_,_19149_,net,cell
_19149_,_13540_,cell,net
_00429_,_19150_,net,cell
_19150_,_13541_,cell,net
_13541_,_19151_,net,cell
_19151_,_13542_,cell,net
_13542_,_19152_,net,cell
_19152_,_13543_,cell,net
_13543_,_19153_,net,cell
_19153_,_13544_,cell,net
_00428_,_19154_,net,cell
_19154_,_13545_,cell,net
_13545_,_19155_,net,cell
_19155_,_13546_,cell,net
_13546_,_19156_,net,cell
_19156_,_13547_,cell,net
_13545_,_19157_,net,cell
_19157_,_13548_,cell,net
_13548_,_19158_,net,cell
_19158_,_13549_,cell,net
_13549_,_19159_,net,cell
_19159_,_13550_,cell,net
_13550_,_19160_,net,cell
_01843_,_19160_,net,cell
_19160_,_13551_,cell,net
_00431_,_19161_,net,cell
_13547_,_19161_,net,cell
_13551_,_19161_,net,cell
_19161_,_13552_,cell,net
_13541_,_19162_,net,cell
_19162_,_13553_,cell,net
_13553_,_19163_,net,cell
_13547_,_19163_,net,cell
_19163_,_13554_,cell,net
_13554_,_19164_,net,cell
_19164_,_13555_,cell,net
_13544_,_19165_,net,cell
_13552_,_19165_,net,cell
_13555_,_19165_,net,cell
_00430_,_19165_,net,cell
_19165_,_13556_,cell,net
_00426_,_19166_,net,cell
_19166_,_13557_,cell,net
_13548_,_19167_,net,cell
_19167_,_13558_,cell,net
_13558_,_19168_,net,cell
_19168_,_13559_,cell,net
_13559_,_19169_,net,cell
_19169_,_13560_,cell,net
_00439_,_19170_,net,cell
_19170_,_13561_,cell,net
_13558_,_19171_,net,cell
_19171_,_13562_,cell,net
_13562_,_19172_,net,cell
_00437_,_19172_,net,cell
_19172_,_13563_,cell,net
_00429_,_19173_,net,cell
_19173_,_13564_,cell,net
_13564_,_19174_,net,cell
_19174_,_13565_,cell,net
_13565_,_19175_,net,cell
_19175_,_13566_,cell,net
_13560_,_19176_,net,cell
_13561_,_19176_,net,cell
_13563_,_19176_,net,cell
_13566_,_19176_,net,cell
