src,tar,src_type,tar_type
_19143_/A,_19143_,pin,cell
_19143_,_19143_/Y,cell,pin
_19144_/A,_19144_,pin,cell
_19144_,_19144_/Y,cell,pin
_19145_/A,_19145_,pin,cell
_19145_,_19145_/Y,cell,pin
_19146_/A,_19146_,pin,cell
_19146_,_19146_/Y,cell,pin
_19147_/A,_19147_,pin,cell
_19147_,_19147_/Y,cell,pin
_19148_/A,_19148_,pin,cell
_19148_,_19148_/Y,cell,pin
_19149_/A,_19149_,pin,cell
_19149_,_19149_/Y,cell,pin
_19150_/A,_19150_,pin,cell
_19150_,_19150_/Y,cell,pin
_19151_/A,_19151_,pin,cell
_19151_,_19151_/Y,cell,pin
_19152_/A,_19152_,pin,cell
_19152_,_19152_/Y,cell,pin
_19153_/A,_19153_,pin,cell
_19153_,_19153_/Y,cell,pin
_19154_/A,_19154_,pin,cell
_19154_,_19154_/Y,cell,pin
_19155_/A,_19155_,pin,cell
_19155_,_19155_/Y,cell,pin
_19156_/A,_19156_,pin,cell
_19156_,_19156_/Y,cell,pin
_19157_/A,_19157_,pin,cell
_19157_,_19157_/Y,cell,pin
_19158_/A,_19158_,pin,cell
_19158_,_19158_/Y,cell,pin
_19159_/A,_19159_,pin,cell
_19159_,_19159_/Y,cell,pin
_19160_/A,_19160_,pin,cell
_19160_/B,_19160_,pin,cell
_19160_,_19160_/Y,cell,pin
_19161_/A1,_19161_,pin,cell
_19161_/A2,_19161_,pin,cell
_19161_/B,_19161_,pin,cell
_19161_,_19161_/Y,cell,pin
_19162_/A,_19162_,pin,cell
_19162_,_19162_/Y,cell,pin
_19163_/A,_19163_,pin,cell
_19163_/B,_19163_,pin,cell
_19163_,_19163_/Y,cell,pin
_19164_/A,_19164_,pin,cell
_19164_,_19164_/Y,cell,pin
_19165_/A1,_19165_,pin,cell
_19165_/A2,_19165_,pin,cell
_19165_/B1,_19165_,pin,cell
_19165_/B2,_19165_,pin,cell
_19165_,_19165_/Y,cell,pin
_19166_/A,_19166_,pin,cell
_19166_,_19166_/Y,cell,pin
_19167_/A,_19167_,pin,cell
_19167_,_19167_/Y,cell,pin
_19168_/A,_19168_,pin,cell
_19168_,_19168_/Y,cell,pin
_19169_/A,_19169_,pin,cell
_19169_,_19169_/Y,cell,pin
_19170_/A,_19170_,pin,cell
_19170_,_19170_/Y,cell,pin
_19171_/A,_19171_,pin,cell
_19171_,_19171_/Y,cell,pin
_19172_/A,_19172_,pin,cell
_19172_/B,_19172_,pin,cell
_19172_,_19172_/Y,cell,pin
_19173_/A,_19173_,pin,cell
_19173_,_19173_/Y,cell,pin
_19174_/A,_19174_,pin,cell
_19174_,_19174_/Y,cell,pin
_19175_/A,_19175_,pin,cell
_19175_,_19175_/Y,cell,pin
_19176_/A1,_19176_,pin,cell
_19176_/A2,_19176_,pin,cell
_19176_/B,_19176_,pin,cell
_19176_/C,_19176_,pin,cell
_19176_,_19176_/Y,cell,pin
_19177_/A,_19177_,pin,cell
_19177_,_19177_/Y,cell,pin
_19178_/A,_19178_,pin,cell
_19178_,_19178_/Y,cell,pin
_19179_/A,_19179_,pin,cell
_19179_/B,_19179_,pin,cell
_19179_,_19179_/Y,cell,pin
_19180_/A1,_19180_,pin,cell
_19180_/A2,_19180_,pin,cell
_19180_/B,_19180_,pin,cell
_19180_/C,_19180_,pin,cell
_19180_,_19180_/Y,cell,pin
_19181_/A,_19181_,pin,cell
_19181_/B,_19181_,pin,cell
_19181_/C,_19181_,pin,cell
_19181_,_19181_/Y,cell,pin
_19182_/A,_19182_,pin,cell
_19182_,_19182_/Y,cell,pin
_19183_/A,_19183_,pin,cell
_19183_,_19183_/Y,cell,pin
_19184_/A1,_19184_,pin,cell
_19184_/A2,_19184_,pin,cell
_19184_/B,_19184_,pin,cell
_19184_/C,_19184_,pin,cell
_19184_,_19184_/Y,cell,pin
_19185_/A,_19185_,pin,cell
_19185_,_19185_/Y,cell,pin
_19186_/A,_19186_,pin,cell
_19186_,_19186_/Y,cell,pin
_19187_/A,_19187_,pin,cell
_19187_,_19187_/Y,cell,pin
_19188_/A,_19188_,pin,cell
_19188_,_19188_/Y,cell,pin
_19189_/A,_19189_,pin,cell
_19189_,_19189_/Y,cell,pin
_19190_/A,_19190_,pin,cell
_19190_,_19190_/Y,cell,pin
_19191_/A,_19191_,pin,cell
_19191_,_19191_/Y,cell,pin
_19192_/A,_19192_,pin,cell
_19192_/B,_19192_,pin,cell
_19192_,_19192_/Y,cell,pin
_19193_/A,_19193_,pin,cell
_19193_,_19193_/Y,cell,pin
_19194_/A1,_19194_,pin,cell
_19194_/A2,_19194_,pin,cell
_19194_/B,_19194_,pin,cell
_19194_/C,_19194_,pin,cell
_19194_,_19194_/Y,cell,pin
_19195_/A,_19195_,pin,cell
_19195_,_19195_/Y,cell,pin
_19196_/A,_19196_,pin,cell
_19196_,_19196_/Y,cell,pin
_19197_/A,_19197_,pin,cell
_19197_,_19197_/Y,cell,pin
_19198_/A,_19198_,pin,cell
_19198_,_19198_/Y,cell,pin
_19199_/A,_19199_,pin,cell
_19199_/B,_19199_,pin,cell
_19199_,_19199_/Y,cell,pin
_19200_/A,_19200_,pin,cell
_19200_,_19200_/Y,cell,pin
_19201_/A1,_19201_,pin,cell
_19201_/A2,_19201_,pin,cell
_19201_/B,_19201_,pin,cell
_19201_/C,_19201_,pin,cell
_19201_,_19201_/Y,cell,pin
_19202_/A,_19202_,pin,cell
_19202_/B,_19202_,pin,cell
_19202_/C,_19202_,pin,cell
_19202_,_19202_/Y,cell,pin
_19203_/A,_19203_,pin,cell
_19203_,_19203_/Y,cell,pin
_19204_/A,_19204_,pin,cell
_19204_,_19204_/Y,cell,pin
_19205_/A,_19205_,pin,cell
_19205_,_19205_/Y,cell,pin
_19206_/A,_19206_,pin,cell
_19206_/B,_19206_,pin,cell
_19206_,_19206_/Y,cell,pin
_19207_/A1,_19207_,pin,cell
_19207_/A2,_19207_,pin,cell
_19207_/B,_19207_,pin,cell
_19207_/C,_19207_,pin,cell
_19207_,_19207_/Y,cell,pin
_19208_/A,_19208_,pin,cell
_19208_,_19208_/Y,cell,pin
_19209_/A,_19209_,pin,cell
_19209_,_19209_/Y,cell,pin
_19210_/A,_19210_,pin,cell
_19210_/B,_19210_,pin,cell
_19210_,_19210_/Y,cell,pin
_19211_/A1,_19211_,pin,cell
_19211_/A2,_19211_,pin,cell
_19211_/B,_19211_,pin,cell
_19211_/C,_19211_,pin,cell
_19211_,_19211_/Y,cell,pin
_19212_/A,_19212_,pin,cell
_19212_/B,_19212_,pin,cell
_19212_/C,_19212_,pin,cell
_19212_,_19212_/Y,cell,pin
_19213_/A,_19213_,pin,cell
_19213_/B,_19213_,pin,cell
_19213_/C,_19213_,pin,cell
_19213_,_19213_/Y,cell,pin
_19214_/A,_19214_,pin,cell
_19214_/B,_19214_,pin,cell
_19214_/C,_19214_,pin,cell
_19214_,_19214_/Y,cell,pin
_19215_/A,_19215_,pin,cell
_19215_,_19215_/Y,cell,pin
_19216_/A,_19216_,pin,cell
_19216_/B,_19216_,pin,cell
_19216_,_19216_/Y,cell,pin
_19217_/A,_19217_,pin,cell
_19217_,_19217_/Y,cell,pin
_19218_/A1,_19218_,pin,cell
_19218_/A2,_19218_,pin,cell
_19218_/B,_19218_,pin,cell
_19218_/C,_19218_,pin,cell
_19218_,_19218_/Y,cell,pin
_19219_/A,_19219_,pin,cell
_19219_,_19219_/Y,cell,pin
_19220_/A,_19220_,pin,cell
_19220_/B,_19220_,pin,cell
_19220_,_19220_/Y,cell,pin
_19221_/A1,_19221_,pin,cell
_19221_/A2,_19221_,pin,cell
_19221_/B,_19221_,pin,cell
_19221_/C,_19221_,pin,cell
_19221_,_19221_/Y,cell,pin
_19222_/A,_19222_,pin,cell
_19222_/B,_19222_,pin,cell
_19222_/C,_19222_,pin,cell
_19222_,_19222_/Y,cell,pin
_19223_/A,_19223_,pin,cell
_19223_,_19223_/Y,cell,pin
_19224_/A,_19224_,pin,cell
_19224_/B,_19224_,pin,cell
_19224_,_19224_/Y,cell,pin
_19225_/A1,_19225_,pin,cell
_19225_/A2,_19225_,pin,cell
_19225_/B,_19225_,pin,cell
_19225_/C,_19225_,pin,cell
_19225_,_19225_/Y,cell,pin
_19226_/A,_19226_,pin,cell
_19226_,_19226_/Y,cell,pin
_19227_/A,_19227_,pin,cell
_19227_/B,_19227_,pin,cell
_19227_,_19227_/Y,cell,pin
_19228_/A1,_19228_,pin,cell
_19228_/A2,_19228_,pin,cell
_19228_/B,_19228_,pin,cell
_19228_/C,_19228_,pin,cell
_19228_,_19228_/Y,cell,pin
_19229_/A,_19229_,pin,cell
_19229_/B,_19229_,pin,cell
_19229_/C,_19229_,pin,cell
_19229_,_19229_/Y,cell,pin
_19230_/A,_19230_,pin,cell
_19230_/B,_19230_,pin,cell
_19230_/C,_19230_,pin,cell
_19230_,_19230_/Y,cell,pin
_19231_/A,_19231_,pin,cell
_19231_,_19231_/Y,cell,pin
_19232_/A,_19232_,pin,cell
_19232_,_19232_/Y,cell,pin
_19233_/A,_19233_,pin,cell
_19233_,_19233_/Y,cell,pin
_19234_/A,_19234_,pin,cell
_19234_,_19234_/Y,cell,pin
_19235_/A,_19235_,pin,cell
_19235_,_19235_/Y,cell,pin
_19236_/A,_19236_,pin,cell
_19236_,_19236_/Y,cell,pin
_19237_/A,_19237_,pin,cell
_19237_,_19237_/Y,cell,pin
_19238_/A,_19238_,pin,cell
_19238_/B,_19238_,pin,cell
_19238_,_19238_/Y,cell,pin
_19239_/A1,_19239_,pin,cell
_19239_/A2,_19239_,pin,cell
_19239_/B,_19239_,pin,cell
_19239_,_19239_/Y,cell,pin
_19240_/A,_19240_,pin,cell
_19240_,_19240_/Y,cell,pin
_19241_/A,_19241_,pin,cell
_19241_,_19241_/Y,cell,pin
_19242_/A,_19242_,pin,cell
_19242_,_19242_/Y,cell,pin
_19243_/A,_19243_,pin,cell
_19243_,_19243_/Y,cell,pin
_19244_/A,_19244_,pin,cell
_19244_/B,_19244_,pin,cell
_19244_,_19244_/Y,cell,pin
_19245_/A1,_19245_,pin,cell
_19245_/A2,_19245_,pin,cell
_19245_/B,_19245_,pin,cell
_19245_/C,_19245_,pin,cell
_19245_,_19245_/Y,cell,pin
_19246_/A1,_19246_,pin,cell
_19246_/A2,_19246_,pin,cell
_19246_/B,_19246_,pin,cell
_19246_,_19246_/Y,cell,pin
_19247_/A,_19247_,pin,cell
_19247_,_19247_/Y,cell,pin
_19248_/A,_19248_,pin,cell
_19248_,_19248_/Y,cell,pin
_19249_/A,_19249_,pin,cell
_19249_/B,_19249_,pin,cell
_19249_,_19249_/Y,cell,pin
_19250_/A,_19250_,pin,cell
_19250_,_19250_/Y,cell,pin
_19251_/A1,_19251_,pin,cell
_19251_/A2,_19251_,pin,cell
_19251_/B,_19251_,pin,cell
_19251_/C,_19251_,pin,cell
_19251_,_19251_/Y,cell,pin
_19252_/A,_19252_,pin,cell
_19252_,_19252_/Y,cell,pin
_19253_/A,_19253_,pin,cell
_19253_/B,_19253_,pin,cell
_19253_,_19253_/Y,cell,pin
_19254_/A1,_19254_,pin,cell
_19254_/A2,_19254_,pin,cell
_19254_/B,_19254_,pin,cell
_19254_/C,_19254_,pin,cell
_19254_,_19254_/Y,cell,pin
_19255_/A,_19255_,pin,cell
_19255_/B,_19255_,pin,cell
_19255_/C,_19255_,pin,cell
_19255_,_19255_/Y,cell,pin
