src,tar,src_type,tar_type
clknet_leaf_1_clock,REG\[0\]$_DFF_P_,net,cell
net1,REG\[0\]$_DFF_P_,net,cell
REG\[0\]$_DFF_P_,_0257_,cell,net
clknet_leaf_5_clock,REG\[10\]$_DFF_P_,net,cell
net2,REG\[10\]$_DFF_P_,net,cell
REG\[10\]$_DFF_P_,_0258_,cell,net
clknet_leaf_6_clock,REG\[11\]$_DFF_P_,net,cell
net3,REG\[11\]$_DFF_P_,net,cell
REG\[11\]$_DFF_P_,_0259_,cell,net
clknet_leaf_5_clock,REG\[12\]$_DFF_P_,net,cell
net4,REG\[12\]$_DFF_P_,net,cell
REG\[12\]$_DFF_P_,_0260_,cell,net
clknet_leaf_5_clock,REG\[13\]$_DFF_P_,net,cell
net5,REG\[13\]$_DFF_P_,net,cell
REG\[13\]$_DFF_P_,_0261_,cell,net
clknet_leaf_4_clock,REG\[14\]$_DFF_P_,net,cell
net6,REG\[14\]$_DFF_P_,net,cell
REG\[14\]$_DFF_P_,_0262_,cell,net
clknet_leaf_4_clock,REG\[15\]$_DFF_P_,net,cell
net7,REG\[15\]$_DFF_P_,net,cell
REG\[15\]$_DFF_P_,_0263_,cell,net
clknet_leaf_4_clock,REG\[16\]$_DFF_P_,net,cell
net8,REG\[16\]$_DFF_P_,net,cell
REG\[16\]$_DFF_P_,_0264_,cell,net
clknet_leaf_4_clock,REG\[17\]$_DFF_P_,net,cell
net9,REG\[17\]$_DFF_P_,net,cell
REG\[17\]$_DFF_P_,_0265_,cell,net
clknet_leaf_4_clock,REG\[18\]$_DFF_P_,net,cell
net10,REG\[18\]$_DFF_P_,net,cell
REG\[18\]$_DFF_P_,_0266_,cell,net
clknet_leaf_6_clock,REG\[19\]$_DFF_P_,net,cell
net11,REG\[19\]$_DFF_P_,net,cell
REG\[19\]$_DFF_P_,_0267_,cell,net
clknet_leaf_5_clock,REG\[1\]$_DFF_P_,net,cell
net12,REG\[1\]$_DFF_P_,net,cell
REG\[1\]$_DFF_P_,_0268_,cell,net
clknet_leaf_5_clock,REG\[20\]$_DFF_P_,net,cell
net13,REG\[20\]$_DFF_P_,net,cell
REG\[20\]$_DFF_P_,_0269_,cell,net
clknet_leaf_5_clock,REG\[21\]$_DFF_P_,net,cell
net14,REG\[21\]$_DFF_P_,net,cell
REG\[21\]$_DFF_P_,_0270_,cell,net
clknet_leaf_5_clock,REG\[22\]$_DFF_P_,net,cell
net15,REG\[22\]$_DFF_P_,net,cell
REG\[22\]$_DFF_P_,_0271_,cell,net
clknet_leaf_6_clock,REG\[23\]$_DFF_P_,net,cell
net16,REG\[23\]$_DFF_P_,net,cell
