src,tar,src_type,tar_type
REG\[0\]$_DFF_P_/CLK,REG\[0\]$_DFF_P_,pin,cell
REG\[0\]$_DFF_P_/D,REG\[0\]$_DFF_P_,pin,cell
REG\[0\]$_DFF_P_,REG\[0\]$_DFF_P_/QN,cell,pin
REG\[10\]$_DFF_P_/CLK,REG\[10\]$_DFF_P_,pin,cell
REG\[10\]$_DFF_P_/D,REG\[10\]$_DFF_P_,pin,cell
REG\[10\]$_DFF_P_,REG\[10\]$_DFF_P_/QN,cell,pin
REG\[11\]$_DFF_P_/CLK,REG\[11\]$_DFF_P_,pin,cell
REG\[11\]$_DFF_P_/D,REG\[11\]$_DFF_P_,pin,cell
REG\[11\]$_DFF_P_,REG\[11\]$_DFF_P_/QN,cell,pin
REG\[12\]$_DFF_P_/CLK,REG\[12\]$_DFF_P_,pin,cell
REG\[12\]$_DFF_P_/D,REG\[12\]$_DFF_P_,pin,cell
REG\[12\]$_DFF_P_,REG\[12\]$_DFF_P_/QN,cell,pin
REG\[13\]$_DFF_P_/CLK,REG\[13\]$_DFF_P_,pin,cell
REG\[13\]$_DFF_P_/D,REG\[13\]$_DFF_P_,pin,cell
REG\[13\]$_DFF_P_,REG\[13\]$_DFF_P_/QN,cell,pin
REG\[14\]$_DFF_P_/CLK,REG\[14\]$_DFF_P_,pin,cell
REG\[14\]$_DFF_P_/D,REG\[14\]$_DFF_P_,pin,cell
REG\[14\]$_DFF_P_,REG\[14\]$_DFF_P_/QN,cell,pin
REG\[15\]$_DFF_P_/CLK,REG\[15\]$_DFF_P_,pin,cell
REG\[15\]$_DFF_P_/D,REG\[15\]$_DFF_P_,pin,cell
REG\[15\]$_DFF_P_,REG\[15\]$_DFF_P_/QN,cell,pin
REG\[16\]$_DFF_P_/CLK,REG\[16\]$_DFF_P_,pin,cell
REG\[16\]$_DFF_P_/D,REG\[16\]$_DFF_P_,pin,cell
REG\[16\]$_DFF_P_,REG\[16\]$_DFF_P_/QN,cell,pin
REG\[17\]$_DFF_P_/CLK,REG\[17\]$_DFF_P_,pin,cell
REG\[17\]$_DFF_P_/D,REG\[17\]$_DFF_P_,pin,cell
REG\[17\]$_DFF_P_,REG\[17\]$_DFF_P_/QN,cell,pin
REG\[18\]$_DFF_P_/CLK,REG\[18\]$_DFF_P_,pin,cell
REG\[18\]$_DFF_P_/D,REG\[18\]$_DFF_P_,pin,cell
REG\[18\]$_DFF_P_,REG\[18\]$_DFF_P_/QN,cell,pin
REG\[19\]$_DFF_P_/CLK,REG\[19\]$_DFF_P_,pin,cell
REG\[19\]$_DFF_P_/D,REG\[19\]$_DFF_P_,pin,cell
REG\[19\]$_DFF_P_,REG\[19\]$_DFF_P_/QN,cell,pin
REG\[1\]$_DFF_P_/CLK,REG\[1\]$_DFF_P_,pin,cell
REG\[1\]$_DFF_P_/D,REG\[1\]$_DFF_P_,pin,cell
REG\[1\]$_DFF_P_,REG\[1\]$_DFF_P_/QN,cell,pin
REG\[20\]$_DFF_P_/CLK,REG\[20\]$_DFF_P_,pin,cell
REG\[20\]$_DFF_P_/D,REG\[20\]$_DFF_P_,pin,cell
REG\[20\]$_DFF_P_,REG\[20\]$_DFF_P_/QN,cell,pin
REG\[21\]$_DFF_P_/CLK,REG\[21\]$_DFF_P_,pin,cell
REG\[21\]$_DFF_P_/D,REG\[21\]$_DFF_P_,pin,cell
REG\[21\]$_DFF_P_,REG\[21\]$_DFF_P_/QN,cell,pin
REG\[22\]$_DFF_P_/CLK,REG\[22\]$_DFF_P_,pin,cell
REG\[22\]$_DFF_P_/D,REG\[22\]$_DFF_P_,pin,cell
REG\[22\]$_DFF_P_,REG\[22\]$_DFF_P_/QN,cell,pin
REG\[23\]$_DFF_P_/CLK,REG\[23\]$_DFF_P_,pin,cell
REG\[23\]$_DFF_P_/D,REG\[23\]$_DFF_P_,pin,cell
REG\[23\]$_DFF_P_,REG\[23\]$_DFF_P_/QN,cell,pin
REG\[24\]$_DFF_P_/CLK,REG\[24\]$_DFF_P_,pin,cell
REG\[24\]$_DFF_P_/D,REG\[24\]$_DFF_P_,pin,cell
REG\[24\]$_DFF_P_,REG\[24\]$_DFF_P_/QN,cell,pin
REG\[25\]$_DFF_P_/CLK,REG\[25\]$_DFF_P_,pin,cell
REG\[25\]$_DFF_P_/D,REG\[25\]$_DFF_P_,pin,cell
REG\[25\]$_DFF_P_,REG\[25\]$_DFF_P_/QN,cell,pin
REG\[26\]$_DFF_P_/CLK,REG\[26\]$_DFF_P_,pin,cell
REG\[26\]$_DFF_P_/D,REG\[26\]$_DFF_P_,pin,cell
REG\[26\]$_DFF_P_,REG\[26\]$_DFF_P_/QN,cell,pin
REG\[27\]$_DFF_P_/CLK,REG\[27\]$_DFF_P_,pin,cell
REG\[27\]$_DFF_P_/D,REG\[27\]$_DFF_P_,pin,cell
REG\[27\]$_DFF_P_,REG\[27\]$_DFF_P_/QN,cell,pin
REG\[28\]$_DFF_P_/CLK,REG\[28\]$_DFF_P_,pin,cell
REG\[28\]$_DFF_P_/D,REG\[28\]$_DFF_P_,pin,cell
REG\[28\]$_DFF_P_,REG\[28\]$_DFF_P_/QN,cell,pin
REG\[29\]$_DFF_P_/CLK,REG\[29\]$_DFF_P_,pin,cell
REG\[29\]$_DFF_P_/D,REG\[29\]$_DFF_P_,pin,cell
REG\[29\]$_DFF_P_,REG\[29\]$_DFF_P_/QN,cell,pin
REG\[2\]$_DFF_P_/CLK,REG\[2\]$_DFF_P_,pin,cell
REG\[2\]$_DFF_P_/D,REG\[2\]$_DFF_P_,pin,cell
REG\[2\]$_DFF_P_,REG\[2\]$_DFF_P_/QN,cell,pin
REG\[30\]$_DFF_P_/CLK,REG\[30\]$_DFF_P_,pin,cell
REG\[30\]$_DFF_P_/D,REG\[30\]$_DFF_P_,pin,cell
REG\[30\]$_DFF_P_,REG\[30\]$_DFF_P_/QN,cell,pin
REG\[31\]$_DFF_P_/CLK,REG\[31\]$_DFF_P_,pin,cell
REG\[31\]$_DFF_P_/D,REG\[31\]$_DFF_P_,pin,cell
REG\[31\]$_DFF_P_,REG\[31\]$_DFF_P_/QN,cell,pin
REG\[32\]$_DFF_P_/CLK,REG\[32\]$_DFF_P_,pin,cell
REG\[32\]$_DFF_P_/D,REG\[32\]$_DFF_P_,pin,cell
REG\[32\]$_DFF_P_,REG\[32\]$_DFF_P_/QN,cell,pin
REG\[33\]$_DFF_P_/CLK,REG\[33\]$_DFF_P_,pin,cell
REG\[33\]$_DFF_P_/D,REG\[33\]$_DFF_P_,pin,cell
REG\[33\]$_DFF_P_,REG\[33\]$_DFF_P_/QN,cell,pin
REG\[34\]$_DFF_P_/CLK,REG\[34\]$_DFF_P_,pin,cell
REG\[34\]$_DFF_P_/D,REG\[34\]$_DFF_P_,pin,cell
REG\[34\]$_DFF_P_,REG\[34\]$_DFF_P_/QN,cell,pin
REG\[35\]$_DFF_P_/CLK,REG\[35\]$_DFF_P_,pin,cell
REG\[35\]$_DFF_P_/D,REG\[35\]$_DFF_P_,pin,cell
REG\[35\]$_DFF_P_,REG\[35\]$_DFF_P_/QN,cell,pin
REG\[36\]$_DFF_P_/CLK,REG\[36\]$_DFF_P_,pin,cell
REG\[36\]$_DFF_P_/D,REG\[36\]$_DFF_P_,pin,cell
REG\[36\]$_DFF_P_,REG\[36\]$_DFF_P_/QN,cell,pin
REG\[37\]$_DFF_P_/CLK,REG\[37\]$_DFF_P_,pin,cell
