cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_112,0,0,0,7128,1080,8316,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_134,0,0,0,8316,1080,9504,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_156,0,0,0,9504,1080,10692,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_178,0,0,0,10692,1080,11880,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2,0,0,0,1188,1080,2376,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_200,0,0,0,11880,1080,13068,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_222,0,0,0,13068,1080,14256,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_24,0,0,0,2376,1080,3564,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_244,0,0,0,14256,1080,15444,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_266,0,0,0,15444,1080,15768,1350,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_272,0,0,0,15768,1080,15876,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_458,0,0,0,25812,1080,26028,1350,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_46,0,0,0,3564,1080,4752,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_524,0,0,0,29376,1080,30564,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_546,0,0,0,30564,1080,31752,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
