src,tar,src_type,tar_type
clock,clkbuf_0_clock/A,net,pin
io_ins_down[0],input1/A,net,pin
io_ins_down[10],input2/A,net,pin
io_ins_down[11],input3/A,net,pin
io_ins_down[12],input4/A,net,pin
io_ins_down[13],input5/A,net,pin
io_ins_down[14],input6/A,net,pin
io_ins_down[15],input7/A,net,pin
io_ins_down[16],input8/A,net,pin
io_ins_down[17],input9/A,net,pin
io_ins_down[18],input10/A,net,pin
io_ins_down[19],input11/A,net,pin
io_ins_down[1],input12/A,net,pin
io_ins_down[20],input13/A,net,pin
io_ins_down[21],input14/A,net,pin
io_ins_down[22],input15/A,net,pin
io_ins_down[23],input16/A,net,pin
io_ins_down[24],input17/A,net,pin
io_ins_down[25],input18/A,net,pin
io_ins_down[26],input19/A,net,pin
io_ins_down[27],input20/A,net,pin
io_ins_down[28],input21/A,net,pin
io_ins_down[29],input22/A,net,pin
io_ins_down[2],input23/A,net,pin
io_ins_down[30],input24/A,net,pin
io_ins_down[31],input25/A,net,pin
io_ins_down[32],input26/A,net,pin
io_ins_down[33],input27/A,net,pin
io_ins_down[34],input28/A,net,pin
io_ins_down[35],input29/A,net,pin
io_ins_down[36],input30/A,net,pin
io_ins_down[37],input31/A,net,pin
io_ins_down[38],input32/A,net,pin
io_ins_down[39],input33/A,net,pin
io_ins_down[3],input34/A,net,pin
io_ins_down[40],input35/A,net,pin
io_ins_down[41],input36/A,net,pin
io_ins_down[42],input37/A,net,pin
io_ins_down[43],input38/A,net,pin
io_ins_down[44],input39/A,net,pin
io_ins_down[45],input40/A,net,pin
io_ins_down[46],input41/A,net,pin
io_ins_down[47],input42/A,net,pin
io_ins_down[48],input43/A,net,pin
io_ins_down[49],input44/A,net,pin
io_ins_down[4],input45/A,net,pin
io_ins_down[50],input46/A,net,pin
io_ins_down[51],input47/A,net,pin
io_ins_down[52],input48/A,net,pin
io_ins_down[53],input49/A,net,pin
io_ins_down[54],input50/A,net,pin
io_ins_down[55],input51/A,net,pin
io_ins_down[56],input52/A,net,pin
io_ins_down[57],input53/A,net,pin
io_ins_down[58],input54/A,net,pin
io_ins_down[59],input55/A,net,pin
io_ins_down[5],input56/A,net,pin
io_ins_down[60],input57/A,net,pin
io_ins_down[61],input58/A,net,pin
io_ins_down[62],input59/A,net,pin
io_ins_down[63],input60/A,net,pin
io_ins_down[6],input61/A,net,pin
io_ins_down[7],input62/A,net,pin
io_ins_down[8],input63/A,net,pin
io_ins_down[9],input64/A,net,pin
io_ins_left[0],input65/A,net,pin
io_ins_left[10],input66/A,net,pin
io_ins_left[11],input67/A,net,pin
io_ins_left[12],input68/A,net,pin
io_ins_left[13],input69/A,net,pin
io_ins_left[14],input70/A,net,pin
io_ins_left[15],input71/A,net,pin
io_ins_left[16],input72/A,net,pin
io_ins_left[17],input73/A,net,pin
io_ins_left[18],input74/A,net,pin
io_ins_left[19],input75/A,net,pin
io_ins_left[1],input76/A,net,pin
io_ins_left[20],input77/A,net,pin
io_ins_left[21],input78/A,net,pin
io_ins_left[22],input79/A,net,pin
io_ins_left[23],input80/A,net,pin
io_ins_left[24],input81/A,net,pin
io_ins_left[25],input82/A,net,pin
io_ins_left[26],input83/A,net,pin
io_ins_left[27],input84/A,net,pin
io_ins_left[28],input85/A,net,pin
io_ins_left[29],input86/A,net,pin
io_ins_left[2],input87/A,net,pin
io_ins_left[30],input88/A,net,pin
io_ins_left[31],input89/A,net,pin
io_ins_left[32],input90/A,net,pin
io_ins_left[33],input91/A,net,pin
io_ins_left[34],input92/A,net,pin
io_ins_left[35],input93/A,net,pin
io_ins_left[36],input94/A,net,pin
io_ins_left[37],input95/A,net,pin
io_ins_left[38],input96/A,net,pin
io_ins_left[39],input97/A,net,pin
io_ins_left[3],input98/A,net,pin
io_ins_left[40],input99/A,net,pin
io_ins_left[41],input100/A,net,pin
io_ins_left[42],input101/A,net,pin
io_ins_left[43],input102/A,net,pin
io_ins_left[44],input103/A,net,pin
io_ins_left[45],input104/A,net,pin
io_ins_left[46],input105/A,net,pin
io_ins_left[47],input106/A,net,pin
io_ins_left[48],input107/A,net,pin
io_ins_left[49],input108/A,net,pin
io_ins_left[4],input109/A,net,pin
io_ins_left[50],input110/A,net,pin
io_ins_left[51],input111/A,net,pin
io_ins_left[52],input112/A,net,pin
io_ins_left[53],input113/A,net,pin
io_ins_left[54],input114/A,net,pin
io_ins_left[55],input115/A,net,pin
io_ins_left[56],input116/A,net,pin
io_ins_left[57],input117/A,net,pin
io_ins_left[58],input118/A,net,pin
io_ins_left[59],input119/A,net,pin
io_ins_left[5],input120/A,net,pin
io_ins_left[60],input121/A,net,pin
io_ins_left[61],input122/A,net,pin
io_ins_left[62],input123/A,net,pin
io_ins_left[63],input124/A,net,pin
io_ins_left[6],input125/A,net,pin
io_ins_left[7],input126/A,net,pin
io_ins_left[8],input127/A,net,pin
io_ins_left[9],input128/A,net,pin
io_ins_right[0],input129/A,net,pin
io_ins_right[10],input130/A,net,pin
io_ins_right[11],input131/A,net,pin
io_ins_right[12],input132/A,net,pin
io_ins_right[13],input133/A,net,pin
io_ins_right[14],input134/A,net,pin
io_ins_right[15],input135/A,net,pin
io_ins_right[16],input136/A,net,pin
io_ins_right[17],input137/A,net,pin
io_ins_right[18],input138/A,net,pin
io_ins_right[19],input139/A,net,pin
io_ins_right[1],input140/A,net,pin
io_ins_right[20],input141/A,net,pin
io_ins_right[21],input142/A,net,pin
io_ins_right[22],input143/A,net,pin
io_ins_right[23],input144/A,net,pin
io_ins_right[24],input145/A,net,pin
io_ins_right[25],input146/A,net,pin
io_ins_right[26],input147/A,net,pin
io_ins_right[27],input148/A,net,pin
io_ins_right[28],input149/A,net,pin
io_ins_right[29],input150/A,net,pin
io_ins_right[2],input151/A,net,pin
io_ins_right[30],input152/A,net,pin
io_ins_right[31],input153/A,net,pin
io_ins_right[32],input154/A,net,pin
io_ins_right[33],input155/A,net,pin
io_ins_right[34],input156/A,net,pin
io_ins_right[35],input157/A,net,pin
io_ins_right[36],input158/A,net,pin
io_ins_right[37],input159/A,net,pin
io_ins_right[38],input160/A,net,pin
io_ins_right[39],input161/A,net,pin
io_ins_right[3],input162/A,net,pin
io_ins_right[40],input163/A,net,pin
io_ins_right[41],input164/A,net,pin
io_ins_right[42],input165/A,net,pin
io_ins_right[43],input166/A,net,pin
io_ins_right[44],input167/A,net,pin
io_ins_right[45],input168/A,net,pin
io_ins_right[46],input169/A,net,pin
io_ins_right[47],input170/A,net,pin
io_ins_right[48],input171/A,net,pin
io_ins_right[49],input172/A,net,pin
io_ins_right[4],input173/A,net,pin
io_ins_right[50],input174/A,net,pin
io_ins_right[51],input175/A,net,pin
io_ins_right[52],input176/A,net,pin
io_ins_right[53],input177/A,net,pin
io_ins_right[54],input178/A,net,pin
io_ins_right[55],input179/A,net,pin
io_ins_right[56],input180/A,net,pin
io_ins_right[57],input181/A,net,pin
io_ins_right[58],input182/A,net,pin
io_ins_right[59],input183/A,net,pin
io_ins_right[5],input184/A,net,pin
io_ins_right[60],input185/A,net,pin
io_ins_right[61],input186/A,net,pin
io_ins_right[62],input187/A,net,pin
io_ins_right[63],input188/A,net,pin
io_ins_right[6],input189/A,net,pin
io_ins_right[7],input190/A,net,pin
io_ins_right[8],input191/A,net,pin
io_ins_right[9],input192/A,net,pin
io_ins_up[0],input193/A,net,pin
io_ins_up[10],input194/A,net,pin
io_ins_up[11],input195/A,net,pin
io_ins_up[12],input196/A,net,pin
io_ins_up[13],input197/A,net,pin
io_ins_up[14],input198/A,net,pin
io_ins_up[15],input199/A,net,pin
io_ins_up[16],input200/A,net,pin
io_ins_up[17],input201/A,net,pin
io_ins_up[18],input202/A,net,pin
io_ins_up[19],input203/A,net,pin
io_ins_up[1],input204/A,net,pin
io_ins_up[20],input205/A,net,pin
io_ins_up[21],input206/A,net,pin
io_ins_up[22],input207/A,net,pin
io_ins_up[23],input208/A,net,pin
io_ins_up[24],input209/A,net,pin
io_ins_up[25],input210/A,net,pin
io_ins_up[26],input211/A,net,pin
io_ins_up[27],input212/A,net,pin
io_ins_up[28],input213/A,net,pin
io_ins_up[29],input214/A,net,pin
io_ins_up[2],input215/A,net,pin
io_ins_up[30],input216/A,net,pin
io_ins_up[31],input217/A,net,pin
io_ins_up[32],input218/A,net,pin
io_ins_up[33],input219/A,net,pin
io_ins_up[34],input220/A,net,pin
io_ins_up[35],input221/A,net,pin
io_ins_up[36],input222/A,net,pin
io_ins_up[37],input223/A,net,pin
io_ins_up[38],input224/A,net,pin
io_ins_up[39],input225/A,net,pin
io_ins_up[3],input226/A,net,pin
io_ins_up[40],input227/A,net,pin
io_ins_up[41],input228/A,net,pin
io_ins_up[42],input229/A,net,pin
io_ins_up[43],input230/A,net,pin
io_ins_up[44],input231/A,net,pin
io_ins_up[45],input232/A,net,pin
io_ins_up[46],input233/A,net,pin
io_ins_up[47],input234/A,net,pin
io_ins_up[48],input235/A,net,pin
io_ins_up[49],input236/A,net,pin
io_ins_up[4],input237/A,net,pin
io_ins_up[50],input238/A,net,pin
io_ins_up[51],input239/A,net,pin
io_ins_up[52],input240/A,net,pin
io_ins_up[53],input241/A,net,pin
io_ins_up[54],input242/A,net,pin
io_ins_up[55],input243/A,net,pin
io_ins_up[56],input244/A,net,pin
io_ins_up[57],input245/A,net,pin
io_ins_up[58],input246/A,net,pin
io_ins_up[59],input247/A,net,pin
io_ins_up[5],input248/A,net,pin
io_ins_up[60],input249/A,net,pin
io_ins_up[61],input250/A,net,pin
io_ins_up[62],input251/A,net,pin
io_ins_up[63],input252/A,net,pin
io_ins_up[6],input253/A,net,pin
io_ins_up[7],input254/A,net,pin
io_ins_up[8],input255/A,net,pin
io_ins_up[9],input256/A,net,pin
io_lsbIns_1,_1282_/A,net,pin
io_lsbIns_2,_1283_/A,net,pin
io_lsbIns_3,_1284_/A,net,pin
io_lsbIns_4,input257/A,net,pin
io_lsbIns_5,_1285_/A,net,pin
io_lsbIns_6,_1286_/A,net,pin
io_lsbIns_7,_1287_/A,net,pin
output258/Y,io_lsbOuts_0,pin,net
output259/Y,io_lsbOuts_1,pin,net
output260/Y,io_lsbOuts_2,pin,net
output261/Y,io_lsbOuts_3,pin,net
output262/Y,io_lsbOuts_4,pin,net
output263/Y,io_lsbOuts_5,pin,net
output264/Y,io_lsbOuts_6,pin,net
output265/Y,io_lsbOuts_7,pin,net
output266/Y,io_outs_down[0],pin,net
output267/Y,io_outs_down[10],pin,net
output268/Y,io_outs_down[11],pin,net
output269/Y,io_outs_down[12],pin,net
output270/Y,io_outs_down[13],pin,net
output271/Y,io_outs_down[14],pin,net
output272/Y,io_outs_down[15],pin,net
output273/Y,io_outs_down[16],pin,net
output274/Y,io_outs_down[17],pin,net
output275/Y,io_outs_down[18],pin,net
output276/Y,io_outs_down[19],pin,net
output277/Y,io_outs_down[1],pin,net
output278/Y,io_outs_down[20],pin,net
output279/Y,io_outs_down[21],pin,net
output280/Y,io_outs_down[22],pin,net
output281/Y,io_outs_down[23],pin,net
output282/Y,io_outs_down[24],pin,net
output283/Y,io_outs_down[25],pin,net
output284/Y,io_outs_down[26],pin,net
output285/Y,io_outs_down[27],pin,net
output286/Y,io_outs_down[28],pin,net
output287/Y,io_outs_down[29],pin,net
output288/Y,io_outs_down[2],pin,net
output289/Y,io_outs_down[30],pin,net
output290/Y,io_outs_down[31],pin,net
output291/Y,io_outs_down[32],pin,net
output292/Y,io_outs_down[33],pin,net
output293/Y,io_outs_down[34],pin,net
output294/Y,io_outs_down[35],pin,net
output295/Y,io_outs_down[36],pin,net
output296/Y,io_outs_down[37],pin,net
output297/Y,io_outs_down[38],pin,net
output298/Y,io_outs_down[39],pin,net
output299/Y,io_outs_down[3],pin,net
output300/Y,io_outs_down[40],pin,net
output301/Y,io_outs_down[41],pin,net
output302/Y,io_outs_down[42],pin,net
output303/Y,io_outs_down[43],pin,net
output304/Y,io_outs_down[44],pin,net
output305/Y,io_outs_down[45],pin,net
output306/Y,io_outs_down[46],pin,net
output307/Y,io_outs_down[47],pin,net
output308/Y,io_outs_down[48],pin,net
output309/Y,io_outs_down[49],pin,net
output310/Y,io_outs_down[4],pin,net
output311/Y,io_outs_down[50],pin,net
output312/Y,io_outs_down[51],pin,net
output313/Y,io_outs_down[52],pin,net
output314/Y,io_outs_down[53],pin,net
output315/Y,io_outs_down[54],pin,net
output316/Y,io_outs_down[55],pin,net
output317/Y,io_outs_down[56],pin,net
output318/Y,io_outs_down[57],pin,net
output319/Y,io_outs_down[58],pin,net
output320/Y,io_outs_down[59],pin,net
output321/Y,io_outs_down[5],pin,net
output322/Y,io_outs_down[60],pin,net
output323/Y,io_outs_down[61],pin,net
output324/Y,io_outs_down[62],pin,net
output325/Y,io_outs_down[63],pin,net
output326/Y,io_outs_down[6],pin,net
output327/Y,io_outs_down[7],pin,net
output328/Y,io_outs_down[8],pin,net
output329/Y,io_outs_down[9],pin,net
output330/Y,io_outs_left[0],pin,net
output331/Y,io_outs_left[10],pin,net
output332/Y,io_outs_left[11],pin,net
output333/Y,io_outs_left[12],pin,net
output334/Y,io_outs_left[13],pin,net
output335/Y,io_outs_left[14],pin,net
output336/Y,io_outs_left[15],pin,net
output337/Y,io_outs_left[16],pin,net
output338/Y,io_outs_left[17],pin,net
output339/Y,io_outs_left[18],pin,net
output340/Y,io_outs_left[19],pin,net
output341/Y,io_outs_left[1],pin,net
output342/Y,io_outs_left[20],pin,net
output343/Y,io_outs_left[21],pin,net
output344/Y,io_outs_left[22],pin,net
output345/Y,io_outs_left[23],pin,net
output346/Y,io_outs_left[24],pin,net
output347/Y,io_outs_left[25],pin,net
output348/Y,io_outs_left[26],pin,net
output349/Y,io_outs_left[27],pin,net
output350/Y,io_outs_left[28],pin,net
output351/Y,io_outs_left[29],pin,net
output352/Y,io_outs_left[2],pin,net
output353/Y,io_outs_left[30],pin,net
output354/Y,io_outs_left[31],pin,net
output355/Y,io_outs_left[32],pin,net
output356/Y,io_outs_left[33],pin,net
output357/Y,io_outs_left[34],pin,net
output358/Y,io_outs_left[35],pin,net
output359/Y,io_outs_left[36],pin,net
output360/Y,io_outs_left[37],pin,net
output361/Y,io_outs_left[38],pin,net
output362/Y,io_outs_left[39],pin,net
output363/Y,io_outs_left[3],pin,net
output364/Y,io_outs_left[40],pin,net
output365/Y,io_outs_left[41],pin,net
output366/Y,io_outs_left[42],pin,net
output367/Y,io_outs_left[43],pin,net
output368/Y,io_outs_left[44],pin,net
output369/Y,io_outs_left[45],pin,net
output370/Y,io_outs_left[46],pin,net
output371/Y,io_outs_left[47],pin,net
output372/Y,io_outs_left[48],pin,net
output373/Y,io_outs_left[49],pin,net
output374/Y,io_outs_left[4],pin,net
output375/Y,io_outs_left[50],pin,net
output376/Y,io_outs_left[51],pin,net
output377/Y,io_outs_left[52],pin,net
output378/Y,io_outs_left[53],pin,net
output379/Y,io_outs_left[54],pin,net
output380/Y,io_outs_left[55],pin,net
output381/Y,io_outs_left[56],pin,net
output382/Y,io_outs_left[57],pin,net
output383/Y,io_outs_left[58],pin,net
