src,tar,src_type,tar_type,is_net,arc_delay
_0769_/A,_0769_/Y,pin,pin,0,2.4585951330369227e-11
_0769_/B,_0769_/Y,pin,pin,0,2.8699015386379756e-11
_0770_/A,_0770_/Y,pin,pin,0,2.457981387871122e-11
_0770_/B,_0770_/Y,pin,pin,0,2.6785259774064762e-11
_0771_/A,_0771_/Y,pin,pin,0,2.8108191121867243e-11
_0771_/B,_0771_/Y,pin,pin,0,2.774114098158531e-11
_0772_/A,_0772_/Y,pin,pin,0,3.680301202679814e-11
_0772_/B,_0772_/Y,pin,pin,0,3.819022875717337e-11
_0773_/A,_0773_/Y,pin,pin,0,3.7975046718319305e-11
_0773_/B,_0773_/Y,pin,pin,0,3.915523461017756e-11
_0774_/A,_0774_/Y,pin,pin,0,3.7927418150562886e-11
_0774_/B,_0774_/Y,pin,pin,0,3.9705086440910975e-11
_0775_/A,_0775_/Y,pin,pin,0,3.57070206735699e-11
_0775_/B,_0775_/Y,pin,pin,0,3.749543731057514e-11
_0776_/A,_0776_/Y,pin,pin,0,3.730025663339909e-11
_0776_/B,_0776_/Y,pin,pin,0,3.7924895862628816e-11
_0777_/A,_0777_/Y,pin,pin,0,3.770699724681137e-11
_0777_/B,_0777_/Y,pin,pin,0,3.9042172272907294e-11
_0778_/A,_0778_/Y,pin,pin,0,2.8952519201541627e-11
_0778_/B,_0778_/Y,pin,pin,0,3.0629977720852963e-11
_0779_/A,_0779_/Y,pin,pin,0,3.877306115063206e-11
_0779_/B,_0779_/Y,pin,pin,0,3.9945494828552697e-11
_0780_/A,_0780_/Y,pin,pin,0,3.822821226240336e-11
_0780_/B,_0780_/Y,pin,pin,0,3.980168278294727e-11
_0781_/A,_0781_/Y,pin,pin,0,2.7443783356950746e-11
_0781_/B,_0781_/Y,pin,pin,0,2.8964563386635334e-11
_0782_/A,_0782_/Y,pin,pin,0,3.6062618169463434e-11
_0782_/B,_0782_/Y,pin,pin,0,3.826999828149269e-11
_0783_/A,_0783_/Y,pin,pin,0,3.6850238138708136e-11
_0783_/B,_0783_/Y,pin,pin,0,3.8038128202799726e-11
_0784_/A,_0784_/Y,pin,pin,0,3.6080843174302046e-11
_0784_/B,_0784_/Y,pin,pin,0,3.7724483259449215e-11
_0785_/A,_0785_/Y,pin,pin,0,2.8599877674451157e-11
_0785_/B,_0785_/Y,pin,pin,0,2.996224449103302e-11
_0786_/A,_0786_/Y,pin,pin,0,3.6850841822477776e-11
_0786_/B,_0786_/Y,pin,pin,0,3.869590065042061e-11
_0787_/A,_0787_/Y,pin,pin,0,3.5595713876457324e-11
_0787_/B,_0787_/Y,pin,pin,0,3.849444374370847e-11
_0788_/A,_0788_/Y,pin,pin,0,3.795831010622308e-11
_0788_/B,_0788_/Y,pin,pin,0,3.9130775009166285e-11
_0789_/A,_0789_/Y,pin,pin,0,3.763297659609144e-11
_0789_/B,_0789_/Y,pin,pin,0,3.954173447007214e-11
_0790_/A,_0790_/Y,pin,pin,0,2.9090160835743006e-11
_0790_/B,_0790_/Y,pin,pin,0,2.937758369903065e-11
_0791_/A,_0791_/Y,pin,pin,0,2.4029587347706993e-11
_0791_/B,_0791_/Y,pin,pin,0,2.6460037286235583e-11
_0792_/A,_0792_/Y,pin,pin,0,3.565958986428974e-11
_0792_/B,_0792_/Y,pin,pin,0,3.8395175927519176e-11
_0793_/A,_0793_/Y,pin,pin,0,3.8677793606778366e-11
_0793_/B,_0793_/Y,pin,pin,0,4.0285667163297845e-11
_0794_/A,_0794_/Y,pin,pin,0,2.6021787155605658e-11
_0794_/B,_0794_/Y,pin,pin,0,2.776069998877695e-11
_0795_/A,_0795_/Y,pin,pin,0,2.5085733837415525e-11
_0795_/B,_0795_/Y,pin,pin,0,2.6098947655817106e-11
_0796_/A,_0796_/Y,pin,pin,0,3.6832724370494674e-11
_0796_/B,_0796_/Y,pin,pin,0,3.721349617347158e-11
_0797_/A,_0797_/Y,pin,pin,0,2.5377056359077166e-11
_0797_/B,_0797_/Y,pin,pin,0,2.8764097007027978e-11
_0798_/A,_0798_/Y,pin,pin,0,2.6311119949440354e-11
_0798_/B,_0798_/Y,pin,pin,0,2.8905974835957693e-11
_0799_/A,_0799_/Y,pin,pin,0,3.772865006523851e-11
_0799_/B,_0799_/Y,pin,pin,0,4.0130242878744227e-11
_0800_/A,_0800_/Y,pin,pin,0,2.6162315369671063e-11
_0800_/B,_0800_/Y,pin,pin,0,2.6798107136127847e-11
_0801_/A,_0801_/Y,pin,pin,0,2.5040932868924948e-11
_0801_/B,_0801_/Y,pin,pin,0,2.6417592072225382e-11
_0802_/A,_0802_/Y,pin,pin,0,2.627577322389385e-11
_0802_/B,_0802_/Y,pin,pin,0,2.9636036680269484e-11
_0803_/A,_0803_/Y,pin,pin,0,2.5568491768268586e-11
_0803_/B,_0803_/Y,pin,pin,0,2.6968014626982395e-11
_0804_/A,_0804_/Y,pin,pin,0,2.5920619817210167e-11
_0804_/B,_0804_/Y,pin,pin,0,2.6512736450712282e-11
_0805_/A,_0805_/Y,pin,pin,0,2.504841299655336e-11
_0805_/B,_0805_/Y,pin,pin,0,2.7091216422969744e-11
_0806_/A,_0806_/Y,pin,pin,0,2.556839982792436e-11
_0806_/B,_0806_/Y,pin,pin,0,2.6514063514171404e-11
_0807_/A,_0807_/Y,pin,pin,0,2.8416519137763885e-11
_0807_/B,_0807_/Y,pin,pin,0,2.8545903488219615e-11
_0808_/A,_0808_/Y,pin,pin,0,2.8385956779564125e-11
_0808_/B,_0808_/Y,pin,pin,0,3.0134533757220083e-11
_0809_/A,_0809_/Y,pin,pin,0,2.6022680538195786e-11
_0809_/B,_0809_/Y,pin,pin,0,2.680045595171432e-11
_0810_/A,_0810_/Y,pin,pin,0,2.708099890169624e-11
_0810_/B,_0810_/Y,pin,pin,0,2.8886804406824673e-11
_0811_/A,_0811_/Y,pin,pin,0,2.8128067583454985e-11
_0811_/B,_0811_/Y,pin,pin,0,2.885556724119276e-11
_0812_/A,_0812_/Y,pin,pin,0,2.6159012456172803e-11
_0812_/B,_0812_/Y,pin,pin,0,2.820138393644367e-11
_0813_/A,_0813_/Y,pin,pin,0,2.7100642910338202e-11
_0813_/B,_0813_/Y,pin,pin,0,2.7183713613432303e-11
_0814_/A,_0814_/Y,pin,pin,0,2.6535664290894267e-11
_0814_/B,_0814_/Y,pin,pin,0,2.857027635305709e-11
_0815_/A,_0815_/Y,pin,pin,0,2.6334863109656048e-11
_0815_/B,_0815_/Y,pin,pin,0,2.7274096175977647e-11
_0816_/A,_0816_/Y,pin,pin,0,2.5725182400959667e-11
_0816_/B,_0816_/Y,pin,pin,0,2.7697417276373315e-11
_0817_/A,_0817_/Y,pin,pin,0,3.672919607344838e-11
_0817_/B,_0817_/Y,pin,pin,0,3.878932591794282e-11
_0818_/A,_0818_/Y,pin,pin,0,2.8160522524967035e-11
_0818_/B,_0818_/Y,pin,pin,0,2.912617022565733e-11
_0819_/A,_0819_/Y,pin,pin,0,3.809125237452804e-11
_0819_/B,_0819_/Y,pin,pin,0,3.9870284157528246e-11
_0820_/A,_0820_/Y,pin,pin,0,2.4671696977063284e-11
_0820_/B,_0820_/Y,pin,pin,0,2.6202215744342006e-11
_0821_/A,_0821_/Y,pin,pin,0,2.410167725119816e-11
_0821_/B,_0821_/Y,pin,pin,0,2.5729297165044684e-11
_0822_/A,_0822_/Y,pin,pin,0,3.5765689021527436e-11
_0822_/B,_0822_/Y,pin,pin,0,3.732535114320257e-11
_0823_/A,_0823_/Y,pin,pin,0,3.687420854769918e-11
_0823_/B,_0823_/Y,pin,pin,0,3.916979587903491e-11
_0824_/A,_0824_/Y,pin,pin,0,2.6624707646916157e-11
_0824_/B,_0824_/Y,pin,pin,0,2.8647702265960362e-11
_0825_/A,_0825_/Y,pin,pin,0,2.5973388370625905e-11
_0825_/B,_0825_/Y,pin,pin,0,2.6946942940919705e-11
_0826_/A,_0826_/Y,pin,pin,0,2.5056295580028198e-11
_0826_/B,_0826_/Y,pin,pin,0,2.8216234904121507e-11
_0827_/A,_0827_/Y,pin,pin,0,2.6287827817328413e-11
_0827_/B,_0827_/Y,pin,pin,0,2.6404560829473844e-11
_0828_/A,_0828_/Y,pin,pin,0,3.727350025850562e-11
_0828_/B,_0828_/Y,pin,pin,0,3.8485280934308363e-11
_0829_/A,_0829_/Y,pin,pin,0,2.8404821897365373e-11
_0829_/B,_0829_/Y,pin,pin,0,2.8906942811657288e-11
_0830_/A,_0830_/Y,pin,pin,0,2.9657953176664975e-11
_0830_/B,_0830_/Y,pin,pin,0,2.968607304421056e-11
_0831_/A,_0831_/Y,pin,pin,0,2.5185943608452277e-11
_0831_/B,_0831_/Y,pin,pin,0,2.5973324185857294e-11
_0832_/A,_0832_/Y,pin,pin,0,2.7578890560153724e-11
_0832_/B,_0832_/Y,pin,pin,0,3.001421333692633e-11
_0833_/A,_0833_/Y,pin,pin,0,2.4604500728497847e-11
_0833_/B,_0833_/Y,pin,pin,0,2.8464871085209786e-11
_0834_/A,_0834_/Y,pin,pin,0,2.6795529337042545e-11
_0834_/B,_0834_/Y,pin,pin,0,2.9033048534743422e-11
_0835_/A,_0835_/Y,pin,pin,0,2.5539693623843895e-11
