src,tar,src_type,tar_type
uart_rx_inst.rxd_reg$_SDFF_PP1_,_0749_,cell,cell
uart_rx_inst.rxd_reg$_SDFF_PP1_,_0746_,cell,cell
uart_rx_inst.rxd_reg$_SDFF_PP1_,_0717_,cell,cell
uart_rx_inst.rxd_reg$_SDFF_PP1_,_0690_,cell,cell
uart_rx_inst.rxd_reg$_SDFF_PP1_,_0622_,cell,cell
uart_rx_inst.rxd_reg$_SDFF_PP1_,_0582_,cell,cell
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_,_0752_,cell,cell
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_,_0709_,cell,cell
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_,_0690_,cell,cell
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_,_0602_,cell,cell
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_,_0584_,cell,cell
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_,_0581_,cell,cell
_1051_,_0746_,cell,cell
_1051_,_0724_,cell,cell
_1051_,_0685_,cell,cell
_1051_,_0583_,cell,cell
_1049_,_0711_,cell,cell
_1049_,_0689_,cell,cell
_1049_,_0601_,cell,cell
_1049_,_0599_,cell,cell
_1049_,_0586_,cell,cell
_1049_,_0582_,cell,cell
_1047_,_0849_,cell,cell
_1047_,_0851_,cell,cell
_1047_,_0778_,cell,cell
_1048_,_1004_,cell,cell
_1048_,_0861_,cell,cell
_1048_,_0858_,cell,cell
_1048_,_1010_,cell,cell
_1048_,_0893_,cell,cell
_1048_,_0875_,cell,cell
_1048_,_0860_,cell,cell
_1048_,_0807_,cell,cell
_1048_,_0771_,cell,cell
_1052_,_0993_,cell,cell
_1052_,_0994_,cell,cell
_1052_,_0929_,cell,cell
uart_tx_inst.txd_reg$_SDFFE_PP1P_,_0565_,cell,cell
uart_tx_inst.s_axis_tready_reg$_SDFFE_PP0P_,_1041_,cell,cell
uart_tx_inst.s_axis_tready_reg$_SDFFE_PP0P_,_0562_,cell,cell
uart_tx_inst.prescale_reg\[9\]$_SDFFE_PP0P_,_1038_,cell,cell
uart_tx_inst.prescale_reg\[9\]$_SDFFE_PP0P_,_1037_,cell,cell
uart_tx_inst.prescale_reg\[9\]$_SDFFE_PP0P_,_0942_,cell,cell
uart_tx_inst.prescale_reg\[9\]$_SDFFE_PP0P_,_0627_,cell,cell
uart_tx_inst.prescale_reg\[8\]$_SDFFE_PP0P_,_1029_,cell,cell
uart_tx_inst.prescale_reg\[8\]$_SDFFE_PP0P_,_0941_,cell,cell
uart_tx_inst.prescale_reg\[8\]$_SDFFE_PP0P_,_0627_,cell,cell
uart_tx_inst.prescale_reg\[7\]$_SDFFE_PP0P_,_1026_,cell,cell
uart_tx_inst.prescale_reg\[7\]$_SDFFE_PP0P_,_1024_,cell,cell
uart_tx_inst.prescale_reg\[7\]$_SDFFE_PP0P_,_0941_,cell,cell
uart_tx_inst.prescale_reg\[7\]$_SDFFE_PP0P_,_0627_,cell,cell
uart_tx_inst.prescale_reg\[6\]$_SDFFE_PP0P_,_1023_,cell,cell
uart_tx_inst.prescale_reg\[6\]$_SDFFE_PP0P_,_1020_,cell,cell
uart_tx_inst.prescale_reg\[6\]$_SDFFE_PP0P_,_1016_,cell,cell
uart_tx_inst.prescale_reg\[6\]$_SDFFE_PP0P_,_0941_,cell,cell
uart_tx_inst.prescale_reg\[6\]$_SDFFE_PP0P_,_0627_,cell,cell
uart_tx_inst.prescale_reg\[5\]$_SDFFE_PP0P_,_1008_,cell,cell
uart_tx_inst.prescale_reg\[5\]$_SDFFE_PP0P_,_0626_,cell,cell
uart_tx_inst.prescale_reg\[4\]$_SDFFE_PP0P_,_1027_,cell,cell
uart_tx_inst.prescale_reg\[4\]$_SDFFE_PP0P_,_1009_,cell,cell
uart_tx_inst.prescale_reg\[4\]$_SDFFE_PP0P_,_1007_,cell,cell
uart_tx_inst.prescale_reg\[4\]$_SDFFE_PP0P_,_1005_,cell,cell
uart_tx_inst.prescale_reg\[4\]$_SDFFE_PP0P_,_0626_,cell,cell
uart_tx_inst.prescale_reg\[3\]$_SDFFE_PP0P_,_1009_,cell,cell
uart_tx_inst.prescale_reg\[3\]$_SDFFE_PP0P_,_1001_,cell,cell
uart_tx_inst.prescale_reg\[3\]$_SDFFE_PP0P_,_0999_,cell,cell
uart_tx_inst.prescale_reg\[3\]$_SDFFE_PP0P_,_0998_,cell,cell
uart_tx_inst.prescale_reg\[3\]$_SDFFE_PP0P_,_0626_,cell,cell
uart_tx_inst.prescale_reg\[2\]$_SDFFE_PP0P_,_1014_,cell,cell
uart_tx_inst.prescale_reg\[2\]$_SDFFE_PP0P_,_1001_,cell,cell
uart_tx_inst.prescale_reg\[2\]$_SDFFE_PP0P_,_0994_,cell,cell
uart_tx_inst.prescale_reg\[2\]$_SDFFE_PP0P_,_0930_,cell,cell
uart_tx_inst.prescale_reg\[2\]$_SDFFE_PP0P_,_0625_,cell,cell
uart_tx_inst.prescale_reg\[18\]$_SDFFE_PP0P_,_0987_,cell,cell
uart_tx_inst.prescale_reg\[18\]$_SDFFE_PP0P_,_0985_,cell,cell
uart_tx_inst.prescale_reg\[18\]$_SDFFE_PP0P_,_0631_,cell,cell
uart_tx_inst.prescale_reg\[17\]$_SDFFE_PP0P_,_0984_,cell,cell
uart_tx_inst.prescale_reg\[17\]$_SDFFE_PP0P_,_0982_,cell,cell
uart_tx_inst.prescale_reg\[17\]$_SDFFE_PP0P_,_0631_,cell,cell
uart_tx_inst.prescale_reg\[16\]$_SDFFE_PP0P_,_0984_,cell,cell
uart_tx_inst.prescale_reg\[16\]$_SDFFE_PP0P_,_0981_,cell,cell
uart_tx_inst.prescale_reg\[16\]$_SDFFE_PP0P_,_0975_,cell,cell
uart_tx_inst.prescale_reg\[16\]$_SDFFE_PP0P_,_0631_,cell,cell
uart_tx_inst.prescale_reg\[15\]$_SDFFE_PP0P_,_0981_,cell,cell
uart_tx_inst.prescale_reg\[15\]$_SDFFE_PP0P_,_0973_,cell,cell
uart_tx_inst.prescale_reg\[15\]$_SDFFE_PP0P_,_0971_,cell,cell
uart_tx_inst.prescale_reg\[15\]$_SDFFE_PP0P_,_0965_,cell,cell
uart_tx_inst.prescale_reg\[15\]$_SDFFE_PP0P_,_0632_,cell,cell
uart_tx_inst.prescale_reg\[14\]$_SDFFE_PP0P_,_0629_,cell,cell
uart_tx_inst.prescale_reg\[13\]$_SDFFE_PP0P_,_0954_,cell,cell
uart_tx_inst.prescale_reg\[13\]$_SDFFE_PP0P_,_0630_,cell,cell
uart_tx_inst.prescale_reg\[12\]$_SDFFE_PP0P_,_0953_,cell,cell
uart_tx_inst.prescale_reg\[12\]$_SDFFE_PP0P_,_0948_,cell,cell
uart_tx_inst.prescale_reg\[12\]$_SDFFE_PP0P_,_0630_,cell,cell
uart_tx_inst.prescale_reg\[11\]$_SDFFE_PP0P_,_0953_,cell,cell
uart_tx_inst.prescale_reg\[11\]$_SDFFE_PP0P_,_0947_,cell,cell
