src,tar,src_type,tar_type
_0561_/A,_0561_,pin,cell
_0561_,_0561_/Y,cell,pin
_0562_/A,_0562_,pin,cell
_0562_,_0562_/Y,cell,pin
_0563_/A,_0563_,pin,cell
_0563_,_0563_/Y,cell,pin
_0564_/A,_0564_,pin,cell
_0564_,_0564_/Y,cell,pin
_0565_/A,_0565_,pin,cell
_0565_,_0565_/Y,cell,pin
_0566_/A,_0566_,pin,cell
_0566_,_0566_/Y,cell,pin
_0567_/A,_0567_,pin,cell
_0567_,_0567_/Y,cell,pin
_0568_/A,_0568_,pin,cell
_0568_,_0568_/Y,cell,pin
_0569_/A,_0569_,pin,cell
_0569_,_0569_/Y,cell,pin
_0570_/A,_0570_,pin,cell
_0570_,_0570_/Y,cell,pin
_0571_/A,_0571_,pin,cell
_0571_,_0571_/Y,cell,pin
_0572_/A,_0572_,pin,cell
_0572_,_0572_/Y,cell,pin
_0573_/A,_0573_,pin,cell
_0573_,_0573_/Y,cell,pin
_0574_/A,_0574_,pin,cell
_0574_,_0574_/Y,cell,pin
_0575_/A,_0575_,pin,cell
_0575_,_0575_/Y,cell,pin
_0576_/A,_0576_,pin,cell
_0576_,_0576_/Y,cell,pin
_0577_/A,_0577_,pin,cell
_0577_,_0577_/Y,cell,pin
_0578_/A,_0578_,pin,cell
_0578_,_0578_/Y,cell,pin
_0579_/A,_0579_,pin,cell
_0579_,_0579_/Y,cell,pin
_0580_/A,_0580_,pin,cell
_0580_,_0580_/Y,cell,pin
_0581_/A,_0581_,pin,cell
_0581_/B,_0581_,pin,cell
_0581_,_0581_/Y,cell,pin
_0582_/A,_0582_,pin,cell
_0582_/B,_0582_,pin,cell
_0582_/C,_0582_,pin,cell
_0582_,_0582_/Y,cell,pin
_0583_/A,_0583_,pin,cell
_0583_/B,_0583_,pin,cell
_0583_,_0583_/Y,cell,pin
_0584_/A1,_0584_,pin,cell
_0584_/A2,_0584_,pin,cell
_0584_/B,_0584_,pin,cell
_0584_,_0584_/Y,cell,pin
_0585_/A,_0585_,pin,cell
_0585_,_0585_/Y,cell,pin
_0586_/A,_0586_,pin,cell
_0586_,_0586_/Y,cell,pin
_0587_/A,_0587_,pin,cell
_0587_,_0587_/Y,cell,pin
_0588_/A,_0588_,pin,cell
_0588_/B,_0588_,pin,cell
_0588_/C,_0588_,pin,cell
_0588_,_0588_/Y,cell,pin
_0589_/A,_0589_,pin,cell
_0589_/B,_0589_,pin,cell
_0589_/C,_0589_,pin,cell
_0589_,_0589_/Y,cell,pin
_0590_/A,_0590_,pin,cell
_0590_/B,_0590_,pin,cell
_0590_/C,_0590_,pin,cell
_0590_,_0590_/Y,cell,pin
_0591_/A,_0591_,pin,cell
_0591_/B,_0591_,pin,cell
_0591_/C,_0591_,pin,cell
_0591_/D,_0591_,pin,cell
_0591_/E,_0591_,pin,cell
_0591_,_0591_/Y,cell,pin
_0592_/A,_0592_,pin,cell
_0592_/B,_0592_,pin,cell
_0592_/C,_0592_,pin,cell
_0592_,_0592_/Y,cell,pin
_0593_/A,_0593_,pin,cell
_0593_,_0593_/Y,cell,pin
_0594_/A,_0594_,pin,cell
_0594_/B,_0594_,pin,cell
_0594_/C,_0594_,pin,cell
_0594_/D,_0594_,pin,cell
_0594_/E,_0594_,pin,cell
_0594_,_0594_/Y,cell,pin
_0595_/A,_0595_,pin,cell
_0595_/B,_0595_,pin,cell
_0595_/C,_0595_,pin,cell
_0595_,_0595_/Y,cell,pin
_0596_/A,_0596_,pin,cell
_0596_/B,_0596_,pin,cell
_0596_/C,_0596_,pin,cell
_0596_,_0596_/Y,cell,pin
_0597_/A,_0597_,pin,cell
_0597_,_0597_/Y,cell,pin
_0598_/A,_0598_,pin,cell
_0598_/B,_0598_,pin,cell
_0598_/C,_0598_,pin,cell
_0598_/D,_0598_,pin,cell
_0598_/E,_0598_,pin,cell
_0598_,_0598_/Y,cell,pin
_0599_/A,_0599_,pin,cell
_0599_/B,_0599_,pin,cell
_0599_,_0599_/Y,cell,pin
_0600_/A,_0600_,pin,cell
_0600_,_0600_/Y,cell,pin
_0601_/A,_0601_,pin,cell
_0601_/B,_0601_,pin,cell
_0601_,_0601_/Y,cell,pin
_0602_/A,_0602_,pin,cell
_0602_/B,_0602_,pin,cell
_0602_/C,_0602_,pin,cell
_0602_,_0602_/Y,cell,pin
_0603_/A,_0603_,pin,cell
_0603_/B,_0603_,pin,cell
_0603_/C,_0603_,pin,cell
_0603_,_0603_/Y,cell,pin
_0604_/A,_0604_,pin,cell
_0604_/B,_0604_,pin,cell
_0604_/C,_0604_,pin,cell
_0604_/D,_0604_,pin,cell
_0604_,_0604_/Y,cell,pin
_0605_/A,_0605_,pin,cell
_0605_/B,_0605_,pin,cell
_0605_,_0605_/Y,cell,pin
_0606_/A,_0606_,pin,cell
_0606_/B,_0606_,pin,cell
_0606_/C,_0606_,pin,cell
_0606_/D,_0606_,pin,cell
_0606_,_0606_/Y,cell,pin
_0607_/A,_0607_,pin,cell
_0607_,_0607_/Y,cell,pin
_0608_/A,_0608_,pin,cell
_0608_/B,_0608_,pin,cell
_0608_/C,_0608_,pin,cell
_0608_,_0608_/Y,cell,pin
_0609_/A1,_0609_,pin,cell
_0609_/A2,_0609_,pin,cell
_0609_/B,_0609_,pin,cell
_0609_,_0609_/Y,cell,pin
_0610_/A,_0610_,pin,cell
_0610_/B,_0610_,pin,cell
_0610_/C,_0610_,pin,cell
_0610_,_0610_/Y,cell,pin
_0611_/A1,_0611_,pin,cell
_0611_/A2,_0611_,pin,cell
_0611_/B,_0611_,pin,cell
