cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_105,0,0,0,6750,1080,6858,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_112,0,0,0,7128,1080,7452,1350,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_123,0,0,0,7722,1080,8478,1350,0,0,0,DECAPx6_ASAP7_75t_R,0.0,0.0
FILLER_0_0_137,0,0,0,8478,1080,8694,1350,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_141,0,0,0,8694,1080,8748,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_147,0,0,0,9018,1080,10206,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_169,0,0,0,10206,1080,11394,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_191,0,0,0,11394,1080,11718,1350,0,0,0,DECAPx2_ASAP7_75t_R,0.0,0.0
FILLER_0_0_197,0,0,0,11718,1080,11826,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_2,0,0,0,1188,1080,2376,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_209,0,0,0,12366,1080,12582,1350,0,0,0,DECAPx1_ASAP7_75t_R,0.0,0.0
FILLER_0_0_213,0,0,0,12582,1080,12636,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_219,0,0,0,12906,1080,13014,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_221,0,0,0,13014,1080,13068,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_227,0,0,0,13338,1080,14526,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_24,0,0,0,2376,1080,3564,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_249,0,0,0,14526,1080,15714,1350,0,0,0,DECAPx10_ASAP7_75t_R,0.0,0.0
FILLER_0_0_271,0,0,0,15714,1080,15822,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_273,0,0,0,15822,1080,15876,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_46,0,0,0,3564,1080,3672,1350,1,0,0,FILLER_ASAP7_75t_R,0.0,0.0
FILLER_0_0_58,0,0,0,4212,1080,4266,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
FILLER_0_0_64,0,0,0,4536,1080,4590,1350,1,0,0,FILLERxp5_ASAP7_75t_R,0.0,0.0
