src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
output25/Y,m_axis_tdata[0],pin,net
output26/Y,m_axis_tdata[1],pin,net
output27/Y,m_axis_tdata[2],pin,net
output28/Y,m_axis_tdata[3],pin,net
output29/Y,m_axis_tdata[4],pin,net
output30/Y,m_axis_tdata[5],pin,net
output31/Y,m_axis_tdata[6],pin,net
output32/Y,m_axis_tdata[7],pin,net
m_axis_tready,input1/A,net,pin
output33/Y,m_axis_tvalid,pin,net
prescale[0],input2/A,net,pin
prescale[10],input3/A,net,pin
prescale[11],input4/A,net,pin
prescale[12],input5/A,net,pin
prescale[13],input6/A,net,pin
prescale[14],input7/A,net,pin
prescale[15],input8/A,net,pin
prescale[1],input9/A,net,pin
prescale[2],_0766_/A,net,pin
prescale[3],_0762_/A,net,pin
prescale[4],_0763_/A,net,pin
prescale[5],input10/A,net,pin
prescale[6],input11/A,net,pin
prescale[7],input12/A,net,pin
prescale[8],_0761_/A,net,pin
prescale[9],input13/A,net,pin
rst,input14/A,net,pin
output34/Y,rx_busy,pin,net
output35/Y,rx_frame_error,pin,net
output36/Y,rx_overrun_error,pin,net
rxd,input15/A,net,pin
s_axis_tdata[0],input16/A,net,pin
s_axis_tdata[1],input17/A,net,pin
s_axis_tdata[2],input18/A,net,pin
s_axis_tdata[3],input19/A,net,pin
s_axis_tdata[4],input20/A,net,pin
s_axis_tdata[5],input21/A,net,pin
s_axis_tdata[6],input22/A,net,pin
s_axis_tdata[7],input23/A,net,pin
output37/Y,s_axis_tready,pin,net
s_axis_tvalid,input24/A,net,pin
output38/Y,tx_busy,pin,net
output39/Y,txd,pin,net
uart_rx_inst.rxd_reg$_SDFF_PP1_/QN,_0000_,pin,net
_0000_,_0749_/A,net,pin
_0000_,_0746_/B,net,pin
_0000_,_0717_/A,net,pin
_0000_,_0690_/B,net,pin
_0000_,_0622_/A,net,pin
_0000_,_0582_/A,net,pin
uart_rx_inst.bit_cnt\[3\]$_SDFFE_PP0P_/QN,_0001_,pin,net
_0001_,_0752_/A,net,pin
_0001_,_0709_/A,net,pin
_0001_,_0690_/C,net,pin
_0001_,_0602_/A,net,pin
_0001_,_0584_/B,net,pin
_0001_,_0581_/A,net,pin
_1051_/CON,_0002_,pin,net
_0002_,_0746_/A,net,pin
_0002_,_0724_/B,net,pin
_0002_,_0685_/A,net,pin
_0002_,_0583_/A,net,pin
_1049_/CON,_0003_,pin,net
_0003_,_0711_/A1,net,pin
_0003_,_0689_/A,net,pin
_0003_,_0601_/A,net,pin
_0003_,_0599_/A,net,pin
_0003_,_0586_/A,net,pin
_0003_,_0582_/B,net,pin
_1047_/SN,_0004_,pin,net
_0004_,_0849_/B,net,pin
_1047_/CON,_0005_,pin,net
_0005_,_0851_/A,net,pin
_0005_,_0778_/A,net,pin
_1048_/SN,_0006_,pin,net
_0006_,_1004_/A1,net,pin
_0006_,_0861_/A,net,pin
_0006_,_0858_/A1,net,pin
_1048_/CON,_0007_,pin,net
_0007_,_1010_/B,net,pin
_0007_,_0893_/A,net,pin
_0007_,_0875_/A,net,pin
_0007_,_0860_/A,net,pin
_0007_,_0807_/A,net,pin
_0007_,_0771_/A,net,pin
_1052_/SN,_0008_,pin,net
_0008_,_0993_/A1,net,pin
_1052_/CON,_0009_,pin,net
_0009_,_0994_/A,net,pin
_0009_,_0929_/A,net,pin
uart_tx_inst.txd_reg$_SDFFE_PP1P_/QN,_0010_,pin,net
_0010_,_0565_/A,net,pin
uart_tx_inst.s_axis_tready_reg$_SDFFE_PP0P_/QN,_0011_,pin,net
_0011_,_1041_/B,net,pin
_0011_,_0562_/A,net,pin
uart_tx_inst.prescale_reg\[9\]$_SDFFE_PP0P_/QN,_0012_,pin,net
_0012_,_1038_/A,net,pin
_0012_,_1037_/A,net,pin
_0012_,_0942_/A,net,pin
_0012_,_0627_/A,net,pin
