net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
clk,12934,-1,1,1.905169586612185e-15,1.0903910398483276,0.23281354364007711,319.36492669582367
m_axis_tdata[0],922,-1,0,9.697230226861256e-17,0.06582272052764893,0.031149517744779587,24.04142951965332
m_axis_tdata[1],850,-1,0,9.238540710099371e-17,0.04959522932767868,0.042790189385414124,19.79233741760254
m_axis_tdata[2],1366,-1,0,1.5945526257471232e-16,0.11125056445598602,0.04820464691147208,35.21201705932617
m_axis_tdata[3],880,-1,0,9.315189912636494e-17,0.06200237572193146,0.031149517744779587,22.693803787231445
m_axis_tdata[4],1824,-1,0,1.800798001563053e-16,0.09628846496343613,0.08379136770963669,37.58310317993164
m_axis_tdata[5],2010,-1,0,1.8977299374177729e-16,0.10598155111074448,0.08379136770963669,39.10932159423828
m_axis_tdata[6],1914,-1,0,1.3515200796363473e-16,0.13515205681324005,0.0,38.01383972167969
m_axis_tdata[7],2004,-1,0,1.4019840527024923e-16,0.14019837975502014,0.0,38.921600341796875
m_axis_tready,2010,-1,1,7.503563124238387e-16,0.14139345288276672,0.03192090708762407,39.10932159423828
m_axis_tvalid,1452,-1,0,1.7430098404811183e-16,0.12796613574028015,0.04633481428027153,41.167362213134766
prescale[0],2376,-1,1,7.735754972113288e-16,0.19653353840112686,0.0,55.99273681640625
prescale[10],886,-1,1,6.539344227522639e-16,0.06384176760911942,0.01305061113089323,25.10585594177246
prescale[11],934,-1,1,8.170234699055869e-16,0.0416465625166893,0.08186385477893054,22.626361846923828
prescale[12],1018,-1,1,8.072450568646873e-16,0.06730393320322037,0.046428105561062694,29.03192710876465
prescale[13],1312,-1,1,7.382362238606954e-16,0.06698794662952423,0.09420619439333677,28.695833206176758
prescale[14],1426,-1,1,8.446329852773737e-16,0.08964729309082031,0.061472803354263306,31.342086791992188
prescale[15],1270,-1,1,7.36221291297855e-16,0.05704428255558014,0.10213514370843768,27.93830108642578
prescale[1],1104,-1,1,6.684539968363011e-16,0.09141193330287933,0.0,24.518444061279297
prescale[2],1120,-1,1,1.2354905154363582e-15,0.05197949707508087,0.09356113523244858,25.34589958190918
prescale[3],6772,-1,1,1.517872030051392e-15,0.34993384405970573,0.4744245144247543,133.80180549621582
prescale[4],6514,-1,1,1.4355876496650833e-15,0.3811578517779708,0.36091713584028184,129.11130905151367
prescale[5],910,-1,1,7.95182778300194e-16,0.05213793367147446,0.04953187704086304,25.538732528686523
prescale[6],1044,-1,1,6.568402222173789e-16,0.07979817688465118,0.0,21.68606185913086
prescale[7],892,-1,1,6.644669598140159e-16,0.05562347546219826,0.031801517121493816,25.214075088500977
prescale[8],2992,-1,1,1.3674025562022962e-15,0.21591830532997847,0.061534141190350056,65.75363826751709
prescale[9],1138,-1,1,8.165981005473877e-16,0.05211536958813667,0.07096971105784178,26.14757537841797
rst,1692,-1,1,7.612549265374822e-16,0.1446826159954071,0.03953031077980995,44.41693878173828
rx_busy,844,-1,0,6.612340203428034e-17,0.06612337380647659,0.0,19.684118270874023
rx_frame_error,1314,-1,0,1.2987349715969294e-16,0.09704533219337463,0.03282811585813761,37.13316345214844
rx_overrun_error,834,-1,0,1.0006368797596004e-16,0.04471389204263687,0.05534990783780813,18.057403564453125
rxd,880,-1,1,6.463037676282459e-16,0.06926189363002777,0.0,20.810449600219727
s_axis_tdata[0],1830,-1,1,7.528732178870457e-16,0.175831139087677,0.0,48.507816314697266
s_axis_tdata[1],1392,-1,1,7.015565738105912e-16,0.12451457977294922,0.0,33.13232421875
s_axis_tdata[2],1048,-1,1,7.025505669741941e-16,0.06229442358016968,0.06321422755718231,23.8405818939209
s_axis_tdata[3],1402,-1,1,7.284965625771326e-16,0.08824030309915543,0.06321422755718231,29.71491241455078
s_axis_tdata[4],1456,-1,1,7.242681741044391e-16,0.11032373458147049,0.03690236061811447,31.199474334716797
s_axis_tdata[5],1588,-1,1,7.587694142328829e-16,0.11226198077201843,0.06946540251374245,41.24484634399414
s_axis_tdata[6],964,-1,1,6.652534299055415e-16,0.06427931785583496,0.02393200248479843,22.325515747070312
s_axis_tdata[7],1660,-1,1,7.45441244928718e-16,0.12768065929412842,0.04071863065473735,42.92340087890625
s_axis_tready,1984,-1,0,2.5600599389849845e-16,0.14642323553562164,0.1095828153192997,47.52903747558594
s_axis_tvalid,1054,-1,1,7.035072377485586e-16,0.062415771186351776,0.06404941529035568,23.948801040649414
tx_busy,1332,-1,0,1.19410602088073e-16,0.11941055208444595,0.0,27.834609985351562
txd,2358,-1,0,2.4040049710630164e-16,0.18753094971179962,0.05286955367773771,45.62453079223633
_0000_,8967,-1,6,5.3323053370263156e-15,0.8002125304192305,0.43232022431402584,274.01529479026794
_0001_,3024,-1,6,6.609822027415406e-15,0.27765437262132764,0.12372032931307331,109.83475077152252
_0002_,4302,-1,4,3.7273346030746585e-15,0.3146191007690504,0.4353389914613217,127.72949194908142
_0003_,3258,-1,6,5.581349117145078e-15,0.24468784034252167,0.31375697443581885,115.9408991932869
_0004_,684,-1,1,7.45346483117744e-16,0.06423483788967133,0.04664868942927569,24.322193145751953
_0005_,1170,-1,2,2.5255174589399213e-15,0.10713156685233116,0.08169797126902267,42.84999120235443
_0006_,3099,-1,3,2.2288191816921587e-15,0.23824085295200348,0.2167742246620037,79.77267014980316
_0007_,4545,-1,6,7.638959011516382e-15,0.341769702732563,0.3437495823982317,155.51656639575958
_0008_,72,-1,1,6.311349957296975e-16,0.010166122578084469,0.0026118808891624212,3.800457000732422
_0009_,765,-1,2,2.4309534301590304e-15,0.06979179568588734,0.02447359310099273,26.87426507472992
_0010_,126,-1,1,7.080318230549951e-16,0.02054634504020214,0.0037694594939239323,7.179452896118164
_0011_,882,-1,2,1.4237249532387869e-15,0.109493687748909,0.030340239871293306,30.853457808494568
_0012_,1368,-1,4,3.1123600960060666e-15,0.11023934744298458,0.1231847862363793,49.126184821128845
_0013_,3258,-1,3,3.8699525050191804e-15,0.34994254261255264,0.20345574836574087,111.11651039123535
_0014_,2844,-1,4,4.367112987695935e-15,0.23770759161561728,0.22263337019830942,101.99980020523071
_0015_,3384,-1,5,4.0845389848436376e-15,0.3018085022922605,0.26194811022469366,113.98368048667908
_0016_,2022,-1,2,1.6187564069264576e-15,0.2351323887705803,0.06206019550154451,68.69576108455658
_0017_,3981,-1,5,4.236752076014656e-15,0.42333451099693775,0.2953094925615005,128.1785718202591
_0018_,2124,-1,5,4.597722366267128e-15,0.17551837326027453,0.1634407716919668,80.24202013015747
_0019_,2502,-1,5,5.53750372717988e-15,0.20511463470757008,0.15422557658166625,89.69882273674011
_0020_,1368,-1,3,2.620852922977524e-15,0.12974197044968605,0.09821597585687414,51.77562415599823
_0021_,954,-1,3,3.0685384229633917e-15,0.06178169511258602,0.13480994931887835,36.40374934673309
