src,tar,src_type,tar_type,is_net,arc_delay
_0561_/A,_0561_/Y,pin,pin,0,1.7138420890794315e-11
_0562_/A,_0562_/Y,pin,pin,0,1.0947386226700662e-11
_0563_/A,_0563_/Y,pin,pin,0,8.078742536055117e-12
_0564_/A,_0564_/Y,pin,pin,0,1.1069204580715919e-11
_0565_/A,_0565_/Y,pin,pin,0,1.0841259313887353e-11
_0566_/A,_0566_/Y,pin,pin,0,1.103018197612382e-11
_0567_/A,_0567_/Y,pin,pin,0,7.756842043682433e-12
_0568_/A,_0568_/Y,pin,pin,0,1.063070638462893e-11
_0569_/A,_0569_/Y,pin,pin,0,1.0570396120901382e-11
_0570_/A,_0570_/Y,pin,pin,0,1.0350852987228709e-11
_0571_/A,_0571_/Y,pin,pin,0,1.0710560043036832e-11
_0572_/A,_0572_/Y,pin,pin,0,9.936933220711097e-12
_0573_/A,_0573_/Y,pin,pin,0,1.0396989692795788e-11
_0574_/A,_0574_/Y,pin,pin,0,1.0271179740062308e-11
_0575_/A,_0575_/Y,pin,pin,0,1.0467325790852744e-11
_0576_/A,_0576_/Y,pin,pin,0,7.840423622840209e-12
_0577_/A,_0577_/Y,pin,pin,0,1.2129645378389231e-11
_0578_/A,_0578_/Y,pin,pin,0,7.34256926093746e-12
_0579_/A,_0579_/Y,pin,pin,0,1.71367538215339e-11
_0580_/A,_0580_/Y,pin,pin,0,1.2064970550396126e-11
_0581_/A,_0581_/Y,pin,pin,0,2.36666936048735e-11
_0581_/B,_0581_/Y,pin,pin,0,2.217517489078169e-11
_0582_/A,_0582_/Y,pin,pin,0,3.152682281903907e-11
_0582_/B,_0582_/Y,pin,pin,0,3.890441094278607e-11
_0582_/C,_0582_/Y,pin,pin,0,3.075239021765874e-11
_0583_/A,_0583_/Y,pin,pin,0,2.7026669097152123e-11
_0583_/B,_0583_/Y,pin,pin,0,2.187238758166732e-11
_0584_/A1,_0584_/Y,pin,pin,0,1.3514091755373325e-11
_0584_/A2,_0584_/Y,pin,pin,0,1.2703581242501372e-11
_0584_/B,_0584_/Y,pin,pin,0,1.583484211808983e-11
_0585_/A,_0585_/Y,pin,pin,0,9.502339019806794e-12
_0586_/A,_0586_/Y,pin,pin,0,1.874438104731979e-11
_0587_/A,_0587_/Y,pin,pin,0,1.288682962424792e-11
_0588_/A,_0588_/Y,pin,pin,0,3.46564756059653e-11
_0588_/B,_0588_/Y,pin,pin,0,3.427302538994148e-11
_0588_/C,_0588_/Y,pin,pin,0,3.640727649911746e-11
_0589_/A,_0589_/Y,pin,pin,0,2.964595929855207e-11
_0589_/B,_0589_/Y,pin,pin,0,2.977283350413806e-11
_0589_/C,_0589_/Y,pin,pin,0,3.208207657867668e-11
_0590_/A,_0590_/Y,pin,pin,0,2.9934728307257075e-11
_0590_/B,_0590_/Y,pin,pin,0,3.0635931291822516e-11
_0590_/C,_0590_/Y,pin,pin,0,3.060377992691876e-11
_0591_/A,_0591_/Y,pin,pin,0,3.599342698890062e-11
_0591_/B,_0591_/Y,pin,pin,0,3.83870504827577e-11
_0591_/C,_0591_/Y,pin,pin,0,4.075680765103229e-11
_0591_/D,_0591_/Y,pin,pin,0,4.2497918378847643e-11
_0591_/E,_0591_/Y,pin,pin,0,4.1547557061427653e-11
_0592_/A,_0592_/Y,pin,pin,0,2.6871550123930277e-11
_0592_/B,_0592_/Y,pin,pin,0,2.5064684702758022e-11
_0592_/C,_0592_/Y,pin,pin,0,2.5517553348120003e-11
_0593_/A,_0593_/Y,pin,pin,0,1.6827107415795517e-11
_0594_/A,_0594_/Y,pin,pin,0,3.422852279388877e-11
_0594_/B,_0594_/Y,pin,pin,0,3.6010090742610856e-11
_0594_/C,_0594_/Y,pin,pin,0,3.8475177904784275e-11
_0594_/D,_0594_/Y,pin,pin,0,3.929060202190193e-11
_0594_/E,_0594_/Y,pin,pin,0,3.9344364571869406e-11
_0595_/A,_0595_/Y,pin,pin,0,3.500123801902788e-11
_0595_/B,_0595_/Y,pin,pin,0,3.581590232726306e-11
_0595_/C,_0595_/Y,pin,pin,0,3.333058135046585e-11
_0596_/A,_0596_/Y,pin,pin,0,2.128891680996947e-11
_0596_/B,_0596_/Y,pin,pin,0,2.0677348722131228e-11
_0596_/C,_0596_/Y,pin,pin,0,2.2598799567785655e-11
_0597_/A,_0597_/Y,pin,pin,0,1.933238291673689e-11
_0598_/A,_0598_/Y,pin,pin,0,4.113785007087145e-11
_0598_/B,_0598_/Y,pin,pin,0,4.455356569788016e-11
_0598_/C,_0598_/Y,pin,pin,0,4.591778693385784e-11
_0598_/D,_0598_/Y,pin,pin,0,4.790479818383986e-11
_0598_/E,_0598_/Y,pin,pin,0,4.876564083100554e-11
_0599_/A,_0599_/Y,pin,pin,0,2.7964257645618495e-11
_0599_/B,_0599_/Y,pin,pin,0,1.7573631785894328e-11
_0600_/A,_0600_/Y,pin,pin,0,2.3561933654159262e-11
_0601_/A,_0601_/Y,pin,pin,0,3.431816636423335e-11
_0601_/B,_0601_/Y,pin,pin,0,2.3840302995625784e-11
_0602_/A,_0602_/Y,pin,pin,0,2.7566999030725903e-11
_0602_/B,_0602_/Y,pin,pin,0,2.7402354690897468e-11
_0602_/C,_0602_/Y,pin,pin,0,2.3124283737852025e-11
_0603_/A,_0603_/Y,pin,pin,0,3.0423052965744546e-11
_0603_/B,_0603_/Y,pin,pin,0,3.235537532342292e-11
_0603_/C,_0603_/Y,pin,pin,0,2.962819226071112e-11
_0604_/A,_0604_/Y,pin,pin,0,4.511685122721154e-11
_0604_/B,_0604_/Y,pin,pin,0,4.381554494226059e-11
_0604_/C,_0604_/Y,pin,pin,0,4.5356947364627587e-11
_0604_/D,_0604_/Y,pin,pin,0,4.4587777914273374e-11
_0605_/A,_0605_/Y,pin,pin,0,1.5063689878802577e-11
_0605_/B,_0605_/Y,pin,pin,0,1.642427513437461e-11
_0606_/A,_0606_/Y,pin,pin,0,2.8474366961517283e-11
_0606_/B,_0606_/Y,pin,pin,0,3.09449063595757e-11
_0606_/C,_0606_/Y,pin,pin,0,3.1174403336553524e-11
_0606_/D,_0606_/Y,pin,pin,0,3.309556448338746e-11
_0607_/A,_0607_/Y,pin,pin,0,1.9377891652405665e-11
_0608_/A,_0608_/Y,pin,pin,0,2.8814329394721838e-11
_0608_/B,_0608_/Y,pin,pin,0,2.8477328134490776e-11
_0608_/C,_0608_/Y,pin,pin,0,2.8478502542284012e-11
_0609_/A1,_0609_/Y,pin,pin,0,1.1334815031016632e-11
_0609_/A2,_0609_/Y,pin,pin,0,1.1781173259173272e-11
_0609_/B,_0609_/Y,pin,pin,0,8.383687841173604e-12
_0610_/A,_0610_/Y,pin,pin,0,2.860264108894839e-11
_0610_/B,_0610_/Y,pin,pin,0,2.8257091111427712e-11
_0610_/C,_0610_/Y,pin,pin,0,2.8258458073526782e-11
_0611_/A1,_0611_/Y,pin,pin,0,1.1694392849925794e-11
_0611_/A2,_0611_/Y,pin,pin,0,1.1708674828303511e-11
_0611_/B,_0611_/Y,pin,pin,0,8.241678173259714e-12
_0612_/A,_0612_/Y,pin,pin,0,2.8627673148706734e-11
_0612_/B,_0612_/Y,pin,pin,0,2.8181533495708067e-11
_0612_/C,_0612_/Y,pin,pin,0,2.8188621575830908e-11
_0613_/A1,_0613_/Y,pin,pin,0,1.1641829861241959e-11
_0613_/A2,_0613_/Y,pin,pin,0,1.1651550384239595e-11
_0613_/B,_0613_/Y,pin,pin,0,8.170287363329365e-12
_0614_/A,_0614_/Y,pin,pin,0,2.8696583304066436e-11
_0614_/B,_0614_/Y,pin,pin,0,2.8103500429588202e-11
_0614_/C,_0614_/Y,pin,pin,0,2.8106910895941972e-11
_0615_/A1,_0615_/Y,pin,pin,0,1.1675545079359306e-11
_0615_/A2,_0615_/Y,pin,pin,0,1.1622937855226834e-11
_0615_/B,_0615_/Y,pin,pin,0,8.122569457313933e-12
_0616_/A,_0616_/Y,pin,pin,0,2.8829966192134293e-11
_0616_/B,_0616_/Y,pin,pin,0,2.843166847787959e-11
_0616_/C,_0616_/Y,pin,pin,0,2.8448994895957647e-11
_0617_/A1,_0617_/Y,pin,pin,0,1.21483717183124e-11
_0617_/A2,_0617_/Y,pin,pin,0,1.1998981669369968e-11
_0617_/B,_0617_/Y,pin,pin,0,8.532867988575443e-12
_0618_/A,_0618_/Y,pin,pin,0,2.8686761299745456e-11
_0618_/B,_0618_/Y,pin,pin,0,2.8147057601346503e-11
_0618_/C,_0618_/Y,pin,pin,0,2.8167050289407136e-11
_0619_/A1,_0619_/Y,pin,pin,0,1.1683372151682914e-11
_0619_/A2,_0619_/Y,pin,pin,0,1.1666299870594088e-11
_0619_/B,_0619_/Y,pin,pin,0,8.177783970830799e-12
_0620_/A,_0620_/Y,pin,pin,0,2.8933612450376955e-11
_0620_/B,_0620_/Y,pin,pin,0,2.8338508623049208e-11
_0620_/C,_0620_/Y,pin,pin,0,2.8353912967515882e-11
_0621_/A1,_0621_/Y,pin,pin,0,1.1729772535218341e-11
_0621_/A2,_0621_/Y,pin,pin,0,1.1623724552323189e-11
_0621_/B,_0621_/Y,pin,pin,0,8.22595030286477e-12
_0622_/A,_0622_/Y,pin,pin,0,1.830545263981076e-11
_0623_/A1,_0623_/Y,pin,pin,0,1.0498412902903986e-11
_0623_/A2,_0623_/Y,pin,pin,0,9.625310964933576e-12
_0623_/B,_0623_/Y,pin,pin,0,9.762226617360259e-12
_0624_/A1,_0624_/Y,pin,pin,0,1.9432070536007373e-11
_0624_/A2,_0624_/Y,pin,pin,0,1.843127907241726e-11
_0624_/B,_0624_/Y,pin,pin,0,1.6138904448959046e-11
_0625_/A,_0625_/Y,pin,pin,0,2.926140232895058e-11
_0625_/B,_0625_/Y,pin,pin,0,3.2192019883137135e-11
_0625_/C,_0625_/Y,pin,pin,0,3.0376343801430394e-11
_0626_/A,_0626_/Y,pin,pin,0,3.196263392846177e-11
_0626_/B,_0626_/Y,pin,pin,0,3.431944659015862e-11
_0626_/C,_0626_/Y,pin,pin,0,3.3825733880554765e-11
_0627_/A,_0627_/Y,pin,pin,0,3.1210100476242175e-11
