pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_0561_/A,9487,6615,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0561_,_0555_,2.6829751961776616e-11,4.908981554585523e-11,9.728921140927937e-11,9.835290915027883e-11,6.837159952986067e-16
_0561_/Y,9574,6615,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0561_,uart_rx_inst.bit_cnt\[0\],2.212724968531088e-11,4.908980860696133e-11,1.1549133177579662e-10,1.1223991180919768e-10,-1
_0562_/A,6679,4995,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0562_,_0011_,1.4707814827152887e-11,1.2580195218880874e-10,8.896436365368743e-11,8.960212433128945e-11,6.837159952986067e-16
_0562_/Y,6766,4995,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0562_,net37,1.388237875349363e-11,1.2580193831102093e-10,1.0054951316007532e-10,9.844992876484326e-11,-1
_0563_/A,14509,6885,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0563_,_0061_,1.8037914911728237e-11,1.2750134281702685e-10,9.154055291560326e-11,9.2318132305369e-11,6.837159952986067e-16
_0563_/Y,14596,6885,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0563_,net33,9.164250955318032e-12,1.2750134281702685e-10,1.0039687137197717e-10,9.83173265023396e-11,-1
_0564_/A,8353,7965,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0564_,net2,1.770041578585957e-11,4.871887615554016e-11,7.65396843127597e-11,7.676012603319293e-11,6.837159952986067e-16
_0564_/Y,8440,7965,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0564_,_0553_,1.401663073802295e-11,4.871887615554016e-11,8.78293271444619e-11,8.673161494554549e-11,-1
_0565_/A,4735,6885,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0565_,_0010_,1.4693421826472708e-11,1.2142824246108574e-10,9.248206367384881e-11,9.428988145820938e-11,6.837159952986067e-16
_0565_/Y,4822,6885,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0565_,net39,1.336037790816702e-11,1.2142824246108574e-10,1.05131139904735e-10,1.0161952529452734e-10,-1
_0566_/A,4087,6615,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0566_,_0038_,1.4813089990739492e-11,1.2120268677584534e-10,9.260023303703235e-11,9.441363663098556e-11,6.837159952986067e-16
_0566_/Y,4174,6615,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0566_,net38,1.3701686486788933e-11,1.2120267289805753e-10,1.0544382034183286e-10,1.0190474158955354e-10,-1
_0567_/A,15049,6615,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0567_,_0060_,1.4979635587497597e-11,1.2595277598670407e-10,9.261889866163386e-11,9.44369651922905e-11,6.837159952986067e-16
_0567_/Y,15136,6615,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0567_,net36,8.752053769212065e-12,1.2595276210891626e-10,1.0219380897069641e-10,9.899479153085977e-11,-1
_0568_/A,14023,5535,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0568_,_0062_,1.4673321585556565e-11,1.2233089541346942e-10,9.211306023493293e-11,9.391667304958773e-11,6.837159952986067e-16
_0568_/Y,14110,5535,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0568_,net32,1.2971040908027476e-11,1.2233089541346942e-10,1.0454737769949318e-10,1.0105962594542106e-10,-1
_0569_/A,14077,5265,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0569_,_0063_,1.4662493441619517e-11,1.2242860891742424e-10,9.21096393602383e-11,9.391276645231983e-11,6.837159952986067e-16
_0569_/Y,14164,5265,0,-1,0,0,1,4.608000179345817e-14,3.199999987213431e-10,0,_0569_,net31,1.288302190621815e-11,1.2242859503963643e-10,1.0448316517530642e-10,1.0100281722102977e-10,-1
_0570_/A,13807,4455,0,-1,0,0,0,0.0,3.199999987213431e-10,0,_0570_,_0064_,1.465684865142869e-11,1.2277637240210026e-10,9.197965999963031e-11,9.377876253324757e-11,6.837159952986067e-16
