net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
clk,-1,-1,1,-1,0.0,0.0,0.0
req_msg[0],-1,-1,1,-1,0.0,0.0,0.0
req_msg[10],-1,-1,1,-1,0.0,0.0,0.0
req_msg[11],-1,-1,1,-1,0.0,0.0,0.0
req_msg[12],-1,-1,1,-1,0.0,0.0,0.0
req_msg[13],-1,-1,1,-1,0.0,0.0,0.0
req_msg[14],-1,-1,1,-1,0.0,0.0,0.0
req_msg[15],-1,-1,1,-1,0.0,0.0,0.0
req_msg[16],-1,-1,1,-1,0.0,0.0,0.0
req_msg[17],-1,-1,1,-1,0.0,0.0,0.0
req_msg[18],-1,-1,1,-1,0.0,0.0,0.0
req_msg[19],-1,-1,1,-1,0.0,0.0,0.0
req_msg[1],-1,-1,1,-1,0.0,0.0,0.0
req_msg[20],-1,-1,1,-1,0.0,0.0,0.0
req_msg[21],-1,-1,1,-1,0.0,0.0,0.0
req_msg[22],-1,-1,1,-1,0.0,0.0,0.0
req_msg[23],-1,-1,1,-1,0.0,0.0,0.0
req_msg[24],-1,-1,1,-1,0.0,0.0,0.0
req_msg[25],-1,-1,1,-1,0.0,0.0,0.0
req_msg[26],-1,-1,1,-1,0.0,0.0,0.0
req_msg[27],-1,-1,1,-1,0.0,0.0,0.0
req_msg[28],-1,-1,1,-1,0.0,0.0,0.0
req_msg[29],-1,-1,1,-1,0.0,0.0,0.0
req_msg[2],-1,-1,1,-1,0.0,0.0,0.0
req_msg[30],-1,-1,1,-1,0.0,0.0,0.0
req_msg[31],-1,-1,1,-1,0.0,0.0,0.0
req_msg[3],-1,-1,1,-1,0.0,0.0,0.0
req_msg[4],-1,-1,1,-1,0.0,0.0,0.0
req_msg[5],-1,-1,1,-1,0.0,0.0,0.0
req_msg[6],-1,-1,1,-1,0.0,0.0,0.0
req_msg[7],-1,-1,1,-1,0.0,0.0,0.0
req_msg[8],-1,-1,1,-1,0.0,0.0,0.0
req_msg[9],-1,-1,1,-1,0.0,0.0,0.0
req_rdy,-1,-1,1,-1,0.0,0.0,0.0
req_val,-1,-1,1,-1,0.0,0.0,0.0
reset,-1,-1,1,-1,0.0,0.0,0.0
resp_msg[0],-1,-1,1,-1,0.0,0.0,0.0
resp_msg[10],-1,-1,1,-1,0.0,0.0,0.0
resp_msg[11],-1,-1,1,-1,0.0,0.0,0.0
resp_msg[12],-1,-1,1,-1,0.0,0.0,0.0
