pin_name,x,y,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_arr,input_pin_cap
FILLER_0_0_1/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_1,VDD,-1,INF,-1,-1
FILLER_0_0_1/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_1,VSS,-1,INF,-1,-1
FILLER_0_0_108/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_108,VDD,-1,INF,-1,-1
FILLER_0_0_108/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_108,VSS,-1,INF,-1,-1
FILLER_0_0_120/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_120,VDD,-1,INF,-1,-1
FILLER_0_0_120/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_120,VSS,-1,INF,-1,-1
FILLER_0_0_128/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_128,VDD,-1,INF,-1,-1
FILLER_0_0_128/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_128,VSS,-1,INF,-1,-1
FILLER_0_0_133/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_133,VDD,-1,INF,-1,-1
FILLER_0_0_133/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_133,VSS,-1,INF,-1,-1
FILLER_0_0_149/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_149,VDD,-1,INF,-1,-1
FILLER_0_0_149/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_149,VSS,-1,INF,-1,-1
FILLER_0_0_157/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_157,VDD,-1,INF,-1,-1
FILLER_0_0_157/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_157,VSS,-1,INF,-1,-1
FILLER_0_0_159/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_159,VDD,-1,INF,-1,-1
FILLER_0_0_159/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_159,VSS,-1,INF,-1,-1
FILLER_0_0_17/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_17,VDD,-1,INF,-1,-1
FILLER_0_0_17/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_17,VSS,-1,INF,-1,-1
FILLER_0_0_21/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_21,VDD,-1,INF,-1,-1
FILLER_0_0_21/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_0_21,VSS,-1,INF,-1,-1
FILLER_0_10_104/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_104,VDD,-1,INF,-1,-1
FILLER_0_10_104/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_104,VSS,-1,INF,-1,-1
FILLER_0_10_112/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_112,VDD,-1,INF,-1,-1
FILLER_0_10_112/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_112,VSS,-1,INF,-1,-1
FILLER_0_10_123/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_123,VDD,-1,INF,-1,-1
FILLER_0_10_123/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_123,VSS,-1,INF,-1,-1
FILLER_0_10_4/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_4,VDD,-1,INF,-1,-1
FILLER_0_10_4/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_4,VSS,-1,INF,-1,-1
FILLER_0_10_61/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_61,VDD,-1,INF,-1,-1
FILLER_0_10_61/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_61,VSS,-1,INF,-1,-1
FILLER_0_10_70/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_70,VDD,-1,INF,-1,-1
FILLER_0_10_70/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_70,VSS,-1,INF,-1,-1
FILLER_0_10_78/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_78,VDD,-1,INF,-1,-1
FILLER_0_10_78/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_78,VSS,-1,INF,-1,-1
FILLER_0_10_87/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_87,VDD,-1,INF,-1,-1
FILLER_0_10_87/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_87,VSS,-1,INF,-1,-1
FILLER_0_10_95/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_95,VDD,-1,INF,-1,-1
FILLER_0_10_95/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_10_95,VSS,-1,INF,-1,-1
FILLER_0_11_103/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_11_103,VDD,-1,INF,-1,-1
FILLER_0_11_103/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_11_103,VSS,-1,INF,-1,-1
FILLER_0_11_107/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_11_107,VDD,-1,INF,-1,-1
FILLER_0_11_107/VSS,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_11_107,VSS,-1,INF,-1,-1
FILLER_0_11_109/VDD,-1,-1,-1,-1,-1,0,-1,-1,-1,FILLER_0_11_109,VDD,-1,INF,-1,-1
