src,tar,src_type,tar_type
_19772_,_32825_,cell,cell
_32082_,_32696_,cell,cell
_32087_,_32697_,cell,cell
_32091_,_32698_,cell,cell
_32096_,_32699_,cell,cell
_32101_,_32700_,cell,cell
_32106_,_32701_,cell,cell
_32110_,_32702_,cell,cell
_32114_,_32703_,cell,cell
_28995_,_32728_,cell,cell
_29000_,_32729_,cell,cell
_29005_,_32730_,cell,cell
_29010_,_32731_,cell,cell
_29015_,_32732_,cell,cell
_29020_,_32733_,cell,cell
_29025_,_32734_,cell,cell
_29029_,_32735_,cell,cell
_26014_,_32760_,cell,cell
_26017_,_32761_,cell,cell
_26022_,_32762_,cell,cell
_26028_,_32763_,cell,cell
_26034_,_32764_,cell,cell
_26038_,_32765_,cell,cell
_26042_,_32766_,cell,cell
_26046_,_32767_,cell,cell
_22896_,_32792_,cell,cell
_22901_,_32793_,cell,cell
_22906_,_32794_,cell,cell
_22911_,_32795_,cell,cell
_22916_,_32796_,cell,cell
_22920_,_32797_,cell,cell
_22925_,_32798_,cell,cell
_22929_,_32799_,cell,cell
_32042_,_32704_,cell,cell
_32047_,_32705_,cell,cell
_32052_,_32706_,cell,cell
_32058_,_32707_,cell,cell
_32064_,_32708_,cell,cell
_32068_,_32709_,cell,cell
_32073_,_32710_,cell,cell
_32078_,_32711_,cell,cell
_28954_,_32736_,cell,cell
_28960_,_32737_,cell,cell
_28965_,_32738_,cell,cell
_28973_,_32739_,cell,cell
_28978_,_32740_,cell,cell
_28982_,_32741_,cell,cell
_28986_,_32742_,cell,cell
_28991_,_32743_,cell,cell
_25971_,_32768_,cell,cell
_25978_,_32769_,cell,cell
_25983_,_32770_,cell,cell
_25990_,_32771_,cell,cell
_25995_,_32772_,cell,cell
_26000_,_32773_,cell,cell
_26005_,_32774_,cell,cell
_26010_,_32775_,cell,cell
_22853_,_32800_,cell,cell
_22859_,_32801_,cell,cell
_22863_,_32802_,cell,cell
_22869_,_32803_,cell,cell
_22877_,_32804_,cell,cell
_22882_,_32805_,cell,cell
_22887_,_32806_,cell,cell
_22892_,_32807_,cell,cell
_31998_,_32712_,cell,cell
_32004_,_32713_,cell,cell
_32009_,_32714_,cell,cell
_32015_,_32715_,cell,cell
_32021_,_32716_,cell,cell
_32026_,_32717_,cell,cell
_32032_,_32718_,cell,cell
_32037_,_32719_,cell,cell
_28910_,_32744_,cell,cell
_28916_,_32745_,cell,cell
_28921_,_32746_,cell,cell
_28928_,_32747_,cell,cell
_28933_,_32748_,cell,cell
_28938_,_32749_,cell,cell
_28943_,_32750_,cell,cell
_28948_,_32751_,cell,cell
_25928_,_32776_,cell,cell
