src,tar,src_type,tar_type
_16482_/A1,_16482_,pin,cell
_16482_/A2,_16482_,pin,cell
_16482_,_16482_/ZN,cell,pin
_16496_/A,_16496_,pin,cell
_16496_,_16496_/ZN,cell,pin
_16497_/A1,_16497_,pin,cell
_16497_/A2,_16497_,pin,cell
_16497_,_16497_/ZN,cell,pin
_16500_/A,_16500_,pin,cell
_16500_,_16500_/ZN,cell,pin
_16505_/A1,_16505_,pin,cell
_16505_/A2,_16505_,pin,cell
_16505_,_16505_/ZN,cell,pin
_16508_/A1,_16508_,pin,cell
_16508_/A2,_16508_,pin,cell
_16508_,_16508_/ZN,cell,pin
_16509_/A1,_16509_,pin,cell
_16509_/A2,_16509_,pin,cell
_16509_,_16509_/ZN,cell,pin
_16511_/A1,_16511_,pin,cell
_16511_/A2,_16511_,pin,cell
_16511_,_16511_/ZN,cell,pin
_16514_/A,_16514_,pin,cell
_16514_,_16514_/ZN,cell,pin
_16515_/A1,_16515_,pin,cell
_16515_/A2,_16515_,pin,cell
_16515_,_16515_/ZN,cell,pin
_16517_/A1,_16517_,pin,cell
_16517_/A2,_16517_,pin,cell
_16517_/A3,_16517_,pin,cell
_16517_,_16517_/ZN,cell,pin
_16518_/A1,_16518_,pin,cell
_16518_/A2,_16518_,pin,cell
_16518_,_16518_/ZN,cell,pin
_16519_/A,_16519_,pin,cell
_16519_/B1,_16519_,pin,cell
_16519_/B2,_16519_,pin,cell
_16519_,_16519_/ZN,cell,pin
_16520_/A1,_16520_,pin,cell
_16520_/A2,_16520_,pin,cell
_16520_,_16520_/ZN,cell,pin
_16526_/A1,_16526_,pin,cell
_16526_/A2,_16526_,pin,cell
_16526_,_16526_/ZN,cell,pin
_16528_/A1,_16528_,pin,cell
_16528_/A2,_16528_,pin,cell
_16528_,_16528_/ZN,cell,pin
_16529_/A1,_16529_,pin,cell
_16529_/A2,_16529_,pin,cell
_16529_,_16529_/ZN,cell,pin
_16530_/A,_16530_,pin,cell
_16530_/B1,_16530_,pin,cell
_16530_/B2,_16530_,pin,cell
_16530_,_16530_/ZN,cell,pin
_16532_/A1,_16532_,pin,cell
_16532_/A2,_16532_,pin,cell
_16532_/A3,_16532_,pin,cell
_16532_,_16532_/ZN,cell,pin
_16535_/A1,_16535_,pin,cell
_16535_/A2,_16535_,pin,cell
_16535_,_16535_/ZN,cell,pin
_16536_/A,_16536_,pin,cell
_16536_/B1,_16536_,pin,cell
_16536_/B2,_16536_,pin,cell
_16536_,_16536_/ZN,cell,pin
_16537_/A,_16537_,pin,cell
_16537_/B1,_16537_,pin,cell
_16537_/B2,_16537_,pin,cell
_16537_,_16537_/ZN,cell,pin
_16538_/A,_16538_,pin,cell
_16538_/B1,_16538_,pin,cell
_16538_/B2,_16538_,pin,cell
_16538_,_16538_/ZN,cell,pin
_16539_/A,_16539_,pin,cell
_16539_,_16539_/ZN,cell,pin
_16540_/A1,_16540_,pin,cell
_16540_/A2,_16540_,pin,cell
_16540_,_16540_/ZN,cell,pin
_16542_/A1,_16542_,pin,cell
_16542_/A2,_16542_,pin,cell
_16542_,_16542_/ZN,cell,pin
_16544_/A,_16544_,pin,cell
_16544_/B1,_16544_,pin,cell
_16544_/B2,_16544_,pin,cell
_16544_,_16544_/ZN,cell,pin
_16545_/A,_16545_,pin,cell
_16545_,_16545_/ZN,cell,pin
_16546_/A1,_16546_,pin,cell
_16546_/A2,_16546_,pin,cell
_16546_/A3,_16546_,pin,cell
_16546_,_16546_/ZN,cell,pin
_16547_/A1,_16547_,pin,cell
_16547_/A2,_16547_,pin,cell
_16547_,_16547_/ZN,cell,pin
_16548_/A,_16548_,pin,cell
_16548_,_16548_/ZN,cell,pin
_16549_/A1,_16549_,pin,cell
_16549_/A2,_16549_,pin,cell
_16549_,_16549_/ZN,cell,pin
_16550_/A1,_16550_,pin,cell
_16550_/A2,_16550_,pin,cell
_16550_,_16550_/ZN,cell,pin
_16551_/A1,_16551_,pin,cell
_16551_/A2,_16551_,pin,cell
_16551_,_16551_/ZN,cell,pin
_16552_/A1,_16552_,pin,cell
_16552_/A2,_16552_,pin,cell
_16552_,_16552_/ZN,cell,pin
_16554_/A1,_16554_,pin,cell
_16554_/A2,_16554_,pin,cell
_16554_,_16554_/ZN,cell,pin
_16555_/A1,_16555_,pin,cell
_16555_/A2,_16555_,pin,cell
_16555_,_16555_/ZN,cell,pin
_16556_/A1,_16556_,pin,cell
_16556_/A2,_16556_,pin,cell
_16556_,_16556_/ZN,cell,pin
_16557_/A1,_16557_,pin,cell
_16557_/A2,_16557_,pin,cell
_16557_,_16557_/ZN,cell,pin
_16558_/A1,_16558_,pin,cell
_16558_/A2,_16558_,pin,cell
_16558_/B1,_16558_,pin,cell
_16558_/B2,_16558_,pin,cell
_16558_/C1,_16558_,pin,cell
_16558_/C2,_16558_,pin,cell
_16558_,_16558_/ZN,cell,pin
_16561_/A1,_16561_,pin,cell
_16561_/A2,_16561_,pin,cell
_16561_,_16561_/ZN,cell,pin
_16562_/A1,_16562_,pin,cell
_16562_/A2,_16562_,pin,cell
_16562_/A3,_16562_,pin,cell
_16562_,_16562_/ZN,cell,pin
_16564_/A1,_16564_,pin,cell
_16564_/A2,_16564_,pin,cell
_16564_,_16564_/ZN,cell,pin
_16566_/A1,_16566_,pin,cell
_16566_/A2,_16566_,pin,cell
_16566_,_16566_/ZN,cell,pin
_16567_/A1,_16567_,pin,cell
_16567_/A2,_16567_,pin,cell
_16567_,_16567_/ZN,cell,pin
_16568_/A1,_16568_,pin,cell
_16568_/A2,_16568_,pin,cell
_16568_,_16568_/ZN,cell,pin
_16569_/A,_16569_,pin,cell
_16569_/B1,_16569_,pin,cell
_16569_/B2,_16569_,pin,cell
_16569_,_16569_/ZN,cell,pin
_16571_/A1,_16571_,pin,cell
_16571_/A2,_16571_,pin,cell
_16571_/B1,_16571_,pin,cell
_16571_/B2,_16571_,pin,cell
