src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
output259/Z,done,pin,net
key[0],input1/A,net,pin
key[100],input2/A,net,pin
key[101],input3/A,net,pin
key[102],input4/A,net,pin
key[103],input5/A,net,pin
key[104],input6/A,net,pin
key[105],input7/A,net,pin
key[106],input8/A,net,pin
key[107],input9/A,net,pin
key[108],input10/A,net,pin
key[109],input11/A,net,pin
key[10],input12/A,net,pin
key[110],input13/A,net,pin
key[111],input14/A,net,pin
key[112],input15/A,net,pin
key[113],input16/A,net,pin
key[114],input17/A,net,pin
key[115],input18/A,net,pin
key[116],input19/A,net,pin
key[117],input20/A,net,pin
key[118],input21/A,net,pin
key[119],input22/A,net,pin
key[11],input23/A,net,pin
key[120],input24/A,net,pin
key[121],input25/A,net,pin
key[122],input26/A,net,pin
key[123],input27/A,net,pin
key[124],input28/A,net,pin
key[125],input29/A,net,pin
key[126],input30/A,net,pin
key[127],input31/A,net,pin
key[12],input32/A,net,pin
key[13],input33/A,net,pin
key[14],input34/A,net,pin
key[15],input35/A,net,pin
key[16],input36/A,net,pin
key[17],input37/A,net,pin
key[18],input38/A,net,pin
key[19],input39/A,net,pin
key[1],input40/A,net,pin
key[20],input41/A,net,pin
key[21],input42/A,net,pin
key[22],input43/A,net,pin
key[23],input44/A,net,pin
key[24],input45/A,net,pin
key[25],input46/A,net,pin
key[26],input47/A,net,pin
key[27],input48/A,net,pin
key[28],input49/A,net,pin
key[29],input50/A,net,pin
key[2],input51/A,net,pin
key[30],input52/A,net,pin
key[31],input53/A,net,pin
key[32],input54/A,net,pin
key[33],input55/A,net,pin
key[34],input56/A,net,pin
key[35],input57/A,net,pin
key[36],input58/A,net,pin
key[37],input59/A,net,pin
key[38],input60/A,net,pin
key[39],input61/A,net,pin
key[3],input62/A,net,pin
key[40],input63/A,net,pin
key[41],input64/A,net,pin
key[42],input65/A,net,pin
key[43],input66/A,net,pin
key[44],input67/A,net,pin
key[45],input68/A,net,pin
key[46],input69/A,net,pin
key[47],input70/A,net,pin
key[48],input71/A,net,pin
key[49],input72/A,net,pin
key[4],input73/A,net,pin
key[50],input74/A,net,pin
key[51],input75/A,net,pin
key[52],input76/A,net,pin
key[53],input77/A,net,pin
key[54],input78/A,net,pin
key[55],input79/A,net,pin
key[56],input80/A,net,pin
key[57],input81/A,net,pin
key[58],input82/A,net,pin
key[59],input83/A,net,pin
key[5],input84/A,net,pin
key[60],input85/A,net,pin
key[61],input86/A,net,pin
key[62],input87/A,net,pin
key[63],input88/A,net,pin
key[64],input89/A,net,pin
key[65],input90/A,net,pin
key[66],input91/A,net,pin
key[67],input92/A,net,pin
key[68],input93/A,net,pin
key[69],input94/A,net,pin
key[6],input95/A,net,pin
key[70],input96/A,net,pin
key[71],input97/A,net,pin
key[72],input98/A,net,pin
key[73],input99/A,net,pin
key[74],input100/A,net,pin
key[75],input101/A,net,pin
key[76],input102/A,net,pin
key[77],input103/A,net,pin
key[78],input104/A,net,pin
key[79],input105/A,net,pin
key[7],input106/A,net,pin
key[80],input107/A,net,pin
key[81],input108/A,net,pin
key[82],input109/A,net,pin
key[83],input110/A,net,pin
key[84],input111/A,net,pin
key[85],input112/A,net,pin
key[86],input113/A,net,pin
key[87],input114/A,net,pin
