libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,libcell_delay_fixed_load
fakeram45_64x21,0,3797416000,2.499999956129175e-14,7.255459786392748e-5,2.0299999181627726e-10,2.0299999181627726e-10
fakeram45_64x7,1,1549184000,2.499999956129175e-14,2.6746000003186055e-5,1.639999941405179e-10,1.639999941405179e-10
fakeram45_256x48,2,53068064000,2.499999956129175e-14,0.0006909710355103016,2.699999113175977e-10,2.700000500954758e-10
fakeram45_128x116,3,56932512000,2.499999956129175e-14,0.0006501789903268218,2.8500002358100573e-10,2.8500005133658135e-10
fakeram45_512x64,4,69205752000,2.499999956129175e-14,0.0008232370018959045,3.0499999748023754e-10,3.0499999748023754e-10
fakeram45_256x32,5,41069336000,2.499999956129175e-14,0.000601655978243798,2.6499991090389585e-10,2.649999941706227e-10
fakeram45_32x64,6,7018144000,2.499999956129175e-14,7.852489943616092e-5,1.879999905751717e-10,1.879999905751717e-10
fakeram45_64x32,7,4962496000,2.499999956129175e-14,8.162720041582361e-5,2.0700000047391143e-10,2.0700000047391143e-10
AND2_X1,8,4256000,9.746299904286881e-16,2.0324369742752424e-8,4.368286635192398e-11,4.171922876605727e-11
AND2_X2,8,5320000,1.7264770808396944e-15,4.069097769843211e-8,4.061379010877886e-11,3.1999066590904235e-11
AND2_X4,8,9576000,3.53650104467358e-15,8.138206908370194e-8,4.0094882275409915e-11,2.679138334793496e-11
AND3_X1,9,5320000,9.648239958774435e-16,2.024340872708308e-8,6.64773514014172e-11,5.5491278239117037e-11
AND3_X2,9,6384000,1.7001490733775442e-15,4.0527190492412046e-8,6.186083589820868e-11,4.45032899420994e-11
AND3_X4,9,11704000,3.581805872406897e-15,8.105460125307218e-8,6.107226530049914e-11,3.8221880521716045e-11
AND4_X1,10,6384000,9.445080165166675e-16,2.0240110032432312e-8,9.173416193331008e-11,7.104918042788455e-11
AND4_X2,10,7448000,1.6845799725322998e-15,4.0520919952768963e-8,8.46555880951172e-11,5.7908223355385147e-11
AND4_X4,10,13832000,3.7661841927169506e-15,8.104183990553793e-8,8.462890804805667e-11,5.060200175543983e-11
ANTENNA_X1,11,1064000,2.3429000804225402e-17,0.0,None,None
AOI211_X1,12,5320000,1.679479034244816e-15,2.3680689409388833e-8,2.3721466457793383e-10,8.310134524958102e-11
AOI211_X2,12,9576000,3.454374000657224e-15,4.7361378818777666e-8,2.3631535617241184e-10,5.651962231567609e-11
AOI211_X4,13,11704000,1.7499820333677645e-15,1.0129888750043392e-7,1.0109027503979462e-10,8.840268794774175e-11
AOI21_X1,14,4256000,1.6768529144709724e-15,1.358378920457426e-8,1.19712434409891e-10,5.3878231737192195e-11
AOI21_X2,14,7448000,3.4824550486828353e-15,2.716757840914852e-8,1.183160652784565e-10,3.670728998539374e-11
AOI21_X4,14,13832000,6.71319731643011e-15,5.433526695242108e-8,1.1758428952735045e-10,2.814211363943997e-11
AOI221_X1,15,6384000,1.7067450248169319e-15,1.7064630597474206e-8,2.9670682577531693e-10,9.153509894499479e-11
AOI221_X2,15,11704000,3.5046919928888656e-15,3.412915106082437e-8,2.978474411552412e-10,6.477671871119028e-11
AOI221_X4,16,13832000,1.6810519744278672e-15,9.468492123687611e-8,1.1338269212401997e-10,9.732524508532236e-11
AOI222_X1,17,8512000,1.6952630697004262e-15,1.0446687959131395e-8,3.7897329718816763e-10,1.2817474859261324e-10
AOI222_X2,17,14896000,3.400260030272462e-15,2.089328887677766e-8,3.773859558187098e-10,1.0310133302660063e-10
AOI222_X4,18,14896000,1.7018000464708613e-15,8.806841833575163e-8,1.5400847264146478e-10,1.3390308306604481e-10
AOI22_X1,19,5320000,1.6897460264776037e-15,6.964858911828742e-9,1.6654791434866922e-10,6.744739489139562e-11
AOI22_X2,19,9576000,3.4774770360518218e-15,1.3929739139939556e-8,1.6599800700678458e-10,5.074983489006257e-11
AOI22_X4,19,18088000,6.7809311530902475e-15,2.785936814575507e-8,1.6561396698477893e-10,4.2037779507397843e-11
BUF_X1,20,3192000,9.746590013071316e-16,2.3592688691564945e-8,2.5953298538050618e-11,3.0970316589051805e-11
BUF_X16,20,26600000,1.2410826693057785e-14,3.784836053455365e-7,2.3665238171877157e-11,1.8881585531205225e-11
BUF_X2,20,4256000,1.7792090110918925e-15,4.731034053406802e-8,2.4156163180855117e-11,2.4018936145564496e-11
BUF_X32,20,52136000,2.6703921531174603e-14,7.569628337478207e-7,2.3716119346151032e-11,1.8029890080928368e-11
BUF_X4,20,7448000,3.4018920510035843e-15,9.462068106813604e-8,2.295243856087481e-11,2.034355323088377e-11
BUF_X8,20,13832000,6.585178027331516e-15,1.8924180267276824e-7,2.325714967832404e-11,1.909788473197782e-11
CLKBUF_X1,20,3192000,7.798299884938546e-16,1.2763408996363523e-8,2.93795300587707e-11,3.874583293095313e-11
CLKBUF_X2,20,4256000,1.405913967940397e-15,2.5899058897493887e-8,2.640415316945699e-11,2.8233814591827056e-11
CLKBUF_X3,20,5320000,1.4211620432986322e-15,3.652154134670127e-8,2.7719210607402012e-11,2.912153157508257e-11
CLKGATETST_X1,21,15960000,1.8121998855962634e-15,6.47091482619544e-8,None,None
CLKGATETST_X2,21,17024000,2.818591070448146e-15,7.709162730407115e-8,None,None
CLKGATETST_X4,21,21280000,4.438940958106626e-15,1.0692978236193085e-7,None,None
CLKGATETST_X8,21,30856000,7.959177276127029e-15,1.6648499467919464e-7,None,None
CLKGATE_X1,22,13832000,1.837892088952381e-15,3.841419982109073e-8,None,None
CLKGATE_X2,22,14896000,2.562124105337884e-15,5.079667886320749e-8,None,None
CLKGATE_X4,22,18088000,4.253856212318562e-15,8.494397718550317e-8,None,None
CLKGATE_X8,22,27664000,7.654296237092316e-15,1.5366559580343164e-7,None,None
DFFRS_X1,23,25536000,2.211874922857047e-15,9.436295300702113e-8,1.643897934444638e-10,1.2636108825958559e-10
