src,tar,src_type,tar_type
_345_/A,_345_,pin,cell
_345_,_345_/ZN,cell,pin
_347_/A1,_347_,pin,cell
_347_/A2,_347_,pin,cell
_347_,_347_/ZN,cell,pin
_348_/A,_348_,pin,cell
_348_,_348_/ZN,cell,pin
_349_/A1,_349_,pin,cell
_349_/A2,_349_,pin,cell
_349_,_349_/ZN,cell,pin
_350_/A1,_350_,pin,cell
_350_/A2,_350_,pin,cell
_350_,_350_/ZN,cell,pin
_351_/A,_351_,pin,cell
_351_/B1,_351_,pin,cell
_351_/B2,_351_,pin,cell
_351_,_351_/ZN,cell,pin
_352_/A,_352_,pin,cell
_352_,_352_/ZN,cell,pin
_353_/A1,_353_,pin,cell
_353_/A2,_353_,pin,cell
_353_,_353_/ZN,cell,pin
_354_/A,_354_,pin,cell
_354_,_354_/ZN,cell,pin
_355_/A1,_355_,pin,cell
_355_/A2,_355_,pin,cell
_355_,_355_/ZN,cell,pin
_356_/A1,_356_,pin,cell
_356_/A2,_356_,pin,cell
_356_,_356_/ZN,cell,pin
_357_/A,_357_,pin,cell
_357_,_357_/ZN,cell,pin
_358_/A1,_358_,pin,cell
_358_/A2,_358_,pin,cell
_358_,_358_/ZN,cell,pin
_359_/A,_359_,pin,cell
_359_,_359_/ZN,cell,pin
_360_/A1,_360_,pin,cell
_360_/A2,_360_,pin,cell
_360_,_360_/ZN,cell,pin
_361_/A1,_361_,pin,cell
_361_/A2,_361_,pin,cell
_361_,_361_/ZN,cell,pin
_362_/A1,_362_,pin,cell
_362_/A2,_362_,pin,cell
_362_,_362_/ZN,cell,pin
_363_/A1,_363_,pin,cell
_363_/A2,_363_,pin,cell
_363_,_363_/ZN,cell,pin
_364_/A,_364_,pin,cell
_364_,_364_/ZN,cell,pin
_365_/A,_365_,pin,cell
_365_/B1,_365_,pin,cell
_365_/B2,_365_,pin,cell
_365_,_365_/ZN,cell,pin
_366_/A,_366_,pin,cell
_366_,_366_/ZN,cell,pin
_367_/A1,_367_,pin,cell
_367_/A2,_367_,pin,cell
_367_,_367_/ZN,cell,pin
_369_/A,_369_,pin,cell
_369_/B,_369_,pin,cell
_369_,_369_/ZN,cell,pin
_370_/A,_370_,pin,cell
_370_/B,_370_,pin,cell
_370_,_370_/ZN,cell,pin
_371_/A1,_371_,pin,cell
_371_/A2,_371_,pin,cell
_371_,_371_/ZN,cell,pin
_372_/A,_372_,pin,cell
_372_/B,_372_,pin,cell
_372_,_372_/ZN,cell,pin
_373_/A,_373_,pin,cell
_373_/B,_373_,pin,cell
_373_,_373_/ZN,cell,pin
_374_/A1,_374_,pin,cell
_374_/A2,_374_,pin,cell
_374_,_374_/ZN,cell,pin
_375_/A1,_375_,pin,cell
_375_/A2,_375_,pin,cell
_375_,_375_/ZN,cell,pin
_376_/A1,_376_,pin,cell
_376_/A2,_376_,pin,cell
_376_,_376_/ZN,cell,pin
_377_/A,_377_,pin,cell
_377_,_377_/ZN,cell,pin
_378_/A1,_378_,pin,cell
_378_/A2,_378_,pin,cell
_378_,_378_/ZN,cell,pin
_379_/A,_379_,pin,cell
_379_,_379_/ZN,cell,pin
_380_/A,_380_,pin,cell
_380_/B1,_380_,pin,cell
_380_/B2,_380_,pin,cell
_380_,_380_/ZN,cell,pin
_381_/A,_381_,pin,cell
_381_,_381_/ZN,cell,pin
_382_/A1,_382_,pin,cell
_382_/A2,_382_,pin,cell
_382_,_382_/ZN,cell,pin
_383_/A,_383_,pin,cell
_383_,_383_/ZN,cell,pin
_384_/A1,_384_,pin,cell
_384_/A2,_384_,pin,cell
_384_,_384_/ZN,cell,pin
_385_/A1,_385_,pin,cell
_385_/A2,_385_,pin,cell
_385_,_385_/ZN,cell,pin
_386_/A,_386_,pin,cell
_386_,_386_/ZN,cell,pin
_387_/A1,_387_,pin,cell
_387_/A2,_387_,pin,cell
_387_,_387_/ZN,cell,pin
_388_/A,_388_,pin,cell
_388_,_388_/ZN,cell,pin
_389_/A,_389_,pin,cell
_389_,_389_/ZN,cell,pin
_390_/A1,_390_,pin,cell
_390_/A2,_390_,pin,cell
_390_,_390_/ZN,cell,pin
_391_/A,_391_,pin,cell
_391_/B1,_391_,pin,cell
_391_/B2,_391_,pin,cell
_391_,_391_/ZN,cell,pin
_392_/A1,_392_,pin,cell
_392_/A2,_392_,pin,cell
_392_,_392_/ZN,cell,pin
_393_/A1,_393_,pin,cell
_393_/A2,_393_,pin,cell
_393_,_393_/ZN,cell,pin
_394_/A,_394_,pin,cell
_394_,_394_/ZN,cell,pin
_395_/A,_395_,pin,cell
_395_/B,_395_,pin,cell
_395_,_395_/ZN,cell,pin
_396_/A,_396_,pin,cell
_396_,_396_/ZN,cell,pin
_397_/A,_397_,pin,cell
_397_/B,_397_,pin,cell
