libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,libcell_delay_fixed_load
fakeram45_64x21,0,3797416000,-1,-1,-1,-1
fakeram45_64x7,1,1549184000,-1,-1,-1,-1
fakeram45_256x48,2,53068064000,-1,-1,-1,-1
fakeram45_128x116,3,56932512000,-1,-1,-1,-1
fakeram45_512x64,4,69205752000,-1,-1,-1,-1
fakeram45_256x32,5,41069336000,-1,-1,-1,-1
fakeram45_32x64,6,7018144000,-1,-1,-1,-1
fakeram45_64x32,7,4962496000,-1,-1,-1,-1
AND2_X1,8,4256000,-1,-1,-1,-1
AND2_X2,8,5320000,-1,-1,-1,-1
AND2_X4,8,9576000,-1,-1,-1,-1
AND3_X1,9,5320000,-1,-1,-1,-1
AND3_X2,9,6384000,-1,-1,-1,-1
AND3_X4,9,11704000,-1,-1,-1,-1
AND4_X1,10,6384000,-1,-1,-1,-1
AND4_X2,10,7448000,-1,-1,-1,-1
AND4_X4,10,13832000,-1,-1,-1,-1
ANTENNA_X1,11,1064000,-1,-1,-1,-1
AOI211_X1,12,5320000,-1,-1,-1,-1
AOI211_X2,12,9576000,-1,-1,-1,-1
AOI211_X4,13,11704000,-1,-1,-1,-1
AOI21_X1,14,4256000,-1,-1,-1,-1
AOI21_X2,14,7448000,-1,-1,-1,-1
AOI21_X4,14,13832000,-1,-1,-1,-1
AOI221_X1,15,6384000,-1,-1,-1,-1
AOI221_X2,15,11704000,-1,-1,-1,-1
AOI221_X4,16,13832000,-1,-1,-1,-1
AOI222_X1,17,8512000,-1,-1,-1,-1
AOI222_X2,17,14896000,-1,-1,-1,-1
AOI222_X4,18,14896000,-1,-1,-1,-1
AOI22_X1,19,5320000,-1,-1,-1,-1
AOI22_X2,19,9576000,-1,-1,-1,-1
AOI22_X4,19,18088000,-1,-1,-1,-1
BUF_X1,20,3192000,-1,-1,-1,-1
BUF_X16,20,26600000,-1,-1,-1,-1
BUF_X2,20,4256000,-1,-1,-1,-1
BUF_X32,20,52136000,-1,-1,-1,-1
BUF_X4,20,7448000,-1,-1,-1,-1
BUF_X8,20,13832000,-1,-1,-1,-1
CLKBUF_X1,20,3192000,-1,-1,-1,-1
CLKBUF_X2,20,4256000,-1,-1,-1,-1
CLKBUF_X3,20,5320000,-1,-1,-1,-1
CLKGATETST_X1,21,15960000,-1,-1,-1,-1
CLKGATETST_X2,21,17024000,-1,-1,-1,-1
CLKGATETST_X4,21,21280000,-1,-1,-1,-1
