src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
req_msg[0],input1/A,net,pin
req_msg[10],input2/A,net,pin
req_msg[11],input3/A,net,pin
req_msg[12],input4/A,net,pin
req_msg[13],input5/A,net,pin
req_msg[14],input6/A,net,pin
req_msg[15],input7/A,net,pin
req_msg[16],input8/A,net,pin
req_msg[17],input9/A,net,pin
req_msg[18],input10/A,net,pin
req_msg[19],input11/A,net,pin
req_msg[1],input12/A,net,pin
req_msg[20],input13/A,net,pin
req_msg[21],input14/A,net,pin
req_msg[22],input15/A,net,pin
req_msg[23],input16/A,net,pin
req_msg[24],input17/A,net,pin
req_msg[25],input18/A,net,pin
req_msg[26],input19/A,net,pin
req_msg[27],input20/A,net,pin
req_msg[28],input21/A,net,pin
req_msg[29],input22/A,net,pin
req_msg[2],input23/A,net,pin
req_msg[30],input24/A,net,pin
req_msg[31],input25/A,net,pin
req_msg[3],input26/A,net,pin
req_msg[4],input27/A,net,pin
req_msg[5],input28/A,net,pin
req_msg[6],input29/A,net,pin
req_msg[7],input30/A,net,pin
req_msg[8],input31/A,net,pin
req_msg[9],input32/A,net,pin
output36/Z,req_rdy,pin,net
req_val,input33/A,net,pin
reset,input34/A,net,pin
output37/Z,resp_msg[0],pin,net
output38/Z,resp_msg[10],pin,net
output39/Z,resp_msg[11],pin,net
output40/Z,resp_msg[12],pin,net
output41/Z,resp_msg[13],pin,net
output42/Z,resp_msg[14],pin,net
output43/Z,resp_msg[15],pin,net
output44/Z,resp_msg[1],pin,net
output45/Z,resp_msg[2],pin,net
output46/Z,resp_msg[3],pin,net
output47/Z,resp_msg[4],pin,net
output48/Z,resp_msg[5],pin,net
output49/Z,resp_msg[6],pin,net
output50/Z,resp_msg[7],pin,net
output51/Z,resp_msg[8],pin,net
output52/Z,resp_msg[9],pin,net
resp_rdy,input35/A,net,pin
output53/Z,resp_val,pin,net
_000_,_672_/D,net,pin
_504_/ZN,_000_,pin,net
_001_,_673_/D,net,pin
_506_/ZN,_001_,pin,net
_002_,_674_/D,net,pin
_498_/ZN,_002_,pin,net
_003_,_500_/A2,net,pin
_003_,_517_/A2,net,pin
_003_,_575_/A3,net,pin
_003_,_578_/A4,net,pin
_672_/QN,_003_,pin,net
_004_,_675_/D,net,pin
_522_/ZN,_004_,pin,net
_005_,_676_/D,net,pin
_525_/ZN,_005_,pin,net
_006_,_677_/D,net,pin
_529_/ZN,_006_,pin,net
_007_,_678_/D,net,pin
_533_/ZN,_007_,pin,net
_008_,_679_/D,net,pin
_538_/ZN,_008_,pin,net
_009_,_680_/D,net,pin
_542_/ZN,_009_,pin,net
_010_,_681_/D,net,pin
_545_/ZN,_010_,pin,net
_011_,_682_/D,net,pin
_548_/ZN,_011_,pin,net
_012_,_683_/D,net,pin
_551_/ZN,_012_,pin,net
_013_,_684_/D,net,pin
_555_/ZN,_013_,pin,net
_014_,_685_/D,net,pin
_558_/ZN,_014_,pin,net
_015_,_686_/D,net,pin
_561_/ZN,_015_,pin,net
_016_,_687_/D,net,pin
_564_/ZN,_016_,pin,net
_017_,_688_/D,net,pin
_567_/ZN,_017_,pin,net
_018_,_689_/D,net,pin
_570_/ZN,_018_,pin,net
_019_,_690_/D,net,pin
_573_/ZN,_019_,pin,net
_020_,_691_/D,net,pin
_588_/ZN,_020_,pin,net
_021_,_692_/D,net,pin
_593_/ZN,_021_,pin,net
_022_,_693_/D,net,pin
_598_/ZN,_022_,pin,net
_023_,_694_/D,net,pin
_604_/ZN,_023_,pin,net
_024_,_695_/D,net,pin
_609_/ZN,_024_,pin,net
_025_,_696_/D,net,pin
_615_/ZN,_025_,pin,net
_026_,_697_/D,net,pin
_620_/ZN,_026_,pin,net
_027_,_698_/D,net,pin
_626_/ZN,_027_,pin,net
_028_,_699_/D,net,pin
_631_/ZN,_028_,pin,net
_029_,_700_/D,net,pin
