src,tar,src_type,tar_type,is_net,arc_delay
_345_/A,_345_/ZN,pin,pin,0,2.219488828836269e-11
_347_/A1,_347_/ZN,pin,pin,0,1.827154053057889e-11
_347_/A2,_347_/ZN,pin,pin,0,2.1289527432633015e-11
_348_/A,_348_/ZN,pin,pin,0,3.5383425356361187e-11
_349_/A1,_349_/ZN,pin,pin,0,2.961542816537488e-11
_349_/A2,_349_/ZN,pin,pin,0,3.465924422463296e-11
_350_/A1,_350_/ZN,pin,pin,0,2.3613246774578656e-11
_350_/A2,_350_/ZN,pin,pin,0,2.912296792612068e-11
_351_/A,_351_/ZN,pin,pin,0,2.0839345873935322e-11
_351_/B1,_351_/ZN,pin,pin,0,2.7901582086431453e-11
_351_/B2,_351_/ZN,pin,pin,0,3.1973902692161715e-11
_352_/A,_352_/ZN,pin,pin,0,1.7959940826206555e-11
_353_/A1,_353_/ZN,pin,pin,0,2.17040448113881e-11
_353_/A2,_353_/ZN,pin,pin,0,2.492162032297074e-11
_354_/A,_354_/ZN,pin,pin,0,1.736493934756389e-11
_355_/A1,_355_/ZN,pin,pin,0,2.304276214282197e-11
_355_/A2,_355_/ZN,pin,pin,0,2.6265630295729814e-11
_356_/A1,_356_/ZN,pin,pin,0,1.9694926245428235e-11
_356_/A2,_356_/ZN,pin,pin,0,2.2172375047091464e-11
_357_/A,_357_/ZN,pin,pin,0,1.9333302320179158e-11
_358_/A1,_358_/ZN,pin,pin,0,1.619961283172433e-11
_358_/A2,_358_/ZN,pin,pin,0,2.0053047763979315e-11
_359_/A,_359_/ZN,pin,pin,0,1.8526071302038538e-11
_360_/A1,_360_/ZN,pin,pin,0,1.3975939329446962e-11
_360_/A2,_360_/ZN,pin,pin,0,1.6831910865100497e-11
_361_/A1,_361_/ZN,pin,pin,0,2.2916432640407436e-11
_361_/A2,_361_/ZN,pin,pin,0,2.4224743738754384e-11
_362_/A1,_362_/ZN,pin,pin,0,1.9820572266793235e-11
_362_/A2,_362_/ZN,pin,pin,0,2.5621364405092883e-11
_363_/A1,_363_/ZN,pin,pin,0,1.9449952065597742e-11
_363_/A2,_363_/ZN,pin,pin,0,1.9425076130952235e-11
_364_/A,_364_/ZN,pin,pin,0,1.4808293480328416e-11
_365_/A,_365_/ZN,pin,pin,0,2.210469828012318e-11
_365_/B1,_365_/ZN,pin,pin,0,2.669960606771493e-11
_365_/B2,_365_/ZN,pin,pin,0,3.2602080757282437e-11
_366_/A,_366_/ZN,pin,pin,0,1.759957457547756e-11
_367_/A1,_367_/ZN,pin,pin,0,2.4470422216316123e-11
_367_/A2,_367_/ZN,pin,pin,0,2.5018688509792497e-11
_369_/A,_369_/ZN,pin,pin,0,4.961042340823063e-11
_369_/B,_369_/ZN,pin,pin,0,5.466960217859196e-11
_370_/A,_370_/ZN,pin,pin,0,4.158413197119515e-11
_370_/B,_370_/ZN,pin,pin,0,4.204329592805145e-11
_371_/A1,_371_/ZN,pin,pin,0,2.3177876284918852e-11
_371_/A2,_371_/ZN,pin,pin,0,2.2244907305069006e-11
_372_/A,_372_/ZN,pin,pin,0,4.645812207160205e-11
_372_/B,_372_/ZN,pin,pin,0,4.9908466248638206e-11
_373_/A,_373_/ZN,pin,pin,0,4.583166832161645e-11
_373_/B,_373_/ZN,pin,pin,0,4.64211030726247e-11
_374_/A1,_374_/ZN,pin,pin,0,2.2183021045063533e-11
_374_/A2,_374_/ZN,pin,pin,0,2.3526548764696287e-11
_375_/A1,_375_/ZN,pin,pin,0,2.4529406283946287e-11
_375_/A2,_375_/ZN,pin,pin,0,2.8858181469471056e-11
_376_/A1,_376_/ZN,pin,pin,0,1.349000858935634e-11
_376_/A2,_376_/ZN,pin,pin,0,1.8169550933255785e-11
_377_/A,_377_/ZN,pin,pin,0,3.039304224961015e-11
_378_/A1,_378_/ZN,pin,pin,0,1.7871971264016295e-11
_378_/A2,_378_/ZN,pin,pin,0,1.9351444058290923e-11
_379_/A,_379_/ZN,pin,pin,0,2.518085392977376e-11
_380_/A,_380_/ZN,pin,pin,0,2.276609976925581e-11
_380_/B1,_380_/ZN,pin,pin,0,3.1583322762651633e-11
_380_/B2,_380_/ZN,pin,pin,0,3.6853221863086816e-11
_381_/A,_381_/ZN,pin,pin,0,3.294428965738838e-11
_382_/A1,_382_/ZN,pin,pin,0,2.8398686180430843e-11
_382_/A2,_382_/ZN,pin,pin,0,3.405811743739662e-11
_383_/A,_383_/ZN,pin,pin,0,1.766924107027279e-11
_384_/A1,_384_/ZN,pin,pin,0,2.0052577653917325e-11
_384_/A2,_384_/ZN,pin,pin,0,2.0190089183858007e-11
_385_/A1,_385_/ZN,pin,pin,0,2.507386485939289e-11
_385_/A2,_385_/ZN,pin,pin,0,2.8930401477222922e-11
_386_/A,_386_/ZN,pin,pin,0,2.62317285948388e-11
_387_/A1,_387_/ZN,pin,pin,0,1.90273005684638e-11
_387_/A2,_387_/ZN,pin,pin,0,2.30925851357755e-11
_388_/A,_388_/ZN,pin,pin,0,1.959557516251209e-11
_389_/A,_389_/ZN,pin,pin,0,2.783730364275261e-11
_390_/A1,_390_/ZN,pin,pin,0,2.485724820422419e-11
_390_/A2,_390_/ZN,pin,pin,0,2.4751983448978443e-11
_391_/A,_391_/ZN,pin,pin,0,2.5010018361859565e-11
_391_/B1,_391_/ZN,pin,pin,0,3.636175041621392e-11
_391_/B2,_391_/ZN,pin,pin,0,4.281473092726529e-11
_392_/A1,_392_/ZN,pin,pin,0,2.0976227699254224e-11
_392_/A2,_392_/ZN,pin,pin,0,2.8642178906412852e-11
_393_/A1,_393_/ZN,pin,pin,0,1.8617905828133274e-11
_393_/A2,_393_/ZN,pin,pin,0,2.1600112323771903e-11
_394_/A,_394_/ZN,pin,pin,0,2.2500046964468723e-11
_395_/A,_395_/ZN,pin,pin,0,4.416689236563798e-11
_395_/B,_395_/ZN,pin,pin,0,4.4464262133336874e-11
_396_/A,_396_/ZN,pin,pin,0,1.9841364662376293e-11
_397_/A,_397_/ZN,pin,pin,0,4.3931493859394877e-11
_397_/B,_397_/ZN,pin,pin,0,4.6398551667437005e-11
_398_/A1,_398_/ZN,pin,pin,0,4.437903169951518e-11
_398_/A2,_398_/ZN,pin,pin,0,4.932164399118477e-11
_399_/A,_399_/ZN,pin,pin,0,4.5066651799263724e-11
_399_/B,_399_/ZN,pin,pin,0,4.416515417271505e-11
_400_/A,_400_/ZN,pin,pin,0,4.414061477442388e-11
_400_/B,_400_/ZN,pin,pin,0,4.411040976926017e-11
_401_/A1,_401_/ZN,pin,pin,0,1.6987413212210534e-11
_401_/A2,_401_/ZN,pin,pin,0,1.929472380479691e-11
_402_/A,_402_/ZN,pin,pin,0,1.850070444064933e-11
_403_/A1,_403_/ZN,pin,pin,0,4.546439960617654e-11
_403_/A2,_403_/ZN,pin,pin,0,3.942414797397653e-11
_404_/A1,_404_/ZN,pin,pin,0,1.4206907351932418e-11
_404_/A2,_404_/ZN,pin,pin,0,1.6134402841538886e-11
_405_/A1,_405_/ZN,pin,pin,0,1.4820866756082296e-11
_405_/A2,_405_/ZN,pin,pin,0,1.7280149533505096e-11
_406_/A1,_406_/ZN,pin,pin,0,2.1320905110866484e-11
_406_/A2,_406_/ZN,pin,pin,0,2.5549925022905207e-11
_407_/A,_407_/ZN,pin,pin,0,2.362209212958266e-11
_407_/B1,_407_/ZN,pin,pin,0,3.661519004660718e-11
_407_/B2,_407_/ZN,pin,pin,0,4.114265525489991e-11
_408_/A,_408_/ZN,pin,pin,0,1.759250384258948e-11
_409_/A1,_409_/ZN,pin,pin,0,3.1021889917992596e-11
_409_/A2,_409_/ZN,pin,pin,0,3.770071407838138e-11
_410_/A,_410_/ZN,pin,pin,0,2.5611972612193945e-11
_411_/A1,_411_/ZN,pin,pin,0,4.3369949992433376e-11
_411_/A2,_411_/ZN,pin,pin,0,4.293463154447785e-11
_412_/A,_412_/ZN,pin,pin,0,4.463971553514412e-11
_412_/B1,_412_/ZN,pin,pin,0,3.3824689577022227e-11
_412_/B2,_412_/ZN,pin,pin,0,3.7023210885944735e-11
_413_/A,_413_/ZN,pin,pin,0,1.827483823990672e-11
_414_/A,_414_/ZN,pin,pin,0,5.2922381754694214e-11
_414_/B1,_414_/ZN,pin,pin,0,3.849674745648457e-11
_414_/B2,_414_/ZN,pin,pin,0,4.439423481605864e-11
_415_/A1,_415_/ZN,pin,pin,0,1.566823927545702e-11
_415_/A2,_415_/ZN,pin,pin,0,2.08969785919777e-11
_416_/A,_416_/ZN,pin,pin,0,4.295753683325465e-11
_416_/B,_416_/ZN,pin,pin,0,4.30155182307157e-11
_417_/A,_417_/ZN,pin,pin,0,2.7076068817577514e-11
_418_/A,_418_/ZN,pin,pin,0,2.0337346390286726e-11
_419_/A,_419_/ZN,pin,pin,0,5.153796486800921e-11
_419_/B,_419_/ZN,pin,pin,0,5.7179774803906014e-11
_420_/A1,_420_/ZN,pin,pin,0,2.583125553734522e-11
