pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_345_/A,37865,9625,0,-1,0,0,0,-1,0.1985349953174591,0,_345_,dpath.a_lt_b$in1\[1\],1.6734615429503386e-11,-0.059847,1.4795044356308296e-10,1.389313802890868e-10,3.2508910639800865e-15
_345_/ZN,38190,9800,0,-1,0,0,1,-1,0.1985349953174591,0,_345_,_036_,1.4495936569158818e-11,-0.059847,1.6112626510800254e-10,1.6277597325586868e-10,None
_347_/A1,37755,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_347_,_036_,1.4496078816483848e-11,-0.055099,1.612691508112718e-10,1.629061885388694e-10,1.5990320800793388e-15
_347_/A2,37105,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_347_,dpath.a_lt_b$in0\[1\],1.725701526122947e-11,-0.067293,1.7494621029623403e-10,1.4946595350284753e-10,1.664198983392822e-15
_347_/ZN,37610,14986,0,-1,0,0,1,-1,0.1985349953174591,0,_347_,_038_,1.2993958339868605e-11,-0.067293,1.8117772560000134e-10,1.9384105431896614e-10,None
_348_/A,32905,18375,0,-1,0,0,0,-1,0.1985349953174591,0,_348_,dpath.a_lt_b$in1\[0\],8.725181167845708e-12,-0.063280,1.4128467840102132e-10,1.3456082081919618e-10,1.700229965024007e-15
_348_/ZN,33235,18200,0,-1,0,0,1,-1,0.1985349953174591,0,_348_,_039_,2.7989331338740264e-11,-0.063280,1.6994425311445127e-10,1.603020077789452e-10,None
_349_/A1,34010,12920,0,-1,0,0,0,-1,0.1985349953174591,0,_349_,_039_,2.798945450410706e-11,-0.063280,1.7018823850190046e-10,1.605207633481598e-10,3.293307085846793e-15
_349_/A2,34125,12660,0,-1,0,0,0,-1,0.1985349953174591,0,_349_,dpath.a_lt_b$in0\[0\],2.3700453058439486e-11,-0.052376,1.5755752258428402e-10,1.4567537454102109e-10,3.346923212616806e-15
_349_/ZN,33701,12512,0,-1,0,0,1,-1,0.1985349953174591,0,_349_,_040_,1.9742433382541336e-11,-0.063280,1.9013618457464077e-10,1.827274997978634e-10,None
_350_/A1,32110,12920,0,-1,0,0,0,-1,0.1985349953174591,0,_350_,_036_,1.4496309534706153e-11,-0.059847,1.6135442981735082e-10,1.629759938115427e-10,3.293307085846793e-15
