src,tar,src_type,tar_type
_20165_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[0\]$_DFF_PN1_,cell,cell
_20170_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[3\]$_DFF_PN0_,cell,cell
_20175_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[1\]$_DFF_PN0_,cell,cell
_20157_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[3\]$_DFF_PN0_,cell,cell
_20153_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[4\]$_DFF_PN0_,cell,cell
_20106_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[6\]$_DFF_PN0_,cell,cell
_20090_,load_store_unit_i.data_type_q\[1\]$_DFF_PN0_,cell,cell
_20085_,load_store_unit_i.data_type_q\[2\]$_DFF_PN0_,cell,cell
_20744_,core_clock_gate_i.en_latch$_DLATCH_N_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[27\]$_DFFE_PN0P_,_24465_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[27\]$_DFFE_PN0P_,_22670_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[28\]$_DFFE_PN0P_,_24479_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[28\]$_DFFE_PN0P_,_22732_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[29\]$_DFFE_PN0P_,_24492_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[29\]$_DFFE_PN0P_,_22776_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[30\]$_DFFE_PN0P_,_24503_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[30\]$_DFFE_PN0P_,_22342_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[31\]$_DFFE_PN0P_,_24513_,cell,cell
cs_registers_i.u_mtvec_csr.rdata_q\[31\]$_DFFE_PN0P_,_22864_,cell,cell
if_stage_i.pc_id_o\[2\]$_DFFE_PN_,_27011_,cell,cell
if_stage_i.pc_id_o\[2\]$_DFFE_PN_,_26388_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[1\]$_DFFE_PN_,_26921_,cell,cell
if_stage_i.instr_rdata_c_id_o\[1\]$_DFFE_PN_,_26921_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[2\]$_DFFE_PN_,_27008_,cell,cell
if_stage_i.instr_rdata_c_id_o\[2\]$_DFFE_PN_,_27008_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[3\]$_DFFE_PN_,_27030_,cell,cell
if_stage_i.instr_rdata_c_id_o\[3\]$_DFFE_PN_,_27030_,cell,cell
if_stage_i.pc_id_o\[3\]$_DFFE_PN_,_27032_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[4\]$_DFFE_PN_,_27040_,cell,cell
if_stage_i.instr_rdata_c_id_o\[4\]$_DFFE_PN_,_27040_,cell,cell
if_stage_i.pc_id_o\[4\]$_DFFE_PN_,_27038_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[5\]$_DFFE_PN_,_27048_,cell,cell
if_stage_i.instr_rdata_c_id_o\[5\]$_DFFE_PN_,_27048_,cell,cell
if_stage_i.pc_id_o\[5\]$_DFFE_PN_,_27046_,cell,cell
if_stage_i.instr_rdata_c_id_o\[6\]$_DFFE_PN_,_27055_,cell,cell
if_stage_i.pc_id_o\[6\]$_DFFE_PN_,_27053_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_27061_,cell,cell
if_stage_i.instr_rdata_c_id_o\[7\]$_DFFE_PN_,_27061_,cell,cell
if_stage_i.pc_id_o\[7\]$_DFFE_PN_,_27063_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_27069_,cell,cell
if_stage_i.instr_rdata_c_id_o\[8\]$_DFFE_PN_,_27069_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27071_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_27079_,cell,cell
if_stage_i.instr_rdata_c_id_o\[9\]$_DFFE_PN_,_27079_,cell,cell
if_stage_i.pc_id_o\[9\]$_DFFE_PN_,_27077_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[10\]$_DFFE_PN_,_26828_,cell,cell
if_stage_i.instr_rdata_c_id_o\[10\]$_DFFE_PN_,_26828_,cell,cell
if_stage_i.pc_id_o\[10\]$_DFFE_PN_,_26824_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_21382_,cell,cell
if_stage_i.instr_rdata_c_id_o\[11\]$_DFFE_PN_,_26840_,cell,cell
if_stage_i.pc_id_o\[11\]$_DFFE_PN_,_26838_,cell,cell
if_stage_i.instr_rdata_c_id_o\[12\]$_DFFE_PN_,_26850_,cell,cell
if_stage_i.pc_id_o\[12\]$_DFFE_PN_,_26847_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[13\]$_DFFE_PN_,_26857_,cell,cell
if_stage_i.instr_rdata_c_id_o\[13\]$_DFFE_PN_,_26857_,cell,cell
if_stage_i.pc_id_o\[13\]$_DFFE_PN_,_26861_,cell,cell
if_stage_i.instr_rdata_c_id_o\[14\]$_DFFE_PN_,_26873_,cell,cell
if_stage_i.pc_id_o\[14\]$_DFFE_PN_,_26871_,cell,cell
if_stage_i.instr_rdata_c_id_o\[15\]$_DFFE_PN_,_26882_,cell,cell
if_stage_i.pc_id_o\[15\]$_DFFE_PN_,_26880_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_26891_,cell,cell
if_stage_i.pc_id_o\[17\]$_DFFE_PN_,_26900_,cell,cell
if_stage_i.pc_id_o\[18\]$_DFFE_PN_,_26908_,cell,cell
if_stage_i.pc_id_o\[19\]$_DFFE_PN_,_26916_,cell,cell
if_stage_i.pc_id_o\[20\]$_DFFE_PN_,_26932_,cell,cell
if_stage_i.pc_id_o\[21\]$_DFFE_PN_,_26939_,cell,cell
if_stage_i.pc_id_o\[22\]$_DFFE_PN_,_26947_,cell,cell
if_stage_i.pc_id_o\[23\]$_DFFE_PN_,_26955_,cell,cell
if_stage_i.pc_id_o\[24\]$_DFFE_PN_,_26964_,cell,cell
if_stage_i.pc_id_o\[25\]$_DFFE_PN_,_26971_,cell,cell
if_stage_i.pc_id_o\[26\]$_DFFE_PN_,_26979_,cell,cell
if_stage_i.pc_id_o\[27\]$_DFFE_PN_,_26987_,cell,cell
if_stage_i.pc_id_o\[28\]$_DFFE_PN_,_26993_,cell,cell
if_stage_i.pc_id_o\[29\]$_DFFE_PN_,_27002_,cell,cell
if_stage_i.pc_id_o\[30\]$_DFFE_PN_,_27018_,cell,cell
if_stage_i.pc_id_o\[31\]$_DFFE_PN_,_27024_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.div_counter_q\[2\]$_DFFE_PN0P_,_23692_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.div_counter_q\[3\]$_DFFE_PN0P_,_23680_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[0\]$_DFFE_PN0P_,_23727_,cell,cell
id_stage_i.imd_val_q\[65\]$_DFFE_PN0P_,_23715_,cell,cell
id_stage_i.imd_val_q\[65\]$_DFFE_PN0P_,_20845_,cell,cell
id_stage_i.imd_val_q\[65\]$_DFFE_PN0P_,_20578_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[1\]$_DFFE_PN0P_,_23750_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[2\]$_DFFE_PN0P_,_27296_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[2\]$_DFFE_PN0P_,_23768_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[3\]$_DFFE_PN0P_,_23779_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[4\]$_DFFE_PN0P_,_23797_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[5\]$_DFFE_PN0P_,_23801_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[6\]$_DFFE_PN0P_,_27310_,cell,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[6\]$_DFFE_PN0P_,_23822_,cell,cell
