src,tar,src_type,tar_type
load_store_unit_i.ls_fsm_cs\[0\],_16296_,net,cell
_16296_,_10421_,cell,net
load_store_unit_i.ls_fsm_cs\[1\],_16297_,net,cell
_16297_,_10422_,cell,net
load_store_unit_i.ls_fsm_cs\[2\],_16298_,net,cell
_16298_,_10423_,cell,net
_10422_,_16299_,net,cell
_10423_,_16299_,net,cell
_16299_,_10424_,cell,net
_10421_,_16300_,net,cell
_10424_,_16300_,net,cell
_16300_,_10425_,cell,net
_10422_,_16301_,net,cell
_16301_,_10426_,cell,net
_00213_,_16302_,net,cell
_16302_,_10427_,cell,net
_10421_,_16303_,net,cell
_10427_,_16303_,net,cell
_16303_,_10428_,cell,net
_10426_,_16304_,net,cell
_16022_,_16304_,net,cell
_10428_,_16304_,net,cell
_16304_,_10429_,cell,net
_10425_,_16305_,net,cell
_10429_,_16305_,net,cell
_16305_,_10430_,cell,net
_10430_,_16306_,net,cell
_16306_,_10431_,cell,net
_10431_,_16307_,net,cell
_16307_,_10432_,cell,net
_10432_,_16308_,net,cell
_16308_,_10433_,cell,net
id_stage_i.controller_i.instr_i\[3\],_16309_,net,cell
_16309_,_10434_,cell,net
id_stage_i.controller_i.instr_i\[4\],_16310_,net,cell
_16310_,_10435_,cell,net
_10435_,_16311_,net,cell
_16311_,_10436_,cell,net
id_stage_i.controller_i.instr_i\[5\],_16312_,net,cell
_16312_,_10437_,cell,net
id_stage_i.controller_i.instr_i\[6\],_16313_,net,cell
_16313_,_10438_,cell,net
_10438_,_16314_,net,cell
_10437_,_16314_,net,cell
_16314_,_10439_,cell,net
_10434_,_16315_,net,cell
_10436_,_16315_,net,cell
net284,_16315_,net,cell
_16315_,_10440_,cell,net
id_stage_i.controller_i.instr_i\[2\],_16316_,net,cell
_16316_,_10441_,cell,net
id_stage_i.controller_i.instr_i\[1\],_16317_,net,cell
id_stage_i.controller_i.instr_i\[0\],_16317_,net,cell
_16317_,_10442_,cell,net
_10442_,_16318_,net,cell
_16318_,_10443_,cell,net
_10443_,_16319_,net,cell
_10441_,_16319_,net,cell
_16319_,_10444_,cell,net
id_stage_i.controller_i.instr_i\[13\],_16320_,net,cell
_16320_,_10445_,cell,net
id_stage_i.controller_i.instr_i\[14\],_16321_,net,cell
_16321_,_10446_,cell,net
_10446_,_16322_,net,cell
_16322_,_10447_,cell,net
_10445_,_16323_,net,cell
_10447_,_16323_,net,cell
_16323_,_10448_,cell,net
_10440_,_16324_,net,cell
_10444_,_16324_,net,cell
_10448_,_16324_,net,cell
_16324_,_10449_,cell,net
id_stage_i.controller_i.instr_i\[3\],_16325_,net,cell
_10441_,_16325_,net,cell
_16325_,_10450_,cell,net
_10435_,_16326_,net,cell
_10450_,_16326_,net,cell
_16326_,_10451_,cell,net
_00174_,_16327_,net,cell
_16327_,_10452_,cell,net
_10437_,_16328_,net,cell
_10452_,_16328_,net,cell
net276,_16328_,net,cell
_16328_,_10453_,cell,net
_10451_,_16329_,net,cell
_10453_,_16329_,net,cell
_16329_,_10454_,cell,net
_10437_,_16330_,net,cell
_10452_,_16330_,net,cell
_10439_,_16330_,net,cell
_10434_,_16330_,net,cell
_16330_,_10455_,cell,net
_10444_,_16331_,net,cell
_10435_,_16331_,net,cell
_10455_,_16331_,net,cell
_16331_,_10456_,cell,net
_10434_,_16332_,net,cell
_16332_,_10457_,cell,net
_10443_,_16333_,net,cell
_10457_,_16333_,net,cell
_16333_,_10458_,cell,net
_10436_,_16334_,net,cell
_10437_,_16334_,net,cell
_10452_,_16334_,net,cell
_16334_,_10459_,cell,net
_10441_,_16335_,net,cell
_16335_,_10460_,cell,net
_10438_,_16336_,net,cell
_16336_,_10461_,cell,net
_10460_,_16337_,net,cell
_10461_,_16337_,net,cell
_16337_,_10462_,cell,net
_10458_,_16338_,net,cell
_10459_,_16338_,net,cell
_10462_,_16338_,net,cell
_16338_,_10463_,cell,net
_10454_,_16339_,net,cell
_10456_,_16339_,net,cell
_10463_,_16339_,net,cell
_16339_,_10464_,cell,net
_10464_,_16340_,net,cell
_16340_,_10465_,cell,net
_00176_,_16341_,net,cell
_10451_,_16341_,net,cell
_10453_,_16341_,net,cell
_16341_,_10466_,cell,net
id_stage_i.controller_i.instr_i\[1\],_16342_,net,cell
net279,_16342_,net,cell
_16342_,_10467_,cell,net
_10467_,_16343_,net,cell
_10459_,_16343_,net,cell
_16343_,_10468_,cell,net
net294,_16344_,net,cell
_10441_,_16344_,net,cell
_16344_,_10469_,cell,net
id_stage_i.controller_i.instr_valid_i,_16345_,net,cell
_16345_,_10470_,cell,net
_10470_,_16346_,net,cell
_16346_,_10471_,cell,net
id_stage_i.id_fsm_q,_16347_,net,cell
_16347_,_10472_,cell,net
_10471_,_16348_,net,cell
_10472_,_16348_,net,cell
_16348_,_10473_,cell,net
id_stage_i.controller_i.instr_i\[3\],_16349_,net,cell
_10441_,_16349_,net,cell
_16349_,_10474_,cell,net
_10474_,_16350_,net,cell
_16350_,_10475_,cell,net
_10469_,_16351_,net,cell
_10473_,_16351_,net,cell
_10475_,_16351_,net,cell
_16351_,_10476_,cell,net
id_stage_i.controller_i.instr_i\[12\],_16352_,net,cell
_16352_,_10477_,cell,net
_10477_,_16353_,net,cell
id_stage_i.controller_i.instr_i\[13\],_16353_,net,cell
_16353_,_10478_,cell,net
_00176_,_16354_,net,cell
_10478_,_16354_,net,cell
_16354_,_10479_,cell,net
_10434_,_16355_,net,cell
net285,_16355_,net,cell
_16355_,_10480_,cell,net
_10434_,_16356_,net,cell
_10459_,_16356_,net,cell
_10473_,_16356_,net,cell
_10479_,_16356_,net,cell
_10480_,_16356_,net,cell
_10435_,_16356_,net,cell
_16356_,_10481_,cell,net
_10460_,_16357_,net,cell
_10467_,_16357_,net,cell
_16357_,_10482_,cell,net
_10466_,_16358_,net,cell
_10468_,_16358_,net,cell
_10476_,_16358_,net,cell
_10481_,_16358_,net,cell
_10482_,_16358_,net,cell
_16358_,_10483_,cell,net
_10483_,_16359_,net,cell
_16359_,_10484_,cell,net
_10449_,_16360_,net,cell
_10465_,_16360_,net,cell
_10484_,_16360_,net,cell
_16360_,_10485_,cell,net
_10485_,_16361_,net,cell
_16361_,_10486_,cell,net
_10486_,_16362_,net,cell
_16362_,_10487_,cell,net
id_stage_i.controller_i.lsu_addr_last_i\[12\],_16363_,net,cell
_10433_,_16363_,net,cell
_10487_,_16363_,net,cell
_16363_,_10488_,cell,net
_10430_,_16364_,net,cell
_10449_,_16364_,net,cell
_10466_,_16364_,net,cell
_16364_,_10489_,cell,net
_10437_,_16365_,net,cell
_16365_,_10490_,cell,net
_10461_,_16366_,net,cell
_10443_,_16366_,net,cell
_16366_,_10491_,cell,net
_10457_,_16367_,net,cell
_10441_,_16367_,net,cell
_10435_,_16367_,net,cell
_16367_,_10492_,cell,net
_10490_,_16368_,net,cell
_10491_,_16368_,net,cell
_10492_,_16368_,net,cell
_16368_,_10493_,cell,net
_10489_,_16369_,net,cell
_10493_,_16369_,net,cell
_10465_,_16369_,net,cell
_16369_,_10494_,cell,net
_10494_,_16370_,net,cell
_16370_,_10495_,cell,net
_10495_,_16371_,net,cell
_16371_,_10496_,cell,net
_10496_,_16372_,net,cell
_16372_,_10497_,cell,net
cs_registers_i.pc_id_i\[12\],_16373_,net,cell
_16373_,_10498_,cell,net
gen_regfile_ff.register_file_i.raddr_a_i\[0\],_16374_,net,cell
_16374_,_10499_,cell,net
_10499_,_16375_,net,cell
_16375_,_10500_,cell,net
_10500_,_16376_,net,cell
_16376_,_10501_,cell,net
_10501_,_16377_,net,cell
_16377_,_10502_,cell,net
_10502_,_16378_,net,cell
_16378_,_10503_,cell,net
_00201_,_16379_,net,cell
_00202_,_16379_,net,cell
_10503_,_16379_,net,cell
_16379_,_10504_,cell,net
_00203_,_16380_,net,cell
_00204_,_16380_,net,cell
_10503_,_16380_,net,cell
_16380_,_10505_,cell,net
gen_regfile_ff.register_file_i.raddr_a_i\[1\],_16381_,net,cell
_16381_,_10506_,cell,net
_10506_,_16382_,net,cell
_16382_,_10507_,cell,net
_10507_,_16383_,net,cell
_16383_,_10508_,cell,net
_10508_,_16384_,net,cell
_16384_,_10509_,cell,net
_10504_,_16385_,net,cell
_10505_,_16385_,net,cell
_10509_,_16385_,net,cell
_16385_,_10510_,cell,net
_00197_,_16386_,net,cell
_00198_,_16386_,net,cell
_10503_,_16386_,net,cell
_16386_,_10511_,cell,net
_10501_,_16387_,net,cell
_16387_,_10512_,cell,net
_10512_,_16388_,net,cell
_16388_,_10513_,cell,net
_00199_,_16389_,net,cell
_00200_,_16389_,net,cell
_10513_,_16389_,net,cell
_16389_,_10514_,cell,net
_10511_,_16390_,net,cell
_10514_,_16390_,net,cell
_10509_,_16390_,net,cell
_16390_,_10515_,cell,net
gen_regfile_ff.register_file_i.raddr_a_i\[2\],_16391_,net,cell
_16391_,_10516_,cell,net
_10516_,_16392_,net,cell
_16392_,_10517_,cell,net
_10517_,_16393_,net,cell
_16393_,_10518_,cell,net
_10518_,_16394_,net,cell
_16394_,_10519_,cell,net
_10519_,_16395_,net,cell
_16395_,_10520_,cell,net
_10520_,_16396_,net,cell
_16396_,_10521_,cell,net
_10510_,_16397_,net,cell
_10515_,_16397_,net,cell
_10521_,_16397_,net,cell
_16397_,_10522_,cell,net
_00209_,_16398_,net,cell
_00210_,_16398_,net,cell
_10503_,_16398_,net,cell
_16398_,_10523_,cell,net
_00211_,_16399_,net,cell
_00212_,_16399_,net,cell
_10513_,_16399_,net,cell
_16399_,_10524_,cell,net
_10523_,_16400_,net,cell
_10524_,_16400_,net,cell
_10509_,_16400_,net,cell
_16400_,_10525_,cell,net
_00205_,_16401_,net,cell
_00206_,_16401_,net,cell
_10513_,_16401_,net,cell
_16401_,_10526_,cell,net
_00207_,_16402_,net,cell
_00208_,_16402_,net,cell
_10513_,_16402_,net,cell
_16402_,_10527_,cell,net
_10507_,_16403_,net,cell
_16403_,_10528_,cell,net
_10528_,_16404_,net,cell
_16404_,_10529_,cell,net
_10526_,_16405_,net,cell
_10527_,_16405_,net,cell
_10529_,_16405_,net,cell
_16405_,_10530_,cell,net
_10525_,_16406_,net,cell
_10530_,_16406_,net,cell
_10521_,_16406_,net,cell
_16406_,_10531_,cell,net
gen_regfile_ff.register_file_i.raddr_a_i\[3\],_16407_,net,cell
_16407_,_10532_,cell,net
_10532_,_16408_,net,cell
_16408_,_10533_,cell,net
_10533_,_16409_,net,cell
_16409_,_10534_,cell,net
_10522_,_16410_,net,cell
_10531_,_16410_,net,cell
_10534_,_16410_,net,cell
_16410_,_10535_,cell,net
_00185_,_16411_,net,cell
_00186_,_16411_,net,cell
_10503_,_16411_,net,cell
_16411_,_10536_,cell,net
_00187_,_16412_,net,cell
_00188_,_16412_,net,cell
_10513_,_16412_,net,cell
_16412_,_10537_,cell,net
_10536_,_16413_,net,cell
_10537_,_16413_,net,cell
_10529_,_16413_,net,cell
_16413_,_10538_,cell,net
_00183_,_16414_,net,cell
_00184_,_16414_,net,cell
_10513_,_16414_,net,cell
_16414_,_10539_,cell,net
_10512_,_16415_,net,cell
_16415_,_10540_,cell,net
_10540_,_16416_,net,cell
_16416_,_10541_,cell,net
_10541_,_16417_,net,cell
gen_regfile_ff.register_file_i.rf_reg\[44\],_16417_,net,cell
_16417_,_10542_,cell,net
_10506_,_16418_,net,cell
_16418_,_10543_,cell,net
_10543_,_16419_,net,cell
_16419_,_10544_,cell,net
_10544_,_16420_,net,cell
_16420_,_10545_,cell,net
_10539_,_16421_,net,cell
_10542_,_16421_,net,cell
_10545_,_16421_,net,cell
_16421_,_10546_,cell,net
_10538_,_16422_,net,cell
_10546_,_16422_,net,cell
_10521_,_16422_,net,cell
_16422_,_10547_,cell,net
_00193_,_16423_,net,cell
_00194_,_16423_,net,cell
_10513_,_16423_,net,cell
_16423_,_10548_,cell,net
_00195_,_16424_,net,cell
_00196_,_16424_,net,cell
_10513_,_16424_,net,cell
_16424_,_10549_,cell,net
_10548_,_16425_,net,cell
_10549_,_16425_,net,cell
_10529_,_16425_,net,cell
_16425_,_10550_,cell,net
_00189_,_16426_,net,cell
_00190_,_16426_,net,cell
_10513_,_16426_,net,cell
_16426_,_10551_,cell,net
_00191_,_16427_,net,cell
_00192_,_16427_,net,cell
_10513_,_16427_,net,cell
_16427_,_10552_,cell,net
_10551_,_16428_,net,cell
_10552_,_16428_,net,cell
_10529_,_16428_,net,cell
_16428_,_10553_,cell,net
_10550_,_16429_,net,cell
_10553_,_16429_,net,cell
_10521_,_16429_,net,cell
_16429_,_10554_,cell,net
_10547_,_16430_,net,cell
_10554_,_16430_,net,cell
_10534_,_16430_,net,cell
_16430_,_10555_,cell,net
gen_regfile_ff.register_file_i.raddr_a_i\[4\],_16431_,net,cell
_16431_,_10556_,cell,net
_10556_,_16432_,net,cell
_16432_,_10557_,cell,net
_10557_,_16433_,net,cell
_16433_,_10558_,cell,net
_10558_,_16434_,net,cell
_16434_,_10559_,cell,net
_10535_,_16435_,net,cell
_10555_,_16435_,net,cell
_10559_,_16435_,net,cell
_16435_,_10560_,cell,net
_10465_,_16436_,net,cell
_10484_,_16436_,net,cell
_16436_,_10561_,cell,net
_10561_,_16437_,net,cell
_16437_,_10562_,cell,net
_10562_,_16438_,net,cell
_16438_,_10563_,cell,net
_10498_,_16439_,net,cell
_10560_,_16439_,net,cell
_10563_,_16439_,net,cell
_16439_,_10564_,cell,net
_10488_,_16440_,net,cell
_10497_,_16440_,net,cell
_10564_,_16440_,net,cell
_16440_,_16138_,cell,net
_16138_,_16441_,net,cell
_16441_,_16142_,cell,net
_10421_,_16442_,net,cell
_10424_,_16442_,net,cell
_16442_,_10565_,cell,net
_10426_,_16443_,net,cell
_16022_,_16443_,net,cell
_10428_,_16443_,net,cell
_16443_,_10566_,cell,net
_10565_,_16444_,net,cell
_10566_,_16444_,net,cell
_16444_,_10567_,cell,net
_10567_,_16445_,net,cell
_16445_,_10568_,cell,net
_10568_,_16446_,net,cell
_16446_,_10569_,cell,net
gen_regfile_ff.register_file_i.raddr_b_i\[0\],_16447_,net,cell
_16447_,_10570_,cell,net
_10570_,_16448_,net,cell
_16448_,_10571_,cell,net
_10571_,_16449_,net,cell
_16449_,_10572_,cell,net
_10572_,_16450_,net,cell
_16450_,_10573_,cell,net
_10573_,_16451_,net,cell
_16451_,_10574_,cell,net
_00235_,_16452_,net,cell
_00236_,_16452_,net,cell
_10574_,_16452_,net,cell
_16452_,_10575_,cell,net
_10570_,_16453_,net,cell
_16453_,_10576_,cell,net
_10576_,_16454_,net,cell
_16454_,_10577_,cell,net
_10577_,_16455_,net,cell
_16455_,_10578_,cell,net
_10578_,_16456_,net,cell
_16456_,_10579_,cell,net
_00237_,_16457_,net,cell
_00238_,_16457_,net,cell
_10579_,_16457_,net,cell
_16457_,_10580_,cell,net
gen_regfile_ff.register_file_i.raddr_b_i\[1\],_16458_,net,cell
_16458_,_10581_,cell,net
_10581_,_16459_,net,cell
_16459_,_10582_,cell,net
_10582_,_16460_,net,cell
_16460_,_10583_,cell,net
_10583_,_16461_,net,cell
_16461_,_10584_,cell,net
_10575_,_16462_,net,cell
_10580_,_16462_,net,cell
_10584_,_16462_,net,cell
_16462_,_10585_,cell,net
_00231_,_16463_,net,cell
_00232_,_16463_,net,cell
_10579_,_16463_,net,cell
_16463_,_10586_,cell,net
_00233_,_16464_,net,cell
_00234_,_16464_,net,cell
_10579_,_16464_,net,cell
_16464_,_10587_,cell,net
_10586_,_16465_,net,cell
_10587_,_16465_,net,cell
_10584_,_16465_,net,cell
_16465_,_10588_,cell,net
gen_regfile_ff.register_file_i.raddr_b_i\[2\],_16466_,net,cell
_16466_,_10589_,cell,net
_10589_,_16467_,net,cell
_16467_,_10590_,cell,net
_10590_,_16468_,net,cell
_16468_,_10591_,cell,net
_10591_,_16469_,net,cell
_16469_,_10592_,cell,net
_10592_,_16470_,net,cell
_16470_,_10593_,cell,net
_10593_,_16471_,net,cell
_16471_,_10594_,cell,net
_10594_,_16472_,net,cell
_16472_,_10595_,cell,net
