src,tar,src_type,tar_type
_16296_/A,_16296_,pin,cell
_16296_,_16296_/Z,cell,pin
_16297_/A,_16297_,pin,cell
_16297_,_16297_/Z,cell,pin
_16298_/A,_16298_,pin,cell
_16298_,_16298_/Z,cell,pin
_16299_/A,_16299_,pin,cell
_16299_/B,_16299_,pin,cell
_16299_,_16299_/ZN,cell,pin
_16300_/A1,_16300_,pin,cell
_16300_/A2,_16300_,pin,cell
_16300_,_16300_/ZN,cell,pin
_16301_/A,_16301_,pin,cell
_16301_,_16301_/ZN,cell,pin
_16302_/A,_16302_,pin,cell
_16302_,_16302_/Z,cell,pin
_16303_/A1,_16303_,pin,cell
_16303_/A2,_16303_,pin,cell
_16303_,_16303_/ZN,cell,pin
_16304_/A1,_16304_,pin,cell
_16304_/A2,_16304_,pin,cell
_16304_/A3,_16304_,pin,cell
_16304_,_16304_/ZN,cell,pin
_16305_/A1,_16305_,pin,cell
_16305_/A2,_16305_,pin,cell
_16305_,_16305_/ZN,cell,pin
_16306_/A,_16306_,pin,cell
_16306_,_16306_/Z,cell,pin
_16307_/A,_16307_,pin,cell
_16307_,_16307_/Z,cell,pin
_16308_/A,_16308_,pin,cell
_16308_,_16308_/Z,cell,pin
_16309_/A,_16309_,pin,cell
_16309_,_16309_/Z,cell,pin
_16310_/A,_16310_,pin,cell
_16310_,_16310_/Z,cell,pin
_16311_/A,_16311_,pin,cell
_16311_,_16311_/ZN,cell,pin
_16312_/A,_16312_,pin,cell
_16312_,_16312_/Z,cell,pin
_16313_/A,_16313_,pin,cell
_16313_,_16313_/Z,cell,pin
_16314_/A1,_16314_,pin,cell
_16314_/A2,_16314_,pin,cell
_16314_,_16314_/ZN,cell,pin
_16315_/A1,_16315_,pin,cell
_16315_/A2,_16315_,pin,cell
_16315_/A3,_16315_,pin,cell
_16315_,_16315_/ZN,cell,pin
_16316_/A,_16316_,pin,cell
_16316_,_16316_/Z,cell,pin
_16317_/A1,_16317_,pin,cell
_16317_/A2,_16317_,pin,cell
_16317_,_16317_/ZN,cell,pin
_16318_/A,_16318_,pin,cell
_16318_,_16318_/Z,cell,pin
_16319_/A1,_16319_,pin,cell
_16319_/A2,_16319_,pin,cell
_16319_,_16319_/ZN,cell,pin
_16320_/A,_16320_,pin,cell
_16320_,_16320_/Z,cell,pin
_16321_/A,_16321_,pin,cell
_16321_,_16321_/Z,cell,pin
_16322_/A,_16322_,pin,cell
_16322_,_16322_/Z,cell,pin
_16323_/A1,_16323_,pin,cell
_16323_/A2,_16323_,pin,cell
_16323_,_16323_/ZN,cell,pin
_16324_/A1,_16324_,pin,cell
_16324_/A2,_16324_,pin,cell
_16324_/A3,_16324_,pin,cell
_16324_,_16324_/ZN,cell,pin
_16325_/A1,_16325_,pin,cell
_16325_/A2,_16325_,pin,cell
_16325_,_16325_/ZN,cell,pin
_16326_/A1,_16326_,pin,cell
_16326_/A2,_16326_,pin,cell
_16326_,_16326_/ZN,cell,pin
_16327_/A,_16327_,pin,cell
_16327_,_16327_/ZN,cell,pin
_16328_/A1,_16328_,pin,cell
_16328_/A2,_16328_,pin,cell
_16328_/A3,_16328_,pin,cell
_16328_,_16328_/ZN,cell,pin
_16329_/A1,_16329_,pin,cell
_16329_/A2,_16329_,pin,cell
_16329_,_16329_/ZN,cell,pin
_16330_/A1,_16330_,pin,cell
_16330_/A2,_16330_,pin,cell
_16330_/B1,_16330_,pin,cell
_16330_/B2,_16330_,pin,cell
_16330_,_16330_/ZN,cell,pin
_16331_/A1,_16331_,pin,cell
_16331_/A2,_16331_,pin,cell
_16331_/A3,_16331_,pin,cell
_16331_,_16331_/ZN,cell,pin
_16332_/A,_16332_,pin,cell
_16332_,_16332_/ZN,cell,pin
_16333_/A1,_16333_,pin,cell
_16333_/A2,_16333_,pin,cell
_16333_,_16333_/ZN,cell,pin
_16334_/A1,_16334_,pin,cell
_16334_/A2,_16334_,pin,cell
_16334_/A3,_16334_,pin,cell
_16334_,_16334_/ZN,cell,pin
_16335_/A,_16335_,pin,cell
_16335_,_16335_/ZN,cell,pin
_16336_/A,_16336_,pin,cell
_16336_,_16336_/ZN,cell,pin
_16337_/A1,_16337_,pin,cell
_16337_/A2,_16337_,pin,cell
_16337_,_16337_/ZN,cell,pin
_16338_/A,_16338_,pin,cell
_16338_/B1,_16338_,pin,cell
_16338_/B2,_16338_,pin,cell
_16338_,_16338_/ZN,cell,pin
_16339_/A1,_16339_,pin,cell
_16339_/A2,_16339_,pin,cell
_16339_/A3,_16339_,pin,cell
_16339_,_16339_/ZN,cell,pin
_16340_/A,_16340_,pin,cell
_16340_,_16340_/Z,cell,pin
_16341_/A1,_16341_,pin,cell
_16341_/A2,_16341_,pin,cell
_16341_/A3,_16341_,pin,cell
_16341_,_16341_/ZN,cell,pin
_16342_/A1,_16342_,pin,cell
_16342_/A2,_16342_,pin,cell
_16342_,_16342_/ZN,cell,pin
_16343_/A1,_16343_,pin,cell
_16343_/A2,_16343_,pin,cell
_16343_,_16343_/ZN,cell,pin
_16344_/A1,_16344_,pin,cell
_16344_/A2,_16344_,pin,cell
_16344_,_16344_/ZN,cell,pin
_16345_/A,_16345_,pin,cell
_16345_,_16345_/Z,cell,pin
_16346_/A,_16346_,pin,cell
_16346_,_16346_/ZN,cell,pin
_16347_/A,_16347_,pin,cell
_16347_,_16347_/Z,cell,pin
_16348_/A1,_16348_,pin,cell
_16348_/A2,_16348_,pin,cell
_16348_,_16348_/ZN,cell,pin
_16349_/A1,_16349_,pin,cell
_16349_/A2,_16349_,pin,cell
_16349_,_16349_/ZN,cell,pin
_16350_/A,_16350_,pin,cell
_16350_,_16350_/Z,cell,pin
_16351_/A,_16351_,pin,cell
