cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_1,0,0,0,2660,2800,14820,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1003,0,0,0,383420,2800,384940,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1010,0,0,0,386080,2800,392160,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1026,0,0,0,392160,2800,395200,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1054,0,0,0,402800,2800,405840,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1062,0,0,0,405840,2800,407360,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1066,0,0,0,407360,2800,407740,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_1087,0,0,0,415340,2800,427500,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1119,0,0,0,427500,2800,439660,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1151,0,0,0,439660,2800,451820,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1183,0,0,0,451820,2800,463980,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_1215,0,0,0,463980,2800,470060,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_1231,0,0,0,470060,2800,473100,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_1239,0,0,0,473100,2800,474620,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_1243,0,0,0,474620,2800,475000,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_129,0,0,0,51300,2800,63460,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_161,0,0,0,63460,2800,75620,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_193,0,0,0,75620,2800,87780,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_225,0,0,0,87780,2800,99940,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_257,0,0,0,99940,2800,112100,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_289,0,0,0,112100,2800,124260,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_321,0,0,0,124260,2800,136420,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_33,0,0,0,14820,2800,26980,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_353,0,0,0,136420,2800,148580,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_385,0,0,0,148580,2800,160740,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_417,0,0,0,160740,2800,172900,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_449,0,0,0,172900,2800,185060,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_481,0,0,0,185060,2800,191140,5600,1,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_0_497,0,0,0,191140,2800,192660,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_501,0,0,0,192660,2800,193420,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_503,0,0,0,193420,2800,193800,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_508,0,0,0,195320,2800,196080,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_522,0,0,0,200640,2800,201020,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_526,0,0,0,202160,2800,205200,5600,1,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_0_540,0,0,0,207480,2800,208240,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_542,0,0,0,208240,2800,208620,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_552,0,0,0,212040,2800,213560,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_563,0,0,0,216220,2800,217740,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_570,0,0,0,218880,2800,220400,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_581,0,0,0,223060,2800,224580,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_585,0,0,0,224580,2800,224960,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_589,0,0,0,226100,2800,226860,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_591,0,0,0,226860,2800,227240,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_605,0,0,0,232180,2800,232940,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_607,0,0,0,232940,2800,233320,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_624,0,0,0,239400,2800,239780,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_645,0,0,0,247380,2800,248140,5600,1,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_0_65,0,0,0,26980,2800,39140,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_663,0,0,0,254220,2800,254600,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_689,0,0,0,264100,2800,264480,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_703,0,0,0,269420,2800,270940,5600,1,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_0_707,0,0,0,270940,2800,271320,5600,1,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_0_715,0,0,0,273980,2800,286140,5600,1,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_0_747,0,0,0,286140,2800,298300,5600,1,0,0,FILLCELL_X32,0.0,0.0
