src,tar,src_type,tar_type
_30189_/Z,alert_major_o,pin,net
_30190_/Z,alert_minor_o,pin,net
boot_addr_i[10],input1/A,net,pin
boot_addr_i[11],input2/A,net,pin
boot_addr_i[12],input3/A,net,pin
boot_addr_i[13],input4/A,net,pin
boot_addr_i[14],input5/A,net,pin
boot_addr_i[15],input6/A,net,pin
boot_addr_i[16],input7/A,net,pin
boot_addr_i[17],input8/A,net,pin
boot_addr_i[18],input9/A,net,pin
boot_addr_i[19],input10/A,net,pin
boot_addr_i[20],input11/A,net,pin
boot_addr_i[21],input12/A,net,pin
boot_addr_i[22],input13/A,net,pin
boot_addr_i[23],input14/A,net,pin
boot_addr_i[24],input15/A,net,pin
boot_addr_i[25],input16/A,net,pin
boot_addr_i[26],input17/A,net,pin
boot_addr_i[27],input18/A,net,pin
boot_addr_i[28],input19/A,net,pin
boot_addr_i[29],input20/A,net,pin
boot_addr_i[30],input21/A,net,pin
boot_addr_i[31],input22/A,net,pin
boot_addr_i[8],input23/A,net,pin
boot_addr_i[9],input24/A,net,pin
clk_i,clkbuf_0_clk_i/A,net,pin
output139/Z,core_sleep_o,pin,net
_30191_/Z,data_addr_o[0],pin,net
output140/Z,data_addr_o[10],pin,net
output141/Z,data_addr_o[11],pin,net
output142/Z,data_addr_o[12],pin,net
output143/Z,data_addr_o[13],pin,net
output144/Z,data_addr_o[14],pin,net
output145/Z,data_addr_o[15],pin,net
output146/Z,data_addr_o[16],pin,net
output147/Z,data_addr_o[17],pin,net
output148/Z,data_addr_o[18],pin,net
output149/Z,data_addr_o[19],pin,net
_30192_/Z,data_addr_o[1],pin,net
output150/Z,data_addr_o[20],pin,net
output151/Z,data_addr_o[21],pin,net
output152/Z,data_addr_o[22],pin,net
output153/Z,data_addr_o[23],pin,net
output154/Z,data_addr_o[24],pin,net
output155/Z,data_addr_o[25],pin,net
output156/Z,data_addr_o[26],pin,net
output157/Z,data_addr_o[27],pin,net
output158/Z,data_addr_o[28],pin,net
output159/Z,data_addr_o[29],pin,net
output160/Z,data_addr_o[2],pin,net
output161/Z,data_addr_o[30],pin,net
output162/Z,data_addr_o[31],pin,net
output163/Z,data_addr_o[3],pin,net
output164/Z,data_addr_o[4],pin,net
output165/Z,data_addr_o[5],pin,net
output166/Z,data_addr_o[6],pin,net
output167/Z,data_addr_o[7],pin,net
output168/Z,data_addr_o[8],pin,net
output169/Z,data_addr_o[9],pin,net
output170/Z,data_be_o[0],pin,net
output171/Z,data_be_o[1],pin,net
output172/Z,data_be_o[2],pin,net
output173/Z,data_be_o[3],pin,net
data_err_i,_20071_/A,net,pin
data_gnt_i,input25/A,net,pin
data_rdata_i[0],input26/A,net,pin
data_rdata_i[10],_22075_/A,net,pin
data_rdata_i[11],_22120_/A,net,pin
data_rdata_i[12],input27/A,net,pin
data_rdata_i[13],input28/A,net,pin
data_rdata_i[14],input29/A,net,pin
data_rdata_i[15],_21403_/A,net,pin
data_rdata_i[16],input30/A,net,pin
data_rdata_i[17],input31/A,net,pin
data_rdata_i[18],input32/A,net,pin
data_rdata_i[19],input33/A,net,pin
data_rdata_i[1],input34/A,net,pin
data_rdata_i[20],input35/A,net,pin
data_rdata_i[21],input36/A,net,pin
data_rdata_i[22],input37/A,net,pin
data_rdata_i[23],input38/A,net,pin
data_rdata_i[24],input39/A,net,pin
data_rdata_i[25],input40/A,net,pin
data_rdata_i[26],input41/A,net,pin
data_rdata_i[27],input42/A,net,pin
data_rdata_i[28],input43/A,net,pin
data_rdata_i[29],input44/A,net,pin
data_rdata_i[2],input45/A,net,pin
data_rdata_i[30],input46/A,net,pin
data_rdata_i[31],input47/A,net,pin
data_rdata_i[3],input48/A,net,pin
data_rdata_i[4],input49/A,net,pin
data_rdata_i[5],input50/A,net,pin
data_rdata_i[6],input51/A,net,pin
data_rdata_i[7],input52/A,net,pin
data_rdata_i[8],_21961_/A,net,pin
data_rdata_i[9],input53/A,net,pin
output174/Z,data_req_o,pin,net
data_rvalid_i,_20025_/A,net,pin
output175/Z,data_wdata_o[0],pin,net
output176/Z,data_wdata_o[10],pin,net
output177/Z,data_wdata_o[11],pin,net
output178/Z,data_wdata_o[12],pin,net
output179/Z,data_wdata_o[13],pin,net
output180/Z,data_wdata_o[14],pin,net
output181/Z,data_wdata_o[15],pin,net
output182/Z,data_wdata_o[16],pin,net
output183/Z,data_wdata_o[17],pin,net
output184/Z,data_wdata_o[18],pin,net
output185/Z,data_wdata_o[19],pin,net
output186/Z,data_wdata_o[1],pin,net
output187/Z,data_wdata_o[20],pin,net
output188/Z,data_wdata_o[21],pin,net
output189/Z,data_wdata_o[22],pin,net
output190/Z,data_wdata_o[23],pin,net
output191/Z,data_wdata_o[24],pin,net
output192/Z,data_wdata_o[25],pin,net
output193/Z,data_wdata_o[26],pin,net
output194/Z,data_wdata_o[27],pin,net
output195/Z,data_wdata_o[28],pin,net
output196/Z,data_wdata_o[29],pin,net
output197/Z,data_wdata_o[2],pin,net
output198/Z,data_wdata_o[30],pin,net
output199/Z,data_wdata_o[31],pin,net
output200/Z,data_wdata_o[3],pin,net
output201/Z,data_wdata_o[4],pin,net
output202/Z,data_wdata_o[5],pin,net
output203/Z,data_wdata_o[6],pin,net
output204/Z,data_wdata_o[7],pin,net
output205/Z,data_wdata_o[8],pin,net
output206/Z,data_wdata_o[9],pin,net
output207/Z,data_we_o,pin,net
debug_req_i,_20612_/A,net,pin
fetch_enable_i,input54/A,net,pin
hart_id_i[0],input55/A,net,pin
hart_id_i[10],input56/A,net,pin
hart_id_i[11],input57/A,net,pin
hart_id_i[12],input58/A,net,pin
hart_id_i[13],input59/A,net,pin
hart_id_i[14],input60/A,net,pin
hart_id_i[15],input61/A,net,pin
hart_id_i[16],input62/A,net,pin
hart_id_i[17],input63/A,net,pin
hart_id_i[18],input64/A,net,pin
hart_id_i[19],input65/A,net,pin
hart_id_i[1],input66/A,net,pin
hart_id_i[20],input67/A,net,pin
hart_id_i[21],input68/A,net,pin
hart_id_i[22],input69/A,net,pin
hart_id_i[23],input70/A,net,pin
hart_id_i[24],input71/A,net,pin
hart_id_i[25],input72/A,net,pin
hart_id_i[26],input73/A,net,pin
hart_id_i[27],input74/A,net,pin
hart_id_i[28],input75/A,net,pin
hart_id_i[29],input76/A,net,pin
hart_id_i[2],input77/A,net,pin
