src,tar,src_type,tar_type
_13278_,u0.u0.d\[0\]$_DFF_P_,cell,cell
_13350_,u0.u0.d\[1\]$_DFF_P_,cell,cell
_13406_,u0.u0.d\[2\]$_DFF_P_,cell,cell
_13461_,u0.u0.d\[3\]$_DFF_P_,cell,cell
_13512_,u0.u0.d\[4\]$_DFF_P_,cell,cell
_13554_,u0.u0.d\[5\]$_DFF_P_,cell,cell
_13603_,u0.u0.d\[6\]$_DFF_P_,cell,cell
_13646_,u0.u0.d\[7\]$_DFF_P_,cell,cell
_13781_,u0.u1.d\[0\]$_DFF_P_,cell,cell
_13857_,ANTENNA_1,cell,cell
_13857_,u0.u1.d\[1\]$_DFF_P_,cell,cell
_13910_,ANTENNA_13,cell,cell
_13910_,ANTENNA_12,cell,cell
_13910_,ANTENNA_11,cell,cell
_13910_,ANTENNA_10,cell,cell
_13910_,ANTENNA_9,cell,cell
_13910_,ANTENNA_8,cell,cell
_13910_,ANTENNA_7,cell,cell
_13910_,ANTENNA_6,cell,cell
_13910_,ANTENNA_5,cell,cell
_13910_,ANTENNA_4,cell,cell
_13910_,ANTENNA_3,cell,cell
_13910_,ANTENNA_2,cell,cell
_13910_,u0.u1.d\[2\]$_DFF_P_,cell,cell
_13972_,u0.u1.d\[3\]$_DFF_P_,cell,cell
_14022_,u0.u1.d\[4\]$_DFF_P_,cell,cell
_14062_,ANTENNA_14,cell,cell
_14062_,u0.u1.d\[5\]$_DFF_P_,cell,cell
_14108_,u0.u1.d\[6\]$_DFF_P_,cell,cell
_14152_,u0.u1.d\[7\]$_DFF_P_,cell,cell
_14279_,u0.u2.d\[0\]$_DFF_P_,cell,cell
_14347_,u0.u2.d\[1\]$_DFF_P_,cell,cell
_14414_,u0.u2.d\[2\]$_DFF_P_,cell,cell
_14472_,u0.u2.d\[3\]$_DFF_P_,cell,cell
_14519_,u0.u2.d\[4\]$_DFF_P_,cell,cell
_14562_,u0.u2.d\[5\]$_DFF_P_,cell,cell
_14606_,u0.u2.d\[6\]$_DFF_P_,cell,cell
_14653_,u0.u2.d\[7\]$_DFF_P_,cell,cell
_14791_,u0.u3.d\[0\]$_DFF_P_,cell,cell
_14863_,ANTENNA_125,cell,cell
_14863_,ANTENNA_124,cell,cell
_14863_,ANTENNA_123,cell,cell
_14863_,ANTENNA_122,cell,cell
_14863_,ANTENNA_111,cell,cell
_14863_,ANTENNA_110,cell,cell
_14863_,ANTENNA_109,cell,cell
_14863_,ANTENNA_108,cell,cell
_14863_,ANTENNA_16,cell,cell
_14863_,ANTENNA_15,cell,cell
_14863_,u0.u3.d\[1\]$_DFF_P_,cell,cell
_14933_,u0.u3.d\[2\]$_DFF_P_,cell,cell
_14995_,u0.u3.d\[3\]$_DFF_P_,cell,cell
_15042_,u0.u3.d\[4\]$_DFF_P_,cell,cell
_15090_,u0.u3.d\[5\]$_DFF_P_,cell,cell
_15132_,u0.u3.d\[6\]$_DFF_P_,cell,cell
_15172_,u0.u3.d\[7\]$_DFF_P_,cell,cell
_15398_,sa00_sr\[0\]$_DFF_P_,cell,cell
_15462_,sa00_sr\[1\]$_DFF_P_,cell,cell
_15528_,sa00_sr\[2\]$_DFF_P_,cell,cell
_15580_,sa00_sr\[3\]$_DFF_P_,cell,cell
_15625_,sa00_sr\[4\]$_DFF_P_,cell,cell
_15663_,sa00_sr\[5\]$_DFF_P_,cell,cell
_15709_,sa00_sr\[6\]$_DFF_P_,cell,cell
_15760_,sa00_sr\[7\]$_DFF_P_,cell,cell
_15968_,sa01_sr\[0\]$_DFF_P_,cell,cell
_16051_,sa01_sr\[1\]$_DFF_P_,cell,cell
_16119_,sa01_sr\[2\]$_DFF_P_,cell,cell
_16171_,sa01_sr\[3\]$_DFF_P_,cell,cell
_16218_,sa01_sr\[4\]$_DFF_P_,cell,cell
_16256_,sa01_sr\[5\]$_DFF_P_,cell,cell
_16314_,sa01_sr\[6\]$_DFF_P_,cell,cell
_16358_,sa01_sr\[7\]$_DFF_P_,cell,cell
_16573_,sa02_sr\[0\]$_DFF_P_,cell,cell
_16650_,sa02_sr\[1\]$_DFF_P_,cell,cell
_16727_,sa02_sr\[2\]$_DFF_P_,cell,cell
_16782_,sa02_sr\[3\]$_DFF_P_,cell,cell
_16834_,sa02_sr\[4\]$_DFF_P_,cell,cell
_16875_,sa02_sr\[5\]$_DFF_P_,cell,cell
_16920_,sa02_sr\[6\]$_DFF_P_,cell,cell
_16965_,sa02_sr\[7\]$_DFF_P_,cell,cell
_17162_,sa03_sr\[0\]$_DFF_P_,cell,cell
_17262_,sa03_sr\[1\]$_DFF_P_,cell,cell
_17331_,sa03_sr\[2\]$_DFF_P_,cell,cell
