src,tar,src_type,tar_type
_00009_,ANTENNA_1,net,cell
_00010_,ANTENNA_10,net,cell
net202,ANTENNA_100,net,cell
net202,ANTENNA_101,net,cell
net202,ANTENNA_102,net,cell
net202,ANTENNA_103,net,cell
net193,ANTENNA_104,net,cell
net193,ANTENNA_105,net,cell
u0.subword\[17\],ANTENNA_106,net,cell
u0.subword\[17\],ANTENNA_107,net,cell
_00025_,ANTENNA_108,net,cell
_00025_,ANTENNA_109,net,cell
_00010_,ANTENNA_11,net,cell
_00025_,ANTENNA_110,net,cell
_00025_,ANTENNA_111,net,cell
net206,ANTENNA_112,net,cell
net206,ANTENNA_113,net,cell
net206,ANTENNA_114,net,cell
net206,ANTENNA_115,net,cell
net206,ANTENNA_116,net,cell
net206,ANTENNA_117,net,cell
net193,ANTENNA_118,net,cell
net193,ANTENNA_119,net,cell
_00010_,ANTENNA_12,net,cell
net193,ANTENNA_120,net,cell
net193,ANTENNA_121,net,cell
_00025_,ANTENNA_122,net,cell
_00025_,ANTENNA_123,net,cell
_00025_,ANTENNA_124,net,cell
_00025_,ANTENNA_125,net,cell
net206,ANTENNA_126,net,cell
net206,ANTENNA_127,net,cell
net206,ANTENNA_128,net,cell
net206,ANTENNA_129,net,cell
_00010_,ANTENNA_13,net,cell
net206,ANTENNA_130,net,cell
net206,ANTENNA_131,net,cell
_00013_,ANTENNA_14,net,cell
_00025_,ANTENNA_15,net,cell
_00025_,ANTENNA_16,net,cell
_00127_,ANTENNA_17,net,cell
_00156_,ANTENNA_18,net,cell
_00156_,ANTENNA_19,net,cell
_00010_,ANTENNA_2,net,cell
_00156_,ANTENNA_20,net,cell
_00156_,ANTENNA_21,net,cell
_00156_,ANTENNA_22,net,cell
_00156_,ANTENNA_23,net,cell
_00156_,ANTENNA_24,net,cell
_00156_,ANTENNA_25,net,cell
_00172_,ANTENNA_26,net,cell
_00173_,ANTENNA_27,net,cell
_00174_,ANTENNA_28,net,cell
_00175_,ANTENNA_29,net,cell
_00010_,ANTENNA_3,net,cell
_00176_,ANTENNA_30,net,cell
_00187_,ANTENNA_31,net,cell
