src,tar,src_type,tar_type
ANTENNA_1/DIODE,ANTENNA_1,pin,cell
ANTENNA_10/DIODE,ANTENNA_10,pin,cell
ANTENNA_100/DIODE,ANTENNA_100,pin,cell
ANTENNA_101/DIODE,ANTENNA_101,pin,cell
ANTENNA_102/DIODE,ANTENNA_102,pin,cell
ANTENNA_103/DIODE,ANTENNA_103,pin,cell
ANTENNA_104/DIODE,ANTENNA_104,pin,cell
ANTENNA_105/DIODE,ANTENNA_105,pin,cell
ANTENNA_106/DIODE,ANTENNA_106,pin,cell
ANTENNA_107/DIODE,ANTENNA_107,pin,cell
ANTENNA_108/DIODE,ANTENNA_108,pin,cell
ANTENNA_109/DIODE,ANTENNA_109,pin,cell
ANTENNA_11/DIODE,ANTENNA_11,pin,cell
ANTENNA_110/DIODE,ANTENNA_110,pin,cell
ANTENNA_111/DIODE,ANTENNA_111,pin,cell
ANTENNA_112/DIODE,ANTENNA_112,pin,cell
ANTENNA_113/DIODE,ANTENNA_113,pin,cell
ANTENNA_114/DIODE,ANTENNA_114,pin,cell
ANTENNA_115/DIODE,ANTENNA_115,pin,cell
ANTENNA_116/DIODE,ANTENNA_116,pin,cell
ANTENNA_117/DIODE,ANTENNA_117,pin,cell
ANTENNA_118/DIODE,ANTENNA_118,pin,cell
ANTENNA_119/DIODE,ANTENNA_119,pin,cell
ANTENNA_12/DIODE,ANTENNA_12,pin,cell
ANTENNA_120/DIODE,ANTENNA_120,pin,cell
ANTENNA_121/DIODE,ANTENNA_121,pin,cell
ANTENNA_122/DIODE,ANTENNA_122,pin,cell
ANTENNA_123/DIODE,ANTENNA_123,pin,cell
ANTENNA_124/DIODE,ANTENNA_124,pin,cell
ANTENNA_125/DIODE,ANTENNA_125,pin,cell
ANTENNA_126/DIODE,ANTENNA_126,pin,cell
ANTENNA_127/DIODE,ANTENNA_127,pin,cell
ANTENNA_128/DIODE,ANTENNA_128,pin,cell
ANTENNA_129/DIODE,ANTENNA_129,pin,cell
ANTENNA_13/DIODE,ANTENNA_13,pin,cell
ANTENNA_130/DIODE,ANTENNA_130,pin,cell
ANTENNA_131/DIODE,ANTENNA_131,pin,cell
ANTENNA_14/DIODE,ANTENNA_14,pin,cell
ANTENNA_15/DIODE,ANTENNA_15,pin,cell
ANTENNA_16/DIODE,ANTENNA_16,pin,cell
ANTENNA_17/DIODE,ANTENNA_17,pin,cell
ANTENNA_18/DIODE,ANTENNA_18,pin,cell
ANTENNA_19/DIODE,ANTENNA_19,pin,cell
ANTENNA_2/DIODE,ANTENNA_2,pin,cell
ANTENNA_20/DIODE,ANTENNA_20,pin,cell
ANTENNA_21/DIODE,ANTENNA_21,pin,cell
ANTENNA_22/DIODE,ANTENNA_22,pin,cell
ANTENNA_23/DIODE,ANTENNA_23,pin,cell
ANTENNA_24/DIODE,ANTENNA_24,pin,cell
ANTENNA_25/DIODE,ANTENNA_25,pin,cell
ANTENNA_26/DIODE,ANTENNA_26,pin,cell
ANTENNA_27/DIODE,ANTENNA_27,pin,cell
ANTENNA_28/DIODE,ANTENNA_28,pin,cell
ANTENNA_29/DIODE,ANTENNA_29,pin,cell
ANTENNA_3/DIODE,ANTENNA_3,pin,cell
ANTENNA_30/DIODE,ANTENNA_30,pin,cell
ANTENNA_31/DIODE,ANTENNA_31,pin,cell
ANTENNA_32/DIODE,ANTENNA_32,pin,cell
ANTENNA_33/DIODE,ANTENNA_33,pin,cell
ANTENNA_34/DIODE,ANTENNA_34,pin,cell
ANTENNA_35/DIODE,ANTENNA_35,pin,cell
ANTENNA_36/DIODE,ANTENNA_36,pin,cell
ANTENNA_37/DIODE,ANTENNA_37,pin,cell
ANTENNA_38/DIODE,ANTENNA_38,pin,cell
ANTENNA_39/DIODE,ANTENNA_39,pin,cell
ANTENNA_4/DIODE,ANTENNA_4,pin,cell
ANTENNA_40/DIODE,ANTENNA_40,pin,cell
ANTENNA_41/DIODE,ANTENNA_41,pin,cell
