src,tar,src_type,tar_type,is_net,arc_delay
_12636_/A,_12636_/X,pin,pin,0,5.153292792492437e-10
_12636_/B,_12636_/X,pin,pin,0,4.628747385382326e-10
_12636_/C,_12636_/X,pin,pin,0,3.2026398200102335e-10
_12637_/A,_12637_/X,pin,pin,0,5.371522115993344e-10
_12637_/B,_12637_/X,pin,pin,0,4.4066406079679155e-10
_12637_/C,_12637_/X,pin,pin,0,3.00366731487145e-10
_12638_/A,_12638_/Y,pin,pin,0,2.4992405367463277e-10
_12638_/B,_12638_/Y,pin,pin,0,1.19904586259878e-10
_12639_/A1,_12639_/X,pin,pin,0,9.614748996966682e-10
_12639_/A2,_12639_/X,pin,pin,0,8.697559339410077e-10
_12639_/B1,_12639_/X,pin,pin,0,8.916983262885481e-10
_12640_/A,_12640_/Y,pin,pin,0,4.422331667530699e-10
_12646_/A,_12646_/X,pin,pin,0,6.358214510449045e-10
_12646_/B,_12646_/X,pin,pin,0,5.498073663012804e-10
_12646_/C,_12646_/X,pin,pin,0,4.691629862385582e-10
_12647_/A,_12647_/X,pin,pin,0,5.856552465210996e-10
_12647_/B,_12647_/X,pin,pin,0,5.032961825079951e-10
_12647_/C,_12647_/X,pin,pin,0,4.0321290750711114e-10
_12648_/A,_12648_/Y,pin,pin,0,3.272542792309707e-10
_12648_/B,_12648_/Y,pin,pin,0,1.8044912786230327e-10
_12649_/A1,_12649_/Y,pin,pin,0,8.618019631256857e-10
_12649_/A2,_12649_/Y,pin,pin,0,7.328886386659406e-10
_12649_/B1,_12649_/Y,pin,pin,0,4.12297557206287e-10
_12650_/A,_12650_/Y,pin,pin,0,2.6615884496372644e-10
_12653_/A,_12653_/X,pin,pin,0,4.740289272220366e-10
_12653_/B,_12653_/X,pin,pin,0,4.1375169956836544e-10
_12653_/C,_12653_/X,pin,pin,0,3.0876207146590673e-10
_12654_/A,_12654_/X,pin,pin,0,5.184006002245667e-10
_12654_/B,_12654_/X,pin,pin,0,4.068794190459357e-10
_12654_/C,_12654_/X,pin,pin,0,2.747282679127494e-10
_12655_/A,_12655_/Y,pin,pin,0,2.1441382003217768e-10
_12655_/B,_12655_/Y,pin,pin,0,9.709077986030934e-11
_12656_/A1,_12656_/Y,pin,pin,0,6.227555693349984e-10
_12656_/A2,_12656_/Y,pin,pin,0,4.827971356036187e-10
_12656_/B1,_12656_/Y,pin,pin,0,2.584166491903517e-10
_12657_/A,_12657_/Y,pin,pin,0,1.7023392417936378e-10
_12663_/A,_12663_/X,pin,pin,0,4.912426021519423e-10
_12663_/B,_12663_/X,pin,pin,0,4.347807114335467e-10
_12663_/C,_12663_/X,pin,pin,0,3.187057284748107e-10
_12664_/A,_12664_/X,pin,pin,0,4.951771215289114e-10
_12664_/B,_12664_/X,pin,pin,0,4.0743231011219905e-10
_12664_/C,_12664_/X,pin,pin,0,2.5089830213431696e-10
_12665_/A,_12665_/Y,pin,pin,0,2.6883090198381865e-10
_12665_/B,_12665_/Y,pin,pin,0,1.4315475194148775e-10
_12666_/A1,_12666_/X,pin,pin,0,4.726144475775129e-10
_12666_/A2,_12666_/X,pin,pin,0,3.8115766098911763e-10
_12666_/B1,_12666_/X,pin,pin,0,4.0705300241583586e-10
_12667_/A,_12667_/Y,pin,pin,0,1.991148912416918e-10
_12672_/A,_12672_/X,pin,pin,0,5.245802126019328e-10
_12672_/B,_12672_/X,pin,pin,0,4.3981959740868604e-10
_12672_/C,_12672_/X,pin,pin,0,3.5364264294734937e-10
_12673_/A,_12673_/X,pin,pin,0,3.0721122867838346e-10
_12673_/B,_12673_/X,pin,pin,0,2.827790501758187e-10
_12674_/A,_12674_/X,pin,pin,0,2.4397278641785647e-10
_12674_/B,_12674_/X,pin,pin,0,2.2612825500978317e-10
_12675_/A,_12675_/Y,pin,pin,0,2.3953952710265014e-10
_12675_/B,_12675_/Y,pin,pin,0,1.2959129602752029e-10
_12676_/A1,_12676_/X,pin,pin,0,8.042725374579618e-10
_12676_/A2,_12676_/X,pin,pin,0,7.303433968708362e-10
_12676_/B1,_12676_/X,pin,pin,0,7.319300721064792e-10
_12677_/A,_12677_/Y,pin,pin,0,3.011149107834399e-10
_12681_/A,_12681_/Y,pin,pin,0,8.368352538701274e-11
_12684_/A,_12684_/X,pin,pin,0,6.241360761549686e-10
_12684_/B,_12684_/X,pin,pin,0,5.726656371329852e-10
_12684_/C,_12684_/X,pin,pin,0,4.756731675215065e-10
_12685_/A,_12685_/X,pin,pin,0,4.2990755400040825e-10
_12685_/B,_12685_/X,pin,pin,0,4.130449871020403e-10
_12685_/C,_12685_/X,pin,pin,0,3.0980845666661594e-10
_12686_/A,_12686_/Y,pin,pin,0,3.1893365726176626e-10
_12687_/A0,_12687_/Y,pin,pin,0,4.0922371047358297e-10
_12687_/A1,_12687_/Y,pin,pin,0,4.085519422769579e-10
_12687_/S,_12687_/Y,pin,pin,0,5.679052783591487e-10
_12688_/A,_12688_/Y,pin,pin,0,1.80014947392948e-10
_12692_/A,_12692_/X,pin,pin,0,6.396805862785016e-10
_12692_/B,_12692_/X,pin,pin,0,5.372320366348049e-10
_12692_/C,_12692_/X,pin,pin,0,4.2611725259433797e-10
_12693_/A,_12693_/X,pin,pin,0,5.934913116512064e-10
_12693_/B,_12693_/X,pin,pin,0,5.068431785382188e-10
_12693_/C,_12693_/X,pin,pin,0,4.0695813385838164e-10
_12694_/A,_12694_/Y,pin,pin,0,1.5276017950593967e-10
_12694_/B,_12694_/Y,pin,pin,0,9.546142348826336e-11
_12695_/A1,_12695_/Y,pin,pin,0,7.174843497104177e-10
_12695_/A2,_12695_/Y,pin,pin,0,6.635242910668637e-10
_12695_/B1,_12695_/Y,pin,pin,0,3.34180100258763e-10
_12696_/A,_12696_/Y,pin,pin,0,1.5580364776113242e-10
_12699_/A,_12699_/X,pin,pin,0,7.077328167959251e-10
_12699_/B,_12699_/X,pin,pin,0,6.435434407592311e-10
_12699_/C,_12699_/X,pin,pin,0,5.35079369701208e-10
_12700_/A,_12700_/X,pin,pin,0,4.885941096155477e-10
_12700_/B,_12700_/X,pin,pin,0,4.1055614463658685e-10
_12700_/C,_12700_/X,pin,pin,0,3.3861072279428583e-10
_12701_/A,_12701_/Y,pin,pin,0,1.727859383349184e-10
_12701_/B,_12701_/Y,pin,pin,0,1.3126126574558583e-10
_12702_/A1,_12702_/Y,pin,pin,0,9.30245880326197e-10
_12702_/A2,_12702_/Y,pin,pin,0,8.196182066377844e-10
_12702_/B1,_12702_/Y,pin,pin,0,4.22766183172385e-10
_12703_/A,_12703_/Y,pin,pin,0,2.872654891739046e-10
_12705_/A,_12705_/Y,pin,pin,0,7.518747430212969e-11
_12708_/A,_12708_/X,pin,pin,0,4.789705299046432e-10
_12708_/B,_12708_/X,pin,pin,0,4.597076053158844e-10
_12708_/C,_12708_/X,pin,pin,0,3.469943776757134e-10
_12709_/A,_12709_/X,pin,pin,0,4.376399243000151e-10
_12709_/B,_12709_/X,pin,pin,0,3.998110731373572e-10
