src,tar,src_type,tar_type
_339_/A,_339_,pin,cell
_339_,_339_/X,cell,pin
_340_/A_N,_340_,pin,cell
_340_/B,_340_,pin,cell
_340_,_340_/Y,cell,pin
_341_/A,_341_,pin,cell
_341_,_341_/X,cell,pin
_342_/A_N,_342_,pin,cell
_342_/B,_342_,pin,cell
_342_,_342_/Y,cell,pin
_343_/A,_343_,pin,cell
_343_/B,_343_,pin,cell
_343_,_343_/Y,cell,pin
_344_/A,_344_,pin,cell
_344_,_344_/X,cell,pin
_345_/A,_345_,pin,cell
_345_,_345_/X,cell,pin
_346_/A,_346_,pin,cell
_346_,_346_/X,cell,pin
_347_/A,_347_,pin,cell
_347_,_347_/X,cell,pin
_348_/A,_348_,pin,cell
_348_,_348_/X,cell,pin
_349_/A,_349_,pin,cell
_349_,_349_/X,cell,pin
_350_/A,_350_,pin,cell
_350_,_350_/X,cell,pin
_351_/A,_351_,pin,cell
_351_,_351_/X,cell,pin
_352_/A,_352_,pin,cell
_352_/B,_352_,pin,cell
_352_/C,_352_,pin,cell
_352_/D,_352_,pin,cell
_352_,_352_/Y,cell,pin
_353_/A,_353_,pin,cell
_353_,_353_/X,cell,pin
_354_/A,_354_,pin,cell
_354_/B,_354_,pin,cell
_354_/C,_354_,pin,cell
_354_/D,_354_,pin,cell
_354_,_354_/Y,cell,pin
_355_/A,_355_,pin,cell
_355_,_355_/X,cell,pin
_356_/A,_356_,pin,cell
_356_/B,_356_,pin,cell
_356_/C,_356_,pin,cell
_356_/D,_356_,pin,cell
_356_,_356_/Y,cell,pin
_357_/A,_357_,pin,cell
_357_,_357_/X,cell,pin
_358_/A,_358_,pin,cell
_358_,_358_/X,cell,pin
_359_/A,_359_,pin,cell
_359_/B,_359_,pin,cell
_359_/C,_359_,pin,cell
_359_/D,_359_,pin,cell
_359_,_359_/Y,cell,pin
_360_/A,_360_,pin,cell
_360_/B,_360_,pin,cell
_360_/C,_360_,pin,cell
_360_/D,_360_,pin,cell
_360_,_360_/Y,cell,pin
_361_/A1,_361_,pin,cell
_361_/A2,_361_,pin,cell
_361_/B1,_361_,pin,cell
_361_/B2,_361_,pin,cell
_361_,_361_/Y,cell,pin
