cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_0_0,0,0,0,1380,2720,5060,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_106,0,0,0,50140,2720,51980,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_110,0,0,0,51980,2720,52440,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_114,0,0,0,53820,2720,55660,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_118,0,0,0,55660,2720,56580,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_121,0,0,0,57040,2720,58880,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_128,0,0,0,60260,2720,63940,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_136,0,0,0,63940,2720,67620,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_144,0,0,0,67620,2720,69460,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_148,0,0,0,69460,2720,70380,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_151,0,0,0,70840,2720,74520,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_159,0,0,0,74520,2720,78200,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_16,0,0,0,8740,2720,12420,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_167,0,0,0,78200,2720,81880,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_175,0,0,0,81880,2720,83720,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_179,0,0,0,83720,2720,84180,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_181,0,0,0,84640,2720,86480,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_24,0,0,0,12420,2720,14260,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_28,0,0,0,14260,2720,15180,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_31,0,0,0,15640,2720,19320,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_39,0,0,0,19320,2720,19780,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_43,0,0,0,21160,2720,24840,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_51,0,0,0,24840,2720,26680,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_55,0,0,0,26680,2720,27600,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_61,0,0,0,29440,2720,29900,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_65,0,0,0,31280,2720,34960,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_73,0,0,0,34960,2720,36800,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_8,0,0,0,5060,2720,8740,5440,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_0_80,0,0,0,38180,2720,38640,5440,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_0_84,0,0,0,40020,2720,41860,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_88,0,0,0,41860,2720,42780,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_0_91,0,0,0,43240,2720,45080,5440,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_0_95,0,0,0,45080,2720,46000,5440,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_10_0,0,0,0,1380,29920,5060,32640,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_10_103,0,0,0,48760,29920,49220,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_118,0,0,0,55660,29920,56580,32640,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_10_156,0,0,0,73140,29920,73600,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_163,0,0,0,76360,29920,76820,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_183,0,0,0,85560,29920,86480,32640,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_10_29,0,0,0,14720,29920,15180,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_47,0,0,0,23000,29920,23460,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_51,0,0,0,24840,29920,25300,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_56,0,0,0,27140,29920,27600,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_74,0,0,0,35420,29920,36340,32640,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_10_8,0,0,0,5060,29920,6900,32640,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_10_85,0,0,0,40480,29920,42320,32640,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_10_89,0,0,0,42320,29920,42780,32640,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_10_91,0,0,0,43240,29920,45080,32640,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_10_95,0,0,0,45080,29920,46000,32640,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_11_0,0,0,0,1380,32640,2300,35360,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_11_121,0,0,0,57040,32640,57960,35360,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_11_140,0,0,0,65780,32640,67620,35360,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_11_156,0,0,0,73140,32640,74060,35360,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_11_184,0,0,0,86020,32640,86480,35360,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_11_31,0,0,0,15640,32640,16560,35360,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_11_40,0,0,0,19780,32640,20700,35360,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_11_5,0,0,0,3680,32640,5520,35360,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_11_74,0,0,0,35420,32640,35880,35360,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_0,0,0,0,1380,35360,5060,38080,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_12_104,0,0,0,49220,35360,52900,38080,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_12_112,0,0,0,52900,35360,54740,38080,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_12_116,0,0,0,54740,35360,55200,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_12,0,0,0,6900,35360,7360,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_120,0,0,0,56580,35360,57500,38080,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_12_122,0,0,0,57500,35360,57960,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_151,0,0,0,70840,35360,71300,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_156,0,0,0,73140,35360,74980,38080,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_12_160,0,0,0,74980,35360,75440,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_165,0,0,0,77280,35360,79120,38080,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_12_34,0,0,0,17020,35360,20700,38080,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_12_56,0,0,0,27140,35360,27600,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_12_62,0,0,0,29900,35360,30820,38080,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_12_8,0,0,0,5060,35360,6900,38080,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_12_89,0,0,0,42320,35360,42780,38080,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_108,0,0,0,51060,38080,51520,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_118,0,0,0,55660,38080,56580,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_121,0,0,0,57040,38080,57960,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_141,0,0,0,66240,38080,67160,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_148,0,0,0,69460,38080,70380,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_150,0,0,0,70380,38080,70840,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_167,0,0,0,78200,38080,79120,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_169,0,0,0,79120,38080,79580,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_177,0,0,0,82800,38080,83720,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_179,0,0,0,83720,38080,84180,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_181,0,0,0,84640,38080,85100,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_22,0,0,0,11500,38080,11960,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_42,0,0,0,20700,38080,24380,40800,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_13_50,0,0,0,24380,38080,25300,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_52,0,0,0,25300,38080,25760,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_61,0,0,0,29440,38080,29900,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_13_92,0,0,0,43700,38080,44620,40800,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_13_94,0,0,0,44620,38080,45080,40800,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_0,0,0,0,1380,40800,1840,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_10,0,0,0,5980,40800,6440,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_103,0,0,0,48760,40800,49220,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_124,0,0,0,58420,40800,58880,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_128,0,0,0,60260,40800,60720,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_169,0,0,0,79120,40800,80040,43520,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_14_177,0,0,0,82800,40800,86480,43520,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_14_19,0,0,0,10120,40800,13800,43520,1,0,0,sky130_fd_sc_hd__fill_8,0.0,0.0
FILLER_0_14_27,0,0,0,13800,40800,14720,43520,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_14_29,0,0,0,14720,40800,15180,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_34,0,0,0,17020,40800,17480,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_4,0,0,0,3220,40800,5060,43520,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_14_46,0,0,0,22540,40800,24380,43520,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_14_50,0,0,0,24380,40800,25300,43520,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_14_52,0,0,0,25300,40800,25760,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_70,0,0,0,33580,40800,34040,43520,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_14_8,0,0,0,5060,40800,5980,43520,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_14_91,0,0,0,43240,40800,44160,43520,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_15_10,0,0,0,5980,43520,7820,46240,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_15_100,0,0,0,47380,43520,47840,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_119,0,0,0,56120,43520,56580,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_121,0,0,0,57040,43520,58880,46240,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_15_138,0,0,0,64860,43520,65320,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_14,0,0,0,7820,43520,8740,46240,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_15_142,0,0,0,66700,43520,67160,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_148,0,0,0,69460,43520,69920,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_16,0,0,0,8740,43520,9200,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_164,0,0,0,76820,43520,77740,46240,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_15_181,0,0,0,84640,43520,86480,46240,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_15_24,0,0,0,12420,43520,12880,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_3,0,0,0,2760,43520,3220,46240,1,0,0,sky130_fd_sc_hd__fill_1,0.0,0.0
FILLER_0_15_37,0,0,0,18400,43520,20240,46240,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
FILLER_0_15_83,0,0,0,39560,43520,40480,46240,1,0,0,sky130_fd_sc_hd__fill_2,0.0,0.0
FILLER_0_15_96,0,0,0,45540,43520,47380,46240,1,0,0,sky130_fd_sc_hd__fill_4,0.0,0.0
