src,tar,src_type,tar_type
clk,clkbuf_0_clk/A,net,pin
req_msg[0],input1/A,net,pin
req_msg[10],input2/A,net,pin
req_msg[11],input3/A,net,pin
req_msg[12],input4/A,net,pin
req_msg[13],input5/A,net,pin
req_msg[14],input6/A,net,pin
req_msg[15],input7/A,net,pin
req_msg[16],input8/A,net,pin
req_msg[17],input9/A,net,pin
req_msg[18],input10/A,net,pin
req_msg[19],input11/A,net,pin
req_msg[1],input12/A,net,pin
req_msg[20],input13/A,net,pin
req_msg[21],input14/A,net,pin
req_msg[22],input15/A,net,pin
req_msg[23],input16/A,net,pin
req_msg[24],input17/A,net,pin
req_msg[25],input18/A,net,pin
req_msg[26],input19/A,net,pin
req_msg[27],input20/A,net,pin
req_msg[28],input21/A,net,pin
req_msg[29],input22/A,net,pin
req_msg[2],input23/A,net,pin
req_msg[30],input24/A,net,pin
req_msg[31],input25/A,net,pin
req_msg[3],input26/A,net,pin
req_msg[4],input27/A,net,pin
req_msg[5],input28/A,net,pin
req_msg[6],input29/A,net,pin
req_msg[7],input30/A,net,pin
req_msg[8],input31/A,net,pin
req_msg[9],input32/A,net,pin
output36/X,req_rdy,pin,net
req_val,input33/A,net,pin
reset,input34/A,net,pin
output37/X,resp_msg[0],pin,net
output38/X,resp_msg[10],pin,net
output39/X,resp_msg[11],pin,net
output40/X,resp_msg[12],pin,net
output41/X,resp_msg[13],pin,net
output42/X,resp_msg[14],pin,net
output43/X,resp_msg[15],pin,net
output44/X,resp_msg[1],pin,net
output45/X,resp_msg[2],pin,net
output46/X,resp_msg[3],pin,net
output47/X,resp_msg[4],pin,net
output48/X,resp_msg[5],pin,net
output49/X,resp_msg[6],pin,net
output50/X,resp_msg[7],pin,net
output51/X,resp_msg[8],pin,net
output52/X,resp_msg[9],pin,net
resp_rdy,input35/A,net,pin
output53/X,resp_val,pin,net
_000_,ctrl.state.out\[0\]$_DFF_P_/D,net,pin
_367_/X,_000_,pin,net
_001_,ctrl.state.out\[1\]$_DFF_P_/D,net,pin
_373_/Y,_001_,pin,net
_002_,ctrl.state.out\[2\]$_DFF_P_/D,net,pin
_362_/Y,_002_,pin,net
_003_,dpath.a_reg.out\[0\]$_DFFE_PP_/D,net,pin
_449_/X,_003_,pin,net
_004_,dpath.a_reg.out\[10\]$_DFFE_PP_/D,net,pin
_480_/Y,_004_,pin,net
_005_,dpath.a_reg.out\[11\]$_DFFE_PP_/D,net,pin
_493_/Y,_005_,pin,net
_006_,dpath.a_reg.out\[12\]$_DFFE_PP_/D,net,pin
_508_/Y,_006_,pin,net
_007_,dpath.a_reg.out\[13\]$_DFFE_PP_/D,net,pin
_516_/Y,_007_,pin,net
_008_,dpath.a_reg.out\[14\]$_DFFE_PP_/D,net,pin
_528_/Y,_008_,pin,net
_009_,dpath.a_reg.out\[15\]$_DFFE_PP_/D,net,pin
_538_/Y,_009_,pin,net
_010_,dpath.a_reg.out\[1\]$_DFFE_PP_/D,net,pin
_551_/Y,_010_,pin,net
_011_,dpath.a_reg.out\[2\]$_DFFE_PP_/D,net,pin
_558_/Y,_011_,pin,net
_012_,dpath.a_reg.out\[3\]$_DFFE_PP_/D,net,pin
_570_/Y,_012_,pin,net
_013_,dpath.a_reg.out\[4\]$_DFFE_PP_/D,net,pin
_581_/Y,_013_,pin,net
_014_,dpath.a_reg.out\[5\]$_DFFE_PP_/D,net,pin
_591_/Y,_014_,pin,net
_015_,dpath.a_reg.out\[6\]$_DFFE_PP_/D,net,pin
_597_/X,_015_,pin,net
_016_,dpath.a_reg.out\[7\]$_DFFE_PP_/D,net,pin
_609_/Y,_016_,pin,net
_017_,dpath.a_reg.out\[8\]$_DFFE_PP_/D,net,pin
_620_/Y,_017_,pin,net
_018_,dpath.a_reg.out\[9\]$_DFFE_PP_/D,net,pin
_632_/Y,_018_,pin,net
