src,tar,src_type,tar_type,is_net,arc_delay
_339_/A,_339_/X,pin,pin,0,1.277072614325192e-10
_340_/A_N,_340_/Y,pin,pin,0,2.3263319048894004e-10
_340_/B,_340_/Y,pin,pin,0,1.2558865059020263e-10
_341_/A,_341_/X,pin,pin,0,1.1355686529990194e-10
_342_/A_N,_342_/Y,pin,pin,0,1.5194123736961274e-10
_342_/B,_342_/Y,pin,pin,0,8.501981063613329e-11
_343_/A,_343_/Y,pin,pin,0,1.1252881959578076e-10
_343_/B,_343_/Y,pin,pin,0,9.78097811077383e-11
_344_/A,_344_/X,pin,pin,0,1.9494884873072493e-10
_345_/A,_345_/X,pin,pin,0,2.2678726951941286e-10
_346_/A,_346_/X,pin,pin,0,1.996611903587464e-10
_347_/A,_347_/X,pin,pin,0,2.257949799355785e-10
_348_/A,_348_/X,pin,pin,0,2.5546523230168816e-10
_349_/A,_349_/X,pin,pin,0,2.1804832939231744e-10
_350_/A,_350_/X,pin,pin,0,2.0025210656360315e-10
_351_/A,_351_/X,pin,pin,0,2.499299656122389e-10
_352_/A,_352_/Y,pin,pin,0,3.8849679029340223e-10
_352_/B,_352_/Y,pin,pin,0,3.769595469105269e-10
_352_/C,_352_/Y,pin,pin,0,3.448224206170636e-10
_352_/D,_352_/Y,pin,pin,0,2.7384092216031775e-10
_353_/A,_353_/X,pin,pin,0,1.992548487317336e-10
_354_/A,_354_/Y,pin,pin,0,3.808683368689003e-10
_354_/B,_354_/Y,pin,pin,0,3.569329276587041e-10
_354_/C,_354_/Y,pin,pin,0,3.3029257107131116e-10
_354_/D,_354_/Y,pin,pin,0,2.609368554562508e-10
_355_/A,_355_/X,pin,pin,0,2.1319758458648863e-10
_356_/A,_356_/Y,pin,pin,0,4.1470374356755713e-10
_356_/B,_356_/Y,pin,pin,0,3.982155716286684e-10
_356_/C,_356_/Y,pin,pin,0,3.706107920553592e-10
_356_/D,_356_/Y,pin,pin,0,3.048702956753857e-10
_357_/A,_357_/X,pin,pin,0,1.8700861692533266e-10
_358_/A,_358_/X,pin,pin,0,1.3118565955760886e-10
_359_/A,_359_/Y,pin,pin,0,4.805740805302605e-10
_359_/B,_359_/Y,pin,pin,0,4.631720562642272e-10
_359_/C,_359_/Y,pin,pin,0,4.494112026964814e-10
_359_/D,_359_/Y,pin,pin,0,3.692254557652319e-10
_360_/A,_360_/Y,pin,pin,0,1.8740016483054234e-10
_360_/B,_360_/Y,pin,pin,0,1.994386461534603e-10
_360_/C,_360_/Y,pin,pin,0,1.980464958695194e-10
_360_/D,_360_/Y,pin,pin,0,2.065215359836614e-10
_361_/A1,_361_/Y,pin,pin,0,1.7872232860316473e-10
_361_/A2,_361_/Y,pin,pin,0,1.8074318430816305e-10
_361_/B1,_361_/Y,pin,pin,0,1.5333842529052788e-10
_361_/B2,_361_/Y,pin,pin,0,1.9966026054696329e-10
_362_/A,_362_/Y,pin,pin,0,1.0816757212150918e-10
_362_/B,_362_/Y,pin,pin,0,9.639831988206282e-11
_363_/A,_363_/Y,pin,pin,0,6.272621311254056e-11
_364_/A,_364_/Y,pin,pin,0,2.8164076626424617e-10
_364_/B,_364_/Y,pin,pin,0,2.6899230065602353e-10
_364_/C,_364_/Y,pin,pin,0,2.1806041694549805e-10
_365_/A,_365_/X,pin,pin,0,2.656746767026874e-10
_366_/A,_366_/Y,pin,pin,0,5.4847914404687614e-11
_367_/A1,_367_/X,pin,pin,0,3.2024463636481926e-10
_367_/A2,_367_/X,pin,pin,0,3.2336688882139697e-10
_367_/B1,_367_/X,pin,pin,0,2.792085729286242e-10
_367_/B2,_367_/X,pin,pin,0,3.103924617331444e-10
_367_/C1,_367_/X,pin,pin,0,2.533715182106988e-10
_368_/A,_368_/Y,pin,pin,0,5.0590465844324584e-11
_369_/A1,_369_/Y,pin,pin,0,1.743320349190114e-10
_369_/A2,_369_/Y,pin,pin,0,1.4174222906504497e-10
_369_/B1,_369_/Y,pin,pin,0,8.043224419829187e-11
_370_/A,_370_/Y,pin,pin,0,1.7265902596541594e-10
_371_/A,_371_/X,pin,pin,0,2.4197505110734596e-10
_372_/A1,_372_/X,pin,pin,0,1.4972705020266375e-10
_372_/A2,_372_/X,pin,pin,0,2.2140697608641347e-10
_372_/B1,_372_/X,pin,pin,0,1.7453923029098206e-10
_373_/A1,_373_/Y,pin,pin,0,1.2209647182181982e-10
_373_/A2,_373_/Y,pin,pin,0,1.2808684668463854e-10
_373_/B1,_373_/Y,pin,pin,0,1.1406089961418786e-10
_374_/A,_374_/X,pin,pin,0,2.1429873153788748e-10
_375_/A,_375_/Y,pin,pin,0,5.886167248059238e-11
_375_/B,_375_/Y,pin,pin,0,7.211869990086939e-11
_376_/A,_376_/Y,pin,pin,0,2.899853135396313e-10
_376_/B_N,_376_/Y,pin,pin,0,3.325255071295885e-10
_377_/A,_377_/Y,pin,pin,0,7.221584441552409e-11
_378_/A,_378_/Y,pin,pin,0,2.4828095135376316e-10
_378_/B,_378_/Y,pin,pin,0,2.3595075893112494e-10
_379_/A,_379_/X,pin,pin,0,1.6941867353459372e-10
_380_/A,_380_/Y,pin,pin,0,2.586324487907632e-10
_380_/B,_380_/Y,pin,pin,0,2.4415605648364647e-10
_381_/A,_381_/Y,pin,pin,0,3.1462193961218077e-10
_381_/B,_381_/Y,pin,pin,0,3.111055302262855e-10
_382_/A,_382_/Y,pin,pin,0,1.5565856936738953e-10
_382_/B,_382_/Y,pin,pin,0,1.6129728108715824e-10
_382_/C,_382_/Y,pin,pin,0,1.7283853515071002e-10
_383_/A,_383_/Y,pin,pin,0,1.5098515493416897e-10
_384_/A_N,_384_/Y,pin,pin,0,2.0348943363668326e-10
_384_/B,_384_/Y,pin,pin,0,1.3888061534128582e-10
_385_/A,_385_/Y,pin,pin,0,1.2756833089877517e-10
_386_/A_N,_386_/Y,pin,pin,0,2.0737583872332266e-10
_386_/B,_386_/Y,pin,pin,0,1.350581174675014e-10
_387_/A1,_387_/Y,pin,pin,0,2.0426643709825498e-10
_387_/A2,_387_/Y,pin,pin,0,1.9790617755699458e-10
_387_/B1,_387_/Y,pin,pin,0,1.4440824924744078e-10
_388_/A,_388_/Y,pin,pin,0,1.0512416631636157e-10
_388_/B,_388_/Y,pin,pin,0,1.202931781962846e-10
_389_/A,_389_/Y,pin,pin,0,1.5124398955457252e-10
_389_/B_N,_389_/Y,pin,pin,0,1.903235902211975e-10
_390_/A1,_390_/Y,pin,pin,0,2.002807780732141e-10
_390_/A2,_390_/Y,pin,pin,0,2.385809605431888e-10
_390_/A3,_390_/Y,pin,pin,0,2.2423221612832833e-10
_390_/B1,_390_/Y,pin,pin,0,1.9485295321697294e-10
_391_/A,_391_/X,pin,pin,0,3.6027594796372853e-10
_391_/B,_391_/X,pin,pin,0,3.3717670322452875e-10
_391_/C,_391_/X,pin,pin,0,3.579988527846467e-10
_392_/A,_392_/Y,pin,pin,0,1.3555490063765774e-10
_393_/A,_393_/Y,pin,pin,0,1.8607657081837203e-10
_394_/A_N,_394_/Y,pin,pin,0,2.289345935047038e-10
_394_/B,_394_/Y,pin,pin,0,1.5787472718020723e-10
_395_/A,_395_/Y,pin,pin,0,1.8163802406601093e-10
_395_/B_N,_395_/Y,pin,pin,0,2.296648704547266e-10
_396_/A1,_396_/Y,pin,pin,0,2.164378815061596e-10
_396_/A2,_396_/Y,pin,pin,0,2.700320522741606e-10
_396_/A3,_396_/Y,pin,pin,0,2.8026939102865356e-10
_396_/B1,_396_/Y,pin,pin,0,2.2279661449076116e-10
