pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_339_/A,80312,25675,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_339_,dpath.a_lt_b$in0\[0\],6.009252123684306e-11,-2.8541466967624274e-09,6.061204316232249e-10,5.900028243743805e-10,4.858999843243084e-15
_339_/X,82228,25716,0,-1,0,0,1,7.855320127009291e-13,1.5036719647198993e-09,0,_339_,_035_,7.243958904945558e-11,-2.8541466967624274e-09,7.33188565416043e-10,7.177101135624753e-10,-1
_340_/A_N,57667,28760,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_340_,_035_,7.245688771195802e-11,-2.8205888735755025e-09,7.342799701604008e-10,7.187010431231045e-10,1.4379999994988636e-15
_340_/B,59363,28600,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_340_,net73,2.688468198064342e-11,-2.781431973630788e-09,8.077782331916694e-10,8.287034947151994e-10,4.775999931774582e-15
_340_/Y,58903,28348,0,-1,0,0,1,2.8565401454828943e-13,1.5067579406391474e-09,0,_340_,_036_,1.4466872144680565e-10,-2.8205886515308976e-09,9.542922008165533e-10,9.513342336120445e-10,-1
_341_/A,60532,23285,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_341_,dpath.a_lt_b$in1\[0\],6.752875342241893e-11,-2.8635858129177905e-09,6.284377462861812e-10,6.143991426732498e-10,4.858999843243084e-15
_341_/X,62448,23243,0,-1,0,0,1,7.855320127009291e-13,1.5036719647198993e-09,0,_341_,_037_,3.570693046794915e-11,-2.8635858129177905e-09,7.287537795441779e-10,7.279560287898335e-10,-1
_342_/A_N,49485,23285,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_342_,net69,5.480727677253938e-11,-2.5595978669912256e-09,8.461562561734581e-10,8.659666317356596e-10,1.4449999856540915e-15
_342_/B,50067,23285,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_342_,net64,5.2795816329886947e-11,-2.7546767089603463e-09,1.1433131108518069e-09,1.1401850574799255e-09,2.5070000481635215e-15
_342_/Y,50852,23043,0,-1,0,0,1,1.5015601067223938e-13,1.506116009686309e-09,0,_342_,_038_,8.000142909247998e-11,-2.7546767089603463e-09,1.2252048264826954e-09,1.2129868220966955e-09,-1
_343_/A,52627,23280,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_343_,_036_,1.446741199062629e-10,-2.4589521530060665e-09,9.553721147526062e-10,9.523534183486504e-10,2.374999915971069e-15
_343_/B,51782,23290,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_343_,_038_,8.000142909247998e-11,-2.7049473771967314e-09,1.2252917569455235e-09,1.2130676463328882e-09,2.4280000380301914e-15
_343_/Y,52297,23236,0,-1,0,0,1,1.6663600566676345e-13,1.4963760230912726e-09,0,_343_,net37,8.300902326618953e-11,-2.7049473771967314e-09,1.3108774066239448e-09,1.306191155237002e-09,-1
_344_/A,24642,69170,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_344_,net36,6.735316471218056e-11,-1.287121631499133e-09,6.144501574212313e-10,5.967893401681579e-10,1.8069999503330693e-15
_344_/X,25581,69250,0,-1,0,0,1,3.1586701570301967e-13,1.510388925041184e-09,0,_344_,_039_,1.5450514478931865e-10,-1.287121631499133e-09,8.093989922741684e-10,7.636230536789412e-10,-1
_345_/A,23740,61365,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_345_,_039_,1.5450604684552616e-10,-1.0995013788317465e-09,8.101094794987773e-10,7.642805277541243e-10,2.5239997876566785e-15
_345_/X,25016,61332,0,-1,0,0,1,5.612279846585466e-13,1.5123899910207683e-09,0,_345_,_040_,1.5300934130824118e-10,-1.0995013788317465e-09,1.0368967906515536e-09,9.62984691987856e-10,-1
_346_/A,30500,61520,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_346_,ctrl.state.out\[2\],3.8467895535632124e-11,-1.6616383824441527e-09,5.905589905985664e-10,5.812658132597903e-10,2.227999889073927e-15
_346_/X,31746,61153,0,-1,0,0,1,5.172829937831469e-13,1.5083400084492382e-09,0,_346_,_041_,1.3692799671893852e-10,-1.6616382714218503e-09,7.90220167079525e-10,7.62596097381163e-10,-1
_347_/A,43060,61365,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_347_,_041_,1.3693143841031485e-10,-1.4045768992332341e-09,7.911388211212511e-10,7.634476384410505e-10,2.5239997876566785e-15
_347_/X,44336,61332,0,-1,0,0,1,5.612279846585466e-13,1.5123899910207683e-09,0,_347_,_042_,1.574790020608674e-10,-1.4045768992332341e-09,1.0169337594234662e-09,9.699954173214564e-10,-1
_348_/A,46280,31115,0,-1,0,0,0,0.0,1.4999999020659516e-09,0,_348_,_042_,1.577052377577104e-10,-1.4045768992332341e-09,1.0218254020699646e-09,9.74688330046547e-10,2.5239997876566785e-15
