src,tar,src_type,tar_type
_19155_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[0\]$_DFF_PN1_,cell,cell
_19160_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[3\]$_DFF_PN0_,cell,cell
_19165_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[1\]$_DFF_PN0_,cell,cell
_19143_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[3\]$_DFF_PN0_,cell,cell
_19138_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[4\]$_DFF_PN0_,cell,cell
_19101_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[6\]$_DFF_PN0_,cell,cell
_19077_,load_store_unit_i.data_type_q\[1\]$_DFF_PN0_,cell,cell
_19073_,load_store_unit_i.data_type_q\[2\]$_DFF_PN0_,cell,cell
_19229_,core_clock_gate_i.en_latch$_DLATCH_N_,cell,cell
_19231_,_28158_,cell,cell
_19236_,_28159_,cell,cell
_19239_,_28160_,cell,cell
_19240_,_28161_,cell,cell
_19243_,_28162_,cell,cell
_19359_,cs_registers_i.mcountinhibit_q\[0\]$_DFFE_PN0P_,cell,cell
_19393_,cs_registers_i.mcountinhibit_q\[2\]$_DFFE_PN0P_,cell,cell
_19425_,cs_registers_i.mcycle_counter_i.counter_q\[0\]$_DFFE_PN0P_,cell,cell
_19456_,cs_registers_i.mcycle_counter_i.counter_q\[10\]$_DFFE_PN0P_,cell,cell
_19483_,cs_registers_i.mcycle_counter_i.counter_q\[11\]$_DFFE_PN0P_,cell,cell
_19510_,cs_registers_i.mcycle_counter_i.counter_q\[12\]$_DFFE_PN0P_,cell,cell
_19529_,cs_registers_i.mcycle_counter_i.counter_q\[13\]$_DFFE_PN0P_,cell,cell
_19551_,cs_registers_i.mcycle_counter_i.counter_q\[14\]$_DFFE_PN0P_,cell,cell
_19572_,cs_registers_i.mcycle_counter_i.counter_q\[15\]$_DFFE_PN0P_,cell,cell
_19592_,cs_registers_i.mcycle_counter_i.counter_q\[16\]$_DFFE_PN0P_,cell,cell
_19615_,cs_registers_i.mcycle_counter_i.counter_q\[17\]$_DFFE_PN0P_,cell,cell
_19634_,cs_registers_i.mcycle_counter_i.counter_q\[18\]$_DFFE_PN0P_,cell,cell
_19659_,cs_registers_i.mcycle_counter_i.counter_q\[19\]$_DFFE_PN0P_,cell,cell
_19678_,cs_registers_i.mcycle_counter_i.counter_q\[1\]$_DFFE_PN0P_,cell,cell
_19696_,cs_registers_i.mcycle_counter_i.counter_q\[20\]$_DFFE_PN0P_,cell,cell
_19720_,cs_registers_i.mcycle_counter_i.counter_q\[21\]$_DFFE_PN0P_,cell,cell
_19737_,cs_registers_i.mcycle_counter_i.counter_q\[22\]$_DFFE_PN0P_,cell,cell
_19756_,cs_registers_i.mcycle_counter_i.counter_q\[23\]$_DFFE_PN0P_,cell,cell
_19777_,cs_registers_i.mcycle_counter_i.counter_q\[24\]$_DFFE_PN0P_,cell,cell
_19796_,cs_registers_i.mcycle_counter_i.counter_q\[25\]$_DFFE_PN0P_,cell,cell
_19814_,cs_registers_i.mcycle_counter_i.counter_q\[26\]$_DFFE_PN0P_,cell,cell
_19833_,cs_registers_i.mcycle_counter_i.counter_q\[27\]$_DFFE_PN0P_,cell,cell
_19852_,cs_registers_i.mcycle_counter_i.counter_q\[28\]$_DFFE_PN0P_,cell,cell
_19870_,cs_registers_i.mcycle_counter_i.counter_q\[29\]$_DFFE_PN0P_,cell,cell
_19875_,cs_registers_i.mcycle_counter_i.counter_q\[2\]$_DFFE_PN0P_,cell,cell
_19897_,cs_registers_i.mcycle_counter_i.counter_q\[30\]$_DFFE_PN0P_,cell,cell
_19917_,cs_registers_i.mcycle_counter_i.counter_q\[31\]$_DFFE_PN0P_,cell,cell
_19923_,cs_registers_i.mcycle_counter_i.counter_q\[32\]$_DFFE_PN0P_,cell,cell
_19930_,cs_registers_i.mcycle_counter_i.counter_q\[33\]$_DFFE_PN0P_,cell,cell
_19937_,cs_registers_i.mcycle_counter_i.counter_q\[34\]$_DFFE_PN0P_,cell,cell
_19960_,cs_registers_i.mcycle_counter_i.counter_q\[35\]$_DFFE_PN0P_,cell,cell
_19978_,cs_registers_i.mcycle_counter_i.counter_q\[36\]$_DFFE_PN0P_,cell,cell
_19996_,cs_registers_i.mcycle_counter_i.counter_q\[37\]$_DFFE_PN0P_,cell,cell
_20012_,cs_registers_i.mcycle_counter_i.counter_q\[38\]$_DFFE_PN0P_,cell,cell
