src,tar,src_type,tar_type
_02924_,ANTENNA_1,net,cell
net318,ANTENNA_10,net,cell
net287,ANTENNA_11,net,cell
net171,ANTENNA_12,net,cell
net159,ANTENNA_13,net,cell
net159,ANTENNA_14,net,cell
net159,ANTENNA_15,net,cell
net159,ANTENNA_16,net,cell
net158,ANTENNA_17,net,cell
net158,ANTENNA_18,net,cell
net158,ANTENNA_19,net,cell
_03460_,ANTENNA_2,net,cell
net158,ANTENNA_20,net,cell
net154,ANTENNA_21,net,cell
net154,ANTENNA_22,net,cell
net154,ANTENNA_23,net,cell
net154,ANTENNA_24,net,cell
net151,ANTENNA_25,net,cell
_06398_,ANTENNA_26,net,cell
_06398_,ANTENNA_27,net,cell
_06398_,ANTENNA_28,net,cell
net73,ANTENNA_29,net,cell
_03883_,ANTENNA_3,net,cell
_07298_,ANTENNA_30,net,cell
_07298_,ANTENNA_31,net,cell
_08249_,ANTENNA_32,net,cell
_08799_,ANTENNA_33,net,cell
_08799_,ANTENNA_34,net,cell
_08799_,ANTENNA_35,net,cell
_08799_,ANTENNA_36,net,cell
_09214_,ANTENNA_37,net,cell
_09214_,ANTENNA_38,net,cell
_10051_,ANTENNA_39,net,cell
net339,ANTENNA_4,net,cell
_10051_,ANTENNA_40,net,cell
_10100_,ANTENNA_41,net,cell
_10112_,ANTENNA_42,net,cell
_10498_,ANTENNA_43,net,cell
_10498_,ANTENNA_44,net,cell
_10664_,ANTENNA_45,net,cell
_10915_,ANTENNA_46,net,cell
_10915_,ANTENNA_47,net,cell
_11158_,ANTENNA_48,net,cell
_11401_,ANTENNA_49,net,cell
net339,ANTENNA_5,net,cell
_11904_,ANTENNA_50,net,cell
_12042_,ANTENNA_51,net,cell
_12263_,ANTENNA_52,net,cell
_13209_,ANTENNA_53,net,cell
cs_registers_i.csr_mtvec_o\[14\],ANTENNA_54,net,cell
cs_registers_i.csr_mtvec_o\[17\],ANTENNA_55,net,cell
_10100_,ANTENNA_56,net,cell
_10100_,ANTENNA_57,net,cell
_10498_,ANTENNA_58,net,cell
net337,ANTENNA_6,net,cell
_05053_,ANTENNA_7,net,cell
net326,ANTENNA_8,net,cell
net318,ANTENNA_9,net,cell
_06763_,_14021_,net,cell
_06864_,_14021_,net,cell
_06865_,_14021_,net,cell
_14021_,_01545_,cell,net
_13870_,_14022_,net,cell
_14004_,_14022_,net,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[8\],_14022_,net,cell
_06802_,_14022_,net,cell
_14022_,_06866_,cell,net
net179,_14023_,net,cell
ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[40\],_14023_,net,cell
_13996_,_14023_,net,cell
_14023_,_06867_,cell,net
_13852_,_14024_,net,cell
_06867_,_14024_,net,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[1\],_14024_,net,cell
_14024_,_06868_,cell,net
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[5\],_14025_,net,cell
net179,_14025_,net,cell
_06858_,_14025_,net,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[6\],_14025_,net,cell
_06719_,_14025_,net,cell
_14025_,_06869_,cell,net
_06866_,_14026_,net,cell
_06868_,_14026_,net,cell
_06869_,_14026_,net,cell
_14026_,_06870_,cell,net
net332,_14027_,net,cell
_06768_,_14027_,net,cell
_13851_,_14027_,net,cell
_14027_,_06871_,cell,net
_06721_,_14028_,net,cell
_02840_,_14028_,net,cell
_14028_,_06872_,cell,net
_06870_,_14029_,net,cell
_06871_,_14029_,net,cell
_06872_,_14029_,net,cell
_14029_,_06873_,cell,net
ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[40\],_14030_,net,cell
_06763_,_14030_,net,cell
_14030_,_06874_,cell,net
_06763_,_14031_,net,cell
_06873_,_14031_,net,cell
_06874_,_14031_,net,cell
_14031_,_01546_,cell,net
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[5\],_14032_,net,cell
net180,_14032_,net,cell
_06867_,_14032_,net,cell
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[6\],_14032_,net,cell
_06719_,_14032_,net,cell
_14032_,_06875_,cell,net
_11454_,_14033_,net,cell
_14006_,_14033_,net,cell
_14033_,_06876_,cell,net
net180,_14034_,net,cell
ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[41\],_14034_,net,cell
_13996_,_14034_,net,cell
_14034_,_06877_,cell,net
_06802_,_14035_,net,cell
_06877_,_14035_,net,cell
_14035_,_06878_,cell,net
ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.op_quotient_q\[9\],_14036_,net,cell
_06802_,_14036_,net,cell
_06876_,_14036_,net,cell
_06878_,_14036_,net,cell
