src,tar,src_type,tar_type
ANTENNA_1/DIODE,ANTENNA_1,pin,cell
ANTENNA_10/DIODE,ANTENNA_10,pin,cell
ANTENNA_11/DIODE,ANTENNA_11,pin,cell
ANTENNA_12/DIODE,ANTENNA_12,pin,cell
ANTENNA_13/DIODE,ANTENNA_13,pin,cell
ANTENNA_14/DIODE,ANTENNA_14,pin,cell
ANTENNA_15/DIODE,ANTENNA_15,pin,cell
ANTENNA_16/DIODE,ANTENNA_16,pin,cell
ANTENNA_17/DIODE,ANTENNA_17,pin,cell
ANTENNA_18/DIODE,ANTENNA_18,pin,cell
ANTENNA_19/DIODE,ANTENNA_19,pin,cell
ANTENNA_2/DIODE,ANTENNA_2,pin,cell
ANTENNA_20/DIODE,ANTENNA_20,pin,cell
ANTENNA_21/DIODE,ANTENNA_21,pin,cell
ANTENNA_22/DIODE,ANTENNA_22,pin,cell
ANTENNA_23/DIODE,ANTENNA_23,pin,cell
ANTENNA_24/DIODE,ANTENNA_24,pin,cell
ANTENNA_25/DIODE,ANTENNA_25,pin,cell
ANTENNA_26/DIODE,ANTENNA_26,pin,cell
ANTENNA_27/DIODE,ANTENNA_27,pin,cell
ANTENNA_28/DIODE,ANTENNA_28,pin,cell
ANTENNA_29/DIODE,ANTENNA_29,pin,cell
ANTENNA_3/DIODE,ANTENNA_3,pin,cell
ANTENNA_30/DIODE,ANTENNA_30,pin,cell
ANTENNA_31/DIODE,ANTENNA_31,pin,cell
ANTENNA_32/DIODE,ANTENNA_32,pin,cell
ANTENNA_33/DIODE,ANTENNA_33,pin,cell
ANTENNA_34/DIODE,ANTENNA_34,pin,cell
ANTENNA_35/DIODE,ANTENNA_35,pin,cell
ANTENNA_36/DIODE,ANTENNA_36,pin,cell
ANTENNA_37/DIODE,ANTENNA_37,pin,cell
ANTENNA_38/DIODE,ANTENNA_38,pin,cell
ANTENNA_39/DIODE,ANTENNA_39,pin,cell
ANTENNA_4/DIODE,ANTENNA_4,pin,cell
ANTENNA_40/DIODE,ANTENNA_40,pin,cell
ANTENNA_41/DIODE,ANTENNA_41,pin,cell
ANTENNA_42/DIODE,ANTENNA_42,pin,cell
ANTENNA_43/DIODE,ANTENNA_43,pin,cell
ANTENNA_44/DIODE,ANTENNA_44,pin,cell
ANTENNA_45/DIODE,ANTENNA_45,pin,cell
ANTENNA_46/DIODE,ANTENNA_46,pin,cell
ANTENNA_47/DIODE,ANTENNA_47,pin,cell
ANTENNA_48/DIODE,ANTENNA_48,pin,cell
ANTENNA_49/DIODE,ANTENNA_49,pin,cell
ANTENNA_5/DIODE,ANTENNA_5,pin,cell
ANTENNA_50/DIODE,ANTENNA_50,pin,cell
ANTENNA_51/DIODE,ANTENNA_51,pin,cell
ANTENNA_52/DIODE,ANTENNA_52,pin,cell
ANTENNA_53/DIODE,ANTENNA_53,pin,cell
ANTENNA_54/DIODE,ANTENNA_54,pin,cell
ANTENNA_55/DIODE,ANTENNA_55,pin,cell
ANTENNA_56/DIODE,ANTENNA_56,pin,cell
ANTENNA_57/DIODE,ANTENNA_57,pin,cell
ANTENNA_58/DIODE,ANTENNA_58,pin,cell
ANTENNA_6/DIODE,ANTENNA_6,pin,cell
ANTENNA_7/DIODE,ANTENNA_7,pin,cell
ANTENNA_8/DIODE,ANTENNA_8,pin,cell
ANTENNA_9/DIODE,ANTENNA_9,pin,cell
_14021_/A1,_14021_,pin,cell
_14021_/A2,_14021_,pin,cell
_14021_/B1,_14021_,pin,cell
_14021_,_14021_/Y,cell,pin
_14022_/A1,_14022_,pin,cell
_14022_/A2,_14022_,pin,cell
_14022_/B1,_14022_,pin,cell
_14022_/C1,_14022_,pin,cell
_14022_,_14022_/Y,cell,pin
_14023_/A0,_14023_,pin,cell
_14023_/A1,_14023_,pin,cell
_14023_/S,_14023_,pin,cell
_14023_,_14023_/X,cell,pin
_14024_/A1,_14024_,pin,cell
_14024_/A2,_14024_,pin,cell
_14024_/B1,_14024_,pin,cell
