libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay
sky130_ef_sc_hd__decap_12,0,15014400,NaN,NaN,NaN,NaN
sky130_ef_sc_hd__fakediode_2,1,2502400,NaN,NaN,NaN,NaN
sky130_ef_sc_hd__fill_8,2,10009600,NaN,NaN,NaN,NaN
sky130_ef_sc_hd__fill_12,3,15014400,NaN,NaN,NaN,NaN
sky130_fd_sc_hd__a2bb2o_1,4,10009600,1.5970000480388757e-15,2.349900005485517e-12,2.768509865802571e-10,2.983843450099499e-10
sky130_fd_sc_hd__a2bb2o_2,4,11260800,1.8479999448702033e-15,3.5812997532802537e-12,2.6106769523970286e-10,2.7064414598321207e-10
sky130_fd_sc_hd__a2bb2o_4,4,20019200,5.1409999812736164e-15,7.60220011941648e-12,2.280614030958361e-10,2.031043250250164e-10
sky130_fd_sc_hd__a2bb2oi_1,5,8758400,2.646999983026317e-15,2.9309998438725726e-12,2.432882506564482e-10,2.3790786007893416e-10
sky130_fd_sc_hd__a2bb2oi_2,5,15014400,5.026999934485028e-15,5.157399680932873e-12,2.2963048129653885e-10,1.5480336457152077e-10
sky130_fd_sc_hd__a2bb2oi_4,5,26275200,9.632999930229199e-15,8.31689925262502e-12,2.4979968094029914e-10,1.5065942937653176e-10
sky130_fd_sc_hd__a21bo_1,6,10009600,2.5700000294396914e-15,3.6260998544090928e-12,2.0545194712173753e-10,2.0328204397568328e-10
sky130_fd_sc_hd__a21bo_2,6,10009600,2.480999948331077e-15,4.008599875648944e-12,2.167250406914789e-10,2.1550970730199737e-10
sky130_fd_sc_hd__a21bo_4,6,16265600,5.026999934485028e-15,5.854599791077497e-12,2.2317452053055575e-10,2.0744563011820816e-10
sky130_fd_sc_hd__a21boi_0,7,7507200,1.8479999448702033e-15,1.982999918784256e-12,2.449558056394352e-10,2.904410323356643e-10
sky130_fd_sc_hd__a21boi_1,7,7507200,2.4149999881139693e-15,3.2627000060014844e-12,2.2165272395291424e-10,2.208842275752687e-10
sky130_fd_sc_hd__a21boi_2,7,11260800,5.016999863509744e-15,3.5736999297319993e-12,2.3963700468421223e-10,1.718042097476058e-10
sky130_fd_sc_hd__a21boi_4,7,18768000,9.710999806210058e-15,4.1562001236450374e-12,2.850467084591912e-10,1.6349105402824193e-10
sky130_fd_sc_hd__a21o_1,8,7507200,2.5939998609671947e-15,1.0981699924417221e-11,1.8370485688201654e-10,1.8186131767183866e-10
sky130_fd_sc_hd__a21o_2,8,8758400,2.5639998597995787e-15,8.163499390367868e-12,2.0713107617975623e-10,2.063192533485747e-10
sky130_fd_sc_hd__a21o_4,8,15014400,5.028999779273496e-15,7.87449966344056e-12,2.1170321051755536e-10,1.960658579935881e-10
sky130_fd_sc_hd__a21oi_1,9,5004800,2.4770000469959055e-15,3.4269998947997204e-13,2.1430975050140688e-10,2.1228728497302285e-10
sky130_fd_sc_hd__a21oi_2,9,8758400,5.051999688406765e-15,9.83300029941403e-13,2.2326601678557267e-10,1.5510775996929738e-10
sky130_fd_sc_hd__a21oi_4,9,16265600,9.709999460299351e-15,2.446399853528458e-12,2.5930405045393456e-10,1.3982587310223948e-10
sky130_fd_sc_hd__a22o_1,10,8758400,2.526999978355853e-15,2.959799939861174e-12,2.3871957188781323e-10,2.378793551027769e-10
sky130_fd_sc_hd__a22o_2,10,10009600,2.5170001191388057e-15,3.525099916829033e-12,2.542256960502698e-10,2.5382534962758996e-10
sky130_fd_sc_hd__a22o_4,10,17516800,5.222999970347884e-15,1.0273599679311296e-11,2.546526045588138e-10,2.382755104335388e-10
sky130_fd_sc_hd__a22oi_1,11,7507200,2.496999977188237e-15,5.889939144049228e-14,2.5329041641874994e-10,2.507510032945248e-10
sky130_fd_sc_hd__a22oi_2,11,12512000,4.585000354915842e-15,1.4449998543639847e-13,2.6735583191772605e-10,2.030190598967252e-10
sky130_fd_sc_hd__a22oi_4,11,21270400,9.204000612334472e-15,3.037960161211828e-11,2.9354643715784334e-10,1.7904772109389455e-10
sky130_fd_sc_hd__a31o_1,12,8758400,2.5070000481635215e-15,2.6581000855258052e-12,2.222085154768294e-10,2.212624805597585e-10
sky130_fd_sc_hd__a31o_2,12,8758400,2.5070000481635215e-15,3.4748998383599128e-12,2.4100163531493024e-10,2.4002280718526947e-10
sky130_fd_sc_hd__a31o_4,12,17516800,5.1540002429480754e-15,6.8610997959461795e-12,2.3820162509125e-10,2.2314024239467045e-10
sky130_fd_sc_hd__a31oi_1,13,6256000,2.5130000060453973e-15,3.517999964692403e-13,2.4092439154799195e-10,2.425581957510303e-10
sky130_fd_sc_hd__a31oi_2,13,12512000,4.708000126769007e-15,8.265999646914213e-13,2.8182933764497875e-10,2.0638879494327966e-10
sky130_fd_sc_hd__a31oi_4,13,21270400,9.156000102246518e-15,2.0630999079257473e-12,2.951604793910434e-10,1.7306395205807235e-10
sky130_fd_sc_hd__a32o_1,14,10009600,2.51900017568551e-15,1.663099887840025e-12,2.640203611292691e-10,2.632455364803832e-10
sky130_fd_sc_hd__a32o_2,14,11260800,2.655999919849131e-15,8.015599468891299e-12,2.6026569788228926e-10,2.601807103097542e-10
sky130_fd_sc_hd__a32o_4,14,21270400,4.73899983857262e-15,4.69999993785164e-12,3.1628910601710913e-10,2.983125413358323e-10
sky130_fd_sc_hd__a32oi_1,15,8758400,2.466999976020621e-15,5.6089535820829164e-14,2.645080543484113e-10,2.6572535838376155e-10
sky130_fd_sc_hd__a32oi_2,15,16265600,4.730000113508043e-15,1.673219895970135e-11,2.959436862237652e-10,2.2682521139127942e-10
sky130_fd_sc_hd__a32oi_4,15,27526400,9.164999827311095e-15,2.6560001485480267e-13,3.500818523960447e-10,2.2356329287820387e-10
sky130_fd_sc_hd__a41o_1,16,10009600,2.6030000095482453e-15,1.0987899826120362e-11,2.453985625816557e-10,2.4471369375334007e-10
sky130_fd_sc_hd__a41o_2,16,11260800,2.514000140197868e-15,8.293200327857964e-12,2.644727215006526e-10,2.6437296796189003e-10
sky130_fd_sc_hd__a41o_4,16,21270400,4.895999936445046e-15,8.24810011956778e-12,2.7740035268841723e-10,2.6099239436305766e-10
sky130_fd_sc_hd__a41oi_1,17,8758400,2.5040000692225835e-15,3.613999832903503e-13,2.725005499026878e-10,2.78556094857052e-10
