src,tar,src_type,tar_type
ibex_core_416/LO,net416,pin,net
_28165_/X,alert_minor_o,pin,net
boot_addr_i[10],input1/A,net,pin
boot_addr_i[11],input2/A,net,pin
boot_addr_i[12],input3/A,net,pin
boot_addr_i[13],input4/A,net,pin
boot_addr_i[14],input5/A,net,pin
boot_addr_i[15],input6/A,net,pin
boot_addr_i[16],input7/A,net,pin
boot_addr_i[17],input8/A,net,pin
boot_addr_i[18],input9/A,net,pin
boot_addr_i[19],input10/A,net,pin
boot_addr_i[20],input11/A,net,pin
boot_addr_i[21],input12/A,net,pin
boot_addr_i[22],input13/A,net,pin
boot_addr_i[23],input14/A,net,pin
boot_addr_i[24],input15/A,net,pin
boot_addr_i[25],input16/A,net,pin
boot_addr_i[26],input17/A,net,pin
boot_addr_i[27],input18/A,net,pin
boot_addr_i[28],input19/A,net,pin
boot_addr_i[29],input20/A,net,pin
boot_addr_i[30],input21/A,net,pin
boot_addr_i[31],input22/A,net,pin
boot_addr_i[8],input23/A,net,pin
boot_addr_i[9],input24/A,net,pin
clk_i,clkbuf_0_clk_i/A,net,pin
output150/X,core_sleep_o,pin,net
_28166_/X,data_addr_o[0],pin,net
output151/X,data_addr_o[10],pin,net
output152/X,data_addr_o[11],pin,net
output153/X,data_addr_o[12],pin,net
output154/X,data_addr_o[13],pin,net
output155/X,data_addr_o[14],pin,net
output156/X,data_addr_o[15],pin,net
output157/X,data_addr_o[16],pin,net
output158/X,data_addr_o[17],pin,net
output159/X,data_addr_o[18],pin,net
output160/X,data_addr_o[19],pin,net
_28167_/X,data_addr_o[1],pin,net
output161/X,data_addr_o[20],pin,net
output162/X,data_addr_o[21],pin,net
output163/X,data_addr_o[22],pin,net
output164/X,data_addr_o[23],pin,net
output165/X,data_addr_o[24],pin,net
output166/X,data_addr_o[25],pin,net
output167/X,data_addr_o[26],pin,net
output168/X,data_addr_o[27],pin,net
output169/X,data_addr_o[28],pin,net
output170/X,data_addr_o[29],pin,net
output171/X,data_addr_o[2],pin,net
output172/X,data_addr_o[30],pin,net
output173/X,data_addr_o[31],pin,net
output174/X,data_addr_o[3],pin,net
output175/X,data_addr_o[4],pin,net
output176/X,data_addr_o[5],pin,net
output177/X,data_addr_o[6],pin,net
output178/X,data_addr_o[7],pin,net
output179/X,data_addr_o[8],pin,net
output180/X,data_addr_o[9],pin,net
output181/X,data_be_o[0],pin,net
output182/X,data_be_o[1],pin,net
output183/X,data_be_o[2],pin,net
output184/X,data_be_o[3],pin,net
data_err_i,input25/A,net,pin
data_gnt_i,input26/A,net,pin
data_rdata_i[0],input27/A,net,pin
data_rdata_i[10],input28/A,net,pin
data_rdata_i[11],input29/A,net,pin
data_rdata_i[12],input30/A,net,pin
data_rdata_i[13],input31/A,net,pin
data_rdata_i[14],input32/A,net,pin
data_rdata_i[15],input33/A,net,pin
data_rdata_i[16],input34/A,net,pin
data_rdata_i[17],input35/A,net,pin
data_rdata_i[18],input36/A,net,pin
data_rdata_i[19],input37/A,net,pin
data_rdata_i[1],input38/A,net,pin
data_rdata_i[20],input39/A,net,pin
data_rdata_i[21],input40/A,net,pin
data_rdata_i[22],input41/A,net,pin
data_rdata_i[23],input42/A,net,pin
data_rdata_i[24],input43/A,net,pin
data_rdata_i[25],input44/A,net,pin
data_rdata_i[26],input45/A,net,pin
data_rdata_i[27],input46/A,net,pin
data_rdata_i[28],input47/A,net,pin
data_rdata_i[29],input48/A,net,pin
data_rdata_i[2],input49/A,net,pin
data_rdata_i[30],input50/A,net,pin
data_rdata_i[31],input51/A,net,pin
data_rdata_i[3],input52/A,net,pin
data_rdata_i[4],input53/A,net,pin
data_rdata_i[5],input54/A,net,pin
data_rdata_i[6],input55/A,net,pin
data_rdata_i[7],input56/A,net,pin
data_rdata_i[8],input57/A,net,pin
data_rdata_i[9],input58/A,net,pin
output185/X,data_req_o,pin,net
data_rvalid_i,input59/A,net,pin
output186/X,data_wdata_o[0],pin,net
output187/X,data_wdata_o[10],pin,net
output188/X,data_wdata_o[11],pin,net
output189/X,data_wdata_o[12],pin,net
output190/X,data_wdata_o[13],pin,net
output191/X,data_wdata_o[14],pin,net
output192/X,data_wdata_o[15],pin,net
output193/X,data_wdata_o[16],pin,net
output194/X,data_wdata_o[17],pin,net
output195/X,data_wdata_o[18],pin,net
output196/X,data_wdata_o[19],pin,net
output197/X,data_wdata_o[1],pin,net
output198/X,data_wdata_o[20],pin,net
output199/X,data_wdata_o[21],pin,net
output200/X,data_wdata_o[22],pin,net
output201/X,data_wdata_o[23],pin,net
output202/X,data_wdata_o[24],pin,net
output203/X,data_wdata_o[25],pin,net
output204/X,data_wdata_o[26],pin,net
output205/X,data_wdata_o[27],pin,net
output206/X,data_wdata_o[28],pin,net
output207/X,data_wdata_o[29],pin,net
output208/X,data_wdata_o[2],pin,net
output209/X,data_wdata_o[30],pin,net
output210/X,data_wdata_o[31],pin,net
output211/X,data_wdata_o[3],pin,net
output212/X,data_wdata_o[4],pin,net
output213/X,data_wdata_o[5],pin,net
output214/X,data_wdata_o[6],pin,net
output215/X,data_wdata_o[7],pin,net
output216/X,data_wdata_o[8],pin,net
output217/X,data_wdata_o[9],pin,net
output218/X,data_we_o,pin,net
debug_req_i,input60/A,net,pin
fetch_enable_i,input61/A,net,pin
hart_id_i[0],input62/A,net,pin
hart_id_i[10],input63/A,net,pin
hart_id_i[11],input64/A,net,pin
hart_id_i[12],input65/A,net,pin
hart_id_i[13],input66/A,net,pin
hart_id_i[14],input67/A,net,pin
hart_id_i[15],input68/A,net,pin
hart_id_i[16],input69/A,net,pin
hart_id_i[17],input70/A,net,pin
hart_id_i[18],input71/A,net,pin
hart_id_i[19],input72/A,net,pin
hart_id_i[1],input73/A,net,pin
hart_id_i[20],input74/A,net,pin
hart_id_i[21],input75/A,net,pin
hart_id_i[22],input76/A,net,pin
hart_id_i[23],input77/A,net,pin
hart_id_i[24],input78/A,net,pin
hart_id_i[25],input79/A,net,pin
hart_id_i[26],input80/A,net,pin
hart_id_i[27],input81/A,net,pin
hart_id_i[28],input82/A,net,pin
hart_id_i[29],input83/A,net,pin
hart_id_i[2],input84/A,net,pin
hart_id_i[30],input85/A,net,pin
hart_id_i[31],input86/A,net,pin
hart_id_i[3],input87/A,net,pin
hart_id_i[4],input88/A,net,pin
hart_id_i[5],input89/A,net,pin
hart_id_i[6],input90/A,net,pin
hart_id_i[7],input91/A,net,pin
hart_id_i[8],input92/A,net,pin
hart_id_i[9],input93/A,net,pin
_28198_/X,instr_addr_o[0],pin,net
output219/X,instr_addr_o[10],pin,net
output220/X,instr_addr_o[11],pin,net
output221/X,instr_addr_o[12],pin,net
output222/X,instr_addr_o[13],pin,net
output223/X,instr_addr_o[14],pin,net
output224/X,instr_addr_o[15],pin,net
output225/X,instr_addr_o[16],pin,net
output226/X,instr_addr_o[17],pin,net
output227/X,instr_addr_o[18],pin,net
output228/X,instr_addr_o[19],pin,net
_28199_/X,instr_addr_o[1],pin,net
output229/X,instr_addr_o[20],pin,net
output230/X,instr_addr_o[21],pin,net
output231/X,instr_addr_o[22],pin,net
output232/X,instr_addr_o[23],pin,net
output233/X,instr_addr_o[24],pin,net
output234/X,instr_addr_o[25],pin,net
output235/X,instr_addr_o[26],pin,net
output236/X,instr_addr_o[27],pin,net
output237/X,instr_addr_o[28],pin,net
output238/X,instr_addr_o[29],pin,net
output239/X,instr_addr_o[2],pin,net
output240/X,instr_addr_o[30],pin,net
output241/X,instr_addr_o[31],pin,net
output242/X,instr_addr_o[3],pin,net
output243/X,instr_addr_o[4],pin,net
output244/X,instr_addr_o[5],pin,net
output245/X,instr_addr_o[6],pin,net
output246/X,instr_addr_o[7],pin,net
output247/X,instr_addr_o[8],pin,net
output248/X,instr_addr_o[9],pin,net
instr_err_i,input94/A,net,pin
instr_gnt_i,input95/A,net,pin
instr_rdata_i[0],input96/A,net,pin
instr_rdata_i[10],input97/A,net,pin
instr_rdata_i[11],input98/A,net,pin
instr_rdata_i[12],input99/A,net,pin
instr_rdata_i[13],input100/A,net,pin
instr_rdata_i[14],input101/A,net,pin
instr_rdata_i[15],input102/A,net,pin
instr_rdata_i[16],input103/A,net,pin
instr_rdata_i[17],input104/A,net,pin
instr_rdata_i[18],input105/A,net,pin
instr_rdata_i[19],input106/A,net,pin
instr_rdata_i[1],input107/A,net,pin
instr_rdata_i[20],input108/A,net,pin
instr_rdata_i[21],input109/A,net,pin
instr_rdata_i[22],input110/A,net,pin
instr_rdata_i[23],input111/A,net,pin
instr_rdata_i[24],input112/A,net,pin
instr_rdata_i[25],input113/A,net,pin
instr_rdata_i[26],input114/A,net,pin
instr_rdata_i[27],input115/A,net,pin
instr_rdata_i[28],input116/A,net,pin
instr_rdata_i[29],input117/A,net,pin
instr_rdata_i[2],input118/A,net,pin
instr_rdata_i[30],input119/A,net,pin
instr_rdata_i[31],input120/A,net,pin
instr_rdata_i[3],input121/A,net,pin
instr_rdata_i[4],input122/A,net,pin
instr_rdata_i[5],input123/A,net,pin
instr_rdata_i[6],input124/A,net,pin
instr_rdata_i[7],input125/A,net,pin
instr_rdata_i[8],input126/A,net,pin
instr_rdata_i[9],input127/A,net,pin
output249/X,instr_req_o,pin,net
instr_rvalid_i,input128/A,net,pin
irq_external_i,input129/A,net,pin
irq_fast_i[0],input130/A,net,pin
irq_fast_i[10],input131/A,net,pin
irq_fast_i[11],input132/A,net,pin
irq_fast_i[12],input133/A,net,pin
irq_fast_i[13],input134/A,net,pin
irq_fast_i[14],input135/A,net,pin
irq_fast_i[1],input136/A,net,pin
irq_fast_i[2],input137/A,net,pin
irq_fast_i[3],input138/A,net,pin
irq_fast_i[4],input139/A,net,pin
irq_fast_i[5],input140/A,net,pin
irq_fast_i[6],input141/A,net,pin
irq_fast_i[7],input142/A,net,pin
irq_fast_i[8],input143/A,net,pin
irq_fast_i[9],input144/A,net,pin
irq_nm_i,input145/A,net,pin
irq_software_i,input146/A,net,pin
irq_timer_i,input147/A,net,pin
rst_ni,input148/A,net,pin
test_en_i,input149/A,net,pin
_00000_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[0\]$_DFF_PN1_/D,net,pin
_19155_/Y,_00000_,pin,net
_00001_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.gen_mult_fast.mult_state_q\[3\]$_DFF_PN0_/D,net,pin
_19160_/X,_00001_,pin,net
_00002_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[1\]$_DFF_PN0_/D,net,pin
_19165_/Y,_00002_,pin,net
_00003_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[3\]$_DFF_PN0_/D,net,pin
_19143_/Y,_00003_,pin,net
_00004_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[4\]$_DFF_PN0_/D,net,pin
_19138_/Y,_00004_,pin,net
_00005_,ex_block_i.genblk3.gen_multdiv_fast.multdiv_i.md_state_q\[6\]$_DFF_PN0_/D,net,pin
_19101_/Y,_00005_,pin,net
_00006_,load_store_unit_i.data_type_q\[1\]$_DFF_PN0_/D,net,pin
_19077_/X,_00006_,pin,net
_00007_,load_store_unit_i.data_type_q\[2\]$_DFF_PN0_/D,net,pin
_19073_/Y,_00007_,pin,net
_00008_,core_clock_gate_i.en_latch$_DLATCH_N_/D,net,pin
_19229_/Y,_00008_,pin,net
_00009_,_28158_/D,net,pin
_19231_/Y,_00009_,pin,net
_00010_,_28159_/D,net,pin
_19236_/Y,_00010_,pin,net
_00011_,_28160_/D,net,pin
_19239_/Y,_00011_,pin,net
_00012_,_28161_/D,net,pin
_19240_/X,_00012_,pin,net
_00013_,_28162_/D,net,pin
_19243_/Y,_00013_,pin,net
_00014_,cs_registers_i.mcountinhibit_q\[0\]$_DFFE_PN0P_/D,net,pin
_19359_/Y,_00014_,pin,net
_00015_,cs_registers_i.mcountinhibit_q\[2\]$_DFFE_PN0P_/D,net,pin
_19393_/Y,_00015_,pin,net
_00016_,cs_registers_i.mcycle_counter_i.counter_q\[0\]$_DFFE_PN0P_/D,net,pin
_19425_/Y,_00016_,pin,net
_00017_,cs_registers_i.mcycle_counter_i.counter_q\[10\]$_DFFE_PN0P_/D,net,pin
_19456_/X,_00017_,pin,net
_00018_,cs_registers_i.mcycle_counter_i.counter_q\[11\]$_DFFE_PN0P_/D,net,pin
_19483_/X,_00018_,pin,net
_00019_,cs_registers_i.mcycle_counter_i.counter_q\[12\]$_DFFE_PN0P_/D,net,pin
_19510_/Y,_00019_,pin,net
_00020_,cs_registers_i.mcycle_counter_i.counter_q\[13\]$_DFFE_PN0P_/D,net,pin
_19529_/Y,_00020_,pin,net
_00021_,cs_registers_i.mcycle_counter_i.counter_q\[14\]$_DFFE_PN0P_/D,net,pin
_19551_/Y,_00021_,pin,net
_00022_,cs_registers_i.mcycle_counter_i.counter_q\[15\]$_DFFE_PN0P_/D,net,pin
_19572_/Y,_00022_,pin,net
_00023_,cs_registers_i.mcycle_counter_i.counter_q\[16\]$_DFFE_PN0P_/D,net,pin
_19592_/Y,_00023_,pin,net
_00024_,cs_registers_i.mcycle_counter_i.counter_q\[17\]$_DFFE_PN0P_/D,net,pin
_19615_/Y,_00024_,pin,net
_00025_,cs_registers_i.mcycle_counter_i.counter_q\[18\]$_DFFE_PN0P_/D,net,pin
_19634_/Y,_00025_,pin,net
_00026_,cs_registers_i.mcycle_counter_i.counter_q\[19\]$_DFFE_PN0P_/D,net,pin
_19659_/Y,_00026_,pin,net
_00027_,cs_registers_i.mcycle_counter_i.counter_q\[1\]$_DFFE_PN0P_/D,net,pin
_19678_/Y,_00027_,pin,net
_00028_,cs_registers_i.mcycle_counter_i.counter_q\[20\]$_DFFE_PN0P_/D,net,pin
_19696_/Y,_00028_,pin,net
_00029_,cs_registers_i.mcycle_counter_i.counter_q\[21\]$_DFFE_PN0P_/D,net,pin
_19720_/Y,_00029_,pin,net
_00030_,cs_registers_i.mcycle_counter_i.counter_q\[22\]$_DFFE_PN0P_/D,net,pin
_19737_/X,_00030_,pin,net
_00031_,cs_registers_i.mcycle_counter_i.counter_q\[23\]$_DFFE_PN0P_/D,net,pin
_19756_/Y,_00031_,pin,net
_00032_,cs_registers_i.mcycle_counter_i.counter_q\[24\]$_DFFE_PN0P_/D,net,pin
_19777_/Y,_00032_,pin,net
_00033_,cs_registers_i.mcycle_counter_i.counter_q\[25\]$_DFFE_PN0P_/D,net,pin
_19796_/Y,_00033_,pin,net
_00034_,cs_registers_i.mcycle_counter_i.counter_q\[26\]$_DFFE_PN0P_/D,net,pin
_19814_/Y,_00034_,pin,net
_00035_,cs_registers_i.mcycle_counter_i.counter_q\[27\]$_DFFE_PN0P_/D,net,pin
_19833_/Y,_00035_,pin,net
_00036_,cs_registers_i.mcycle_counter_i.counter_q\[28\]$_DFFE_PN0P_/D,net,pin
_19852_/Y,_00036_,pin,net
_00037_,cs_registers_i.mcycle_counter_i.counter_q\[29\]$_DFFE_PN0P_/D,net,pin
_19870_/Y,_00037_,pin,net
_00038_,cs_registers_i.mcycle_counter_i.counter_q\[2\]$_DFFE_PN0P_/D,net,pin
_19875_/Y,_00038_,pin,net
_00039_,cs_registers_i.mcycle_counter_i.counter_q\[30\]$_DFFE_PN0P_/D,net,pin
_19897_/Y,_00039_,pin,net
_00040_,cs_registers_i.mcycle_counter_i.counter_q\[31\]$_DFFE_PN0P_/D,net,pin
_19917_/Y,_00040_,pin,net
_00041_,cs_registers_i.mcycle_counter_i.counter_q\[32\]$_DFFE_PN0P_/D,net,pin
_19923_/Y,_00041_,pin,net
_00042_,cs_registers_i.mcycle_counter_i.counter_q\[33\]$_DFFE_PN0P_/D,net,pin
_19930_/Y,_00042_,pin,net
_00043_,cs_registers_i.mcycle_counter_i.counter_q\[34\]$_DFFE_PN0P_/D,net,pin
_19937_/Y,_00043_,pin,net
_00044_,cs_registers_i.mcycle_counter_i.counter_q\[35\]$_DFFE_PN0P_/D,net,pin
_19960_/Y,_00044_,pin,net
_00045_,cs_registers_i.mcycle_counter_i.counter_q\[36\]$_DFFE_PN0P_/D,net,pin
_19978_/Y,_00045_,pin,net
_00046_,cs_registers_i.mcycle_counter_i.counter_q\[37\]$_DFFE_PN0P_/D,net,pin
_19996_/Y,_00046_,pin,net
_00047_,cs_registers_i.mcycle_counter_i.counter_q\[38\]$_DFFE_PN0P_/D,net,pin
_20012_/Y,_00047_,pin,net
_00048_,cs_registers_i.mcycle_counter_i.counter_q\[39\]$_DFFE_PN0P_/D,net,pin
_20034_/Y,_00048_,pin,net
