src,tar,src_type,tar_type
_09197_,dp.pcreg.q\[9\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[8\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[7\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[6\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[5\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[4\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[3\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[31\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[30\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[2\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[29\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[28\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[27\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[26\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[25\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[24\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[23\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[22\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[21\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[20\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[1\]$_DFFE_PP0P_,cell,cell
_09197_,dp.pcreg.q\[19\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[18\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[17\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[16\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[15\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[14\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[13\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[12\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[11\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[10\]$_DFF_PP0_,cell,cell
_09197_,dp.pcreg.q\[0\]$_DFFE_PP0P_,cell,cell
_09427_,dp.pcreg.q\[0\]$_DFFE_PP0P_,cell,cell
_09430_,dp.pcreg.q\[1\]$_DFFE_PP0P_,cell,cell
_09486_,dp.rf.rf\[10\]\[0\]$_DFFE_PP_,cell,cell
_09517_,dp.rf.rf\[10\]\[10\]$_DFFE_PP_,cell,cell
_09553_,dp.rf.rf\[10\]\[11\]$_DFFE_PP_,cell,cell
_09565_,dp.rf.rf\[10\]\[12\]$_DFFE_PP_,cell,cell
_09581_,dp.rf.rf\[10\]\[13\]$_DFFE_PP_,cell,cell
_09602_,dp.rf.rf\[10\]\[14\]$_DFFE_PP_,cell,cell
_09625_,dp.rf.rf\[10\]\[15\]$_DFFE_PP_,cell,cell
_09647_,dp.rf.rf\[10\]\[16\]$_DFFE_PP_,cell,cell
_09660_,dp.rf.rf\[10\]\[17\]$_DFFE_PP_,cell,cell
_09676_,dp.rf.rf\[10\]\[18\]$_DFFE_PP_,cell,cell
_09689_,dp.rf.rf\[10\]\[19\]$_DFFE_PP_,cell,cell
_09696_,dp.rf.rf\[10\]\[1\]$_DFFE_PP_,cell,cell
_09711_,dp.rf.rf\[10\]\[20\]$_DFFE_PP_,cell,cell
_09729_,dp.rf.rf\[10\]\[21\]$_DFFE_PP_,cell,cell
_09742_,dp.rf.rf\[10\]\[22\]$_DFFE_PP_,cell,cell
_09755_,dp.rf.rf\[10\]\[23\]$_DFFE_PP_,cell,cell
_09773_,dp.rf.rf\[10\]\[24\]$_DFFE_PP_,cell,cell
_09791_,dp.rf.rf\[10\]\[25\]$_DFFE_PP_,cell,cell
_09804_,dp.rf.rf\[10\]\[26\]$_DFFE_PP_,cell,cell
_09816_,dp.rf.rf\[10\]\[27\]$_DFFE_PP_,cell,cell
_09836_,dp.rf.rf\[10\]\[28\]$_DFFE_PP_,cell,cell
_09854_,dp.rf.rf\[10\]\[29\]$_DFFE_PP_,cell,cell
_09862_,dp.rf.rf\[10\]\[2\]$_DFFE_PP_,cell,cell
_09880_,dp.rf.rf\[10\]\[30\]$_DFFE_PP_,cell,cell
_09910_,dp.rf.rf\[10\]\[31\]$_DFFE_PP_,cell,cell
_09917_,dp.rf.rf\[10\]\[3\]$_DFFE_PP_,cell,cell
_09926_,dp.rf.rf\[10\]\[4\]$_DFFE_PP_,cell,cell
_09935_,dp.rf.rf\[10\]\[5\]$_DFFE_PP_,cell,cell
_09944_,dp.rf.rf\[10\]\[6\]$_DFFE_PP_,cell,cell
_09962_,dp.rf.rf\[10\]\[7\]$_DFFE_PP_,cell,cell
_09976_,dp.rf.rf\[10\]\[8\]$_DFFE_PP_,cell,cell
_09988_,dp.rf.rf\[10\]\[9\]$_DFFE_PP_,cell,cell
_09995_,dp.rf.rf\[11\]\[0\]$_DFFE_PP_,cell,cell
_09998_,dp.rf.rf\[11\]\[10\]$_DFFE_PP_,cell,cell
_10006_,dp.rf.rf\[11\]\[11\]$_DFFE_PP_,cell,cell
_10009_,dp.rf.rf\[11\]\[12\]$_DFFE_PP_,cell,cell
_10015_,dp.rf.rf\[11\]\[13\]$_DFFE_PP_,cell,cell
