src,tar,src_type,tar_type
_01217_,ANTENNA_1,net,cell
net120,ANTENNA_10,net,cell
_01375_,ANTENNA_2,net,cell
_01406_,ANTENNA_3,net,cell
_01668_,ANTENNA_4,net,cell
_01756_,ANTENNA_5,net,cell
_01758_,ANTENNA_6,net,cell
_01758_,ANTENNA_7,net,cell
_02111_,ANTENNA_8,net,cell
_04092_,ANTENNA_9,net,cell
net27,_06213_,net,cell
net28,_06213_,net,cell
_06213_,_01031_,cell,net
net26,_06217_,net,cell
net23,_06217_,net,cell
net1,_06217_,net,cell
net12,_06217_,net,cell
_06217_,_01035_,cell,net
_01031_,_06218_,net,cell
_01035_,_06218_,net,cell
_06218_,_01036_,cell,net
net29,_06219_,net,cell
_01036_,_06219_,net,cell
_06219_,net99,cell,net
dp.rf.rf\[12\]\[0\],_06228_,net,cell
dp.rf.rf\[13\]\[0\],_06228_,net,cell
dp.rf.rf\[14\]\[0\],_06228_,net,cell
dp.rf.rf\[15\]\[0\],_06228_,net,cell
net218,_06228_,net,cell
net223,_06228_,net,cell
_06228_,_01045_,cell,net
net17,_06230_,net,cell
net16,_06230_,net,cell
_06230_,_01047_,cell,net
net17,_06234_,net,cell
net15,_06234_,net,cell
_06234_,_01051_,cell,net
net16,_06235_,net,cell
_01051_,_06235_,net,cell
_06235_,_01052_,cell,net
dp.rf.rf\[4\]\[0\],_06236_,net,cell
dp.rf.rf\[5\]\[0\],_06236_,net,cell
dp.rf.rf\[6\]\[0\],_06236_,net,cell
dp.rf.rf\[7\]\[0\],_06236_,net,cell
net219,_06236_,net,cell
net224,_06236_,net,cell
_06236_,_01053_,cell,net
net15,_06237_,net,cell
_01045_,_06237_,net,cell
_01047_,_06237_,net,cell
_01052_,_06237_,net,cell
_01053_,_06237_,net,cell
_06237_,_01054_,cell,net
net17,_06238_,net,cell
_06238_,_01055_,cell,net
_01055_,_06239_,net,cell
net15,_06239_,net,cell
_06239_,_01056_,cell,net
net16,_06240_,net,cell
net14,_06240_,net,cell
_06240_,_01057_,cell,net
dp.rf.rf\[18\]\[0\],_06244_,net,cell
dp.rf.rf\[19\]\[0\],_06244_,net,cell
net218,_06244_,net,cell
_06244_,_01061_,cell,net
dp.rf.rf\[16\]\[0\],_06246_,net,cell
dp.rf.rf\[17\]\[0\],_06246_,net,cell
net218,_06246_,net,cell
_06246_,_01063_,cell,net
net14,_06248_,net,cell
net16,_06248_,net,cell
_06248_,_01065_,cell,net
_01057_,_06249_,net,cell
_01061_,_06249_,net,cell
_01063_,_06249_,net,cell
_01065_,_06249_,net,cell
_06249_,_01066_,cell,net
net14,_06250_,net,cell
net16,_06250_,net,cell
_06250_,_01067_,cell,net
dp.rf.rf\[26\]\[0\],_06252_,net,cell
dp.rf.rf\[27\]\[0\],_06252_,net,cell
net218,_06252_,net,cell
_06252_,_01069_,cell,net
net224,_06253_,net,cell
net16,_06253_,net,cell
_06253_,_01070_,cell,net
dp.rf.rf\[24\]\[0\],_06255_,net,cell
dp.rf.rf\[25\]\[0\],_06255_,net,cell
net218,_06255_,net,cell
_06255_,_01072_,cell,net
_01067_,_06256_,net,cell
_01069_,_06256_,net,cell
_01070_,_06256_,net,cell
_01072_,_06256_,net,cell
_06256_,_01073_,cell,net
_01056_,_06257_,net,cell
_01066_,_06257_,net,cell
_01073_,_06257_,net,cell
_06257_,_01074_,cell,net
net17,_06258_,net,cell
net15,_06258_,net,cell
_06258_,_01075_,cell,net
dp.rf.rf\[2\]\[0\],_06261_,net,cell
dp.rf.rf\[3\]\[0\],_06261_,net,cell
net219,_06261_,net,cell
_06261_,_01078_,cell,net
dp.rf.rf\[0\]\[0\],_06263_,net,cell
dp.rf.rf\[1\]\[0\],_06263_,net,cell
net219,_06263_,net,cell
_06263_,_01080_,cell,net
_01057_,_06264_,net,cell
_01078_,_06264_,net,cell
_01080_,_06264_,net,cell
_01065_,_06264_,net,cell
_06264_,_01081_,cell,net
dp.rf.rf\[10\]\[0\],_06265_,net,cell
dp.rf.rf\[11\]\[0\],_06265_,net,cell
net218,_06265_,net,cell
_06265_,_01082_,cell,net
dp.rf.rf\[8\]\[0\],_06266_,net,cell
dp.rf.rf\[9\]\[0\],_06266_,net,cell
net218,_06266_,net,cell
_06266_,_01083_,cell,net
_01067_,_06267_,net,cell
_01082_,_06267_,net,cell
_01083_,_06267_,net,cell
_01070_,_06267_,net,cell
_06267_,_01084_,cell,net
dp.rf.rf\[20\]\[0\],_06268_,net,cell
dp.rf.rf\[21\]\[0\],_06268_,net,cell
dp.rf.rf\[22\]\[0\],_06268_,net,cell
dp.rf.rf\[23\]\[0\],_06268_,net,cell
net218,_06268_,net,cell
net223,_06268_,net,cell
_06268_,_01085_,cell,net
net16,_06269_,net,cell
net15,_06269_,net,cell
net17,_06269_,net,cell
_06269_,_01086_,cell,net
net17,_06270_,net,cell
net15,_06270_,net,cell
net16,_06270_,net,cell
_06270_,_01087_,cell,net
dp.rf.rf\[28\]\[0\],_06271_,net,cell
dp.rf.rf\[29\]\[0\],_06271_,net,cell
dp.rf.rf\[30\]\[0\],_06271_,net,cell
dp.rf.rf\[31\]\[0\],_06271_,net,cell
net218,_06271_,net,cell
net223,_06271_,net,cell
_06271_,_01088_,cell,net
_01085_,_06272_,net,cell
_01086_,_06272_,net,cell
_01087_,_06272_,net,cell
_01088_,_06272_,net,cell
_06272_,_01089_,cell,net
_01075_,_06273_,net,cell
_01081_,_06273_,net,cell
_01084_,_06273_,net,cell
_01089_,_06273_,net,cell
_06273_,_01090_,cell,net
net224,_06274_,net,cell
net219,_06274_,net,cell
net16,_06274_,net,cell
_06274_,_01091_,cell,net
net17,_06275_,net,cell
net15,_06275_,net,cell
